Key,LOC,NOF,NOP,Entropy
AMQ-1112,1426,35,19,0.8602473661378203
AMQ-3753,1402,2,2,0
AMQ-5856,933,15,7,1
AMQ-6387,480,8,4,0
AMQ-2016,392,5,4,0.7793498372920851
AMQ-5062,353,9,4,0.659517637169433
AMQ-5073,345,10,4,1
AMQ-5853,333,8,6,0
AMQ-4182,268,4,4,1
AMQ-5564,263,6,3,0
AMQ-4133,253,5,4,0.9182958340544896
AMQ-5656,246,3,3,0
AMQ-4899,245,4,4,0
AMQ-4977,242,5,5,0
AMQ-1272,223,4,3,0
AMQ-3746,219,4,4,0
AMQ-6285,199,2,2,0
AMQ-2183,197,4,4,0
AMQ-4468,191,5,3,0
AMQ-4159,173,4,4,0
AMQ-7009,156,3,3,0
AMQ-5921,154,4,3,0
AMQ-2216,127,3,3,0
AMQ-4277,119,4,3,0
AMQ-6070,116,6,5,0.8868595071429147
AMQ-4746,100,2,2,0
AMQ-2536,94,3,2,0
AMQ-4183,85,3,3,1
AMQ-6327,71,3,3,0
AMQ-1038,69,5,4,0.8941881858672536
AMQ-2505,61,3,3,0
AMQ-6831,60,4,4,0
AMQ-5323,54,3,3,0
AMQ-3031,44,3,3,0
AMQ-6521,35,2,2,0
AMQ-5052,34,2,2,0
AMQ-1063,21,2,2,0
AMQ-1244,21,2,2,0
AMQ-6062,14,2,2,0
AMQ-5550,13,2,2,0
AMQ-5004,13,2,2,0
AMQ-5241,12,2,2,0
AMQ-1803,8,2,2,0
AMQ-2935,6,3,3,0
AMQ-7463,4,2,2,0
AMQ-6518,4,3,3,0
AMQ-6781,4,2,2,0
AMQ-3922,2,2,2,0
AMQ-659,2,2,2,0
AMQ-5796,2,2,2,0
AMQ-3350,2,2,2,0
