Key,LOC,NOF,NOP,Entropy
AMQ-4080,5743,32,9,0
AMQ-845,5516,61,20,0.9262206898330818
AMQ-5266,4863,49,18,0.7861264591293928
AMQ-4485,4818,50,20,0.7990962271014509
AMQ-6438,3134,21,6,0.947730922119161
AMQ-876,2797,36,11,0.9660436942454933
AMQ-1147,2796,9,2,0
AMQ-2985,2684,30,17,0.6733301433104161
AMQ-3635,2665,18,3,0
AMQ-3775,2355,9,5,0.7743974703476992
AMQ-2149,2304,31,16,0.8309073354715486
AMQ-3791,2216,12,3,0
AMQ-3872,1947,25,11,0.9681300137657637
AMQ-6858,1916,9,4,0
AMQ-5356,1834,38,15,0
AMQ-6305,1682,23,7,0
AMQ-4788,1666,12,6,0
AMQ-3805,1591,11,5,0.9999999999999999
AMQ-4952,1587,37,15,0.9056239262260819
AMQ-6906,1568,13,5,1
AMQ-8520,1538,55,20,0
AMQ-6707,1480,27,12,0.8904104442028663
AMQ-2980,1419,30,16,0.8902623483741342
AMQ-3684,1410,10,8,0.9709505944546686
AMQ-5475,1295,12,4,0.8194483718728034
AMQ-2832,1270,18,11,0.790277330810721
AMQ-2800,1253,37,23,0.7234151215963784
AMQ-2803,1253,37,23,0.7234151215963787
AMQ-765,1245,10,3,0
AMQ-5160,1193,25,12,0.5751350557541878
AMQ-2568,1154,48,20,0.8946337740451697
AMQ-4215,1139,20,14,0.9443406987660421
AMQ-2102,1125,11,5,0.6485456026480259
AMQ-3871,1088,6,5,0
AMQ-1795,1083,16,7,0.7887766127071925
AMQ-3274,1042,3,3,0
AMQ-2590,1034,13,8,0.7524620880202907
AMQ-2774,1012,19,9,0.8465362190524484
AMQ-4495,980,20,11,0.9455305560363263
AMQ-4441,941,21,5,0.9165164431996026
AMQ-7218,940,6,3,0
AMQ-1490,938,37,16,0.9319949399860052
AMQ-1957,921,10,8,0.8172067248225914
AMQ-5001,912,19,5,0
AMQ-4212,903,7,5,0
AMQ-2580,902,10,9,0.6869043659428445
AMQ-5875,897,10,7,0
AMQ-4563,870,17,12,0.8312800701862051
AMQ-6263,868,7,5,0
AMQ-2719,852,10,8,0.6695919455357793
AMQ-3434,831,12,8,0.7219280948873623
AMQ-5426,823,3,3,0
AMQ-1842,822,26,15,0.9999999999999999
AMQ-6422,801,13,6,0
AMQ-4555,793,3,3,0
AMQ-1748,783,4,3,0.5032583347756457
AMQ-2020,774,24,14,0.9339911421660859
AMQ-3654,768,15,6,0.9999999999999999
AMQ-1026,760,11,7,0.8987889819382565
AMQ-3404,746,6,4,0
AMQ-5233,745,5,4,0
AMQ-2191,743,19,13,0.9609640474436811
AMQ-7001,721,11,8,1
AMQ-3342,712,3,3,0
AMQ-5517,709,22,12,1
AMQ-915,707,10,5,0.9169350519665445
AMQ-2098,698,10,4,0
AMQ-3529,698,17,11,1
AMQ-1560,697,35,21,0.8830438077872044
AMQ-1781,697,8,4,0
AMQ-1918,694,5,4,0
AMQ-5092,687,5,3,0.8453509366224364
AMQ-5703,675,6,5,0.9709505944546686
AMQ-2439,661,10,9,0.6292492238560345
AMQ-1062,660,26,12,0.964341644158727
AMQ-1061,660,26,12,0.964341644158727
AMQ-914,660,26,12,0.964341644158727
AMQ-3685,656,10,5,0.9414280318460244
AMQ-3094,654,5,3,0
AMQ-2327,652,12,7,0.935944697445866
AMQ-6370,652,9,6,0.9182958340544896
AMQ-6500,647,7,5,0
AMQ-1886,640,11,6,0
AMQ-6418,627,15,11,0
AMQ-3167,624,7,4,0.8586727110732549
AMQ-7298,617,7,6,0
AMQ-2584,616,7,6,0.696109471426504
AMQ-2573,612,9,5,0.951983906543883
AMQ-1095,590,16,8,0.9738576954491397
AMQ-4837,579,7,4,0.9938866857439922
AMQ-4683,579,8,4,0
AMQ-5567,570,12,7,0.9206198357143047
AMQ-1925,568,9,6,0.5152734452350943
AMQ-3542,564,14,9,0.8549912206176893
AMQ-4083,564,4,4,0
AMQ-2560,559,12,10,0.850113569848796
AMQ-6286,559,9,6,0.8734790278701755
AMQ-858,556,5,5,0.9709505944546686
AMQ-3780,547,5,4,0
AMQ-936,544,20,9,0.9448270413611173
AMQ-4643,540,21,9,0.960058249314534
AMQ-3405,532,7,6,0.3372900666170139
AMQ-4994,530,21,3,0
AMQ-2033,528,3,3,0
AMQ-4705,526,6,6,0.9141008920185651
AMQ-6086,526,5,5,0
AMQ-2966,525,11,7,0.8112781244591328
AMQ-4134,523,5,3,0.9463946303571861
AMQ-6603,523,4,4,0
AMQ-5307,522,8,3,0.9463946303571861
AMQ-2728,520,9,5,0.9397387539970584
AMQ-5745,514,22,15,0.9709505944546686
AMQ-5318,514,3,3,0
AMQ-2473,514,15,8,0.8710490642551529
AMQ-5187,513,11,4,0.7219280948873623
AMQ-6088,512,7,6,1
AMQ-7185,510,9,6,0
AMQ-3454,509,18,10,0.960058249314534
AMQ-3996,507,14,11,0.9211854965885543
AMQ-3504,506,10,4,0.9463946303571861
AMQ-2880,503,7,4,0
AMQ-879,494,21,6,0.9807711072455966
AMQ-1909,493,12,6,0.7075893252026236
AMQ-2616,492,7,5,0.7219280948873623
AMQ-4487,488,11,7,0.8560873938623892
AMQ-3665,487,4,3,0
AMQ-3199,483,4,3,0.9463946303571861
AMQ-7488,479,6,4,0
AMQ-6215,478,4,3,0.5916727785823274
AMQ-1521,477,7,7,1
AMQ-802,477,4,2,0
AMQ-2086,474,8,5,0.5032583347756457
AMQ-2481,470,9,7,0.7891066453068236
AMQ-1973,469,7,7,1
AMQ-3021,469,4,3,0
AMQ-5347,465,6,4,0.7642045065086203
AMQ-7129,462,4,3,0.9709505944546686
AMQ-5400,460,3,3,0.9709505944546686
AMQ-2622,460,4,3,0
AMQ-4181,459,14,10,0.6143706551144408
AMQ-6014,453,6,5,0
AMQ-3166,452,8,6,1
AMQ-1553,451,9,4,0.8892952760645767
AMQ-7082,450,5,5,0.8129072918469558
AMQ-3672,448,3,3,0
AMQ-3725,447,7,4,0
AMQ-2475,447,7,5,0.863120568566631
AMQ-6824,447,9,5,0
AMQ-1356,444,30,16,0.9288885136246281
AMQ-4512,444,5,4,1
AMQ-6372,436,9,5,0
AMQ-4651,433,4,3,0.6790681957683444
AMQ-5153,433,4,4,0
AMQ-4725,428,3,3,0
AMQ-2034,427,11,6,0.8700718216046907
AMQ-6345,427,4,3,0
AMQ-2551,425,11,6,0.8576611402529865
AMQ-1323,424,4,2,0
AMQ-3077,423,9,9,0.8848616689990428
AMQ-4222,420,4,4,0.7219280948873623
AMQ-3732,420,5,3,0
AMQ-3680,415,6,3,0
AMQ-3576,415,11,7,0.8504146864248051
AMQ-5093,414,6,4,0.9463946303571861
AMQ-5712,412,10,4,0
AMQ-5303,412,6,3,0.9211854965885542
AMQ-3200,411,4,3,0.9463946303571861
AMQ-2695,409,9,6,0.35335933502142136
AMQ-3823,409,9,5,0.9397387539970584
AMQ-5684,408,11,8,0.8979444735226818
AMQ-7067,407,3,3,1
AMQ-3465,404,3,3,0
AMQ-4595,403,8,6,0.6876396827696896
AMQ-3819,401,6,3,0
AMQ-5994,397,4,4,0
AMQ-5155,396,5,5,0
AMQ-1121,395,22,9,0.9396898305010258
AMQ-3909,394,5,3,0
AMQ-4062,391,5,4,0
AMQ-6055,391,14,5,0.8112781244591328
AMQ-3374,390,6,5,0.9544340029249649
AMQ-6288,387,4,4,0.4262286569981449
AMQ-1714,387,3,3,0
AMQ-6891,385,3,3,0
AMQ-2349,385,4,4,0
AMQ-2599,383,8,6,0.8112781244591328
AMQ-6050,381,5,3,0.8112781244591328
AMQ-3517,375,9,3,0
AMQ-2070,375,7,5,0.842088781560647
AMQ-5724,374,5,5,0
AMQ-4753,374,7,5,0
AMQ-2524,374,6,3,0.9182958340544896
AMQ-895,371,7,2,0.967132018086354
AMQ-7311,371,8,6,1
AMQ-1068,370,7,3,0
AMQ-4437,370,15,7,0.7219280948873623
AMQ-2948,370,5,3,0
AMQ-3999,369,15,8,0.9690222556651344
AMQ-1936,369,3,3,0
AMQ-3998,369,15,8,0.9690222556651344
AMQ-6151,368,5,5,0
AMQ-2732,366,6,3,0
AMQ-3451,366,19,14,0.9387691730748817
AMQ-6334,364,3,2,0
AMQ-4073,363,6,4,0.9182958340544896
AMQ-6640,363,10,6,0.9182958340544896
AMQ-3547,360,6,3,0.7298466991620974
AMQ-5854,358,5,3,0
AMQ-6222,356,3,3,0
AMQ-2103,353,11,7,0.8649735207179271
AMQ-2952,351,4,3,0
AMQ-5865,351,12,7,0
AMQ-2626,350,12,10,0.9235080399796626
AMQ-4934,350,4,4,0.9182958340544896
AMQ-6587,349,5,3,0.7219280948873623
AMQ-2078,349,5,4,0
AMQ-1749,349,8,6,0.9513282751069652
AMQ-1562,348,29,5,0.9130988543660312
AMQ-2598,346,23,20,0.9423129664459039
AMQ-6073,343,8,4,0.9609640474436811
AMQ-5594,343,11,9,1
AMQ-5043,340,7,4,0
AMQ-649,337,9,2,1
AMQ-2772,337,5,4,0
AMQ-7013,335,4,4,0
AMQ-6444,331,10,5,0.9921503172858166
AMQ-3331,331,8,6,0.7000110664846003
AMQ-4123,331,5,3,0.920619835714305
AMQ-4475,330,3,3,0
AMQ-4853,329,3,3,0
AMQ-1780,329,8,6,0.8212530783391994
AMQ-1072,328,19,8,0.9448270413611173
AMQ-2440,326,6,3,0.8112781244591328
AMQ-4351,326,5,3,0
AMQ-1479,325,9,6,0.880247514883099
AMQ-2021,325,15,8,1
AMQ-7106,324,4,4,0
AMQ-724,323,7,6,0.9182958340544896
AMQ-6121,323,5,4,0
AMQ-6122,323,5,4,0
AMQ-1885,322,11,5,0.94268071481726
AMQ-4249,322,4,3,0
AMQ-2981,322,14,11,0.9673379079506736
AMQ-6254,321,3,3,0
AMQ-1251,320,3,3,0
AMQ-4288,320,2,2,0
AMQ-2512,319,12,6,0
AMQ-1914,317,11,5,0.8048474707311407
AMQ-2610,317,17,9,0.9062946359802463
AMQ-7497,317,4,4,0
AMQ-5306,316,5,3,0.9999999999999999
AMQ-2713,313,15,4,0.9609640474436811
AMQ-2413,312,3,3,0
AMQ-3353,312,8,5,0.7219280948873623
AMQ-6361,307,15,9,0
AMQ-449,307,8,3,0.9697238998682475
AMQ-1807,307,6,4,0.7680028690203761
AMQ-4673,307,12,9,0.6500224216483541
AMQ-4676,307,12,9,0.6500224216483541
AMQ-2939,305,13,12,0.9696468912182087
AMQ-4196,304,5,5,1
AMQ-6293,303,6,3,0
AMQ-4432,303,8,2,0.9874687506009635
AMQ-5689,302,5,4,0
AMQ-4513,302,3,3,0
AMQ-3176,301,13,8,0.8148381042483582
AMQ-5884,301,4,3,0.9709505944546686
AMQ-685,301,7,4,0.9755037590061085
AMQ-4719,301,18,10,0.9620871761502207
AMQ-5883,301,4,3,0.9709505944546686
AMQ-3129,301,13,8,0.8148381042483582
AMQ-5885,301,4,3,0.9709505944546686
AMQ-643,300,12,8,0.9202575036697126
AMQ-2910,300,6,5,0
AMQ-4887,300,4,3,0
AMQ-3294,299,5,5,0.6962122601251459
AMQ-4221,298,4,4,0.9182958340544896
AMQ-5851,298,5,4,0.9656336071428251
AMQ-6687,298,4,4,0
AMQ-6131,297,3,3,0
AMQ-1993,294,9,5,1
AMQ-4529,293,6,4,0.5435644431995964
AMQ-4094,291,7,6,0
AMQ-3325,291,4,3,0.9999999999999999
AMQ-4930,290,7,5,0.35335933502142136
AMQ-6317,290,3,3,0
AMQ-4248,290,9,7,0.9591479170272447
AMQ-4092,289,7,6,0.9182958340544896
AMQ-6414,288,11,10,0.9141008920185651
AMQ-5340,285,4,4,0
AMQ-7225,284,5,4,0
AMQ-6406,284,5,5,0
AMQ-5468,283,7,3,0
AMQ-6577,282,7,5,0.9999999999999999
AMQ-2028,282,17,14,0.7973824078881782
AMQ-2356,281,4,4,0.9709505944546686
AMQ-6256,281,11,8,0.8212019455913929
AMQ-8202,281,3,3,0
AMQ-4372,281,10,7,0.7919799924384827
AMQ-6643,280,8,7,0
AMQ-942,279,4,4,1
AMQ-2765,279,4,3,0
AMQ-5644,279,6,5,0.8112781244591328
AMQ-4209,279,7,3,1
AMQ-4210,279,7,3,1
AMQ-2262,278,6,6,0
AMQ-6343,276,6,4,0.9999999999999999
AMQ-5146,276,4,4,0.9182958340544896
AMQ-5212,275,13,8,0.9751060324573735
AMQ-3827,273,5,3,0
AMQ-3124,272,7,4,0.9591479170272448
AMQ-5220,272,7,3,0
AMQ-6477,272,9,5,0
AMQ-5127,271,2,2,0
AMQ-3568,271,5,5,0.6500224216483541
AMQ-6128,269,6,5,0.8649735207179271
AMQ-1096,268,4,3,0.9182958340544896
AMQ-889,268,5,4,0.782775952814142
AMQ-2563,267,8,6,0.929445137964749
AMQ-2970,267,8,6,0
AMQ-7118,266,3,3,0
AMQ-6940,266,8,5,0
AMQ-1917,266,3,3,0
AMQ-3700,266,3,3,0
AMQ-6353,265,7,4,0
AMQ-2035,264,3,3,0
AMQ-1942,264,3,3,0
AMQ-6463,263,3,3,0
AMQ-5830,263,6,5,0
AMQ-1779,259,8,3,0.9591479170272447
AMQ-3119,259,5,4,0
AMQ-3020,258,4,4,0.6500224216483541
AMQ-5107,257,3,3,0
AMQ-2489,255,4,4,0
AMQ-7077,255,14,6,0
AMQ-6432,254,4,4,0.9182958340544896
AMQ-4118,254,3,3,0
AMQ-6029,254,17,9,0
AMQ-4665,254,6,4,0
AMQ-2483,253,17,14,0.7854759947693647
AMQ-4172,252,4,3,0
AMQ-3965,252,3,3,0
AMQ-2651,252,4,4,0.9182958340544896
AMQ-3637,251,5,5,0.8586727110732549
AMQ-695,250,6,6,0.9628264498463844
AMQ-1855,250,7,5,0.6500224216483541
AMQ-3157,250,6,3,0.9609640474436811
AMQ-3312,249,3,3,0
AMQ-775,249,5,4,0
AMQ-2950,248,5,5,0
AMQ-5534,247,5,3,0
AMQ-4486,247,5,3,0
AMQ-3678,246,3,3,0
AMQ-5626,245,3,3,0
AMQ-3222,245,11,10,0.9565427490700301
AMQ-4413,243,3,3,0
AMQ-3220,243,6,4,0.9852281360342515
AMQ-1342,242,2,2,0
AMQ-4581,242,3,3,0
AMQ-7086,242,8,5,0
AMQ-3664,241,6,4,0.9602297178607611
AMQ-3238,241,10,5,0.9577420562022178
AMQ-3607,241,5,4,0.9709505944546686
AMQ-1670,240,27,18,0.7206034302458676
AMQ-5729,238,6,4,0
AMQ-6670,238,4,3,0
AMQ-2144,238,3,3,0
AMQ-6567,238,3,3,0
AMQ-3141,238,3,3,0
AMQ-5104,237,7,3,0.9999999999999999
AMQ-6441,237,8,6,0
AMQ-2393,236,3,3,0
AMQ-3014,236,3,3,0
AMQ-4356,236,5,4,0
AMQ-4575,236,3,3,0
AMQ-5379,235,6,3,0.3569229255211704
AMQ-6094,235,3,3,0
AMQ-4531,235,3,3,0
AMQ-2877,235,4,3,0.9182958340544896
AMQ-5632,235,3,3,0
AMQ-4415,234,7,5,0.8592975083332074
AMQ-1054,234,3,3,0
AMQ-3149,233,16,9,0.8613531161467861
AMQ-1629,232,3,3,0
AMQ-4505,232,5,5,0.6500224216483541
AMQ-1080,231,18,10,0.9068609253820044
AMQ-6811,230,10,3,0
AMQ-1814,230,6,4,0.7861758316542939
AMQ-4234,230,7,6,0.9697238998682473
AMQ-4235,230,7,6,0.9697238998682473
AMQ-6133,228,4,4,0.9798687566511528
AMQ-6459,226,3,3,0
AMQ-8023,225,6,5,0
AMQ-2303,225,8,7,1
AMQ-5844,225,3,3,0
AMQ-1940,224,6,6,0.5462947022805017
AMQ-5972,224,6,6,0
AMQ-1255,224,5,4,0.8527924884900403
AMQ-1926,224,7,5,0.7233083338141041
AMQ-4869,224,2,2,0
AMQ-5783,223,4,4,0
AMQ-6199,223,6,5,0
AMQ-6652,223,3,3,0
AMQ-1045,222,5,3,0
AMQ-3935,222,4,4,1
AMQ-3143,221,8,8,0.9182958340544896
AMQ-3556,221,4,4,0
AMQ-807,221,4,2,0
AMQ-4744,220,7,4,0.9821410328348751
AMQ-6823,220,3,3,0
AMQ-3903,220,16,10,1
AMQ-6625,220,19,14,0.8785204509214299
AMQ-6526,220,4,4,0
AMQ-6446,219,9,8,0
AMQ-6606,218,6,5,0.7219280948873623
AMQ-7353,218,4,4,0
AMQ-3797,218,6,3,0
AMQ-4897,218,3,3,0
AMQ-4361,217,4,3,0
AMQ-4791,217,8,4,1
AMQ-1507,217,10,8,0.721776287531641
AMQ-6562,217,5,4,0
AMQ-3190,217,5,4,0.7091479170272448
AMQ-3567,216,3,3,0
AMQ-6693,216,3,3,0
AMQ-2715,216,8,8,0.8649735207179271
AMQ-3182,215,6,5,0.7896900821428474
AMQ-6209,214,2,2,0
AMQ-1556,214,2,2,0
AMQ-5413,212,10,7,0.9629610647945144
AMQ-4147,212,3,3,0
AMQ-2548,212,3,3,0
AMQ-2929,210,3,3,0
AMQ-5281,210,4,3,0
AMQ-4596,209,3,3,0
AMQ-6002,208,4,3,1
AMQ-6590,206,3,3,0
AMQ-6244,206,3,3,0
AMQ-4923,206,4,4,0.9602297178607611
AMQ-1174,206,7,4,0.9115339911368305
AMQ-2104,205,9,4,0
AMQ-7308,205,5,5,0
AMQ-4132,205,3,3,0
AMQ-2704,204,6,6,0.9854752972273343
AMQ-5074,204,9,5,0.9709505944546686
AMQ-2822,203,5,3,0.9463946303571861
AMQ-4731,203,3,3,0
AMQ-6520,201,4,3,0
AMQ-4917,200,5,2,0.9586785101742112
AMQ-5108,200,5,3,1
AMQ-6517,199,7,5,0
AMQ-2314,199,5,4,0
AMQ-5731,199,5,5,0.7725068857142601
AMQ-4938,199,2,2,0
AMQ-932,198,3,3,0.9182958340544896
AMQ-6221,198,2,2,0
AMQ-585,198,4,4,1
AMQ-6032,198,3,3,0
AMQ-6248,197,2,2,0
AMQ-5685,197,3,3,0
AMQ-2556,197,8,6,0.9232196723355077
AMQ-3120,197,5,4,0.7854752972273343
AMQ-2613,197,18,5,0.9182958340544894
AMQ-5450,196,3,3,0
AMQ-4896,196,9,5,0.9999999999999999
AMQ-6465,196,12,10,0
AMQ-1672,195,24,6,0.8862055326745015
AMQ-2540,195,11,7,0.9345154830993555
AMQ-2240,195,5,5,0
AMQ-5381,194,3,3,0
AMQ-5893,194,3,3,0
AMQ-6067,194,3,3,0
AMQ-3851,193,3,3,0
AMQ-5038,193,6,4,0
AMQ-4950,192,3,3,0
AMQ-1282,192,3,3,0
AMQ-5224,191,8,5,0.9656336071428251
AMQ-7002,190,3,3,0
AMQ-3961,190,3,3,0
AMQ-3123,190,5,3,0.9922150607220181
