Key,LOC,NOF,NOP,Entropy
AMBARI-18335,4030,19,5,1
AMBARI-22514,3175,37,7,0
AMBARI-15538,1253,19,9,0.8687610447360279
AMBARI-18208,1024,34,14,0.9979698232442559
AMBARI-16888,909,3,3,0.8812908992306927
AMBARI-17283,773,3,3,0.9233388889944428
AMBARI-24974,732,11,7,1
AMBARI-9022,729,4,3,0.2650069017386699
AMBARI-9334,710,12,5,0.8702086393340777
AMBARI-24507,697,7,4,0
AMBARI-14550,590,7,6,0.8555605552125998
AMBARI-12417,529,4,4,0
AMBARI-12538,501,32,10,0.910797000559969
AMBARI-9761,463,6,5,0.7269575222056059
AMBARI-17186,442,10,5,0
AMBARI-11424,426,11,10,0.788622601772991
AMBARI-17694,388,7,7,0.9339117544778968
AMBARI-22626,372,6,3,0.9463946303571861
AMBARI-9341,345,10,7,0.8122133691889983
AMBARI-20517,309,10,9,1
AMBARI-18035,295,13,9,0.9484321340179732
AMBARI-10630,293,4,3,0.9760206482366149
AMBARI-9171,289,8,4,0.9814294625625777
AMBARI-20523,288,7,6,0
AMBARI-20527,263,6,5,0
AMBARI-9660,256,11,10,0.7818795984815906
AMBARI-17253,226,5,5,0
AMBARI-16736,225,18,8,0.8631016999126051
AMBARI-21781,223,4,4,0.9602297178607611
AMBARI-21729,219,8,5,0.9463946303571861
AMBARI-20542,218,3,3,1
AMBARI-15249,192,2,2,0
AMBARI-17688,187,13,12,0.9088970776287872
AMBARI-19441,176,9,8,0.5442297995906706
AMBARI-18151,174,6,4,0.764400907262659
AMBARI-11960,165,8,5,0.9462651872218009
AMBARI-13291,158,5,5,0.6398243839286435
AMBARI-23044,157,6,6,0
AMBARI-21798,144,3,3,0.9182958340544896
AMBARI-23653,141,33,30,0
AMBARI-14745,138,8,4,0.8339095981148642
AMBARI-8054,133,23,22,0.9555788932610443
AMBARI-14249,123,9,4,0.9850568223215076
AMBARI-330,122,5,4,0.9709505944546686
AMBARI-22113,114,9,9,1
AMBARI-15852,111,12,3,0.9374728642675506
AMBARI-11658,110,4,4,0.7139718710280234
AMBARI-12107,105,3,3,1
AMBARI-5722,104,5,5,0.9821410328348751
AMBARI-18026,100,3,3,0.9182958340544896
AMBARI-12785,98,6,5,0.8388299291044902
AMBARI-24268,97,2,2,0
AMBARI-2104,90,6,2,1
AMBARI-17954,89,7,5,0.9023829360554046
AMBARI-20673,87,3,2,0.6840384356390417
AMBARI-17687,82,11,11,0.9577279753879155
AMBARI-6484,79,6,6,0.9106320032010597
AMBARI-24916,78,5,4,1
AMBARI-19041,75,3,3,0
AMBARI-21117,73,6,6,0
AMBARI-2527,73,3,3,0.9777945702913884
AMBARI-15982,71,3,3,0.9649567669505685
AMBARI-17843,71,4,3,0
AMBARI-20974,65,3,3,0
AMBARI-190,65,3,3,1
AMBARI-7120,64,3,3,0.8112781244591328
AMBARI-6690,62,6,4,0.7668937437992748
AMBARI-17966,60,4,2,0
AMBARI-20522,60,4,2,0
AMBARI-6935,59,6,6,0.8305795829319101
AMBARI-9677,58,9,8,0.9599710805450234
AMBARI-22539,57,4,3,0
AMBARI-14653,56,3,3,1
AMBARI-13575,51,5,4,1
AMBARI-17296,51,6,6,0.9574313521241895
AMBARI-17469,49,3,3,0.8112781244591328
AMBARI-15770,47,6,3,0.959820667305671
AMBARI-6262,46,3,3,0
AMBARI-13656,44,4,4,0.8194483718728034
AMBARI-17523,42,3,2,0.9910760598382222
AMBARI-15872,41,4,3,0.842088781560647
AMBARI-20478,36,3,3,0
AMBARI-23932,35,4,4,0.9182958340544896
AMBARI-12378,34,3,3,0.74959525725948
AMBARI-21053,33,2,2,0
AMBARI-2095,32,4,4,0.6729551055272076
AMBARI-21872,32,2,2,0
AMBARI-21095,30,5,5,0
AMBARI-18340,30,3,2,0.6962122601251459
AMBARI-20494,29,3,3,1
AMBARI-14290,29,6,6,0.9297018945631829
AMBARI-18142,27,5,3,0.8389921403188865
AMBARI-20539,27,3,2,0.9910760598382222
AMBARI-16303,27,4,4,0.7235549830483067
AMBARI-12433,26,5,3,1
AMBARI-17704,26,3,2,0.6500224216483541
AMBARI-17801,24,2,2,0
AMBARI-18294,24,3,3,0
AMBARI-24237,24,3,3,0
AMBARI-11634,23,2,2,0
AMBARI-5456,22,3,3,1
AMBARI-18900,21,4,4,0
AMBARI-18770,21,5,5,0
AMBARI-8793,20,3,3,0.3372900666170139
AMBARI-12612,19,8,3,0.7061589038547335
AMBARI-18234,19,4,3,0.5264143616682583
AMBARI-11607,18,4,4,1
AMBARI-17661,18,2,2,0
AMBARI-21012,18,7,5,0.9211854965885542
AMBARI-15342,17,3,3,0.9544340029249649
AMBARI-13107,17,4,4,0.28708607274457926
AMBARI-4911,16,2,2,0
AMBARI-18935,16,3,3,0
AMBARI-18135,16,2,2,0
AMBARI-14659,16,3,3,0
AMBARI-19813,15,3,3,0.9182958340544896
AMBARI-1359,15,3,3,0.5746356978376794
AMBARI-18053,13,2,2,0
AMBARI-15255,13,3,2,0.9182958340544896
AMBARI-18219,12,3,3,0.8112781244591328
AMBARI-17942,12,3,3,0.9995708393473224
AMBARI-21347,12,2,2,0
AMBARI-18345,12,2,2,0
AMBARI-18239,12,3,3,0
AMBARI-14442,12,3,3,0
AMBARI-12926,11,2,2,0
AMBARI-20344,11,3,3,0
AMBARI-14358,11,3,3,0.8997437586982626
AMBARI-14260,11,2,2,0
AMBARI-17570,10,10,10,1
AMBARI-17345,10,3,2,0.8314743880097293
AMBARI-9824,10,4,2,0.9850568223215078
AMBARI-19934,10,3,3,0
AMBARI-16025,10,2,2,0
AMBARI-19465,9,2,2,0
AMBARI-20432,8,2,2,0
AMBARI-20538,8,2,2,0
AMBARI-19997,8,5,5,1
AMBARI-18221,7,2,2,0
AMBARI-17291,7,2,2,0
AMBARI-15909,7,4,4,0.8783471047618533
AMBARI-15854,7,2,2,0
