Key,LOC,NOF,NOP,Entropy
AMBARI-6501,8148,24,14,0.8757842543104378
AMBARI-14357,7130,11,3,0.7410216379456626
AMBARI-5704,7027,47,18,0.9999999999999993
AMBARI-15596,6667,16,4,0
AMBARI-18246,6579,89,23,0.9829837676601928
AMBARI-8932,6368,62,24,0.8971431534929634
AMBARI-6430,6290,73,32,0.8648509765876384
AMBARI-18876,5259,21,8,0.6567045482143384
AMBARI-21686,5168,60,20,0
AMBARI-22639,5018,47,16,1
AMBARI-20578,4974,42,24,0.9161375738512773
AMBARI-4270,4797,70,26,0.9381738762437279
AMBARI-21738,4637,30,11,0.7896900821428474
AMBARI-15141,4534,11,7,0.6360412814493956
AMBARI-19171,4518,4,4,0.8409160494198366
AMBARI-15046,4505,51,15,0
AMBARI-8819,4487,8,4,0.4094161884433591
AMBARI-18227,4484,53,14,0.9314911632554062
AMBARI-22530,4347,41,16,0.9766874637103278
AMBARI-18901,4269,16,14,0.9138528962713365
AMBARI-18713,4247,15,14,0.8920082108960955
AMBARI-1548,4191,52,11,0.8437469496408764
AMBARI-23945,4126,19,8,0.44093565597303774
AMBARI-13214,4102,42,17,0.7522224153959214
AMBARI-17421,3996,67,23,0.938104252136213
AMBARI-23661,3952,94,11,0
AMBARI-22818,3919,82,28,0.9964926028166793
AMBARI-23804,3913,26,15,1
AMBARI-21147,3823,65,24,0.8948672788099951
AMBARI-11282,3718,11,6,0
AMBARI-12692,3663,5,5,0.5676828057613506
AMBARI-2338,3643,38,12,0.7136618064891405
AMBARI-9368,3397,6,5,0.876716288999464
AMBARI-2370,3364,3,3,0.9784493292686189
AMBARI-16274,3333,55,26,0.7791931516704778
AMBARI-10626,3325,29,6,0.9807663988857569
AMBARI-2195,3319,8,4,0.9119543649294081
AMBARI-15829,3123,38,19,0.8112781244591328
AMBARI-19256,3061,26,8,1.0000000000000002
AMBARI-14488,3056,54,30,0.9315117620555113
AMBARI-22124,3018,8,8,0.8649735207179271
AMBARI-19031,3002,65,22,0
AMBARI-3568,2990,13,9,0.9334911042755584
AMBARI-14741,2915,77,37,0.9267272036634636
AMBARI-20755,2908,26,7,0.9712399498048404
AMBARI-23744,2803,50,21,0.90515148706983
AMBARI-19168,2793,79,18,0
AMBARI-19572,2767,12,7,0.5032583347756457
AMBARI-11216,2724,61,39,0.8670904581623519
AMBARI-1136,2671,50,27,0.9733370333443122
AMBARI-537,2635,31,6,0.8752190551143081
