Key,LOC,NOF,NOP,Entropy
ARROW-2814,3604,20,5,0.9052532717032828
ARROW-5117,2736,10,2,0
ARROW-12103,2142,5,2,0
ARROW-15928,1622,3,2,0
ARROW-12161,1255,18,6,0.9250343668104931
ARROW-8536,1074,4,3,0
ARROW-6235,672,15,4,0.9101415264594076
ARROW-16932,671,3,2,0.9182958340544896
ARROW-7288,602,4,2,1
ARROW-3543,589,15,4,0.8565537303218601
ARROW-13169,543,9,4,0.8433532525013715
ARROW-16546,467,14,6,0.7563450545223639
ARROW-10485,387,10,4,0.8575615131423043
ARROW-1692,377,18,9,0.8858880999795196
ARROW-8374,376,10,4,0.911260240373685
ARROW-8406,311,8,4,0.9462475709298825
ARROW-12790,309,8,4,0.8763576394898523
ARROW-1837,301,12,6,0.943976430126301
ARROW-11030,269,3,2,0.4537163391869448
ARROW-9652,260,5,4,0.8264316911454822
ARROW-7618,243,11,6,0.9464411295862525
ARROW-13860,213,14,3,0.9074379135740264
ARROW-2500,199,6,4,0
ARROW-14179,198,3,2,0.9709505944546686
ARROW-6869,195,4,4,0.9018972358711527
ARROW-6895,179,3,3,0.9949848281859701
ARROW-13135,177,8,5,0.9349775297671233
ARROW-14930,175,4,2,0
ARROW-7018,172,12,4,0.8825756419910162
ARROW-3324,160,5,3,1
ARROW-4872,155,5,3,0.8480368059161336
ARROW-16238,154,3,2,0
ARROW-9874,150,16,7,0.9084652127634156
ARROW-9606,145,6,3,0.9014554434254733
ARROW-5680,141,2,2,0
ARROW-16692,140,4,3,0
ARROW-11427,139,7,5,0
ARROW-5744,136,14,5,0.9129158991612107
ARROW-7503,130,6,5,0.9463946303571861
ARROW-13982,128,5,3,0.9856676426534905
ARROW-16700,126,5,3,0.9232196723355077
ARROW-8860,126,4,3,0.842088781560647
ARROW-5144,124,3,3,0.8904916402194913
ARROW-12487,120,3,2,0.9819407868640976
ARROW-5658,116,4,4,0.920619835714305
ARROW-3190,111,12,4,0.9182958340544896
ARROW-11239,111,11,2,0.9046321769102441
ARROW-7789,102,25,2,0.9012592106699222
ARROW-16904,99,6,4,0.9080636898218124
ARROW-7740,99,9,5,0.8957287402671694
ARROW-11301,98,3,3,0
ARROW-4034,91,6,3,0.7219280948873623
ARROW-11694,89,5,3,0.9602297178607611
ARROW-10928,88,5,3,0.8194483718728034
ARROW-8510,83,4,2,0.9656336071428251
ARROW-8429,82,4,3,0.9922150607220181
ARROW-10038,73,4,2,0.9709505944546686
ARROW-16336,72,3,3,0.9967916319816366
ARROW-17066,69,3,3,0.8112781244591328
ARROW-4774,68,4,3,0.9852281360342515
ARROW-11189,68,5,4,0
ARROW-14911,66,3,2,0
ARROW-12408,66,6,4,0.9385946474195916
ARROW-6682,66,6,4,1
ARROW-15938,66,3,2,0.9456603046006401
ARROW-6806,61,5,3,0.8811336953257469
ARROW-7650,58,6,3,0.9749790949149557
ARROW-2300,54,3,3,0.8112781244591328
