Key,LOC,NOF,NOP,Entropy
ARROW-5242,5892,5,2,0.9609640474436811
ARROW-1693,5230,69,14,0.9697854841665602
ARROW-3762,5224,62,13,0.8384017947427076
ARROW-13608,3794,26,4,0
ARROW-9937,3459,18,10,0.7947965969140975
ARROW-16136,2904,6,2,0
ARROW-1167,2508,15,6,0.9037348447397697
ARROW-6152,2201,19,4,0.9065093428510748
ARROW-208,2126,34,6,0.9727652780181631
ARROW-9660,2001,25,8,0.878118592017224
ARROW-4274,1969,22,7,0.9260873572390129
ARROW-10656,1789,26,14,0.9185641563997058
ARROW-12138,1731,46,3,1
ARROW-13010,1720,13,3,0.9874687506009635
ARROW-13628,1686,59,16,0.90471916789604
ARROW-6157,1675,57,12,0.9064535395451897
ARROW-8216,1566,28,13,0.8669695768932982
ARROW-7291,1538,9,3,0.9709505944546686
ARROW-7785,1506,8,3,1
ARROW-4147,1447,10,4,0.9335100357365151
ARROW-10121,1439,10,3,0.9807931175908107
ARROW-14575,1371,24,3,0.8689348582866933
ARROW-2380,1353,16,3,0.8549678945781491
ARROW-13225,1344,14,6,1
ARROW-5009,1335,32,9,0.9387274885291211
ARROW-4651,1317,42,13,0.9574403183591395
ARROW-3544,1311,19,4,0.4689955935892812
ARROW-6898,1203,5,5,0.9852281360342515
ARROW-8948,1199,16,8,0.8719056811039506
ARROW-6202,1173,3,3,1
ARROW-5592,1146,9,3,0.887122804161677
ARROW-13879,1130,13,4,0.8708390681735606
ARROW-10663,1107,8,6,0.8647869792568111
ARROW-519,1103,9,4,0.8794182889221216
ARROW-261,1093,34,7,0.943868961802286
ARROW-4284,1076,60,9,0
ARROW-6038,1074,11,4,0.9001223249390332
ARROW-4578,1071,14,6,0.9747319256391664
ARROW-13882,1022,25,5,0.9215584226055731
ARROW-1882,984,7,4,0.9765762937075553
ARROW-9809,962,8,5,0.8921428190314759
ARROW-4355,959,94,19,0.964412444772646
ARROW-4997,956,16,5,0.936722738717751
ARROW-9583,936,8,6,0.8043461359047005
ARROW-2145,900,14,4,0.8003624573645296
ARROW-2153,900,14,4,0.8003624573645296
ARROW-2160,900,14,4,0.8003624573645296
ARROW-16478,895,9,4,0
ARROW-5308,890,13,3,0.9763003097789544
ARROW-9528,874,13,4,0.8807153761405425
ARROW-4710,853,26,3,0.9561865251496297
ARROW-1646,845,6,3,0.7248340915057598
ARROW-9948,843,7,4,0.9609640474436811
ARROW-4213,825,17,6,0.9475231583990614
ARROW-1186,820,7,2,0
ARROW-3716,820,13,4,0.8049144212787769
ARROW-13878,815,10,3,0.9455795007788316
ARROW-5648,804,7,3,0.7743974703476992
ARROW-10769,789,26,14,0.9528258685879719
ARROW-2690,758,17,3,0.9533817429654784
ARROW-17087,745,11,3,0.8613531161467861
ARROW-5935,745,24,4,0.9032350284478166
ARROW-7813,742,13,9,0.9609640474436811
ARROW-7903,736,5,4,0.7054239374031817
ARROW-10692,735,41,12,0.9057795739014921
ARROW-10610,705,9,2,0
ARROW-5981,705,13,7,0.8194483718728034
ARROW-2490,703,16,3,0.9353709247559939
ARROW-13950,700,5,3,0.9232196723355077
ARROW-11630,697,4,4,0.8586727110732549
ARROW-7610,693,36,6,0.9999999999999999
ARROW-3133,692,14,5,0.944251187443768
ARROW-8344,666,3,3,0
ARROW-11461,661,10,3,0
ARROW-686,658,26,4,0.9411091117369413
ARROW-7948,648,6,4,0
ARROW-9554,642,10,4,0
ARROW-9219,635,7,4,0.9081700569267039
ARROW-3962,634,6,2,0
ARROW-2357,630,7,4,1
ARROW-5255,629,8,6,0.8699155297736257
ARROW-265,628,8,5,0
