Key,LOC,NOF,NOP,Entropy
AXIS2-2689,4098,7,4,0.9528195311147831
AXIS2-1271,3659,2,2,0
AXIS2-1277,2580,6,4,0.7310739886797205
AXIS2-2218,2218,31,15,0.8159211591635459
AXIS2-1233,2195,12,7,0.8745676089653929
AXIS2-1254,848,2,2,0
AXIS2-937,629,4,3,0.7518181887591274
AXIS2-2714,592,4,4,0.8080141510844467
AXIS2-693,561,7,3,0.6500224216483541
AXIS2-2642,548,26,13,0.853628226414701
AXIS2-2144,540,9,7,0.5700338813359286
AXIS2-2248,425,12,10,0.8652495410179624
AXIS2-2494,390,16,13,0.8303560860446523
AXIS2-4881,319,7,5,0.9182958340544896
AXIS2-935,290,5,4,0.7219280948873623
AXIS2-1950,266,6,3,0.9905114616736055
AXIS2-4779,244,7,6,0.9999999999999999
AXIS2-3453,215,3,3,0
AXIS2-1649,186,5,5,0.6998444053368853
AXIS2-1089,183,3,3,0.8112781244591328
AXIS2-831,174,8,6,0.8833050103422967
AXIS2-1488,168,2,2,0
AXIS2-2635,156,6,6,0.8258299387891527
AXIS2-1606,156,13,8,0.9567610824451992
AXIS2-981,149,5,4,0.7677412775798992
AXIS2-1087,137,6,5,0.7627069065377662
AXIS2-1871,136,5,4,0.9774178175281716
AXIS2-1910,133,6,3,0.9905114616736054
AXIS2-1053,131,11,8,0.8932941324021467
AXIS2-957,129,5,4,0.8375716232049936
AXIS2-2417,127,5,4,0.969354248643417
AXIS2-1720,118,12,6,0.9283490601901778
AXIS2-3479,110,15,15,0.83024937731233
AXIS2-5799,106,5,5,0
AXIS2-4279,104,3,3,0
AXIS2-350,98,4,4,0.840340327904694
AXIS2-2426,98,9,6,0.6639377323228303
AXIS2-2734,95,4,3,0.9602297178607611
AXIS2-969,90,8,4,0.7458664862246378
AXIS2-2550,84,8,7,0.9211854965885542
AXIS2-1587,81,6,5,0.7913276482786934
AXIS2-5093,80,3,3,0
AXIS2-2055,79,3,3,0.8812908992306927
AXIS2-5052,78,5,4,0.9476881727851434
AXIS2-1363,76,2,2,0
AXIS2-2792,74,3,2,0.7642045065086203
AXIS2-931,66,4,4,0.8080141510844467
AXIS2-5760,65,4,3,0
AXIS2-4353,64,2,2,0
AXIS2-4978,60,9,8,0
AXIS2-3065,58,2,2,0
AXIS2-1295,55,5,4,0.6844219362194769
AXIS2-5868,54,2,2,0
AXIS2-3006,54,2,2,0
AXIS2-1343,50,3,3,0.3372900666170139
AXIS2-2780,46,4,4,0.9526841246715823
AXIS2-2830,45,4,3,0.8112781244591328
AXIS2-2732,44,3,3,0
AXIS2-1045,43,5,3,0.8201119644709259
AXIS2-1041,43,5,3,0.8201119644709259
AXIS2-805,38,3,2,0.35335933502142136
AXIS2-3532,38,2,2,0
AXIS2-3560,38,5,4,0.7773048806327834
AXIS2-4823,37,4,3,0
AXIS2-959,32,3,3,0.9852281360342515
AXIS2-2655,30,3,3,1
AXIS2-1215,30,2,2,0
AXIS2-1470,29,2,2,0
AXIS2-5724,29,3,3,0
AXIS2-2976,29,2,2,0
AXIS2-3545,28,2,2,0
AXIS2-5846,27,4,2,0
AXIS2-2626,27,7,4,0.7609074352683902
AXIS2-2191,26,2,2,0
AXIS2-2249,25,3,3,0
AXIS2-1264,25,2,2,0
AXIS2-2282,24,3,3,0.9182958340544896
AXIS2-5006,23,3,3,0
AXIS2-1214,23,4,4,0.782775952814142
AXIS2-1327,23,3,3,0.9117517586347537
AXIS2-2771,21,2,2,0
AXIS2-4927,21,3,2,0
AXIS2-3229,21,2,2,0
AXIS2-4450,20,4,2,0
AXIS2-409,20,2,2,0
AXIS2-5748,19,20,12,0.7219280948873623
AXIS2-1703,18,2,2,0
AXIS2-1954,17,2,2,0
AXIS2-2685,16,2,2,0
AXIS2-3083,15,3,3,0
AXIS2-2357,15,2,2,0
AXIS2-5159,14,2,2,0
AXIS2-2431,13,2,2,0
AXIS2-1538,13,2,2,0
AXIS2-2352,13,2,2,0
AXIS2-5170,13,3,3,1
AXIS2-1829,12,2,2,0
AXIS2-3552,12,2,2,0
AXIS2-2643,10,2,2,0
AXIS2-3046,9,2,2,0
AXIS2-1644,8,2,2,0
AXIS2-968,8,2,2,0
AXIS2-4263,7,2,2,0
AXIS2-5489,6,2,2,0
AXIS2-1670,6,2,2,0
AXIS2-1917,6,2,2,0
AXIS2-2829,5,2,2,0
AXIS2-3441,4,2,2,0
AXIS2-2375,4,2,2,0
AXIS2-2279,3,2,2,0
AXIS2-1106,3,3,2,0.6193821946787638
AXIS2-3246,3,2,2,0
AXIS2-2695,2,2,2,0
AXIS2-4741,2,2,2,0
AXIS2-1222,2,2,2,0
AXIS2-4947,1,2,2,0
AXIS2-4174,1,2,2,0
