Key,LOC,NOF,NOP,Entropy
AXIS2-4072,3658,21,5,1
AXIS2-3341,3115,24,12,0.7896900821428474
AXIS2-1321,3077,33,17,0.8492491316340883
AXIS2-5959,2782,29,15,0
AXIS2-594,2646,7,2,0.9368209565333998
AXIS2-3677,2513,28,13,0.9312870632940388
AXIS2-115,2125,52,23,0.9454833752023216
AXIS2-2943,2056,33,20,0.8429270306306439
AXIS2-5792,2015,20,5,0
AXIS2-2170,1978,7,6,0.8841425345975926
AXIS2-3202,1894,21,10,0.9462651872218009
AXIS2-1460,1781,27,9,0.9603618281317006
AXIS2-956,1771,25,10,0.8399422696269545
AXIS2-2155,1669,24,12,0.8585510386123625
AXIS2-2744,1528,34,15,0.911320703841195
AXIS2-2209,1399,24,8,0.9272567674824752
AXIS2-2305,1370,14,6,0.9040071839000047
AXIS2-2310,1370,14,6,0.9040071839000047
AXIS2-2513,1355,17,11,0.8318625289860624
AXIS2-2045,1353,21,14,0.8353757373430148
AXIS2-1049,1182,3,3,0.7793498372920851
AXIS2-3805,1176,20,16,0.8609640474436812
AXIS2-1878,1164,15,8,0.8872709230753681
AXIS2-1984,1136,12,12,0.8151952254542424
AXIS2-5761,1127,51,17,1
AXIS2-3130,1124,5,5,0.9774178175281716
AXIS2-1457,1074,19,4,0
AXIS2-1225,1054,16,7,0.9055492221072879
AXIS2-3839,1020,5,4,0
AXIS2-4050,1020,5,4,0
AXIS2-3492,984,12,6,0.7896900821428474
AXIS2-1127,959,8,4,0.8583669446323491
AXIS2-1411,958,5,2,0
AXIS2-4668,923,16,8,0
AXIS2-1536,871,19,16,0.7839946350062817
AXIS2-4986,855,96,3,0
AXIS2-3500,850,45,44,0.9182958340544896
AXIS2-3671,850,15,8,0.8196715889498276
AXIS2-1434,847,6,3,0
AXIS2-4764,835,37,4,0.8745847873243198
AXIS2-2301,808,5,3,0
AXIS2-2870,799,2,2,0
AXIS2-5992,790,2,2,0
AXIS2-855,786,12,8,0.7860402055216443
AXIS2-666,760,6,3,0.9852281360342515
AXIS2-4733,750,5,5,0
AXIS2-5357,724,5,4,0
AXIS2-1602,717,10,4,0.9788076941202317
AXIS2-5672,713,21,19,0
AXIS2-4385,710,6,4,0
AXIS2-3702,688,11,6,0.9080986083502564
AXIS2-1652,687,13,5,0.9807239409418417
AXIS2-2107,687,15,11,0.9063874682590425
AXIS2-3567,686,6,4,0.859892960555857
AXIS2-2782,683,7,7,1
AXIS2-3666,665,8,7,0.9577601885250101
AXIS2-3814,644,10,5,0
AXIS2-1678,637,19,12,0.8901548191381239
AXIS2-4090,633,4,3,0
AXIS2-2524,630,4,3,0.5816718657178866
AXIS2-1675,620,6,6,0.936084710977641
AXIS2-1336,616,2,2,0
AXIS2-1051,611,12,4,0.7600391968754007
AXIS2-1799,608,17,11,0.7440323285867022
AXIS2-4034,607,12,9,0.8129072918469558
AXIS2-2026,576,9,6,0.8783358729015209
AXIS2-1223,566,11,7,0.828770774923555
AXIS2-1863,563,7,5,0
AXIS2-4202,557,7,5,0.846672431861481
AXIS2-3919,547,11,7,0.625418115623811
AXIS2-837,547,9,4,0.8070027314271101
AXIS2-4988,546,15,6,0.9999999999999999
AXIS2-1101,532,42,19,0.9840378538697792
AXIS2-4952,532,5,5,0
AXIS2-2968,524,13,9,0.8305041431187884
AXIS2-970,523,28,16,0.9417991535046183
AXIS2-343,514,19,7,0.9518612942388105
AXIS2-4393,512,13,9,0
AXIS2-2384,512,34,23,0.9212712133524713
AXIS2-4700,508,3,3,0
AXIS2-492,501,3,3,0
AXIS2-2273,495,7,2,0.9335511962842321
AXIS2-3672,494,38,25,0.9448830144586405
AXIS2-2317,493,16,7,0.8753515849858704
AXIS2-898,492,13,5,0.9763003097789544
AXIS2-3298,490,14,7,0.9609640474436811
AXIS2-2093,490,19,8,0.9463026572008187
AXIS2-4464,489,15,6,0
AXIS2-936,480,14,4,0
AXIS2-537,468,10,6,0.7614785590687048
AXIS2-400,468,10,6,0.7614785590687048
AXIS2-1599,462,4,3,0.4884931363139442
AXIS2-951,461,8,6,0.9616418592336476
AXIS2-819,453,12,3,0.9435515437414591
AXIS2-136,453,12,9,0.932766343981279
AXIS2-4603,445,6,4,0.9463946303571861
AXIS2-3780,441,7,5,0.8526434012285188
AXIS2-1844,439,4,3,0.8649735207179271
AXIS2-1741,429,10,9,0.8746469992728588
AXIS2-1578,428,5,3,0.9562716184481166
AXIS2-4862,426,6,4,0
AXIS2-1445,421,5,4,0.7879952943661932
AXIS2-4158,416,5,4,1
