Key,LOC,NOF,NOP,Entropy
CAMEL-17651,3951,4,4,0
CAMEL-4022,2658,41,5,0.9709505944546686
CAMEL-17579,2045,10,7,0.8112781244591328
CAMEL-2336,1242,22,5,0.8053814034987709
CAMEL-12871,852,4,3,0
CAMEL-11690,819,9,4,0
CAMEL-3448,664,10,8,0
CAMEL-9089,641,9,9,0
CAMEL-12120,639,10,6,1
CAMEL-879,623,14,6,0.8288713632524444
CAMEL-2360,613,11,6,0.9656642397714295
CAMEL-420,606,11,3,0.8243547363398304
CAMEL-885,593,28,16,0.9528501699758058
CAMEL-14303,568,10,10,0.8667775371761242
CAMEL-10238,559,7,5,0.9463946303571861
CAMEL-4925,554,14,10,0.8868595071429147
CAMEL-17588,513,6,6,0
CAMEL-11288,508,9,4,0.8322488896002307
CAMEL-16489,448,10,6,0.8912177319750975
CAMEL-12963,431,10,5,1
CAMEL-11299,423,12,11,0
CAMEL-1771,415,16,9,0.8546872648502408
CAMEL-9313,402,12,3,0
CAMEL-1463,399,13,9,0.8444732356037928
CAMEL-11266,397,8,5,0.8868595071429147
CAMEL-3141,394,10,9,0.6548575400562234
CAMEL-12610,370,10,5,0
CAMEL-16378,367,6,5,0.6840384356390417
CAMEL-10272,365,17,8,0
CAMEL-2642,332,5,4,1
CAMEL-3489,320,7,4,0
CAMEL-16082,311,10,8,0
CAMEL-17046,307,5,4,0.9182958340544896
CAMEL-12980,299,5,3,0
CAMEL-3133,297,8,5,0
CAMEL-13400,289,6,4,0
CAMEL-13092,280,4,3,0
CAMEL-9319,278,5,2,0
CAMEL-15928,275,12,3,0
CAMEL-4915,274,8,6,0
CAMEL-11111,267,5,4,0
CAMEL-13553,265,5,5,0
CAMEL-18130,259,5,4,0.8649735207179271
CAMEL-4959,255,8,7,0.9115339911368305
CAMEL-10964,254,7,4,0
CAMEL-15410,249,25,20,0.9708357627258161
CAMEL-2182,247,5,3,0
CAMEL-8227,247,7,5,0
CAMEL-5816,246,4,2,0
CAMEL-16707,235,11,6,0
CAMEL-15148,233,5,3,0.4394969869215134
CAMEL-8887,232,5,5,0
CAMEL-8163,231,5,4,0
CAMEL-9040,231,23,7,0.8866828800015338
CAMEL-4149,230,4,3,0
CAMEL-16932,228,7,3,0
CAMEL-9876,227,3,3,0
CAMEL-9935,221,7,7,0
CAMEL-11235,220,7,5,0
CAMEL-9872,216,11,9,0.810143416694102
CAMEL-8369,213,6,4,0
CAMEL-2854,211,15,10,1
CAMEL-9606,210,8,4,0
CAMEL-16938,205,10,8,0
CAMEL-5282,203,4,2,0
CAMEL-11947,203,5,3,1
CAMEL-12991,199,5,4,0
CAMEL-3271,197,5,3,0.9852281360342515
CAMEL-715,194,4,3,0
CAMEL-17440,193,7,4,0
CAMEL-16658,191,5,3,0
CAMEL-9094,191,3,2,0
CAMEL-8086,190,7,5,0
CAMEL-14126,186,5,5,0
CAMEL-10429,184,10,9,1
CAMEL-6093,183,6,4,0.8112781244591328
CAMEL-17702,183,3,3,0
CAMEL-12451,183,6,6,0.6913698302025113
CAMEL-5429,182,6,3,0.9141008920185651
CAMEL-6307,181,9,6,0.9681300137657637
CAMEL-13267,181,3,3,0
CAMEL-10442,180,3,3,0
CAMEL-9863,180,4,4,0
CAMEL-16776,177,7,5,0.9182958340544896
CAMEL-6752,175,4,3,0.9182958340544896
CAMEL-17602,175,4,2,0
CAMEL-2095,174,7,4,0.9182958340544896
CAMEL-3795,169,4,4,0
CAMEL-17723,169,10,7,0
CAMEL-1519,165,3,3,0
