Key,LOC,NOF,NOP,Entropy
CAMEL-10542,2725,63,51,0.8974830026404991
CAMEL-17018,2048,14,5,0.9940302114769564
CAMEL-16345,1676,5,4,0.9182958340544896
CAMEL-1759,1655,74,17,0.8928554667147293
CAMEL-1475,1514,64,22,0.8966749992226997
CAMEL-2614,1485,22,7,0.9463946303571861
CAMEL-10303,1450,30,5,1
CAMEL-15265,1400,3,3,0.6665783579949205
CAMEL-3352,1379,24,8,0.9182958340544896
CAMEL-1474,1378,30,13,0.9031167852848322
CAMEL-14492,1339,36,7,0.41381685030363374
CAMEL-1411,1334,47,26,0.8925633667826149
CAMEL-17426,1255,16,4,0.9999999999999999
CAMEL-14340,1156,27,11,0.633401919715365
CAMEL-3231,1101,3,3,0.9182958340544896
CAMEL-11229,1101,10,5,0
CAMEL-16594,1075,20,6,0
CAMEL-1498,1075,24,12,0.8435245705589983
CAMEL-8663,950,11,6,0.8194483718728034
CAMEL-15260,917,23,6,0.9277660221783315
CAMEL-10966,911,10,4,0
CAMEL-3497,893,15,10,0.5315700341263295
CAMEL-10564,889,9,7,0
CAMEL-3458,887,10,5,1
CAMEL-2972,885,21,8,0.9149418510694325
CAMEL-702,876,4,3,0
CAMEL-1095,875,14,4,0.8068878648351856
CAMEL-1093,875,14,4,0.8068878648351856
CAMEL-1107,875,14,4,0.8068878648351856
CAMEL-3001,870,20,13,0.660977049447032
CAMEL-5225,840,17,3,1
CAMEL-10139,833,11,10,0
CAMEL-1689,793,7,3,0.9018972358711527
CAMEL-1867,789,16,4,0.8996359450891609
CAMEL-1332,771,43,20,0.8877776078772504
CAMEL-1477,762,19,12,0.854582276410597
CAMEL-1849,759,12,7,0.9922150607220181
CAMEL-410,742,12,7,0.9211854965885542
CAMEL-2665,733,39,9,0.8772416680026791
CAMEL-4044,720,13,10,0.7431073768770278
CAMEL-4842,718,18,9,0.7725815508345927
CAMEL-3031,706,31,16,0.6734657497957477
CAMEL-18110,686,5,3,0
CAMEL-3295,681,8,4,0.9808340377961403
CAMEL-3398,681,8,4,0.9808340377961403
CAMEL-95,674,14,5,0.9736669121131954
CAMEL-14996,670,7,4,0
CAMEL-5456,670,21,9,0.8962406251802889
CAMEL-8358,666,10,5,0
CAMEL-8419,665,12,5,0
CAMEL-1663,665,22,8,0.4651611687168962
CAMEL-4754,661,23,9,0.9629610647945144
CAMEL-10090,656,20,11,0.8699155297736257
CAMEL-1566,656,10,3,1
CAMEL-9687,652,11,8,0
CAMEL-9890,640,24,3,0
CAMEL-1650,636,15,11,0.925633916873193
CAMEL-462,634,28,9,0.9651058715971922
CAMEL-5776,611,11,9,0
CAMEL-13272,589,17,13,0
CAMEL-1670,583,24,6,0.8549912206176893
CAMEL-4679,577,12,6,1
CAMEL-634,574,12,9,0.960058249314534
CAMEL-14980,572,12,5,0.8322488896002307
CAMEL-8742,571,10,4,0
CAMEL-11652,570,10,4,0
CAMEL-2054,570,25,11,0.8466506568175598
CAMEL-5041,566,17,11,0.8008753534264867
CAMEL-2058,564,16,10,0.9182958340544896
CAMEL-404,563,60,30,0.935000631673038
CAMEL-11455,557,10,7,0
CAMEL-11113,554,7,5,0.9709505944546686
CAMEL-10906,548,12,8,0.8962406251802889
CAMEL-16103,545,5,3,0
CAMEL-12728,541,15,11,0
CAMEL-15718,533,16,4,0
CAMEL-12748,528,8,7,0.9999999999999999
CAMEL-4938,524,11,9,0.9609640474436811
CAMEL-520,521,18,12,0.8047250880864268
CAMEL-16032,521,7,6,0.6500224216483541
CAMEL-3543,519,7,6,0.3372900666170139
CAMEL-5971,517,10,4,0.9591479170272447
CAMEL-15276,514,15,8,0
CAMEL-2991,512,63,17,0.6405400991131162
CAMEL-14132,499,14,3,0.9131152752688054
CAMEL-12210,499,17,5,0
CAMEL-6129,495,11,6,0.9141008920185651
CAMEL-2056,493,16,11,0.9642388260732417
CAMEL-11065,493,5,4,0
CAMEL-3971,489,20,7,0.7108566254246075
CAMEL-1930,486,6,3,0
CAMEL-4401,486,17,7,0.875
CAMEL-1621,483,20,6,0.39558971018639827
CAMEL-9680,483,10,6,0
CAMEL-14780,480,16,8,0.9609557933859342
CAMEL-3008,478,12,7,0.228901058347302
CAMEL-16734,476,16,8,0
CAMEL-2102,475,16,8,0.6500224216483541
CAMEL-1037,473,11,5,0.7750417625400196
CAMEL-2935,471,11,7,0.813468005906976
CAMEL-1878,467,12,5,0.863120568566631
CAMEL-12325,467,8,5,0.9182958340544896
CAMEL-9444,465,15,7,0.9182958340544896
CAMEL-8718,463,6,3,0.4689955935892812
CAMEL-16114,460,23,16,0
CAMEL-13491,458,8,5,0
CAMEL-2074,457,9,5,0.9056185178648962
CAMEL-7500,456,7,6,0
CAMEL-8356,454,4,4,0
CAMEL-192,452,11,8,0.8427376486136672
CAMEL-16490,448,10,6,0.8912177319750975
CAMEL-5837,447,4,4,0.9182958340544896
CAMEL-14503,439,5,2,0.39124356362925566
CAMEL-10490,436,7,4,0
CAMEL-1651,432,11,5,0.844460140830623
CAMEL-17813,431,12,7,0.8259513983541359
CAMEL-7627,428,5,5,0
CAMEL-6447,426,7,6,0.7219280948873623
CAMEL-6312,422,71,67,0.9365895289671656
CAMEL-8884,418,8,5,0
CAMEL-15450,418,5,4,0.9182958340544896
CAMEL-2559,417,8,6,0.8607727996741097
CAMEL-9442,417,9,6,0
CAMEL-1697,417,12,6,0.5471200665749122
CAMEL-383,416,15,3,0.913448184194601
CAMEL-12244,416,5,3,0
CAMEL-4184,415,10,6,0.9709505944546686
CAMEL-4484,414,13,6,0.9111886696810589
CAMEL-6818,413,8,5,1
CAMEL-7914,411,4,3,0
CAMEL-16550,410,13,8,0.4394969869215134
CAMEL-1548,408,22,14,0.9028290654840925
CAMEL-12842,406,10,6,0.9867699726190506
CAMEL-13718,405,10,7,0
CAMEL-9227,404,5,4,0
CAMEL-2741,402,18,9,0.8686981119630968
CAMEL-5321,401,4,4,0
CAMEL-2758,400,6,5,0.9182958340544896
CAMEL-15822,398,8,5,0
CAMEL-1053,396,18,7,0.9182958340544896
CAMEL-5222,395,15,7,0.9484503122074789
CAMEL-3143,393,12,9,0
CAMEL-6004,392,6,4,0.9182958340544896
CAMEL-5215,389,10,5,0.9602297178607611
CAMEL-3174,388,15,8,0.7156983874268946
CAMEL-11769,386,4,3,1
CAMEL-15316,386,6,3,0
CAMEL-10409,381,10,5,0
CAMEL-12200,380,5,5,0
CAMEL-1187,380,9,4,0.7725068857142601
CAMEL-6352,379,9,4,0
CAMEL-5948,375,3,3,0
CAMEL-1144,370,7,6,0.9232196723355077
CAMEL-524,366,11,6,0.7259201164478353
CAMEL-2188,363,7,3,0
CAMEL-12973,361,8,3,0
CAMEL-1467,361,7,2,1
CAMEL-1749,359,7,4,0
CAMEL-8688,359,17,10,1
CAMEL-5058,359,6,4,0.7958363892911637
CAMEL-1461,358,7,4,0.9189900464321512
CAMEL-2824,356,10,6,0.5276803283309673
CAMEL-2716,355,25,10,0.7037722271278171
CAMEL-1074,353,7,5,0
CAMEL-2495,345,9,5,1
CAMEL-4047,342,15,10,0.9670771152510133
CAMEL-96,341,8,4,0.7896900821428474
CAMEL-6130,341,5,4,0.9182958340544896
CAMEL-13770,338,19,17,0
CAMEL-80,338,7,3,0.988762155916294
CAMEL-9972,338,13,10,0
CAMEL-12888,335,15,4,0
CAMEL-9918,335,7,4,0.4689955935892812
CAMEL-12551,335,5,3,0
CAMEL-4877,333,6,4,0
CAMEL-3377,333,21,6,0
CAMEL-10849,330,8,5,0.9605581434265923
CAMEL-11293,330,10,8,0
CAMEL-10383,329,7,5,0.6500224216483541
CAMEL-1618,329,19,11,0.9434698216476284
CAMEL-1585,328,15,10,0.8810661348619361
