Key,LOC,NOF,NOP,Entropy
CB-4373,706,9,7,0.800277645677261
CB-4373,706,9,7,0.8002776456772608
CB-10670,696,5,3,0
CB-4078,465,2,2,0
CB-391,444,6,2,0.47921530664128364
CB-4198,424,2,2,0
CB-7862,398,3,3,0.8112781244591328
CB-9297,346,3,3,0.9544340029249649
CB-517,261,2,2,0
CB-4858,255,3,3,0.6500224216483541
CB-10554,213,6,4,0.9182958340544896
CB-8115,192,6,4,0.5713619478607342
CB-12542,189,3,2,0
CB-9365,165,3,3,0
CB-7735,154,2,2,0
CB-13830,147,4,4,0
CB-5308,145,3,3,0.863120568566631
CB-7735,135,2,2,0
CB-9987,134,8,3,0
CB-8235,131,2,2,0
CB-7291,125,8,3,0.920619835714305
CB-6050,122,3,3,0
CB-10384,121,2,2,0
CB-7291,114,8,3,0.9821410328348751
CB-877,111,3,2,0
CB-10120,107,2,2,0
CB-5488,99,2,2,0
CB-2963,97,3,3,0.7219280948873623
CB-993,96,4,3,0.228538143953528
CB-9975,94,5,4,0
CB-5359,94,3,3,0
CB-11447,92,6,5,0
CB-10432,87,3,3,0
CB-10577,86,5,4,0.9463946303571861
CB-9840,84,3,3,0
CB-10574,77,2,2,0
CB-11478,75,3,3,0
CB-752,74,3,2,0
CB-96,73,3,3,0
CB-49,72,5,2,0.7793498372920851
CB-54,72,4,3,0.8702290979524682
CB-3747,71,2,2,0
CB-3435,66,4,3,0.8292439007914474
CB-10535,63,3,3,0.7219280948873623
CB-7674,62,5,5,0.9463946303571861
CB-7674,60,5,5,0.9463946303571861
CB-683,59,3,3,0.9456603046006401
CB-4732,59,9,3,0.9999999999999999
CB-683,58,3,3,0.9952525494396791
CB-941,58,3,2,0.9709505944546686
CB-9189,56,2,2,0
CB-12766,56,13,9,0.7755490855036323
CB-5359,53,2,2,0
CB-5389,52,3,2,0.9494520153879485
CB-10696,51,3,3,0
CB-8180,48,2,2,0
CB-11505,48,3,2,0
CB-10795,48,2,2,0
CB-3504,47,3,2,0
CB-7947,45,4,2,0.8112781244591328
CB-8947,42,3,3,0
CB-543,41,4,2,0
CB-10562,41,3,2,0
CB-1405,38,2,2,0
CB-1468,36,2,2,0
CB-339,36,2,2,0
CB-3029,36,2,2,0
CB-683,34,4,4,0.8325252476189534
CB-520,33,2,2,0
CB-3949,32,2,2,0
CB-9000,32,3,3,0.9709505944546686
CB-11497,32,2,2,0
CB-10694,32,3,3,0.9182958340544896
CB-10694,32,3,3,0.9182958340544896
CB-10965,30,3,3,0.9709505944546686
CB-10965,30,3,3,0.9709505944546686
CB-6050,29,2,2,0
CB-10600,29,4,3,0
CB-221,27,2,2,0
CB-10171,27,3,3,1
CB-11640,26,2,2,0
CB-11698,25,3,3,0
CB-11975,25,3,3,0
CB-8993,25,4,2,0.8342022886441013
CB-5291,24,2,2,0
CB-3453,24,2,2,0
CB-10691,24,2,2,0
CB-7602,24,3,3,0
CB-12141,23,2,2,0
CB-2391,22,2,2,0
CB-3324,21,2,2,0
CB-3064,21,4,2,0.863120568566631
CB-11200,21,2,2,0
CB-2093,20,2,2,0
CB-13394,20,2,2,0
CB-4521,20,2,2,0
CB-10563,20,2,2,0
CB-9428,19,2,2,0
CB-2649,19,2,2,0
CB-6837,19,3,2,0
CB-6837,18,3,2,0
CB-9844,17,2,2,0
CB-4343,17,3,3,0.5435644431995964
CB-12785,17,2,2,0
CB-13870,17,3,3,0
CB-387,17,2,2,0
CB-8007,17,3,3,0
CB-1960,17,2,2,0
CB-1856,17,2,2,0
CB-5202,16,2,2,0
CB-7131,16,2,2,0
CB-5118,16,3,2,0
CB-9446,15,2,2,0
CB-5579,14,5,3,0.8527924884900403
CB-11150,14,3,3,0
CB-5579,14,5,3,0.8527924884900403
CB-11078,14,3,3,0
CB-3947,14,2,2,0
CB-1290,13,2,2,0
CB-6761,13,2,2,0
CB-10414,13,2,2,0
CB-6761,13,2,2,0
CB-10274,12,3,3,0
CB-4586,12,2,2,0
CB-4620,12,3,3,0
CB-12766,12,3,3,0
CB-12088,12,2,2,0
CB-6979,12,2,2,0
CB-236,12,2,2,0
CB-1296,11,2,2,0
CB-1128,11,2,2,0
CB-509,11,3,2,0.9967916319816366
CB-9133,10,2,2,0
CB-8026,10,2,2,0
CB-14039,10,2,2,0
CB-2963,9,2,2,0
CB-2408,9,2,2,0
CB-10204,9,2,2,0
CB-9865,8,2,2,0
CB-3750,8,2,2,0
CB-11410,8,2,2,0
CB-1101,8,2,2,0
CB-6863,8,2,2,0
CB-3064,8,2,2,0
CB-11376,8,2,2,0
CB-751,8,2,2,0
CB-10862,7,2,2,0
CB-10799,7,2,2,0
CB-864,7,2,2,0
CB-10631,7,2,2,0
CB-11178,7,2,2,0
CB-11164,7,3,3,1
CB-2845,6,2,2,0
CB-14048,6,2,2,0
CB-5648,6,2,2,0
CB-9080,6,3,2,1
CB-4090,6,2,2,0
CB-5648,6,2,2,0
CB-5209,6,3,2,1
CB-14234,5,2,2,0
CB-1499,5,2,2,0
CB-11248,4,2,2,0
CB-1879,4,2,2,0
CB-300,4,2,2,0
CB-12277,4,2,2,0
CB-4984,4,2,2,0
CB-9693,4,2,2,0
CB-497,4,2,2,0
CB-10118,4,2,2,0
CB-11730,4,2,2,0
CB-5139,4,2,2,0
CB-4984,4,2,2,0
CB-7906,4,2,2,0
CB-14008,4,3,2,0
CB-11200,3,2,2,0
CB-9068,3,2,2,0
CB-163,3,2,2,0
CB-1879,3,2,2,0
CB-10964,3,2,2,0
CB-8993,3,2,2,0
CB-10964,3,2,2,0
CB-2089,3,2,2,0
CB-7677,2,2,2,0
CB-11287,2,2,2,0
CB-10086,2,2,2,0
CB-2691,2,2,2,0
CB-760,2,2,2,0
CB-2595,2,2,2,0
