Key,LOC,NOF,NOP,Entropy
CB-7143,9806,67,35,0
CB-4341,7599,42,15,0.964078764808229
CB-4341,7599,42,15,0.964078764808229
CB-13055,5166,38,15,0.8889155286413309
CB-9328,4618,48,17,0
CB-3542,4548,19,6,0.3730666496099351
CB-9462,4378,36,20,0
CB-984,4264,59,26,0
CB-383,3552,2,2,0
CB-13478,2996,11,8,0
CB-9967,2928,34,18,0
CB-12870,2516,17,9,0.8588980340728629
CB-7190,2502,8,4,0.9852281360342515
CB-12887,2495,33,7,0
CB-4259,2247,27,15,0.9463946303571861
CB-4292,2114,8,3,0
CB-8206,2110,7,4,0
CB-10419,2051,5,4,1
CB-3193,2050,18,6,0.9609640474436811
CB-10975,1641,4,3,0.8194483718728034
CB-4508,1589,16,16,0
CB-8125,1430,2,2,0
CB-5066,1156,6,5,0.8721388096468456
CB-5066,1156,6,5,0.8721388096468456
CB-10519,1100,15,3,0.8795613133100021
CB-7937,1051,5,2,0
CB-2344,915,2,2,0
CB-8056,910,6,4,0.8699155297736257
CB-11073,884,6,4,0
CB-6428,853,6,3,0.940399911317696
CB-2094,832,2,2,0
CB-8707,825,2,2,0
CB-3993,824,8,5,0.920619835714305
CB-1000,808,11,4,0.8024915808261326
CB-6859,738,13,10,0.9749805925259595
CB-11022,738,9,7,0.8284915254038179
CB-8642,709,11,6,0.9400664543100068
CB-10994,696,5,3,0
CB-7378,682,3,3,0
CB-11936,670,3,3,0.8112781244591328
CB-3960,630,4,2,0.5916727785823274
CB-14108,614,7,5,0.9874687506009635
CB-2299,604,33,5,0.9242040994338337
CB-2299,604,33,5,0.9242040994338337
CB-3739,600,5,4,0
CB-6357,593,4,4,0.5008798942445515
CB-6357,591,3,3,0.30337483608641397
CB-9883,581,7,5,0
CB-347,570,7,2,0.42628927731785154
CB-4789,560,18,7,0.8436984683609965
CB-13210,557,3,3,1
CB-330,556,7,2,0.7091479170272448
CB-8508,547,7,3,0.9463946303571861
CB-4202,544,7,3,1
CB-902,541,3,2,0.9709505944546686
CB-3741,541,11,7,0.9111886696810589
CB-4432,540,11,2,1
CB-4774,539,17,5,0.9048845074889684
CB-4774,539,17,5,0.9048845074889684
CB-8095,528,3,3,0.8112781244591328
CB-7938,508,4,3,1
CB-12197,507,16,10,0
CB-5602,501,2,2,0
CB-5647,497,32,7,0.9541913792360537
CB-7827,484,4,4,0
CB-8808,484,2,2,0
CB-7663,473,5,3,0
CB-4976,467,21,5,0.8307185605345058
CB-4976,467,21,5,0.8307185605345057
CB-9569,455,5,5,0
CB-5330,450,7,3,0.9253826944330393
CB-5330,450,7,3,0.9253826944330393
CB-4273,449,15,3,0.9361871529449585
CB-4273,449,15,3,0.9361871529449585
CB-4618,418,11,6,0.9999999999999999
CB-4618,418,11,6,0.9999999999999999
CB-7350,413,2,2,0
CB-4432,412,12,7,0
CB-8390,410,10,6,0.9496948374471971
CB-6462,408,17,3,0.9808129492450846
CB-5782,402,17,3,0.8665442106349183
CB-5782,402,17,3,0.8665442106349183
CB-6105,401,17,3,0.9780284727430573
CB-9948,398,3,3,0
CB-9235,396,8,4,0.7743974703476992
CB-8286,391,3,2,0.8112781244591328
CB-13877,391,4,3,0.8699155297736257
CB-10986,390,12,5,0.7896900821428474
CB-2276,390,11,2,0.7686421250028745
CB-11625,382,3,2,0
CB-7091,382,13,4,0.9290135574472758
CB-7429,381,6,4,0
CB-9831,374,7,5,0
CB-10450,371,2,2,0
CB-10451,371,2,2,0
CB-10454,371,2,2,0
CB-13237,371,6,4,0
CB-10452,371,2,2,0
CB-13829,369,5,4,0
CB-13145,356,12,6,0
CB-7767,354,7,3,0.9755037590061086
CB-10308,352,12,6,0.9463946303571861
CB-7078,348,4,4,0.6500224216483541
CB-13112,348,10,6,0.9999999999999999
CB-4847,348,2,2,0
CB-9654,342,14,11,0
CB-9581,341,5,2,0.9709505944546686
CB-8799,341,8,4,0.8046592875156725
CB-10622,331,11,8,0.8284915254038179
CB-3284,329,14,5,0.9503991401526111
CB-3284,329,14,5,0.9503991401526112
CB-5466,325,4,3,0
CB-10646,321,6,6,0
CB-2652,316,4,2,0.9463946303571861
CB-9563,314,4,4,0.7725068857142601
CB-6776,311,19,5,0.9460312608712741
CB-7056,311,3,3,0.8812908992306927
CB-5063,310,16,5,0.8396609961962863
CB-5063,310,16,5,0.8396609961962864
CB-7452,310,5,2,0.7298466991620974
CB-10438,306,20,16,1
CB-828,305,2,2,0
CB-5647,302,20,5,0.9443220091600159
CB-10048,294,3,3,0
CB-4153,291,11,6,0.9645409282095243
CB-4153,291,11,6,0.9645409282095241
CB-2389,290,4,2,0.6962122601251459
CB-11933,289,6,5,0.9182958340544896
CB-6109,287,13,5,0.9708357627258161
CB-6109,287,13,5,0.9708357627258161
CB-6525,286,14,4,0.9005676218481093
CB-9743,282,7,6,0.9162695888499091
CB-12170,280,9,5,0.9463946303571861
CB-11623,279,3,2,0.9798687566511528
CB-8987,274,3,3,0
CB-8423,274,2,2,0
CB-1291,271,2,2,0
CB-8954,271,4,3,0
CB-1756,270,4,4,0
CB-9972,268,10,3,1
CB-2901,261,12,3,0.9849735207179271
CB-5006,258,8,3,0.8530529551042559
CB-11811,258,3,2,0
CB-2271,256,7,3,0.8759736501723191
CB-8351,255,13,2,0.9401204074720739
CB-6049,247,4,3,0
CB-6049,247,4,3,0
CB-4421,244,3,3,0
CB-3415,238,3,3,0
CB-10977,236,3,2,0
CB-8754,235,6,5,0.5066818470208005
CB-2279,233,2,2,0
CB-5125,232,7,3,0
CB-5125,232,7,3,0
CB-9159,230,4,3,0.9182958340544896
CB-2387,228,2,2,0
CB-1304,228,13,3,1
CB-5102,228,2,2,0
CB-4027,228,2,2,0
CB-6272,227,18,11,0
CB-6272,227,18,11,0
CB-7863,227,5,3,0
CB-8876,225,4,4,0
CB-9872,224,2,2,0
CB-8943,222,2,2,0
CB-4180,221,3,2,0
CB-4871,221,18,9,0.7071771886124144
CB-4563,219,3,3,1
CB-6162,218,4,3,0
CB-6162,218,4,3,0
CB-8623,211,7,2,0.9609640474436811
CB-4871,210,12,5,0.5645852186366894
CB-5006,207,5,2,0.7896900821428474
CB-9238,207,3,3,0
CB-7044,206,3,2,0
CB-9119,203,4,2,0
CB-482,202,2,2,0
CB-8285,199,4,4,0.5032583347756457
CB-2698,199,3,2,0
CB-5971,196,3,3,0
CB-11022,196,4,4,0
CB-604,196,5,3,0
CB-7109,195,2,2,0
CB-5647,195,14,5,0.9651412900934386
CB-4077,195,9,4,0.8713063366018737
CB-3992,192,2,2,0
CB-9426,192,3,3,0
CB-10048,190,2,2,0
CB-10057,190,2,2,0
CB-2905,189,3,2,0.7219280948873623
CB-11022,189,4,4,0.9602297178607611
CB-2219,189,6,3,0.9646872283675246
CB-2219,189,6,3,0.9646872283675247
CB-5025,189,3,2,0
CB-3183,188,5,3,0.5446150394212924
CB-4797,188,2,2,0
CB-3183,188,5,3,0.5446150394212924
CB-5040,188,4,3,0
CB-4797,188,2,2,0
CB-3783,187,2,2,0
CB-8793,186,3,3,0
CB-4765,186,3,2,0
CB-8298,184,3,3,0
CB-7253,184,6,3,0
CB-4474,183,3,2,0
CB-9675,182,2,2,0
CB-6928,181,7,6,0.8292439007914474
CB-665,180,2,2,0
CB-11541,179,4,3,0
CB-4809,179,5,3,0.8218581474643061
CB-4809,179,5,3,0.821858147464306
CB-1182,178,7,3,0.753333479941888
CB-12197,177,6,5,0
CB-11022,177,4,3,0.9999999999999999
CB-6124,174,3,3,0
CB-6124,174,3,3,0
CB-9219,173,2,2,0
CB-2896,172,4,2,0.7219280948873623
CB-5602,172,3,3,0
CB-12029,172,4,2,0
CB-11496,171,3,3,0
CB-8053,168,3,3,0
CB-12941,168,2,2,0
CB-2587,168,5,2,0
CB-11066,166,4,4,0
CB-6013,166,7,2,0
CB-2220,165,3,2,0.39124356362925566
CB-4077,165,7,4,0.8829254841759517
CB-12517,164,6,3,0.9463946303571861
CB-5761,164,7,3,0
CB-4763,163,3,2,0
CB-4763,163,3,2,0
CB-7606,163,6,3,0.9463946303571861
CB-4847,162,2,2,0
CB-3530,161,4,3,0
CB-6148,161,2,2,0
CB-11177,160,3,3,0.9709505944546686
CB-9588,159,5,5,0.9609640474436811
CB-588,158,12,7,0.9232129925639653
CB-6341,156,4,3,0
CB-10428,155,2,2,0
CB-540,155,8,4,1
CB-3020,155,2,2,0
CB-6116,154,2,2,0
CB-4519,153,2,2,0
CB-8354,153,3,3,0.9910760598382222
CB-6695,153,2,2,0
CB-6466,152,3,3,0
CB-10319,152,3,2,0
