Key,LOC,NOF,NOP,Entropy
DRILL-1436,7909,63,29,0.9999999999999999
DRILL-2613,3764,20,8,0
DRILL-2465,3190,5,4,0
DRILL-7450,2987,58,27,0
DRILL-2998,2673,15,5,0
DRILL-7825,2204,9,6,0
DRILL-4203,1907,24,13,0
DRILL-1735,1903,31,12,0.7977138816287502
DRILL-6453,1889,19,5,0
DRILL-4735,1587,24,14,0
DRILL-991,1529,37,23,0.9449101318535026
DRILL-7388,1215,31,9,0
DRILL-1781,1093,46,32,0.8810960362596493
DRILL-3579,1051,11,7,0.948769510358905
DRILL-3243,1027,17,8,0
DRILL-5809,921,14,9,0.9825675930733634
DRILL-2851,865,12,6,0
DRILL-2545,863,30,10,0
DRILL-1339,791,19,9,0.9463946303571861
DRILL-2757,784,38,27,1
DRILL-3198,783,6,4,0.8649735207179271
DRILL-1957,701,20,8,0
DRILL-600,490,20,8,0
DRILL-2463,453,6,5,0
DRILL-931,419,9,8,0.9612366047228759
DRILL-5039,396,5,5,0
DRILL-884,395,28,16,0.9628393925141171
DRILL-939,393,26,18,0.9345073534018409
DRILL-2408,391,9,6,1
DRILL-8227,352,3,3,0
DRILL-2128,349,3,3,0
DRILL-1651,343,4,3,0
DRILL-2611,323,16,5,1
DRILL-7471,322,10,7,0.9591479170272448
DRILL-5771,322,16,9,1
DRILL-3714,314,8,2,0
DRILL-2932,314,16,14,0.9463946303571861
DRILL-7476,267,10,9,0
DRILL-2598,265,4,3,0
DRILL-6865,263,7,3,0
DRILL-1980,255,10,6,0
DRILL-2461,251,3,3,0
DRILL-1597,249,5,3,0.9544340029249649
DRILL-2069,240,4,4,0.8699155297736257
DRILL-6125,234,4,4,0
DRILL-3449,227,4,3,1
DRILL-623,222,8,6,0.9179887045038184
DRILL-1673,218,8,7,1
DRILL-6606,212,3,3,0
DRILL-521,207,7,6,0.8342996668766971
DRILL-6603,203,9,7,0
DRILL-2326,196,5,4,0
DRILL-5140,192,4,4,0
DRILL-1605,189,4,4,0
DRILL-1325,187,8,5,0
DRILL-1457,187,6,5,0
DRILL-2503,172,5,3,0.9463946303571861
DRILL-2092,170,9,5,0.9528195311147831
DRILL-7484,168,2,2,0
DRILL-6374,164,9,7,0
DRILL-3196,163,3,3,0
DRILL-2385,152,8,4,0
DRILL-3739,147,9,5,0.9629610647945144
DRILL-2422,147,6,4,0.9697238998682473
DRILL-1889,135,5,5,0
DRILL-3743,133,3,2,0
DRILL-2292,128,4,3,0
DRILL-148,127,3,2,0
DRILL-7628,123,6,3,0.9999999999999999
DRILL-2181,123,3,3,0
DRILL-1752,119,7,3,0
DRILL-2366,118,7,4,0
DRILL-6019,117,2,2,0
DRILL-4474,113,3,3,0
DRILL-3347,110,7,6,1
DRILL-4384,109,4,3,0
DRILL-6913,107,2,2,0
DRILL-1692,102,2,2,0
DRILL-5541,98,4,2,0
DRILL-4467,97,4,4,0
DRILL-754,96,4,3,0.9947372378779499
DRILL-2038,94,4,3,0
DRILL-2439,93,3,3,0
DRILL-1460,91,8,8,0.896240625180289
DRILL-7440,91,5,5,0.9182958340544896
DRILL-2811,90,4,3,0
DRILL-4441,81,7,6,0.7896900821428474
DRILL-1112,80,3,3,0.9910760598382222
DRILL-3668,80,9,5,0.9655982801163768
DRILL-1114,78,5,5,0.7642045065086203
DRILL-1015,77,4,4,0.5916727785823274
DRILL-2031,75,5,5,0
DRILL-6696,74,3,3,0
DRILL-5365,74,4,3,0.9999999999999999
DRILL-2342,72,6,5,0
DRILL-925,71,4,3,0
DRILL-1899,71,4,3,0
DRILL-6919,67,4,3,0
DRILL-1988,66,5,4,0.9591479170272448
DRILL-2311,63,3,3,0
DRILL-6922,61,5,5,0
DRILL-1488,60,8,7,0.6567045482143385
DRILL-2197,58,3,3,0
DRILL-1051,53,3,3,0
DRILL-6912,52,3,3,0
DRILL-2010,50,3,2,0
DRILL-2375,49,7,5,0
DRILL-1555,49,3,3,0
DRILL-7166,44,3,3,1
DRILL-2180,44,3,3,1
DRILL-55,44,3,3,0
DRILL-2049,43,8,7,0
DRILL-6783,41,3,3,0
DRILL-1897,40,4,4,0
DRILL-3292,39,3,3,0
DRILL-1500,39,6,5,0
DRILL-1545,39,3,3,0
DRILL-4128,39,3,3,0
DRILL-7076,36,4,4,0.9182958340544896
DRILL-3204,35,3,3,0.9182958340544896
DRILL-1690,35,2,2,0
DRILL-7160,34,3,3,1
DRILL-1410,33,6,6,0
DRILL-2567,33,3,3,0
DRILL-1435,31,2,2,0
DRILL-2053,29,3,3,0
