Key,LOC,NOF,NOP,Entropy
DRILL-835,7990,23,6,0.9999999999999996
DRILL-875,7990,23,6,0.9999999999999996
DRILL-2245,7704,93,39,0.9725881732291829
DRILL-2489,7168,20,5,1
DRILL-3216,5317,10,7,0
DRILL-332,4934,44,19,0
DRILL-1052,4633,10,5,0.9708660731346884
DRILL-1062,4534,40,27,1
DRILL-356,4264,38,17,0.9509666061678888
DRILL-5546,4194,81,48,0.983471354313166
DRILL-1517,4038,95,39,0.945624794258376
DRILL-5419,4009,79,28,1
DRILL-335,3201,46,22,0.9730144177735708
DRILL-4994,3107,26,12,1.0000000000000002
DRILL-98,3059,25,9,0.9874687506009635
DRILL-1585,3021,10,5,0
DRILL-4369,2933,19,11,0
DRILL-2762,2772,45,26,1
DRILL-1350,2691,42,18,0.9463946303571861
DRILL-760,2495,21,5,0.7896900821428474
DRILL-7502,2420,53,26,0
DRILL-619,2413,21,10,0.9999999999999999
DRILL-2006,2387,40,28,1
DRILL-2521,2347,10,3,0
DRILL-2573,2327,14,5,0.9462651872218009
DRILL-3079,2167,14,7,0.9591479170272448
DRILL-357,2153,27,14,1
DRILL-2565,2118,9,3,1
DRILL-7441,2068,45,26,0
DRILL-1960,2006,66,27,0.9795193359563683
DRILL-399,2002,16,14,0.9697238998682473
DRILL-5963,1983,12,8,0
DRILL-2769,1961,10,3,1
DRILL-7456,1892,48,32,1
DRILL-5,1843,24,6,0.809656833416415
DRILL-933,1838,97,24,0.9520517723203753
DRILL-4184,1783,58,24,0.9068329178362734
DRILL-1774,1732,26,11,0.8173454221465102
DRILL-76,1726,35,11,0
DRILL-4028,1627,55,19,0.9463946303571861
DRILL-3333,1579,19,13,0
DRILL-7858,1523,19,4,1
DRILL-2447,1518,4,4,0.7642045065086203
DRILL-6168,1501,47,33,1.0000000000000002
DRILL-3503,1498,11,5,0.9182958340544896
DRILL-4925,1495,19,10,0
DRILL-5941,1495,22,9,0.9463946303571861
DRILL-2847,1490,30,15,0.9999999999999999
DRILL-2940,1490,30,15,0.9999999999999999
DRILL-2184,1456,3,3,0
DRILL-7436,1443,38,26,0.8824252235446576
DRILL-4139,1401,7,4,0
DRILL-4119,1398,14,5,0
DRILL-91,1398,17,5,0.9160490374553372
DRILL-4257,1306,11,8,0.9463946303571861
DRILL-6242,1305,44,27,0
DRILL-6255,1302,20,11,0
DRILL-748,1276,8,4,0.9602297178607611
DRILL-7926,1227,7,5,0
DRILL-2936,1177,23,8,0
DRILL-3010,1174,23,14,0
DRILL-2288,1158,40,24,0
DRILL-1885,1158,19,9,0.9009394438027233
DRILL-728,1148,41,5,0.9483233336639151
DRILL-271,1132,20,10,0.8613531161467861
DRILL-735,1128,12,4,0.703462221464487
DRILL-6670,1125,9,6,0.9999999999999999
DRILL-1058,1120,25,12,0.8683469679334733
DRILL-4720,1108,18,8,0
DRILL-5547,1096,39,23,0
DRILL-2923,1086,21,15,0
DRILL-6187,1067,23,15,0
DRILL-7868,1062,22,12,0.9657159188666052
DRILL-5660,1062,14,5,0
DRILL-2959,1040,16,7,0
DRILL-5701,1033,22,12,0.9609640474436811
DRILL-7306,1026,46,23,1
DRILL-491,1009,37,18,0.9564056931197176
DRILL-2755,996,45,25,0.9351837734578559
DRILL-2207,990,13,10,1
DRILL-5694,990,31,21,0.9463946303571861
DRILL-4963,985,25,18,0.9999999999999999
DRILL-1869,984,7,4,0
DRILL-854,982,9,5,0
DRILL-7181,978,36,15,0
DRILL-8086,973,24,13,0.9283832117695864
DRILL-7021,973,8,4,0
DRILL-4715,962,55,38,0.9602297178607611
DRILL-385,961,17,9,0.9713256910609175
DRILL-1252,929,18,11,0
DRILL-2826,929,98,55,0
DRILL-2903,913,19,12,0.9999999999999999
DRILL-2848,913,42,27,0.9609640474436811
DRILL-6459,907,10,7,0
DRILL-7439,903,23,19,0.8288713632524445
DRILL-4237,900,15,4,0
DRILL-4478,900,15,4,0
DRILL-77,895,9,3,0.9664022887695612
DRILL-5375,894,19,10,0
DRILL-5721,885,13,9,0.9629610647945144
DRILL-1329,883,40,26,0.9807239409418419
DRILL-2886,863,30,10,0
DRILL-2971,863,30,10,0
DRILL-865,850,19,15,0.9695703501901249
DRILL-5971,846,8,5,0
DRILL-5830,846,24,15,0.9182958340544896
DRILL-6810,841,18,10,0
DRILL-2304,815,16,7,1
DRILL-5284,814,24,10,0
DRILL-6307,807,7,6,0.9602297178607611
DRILL-1171,804,11,5,0
DRILL-1342,804,11,5,0
DRILL-5032,804,24,10,0.9609640474436811
DRILL-4291,796,13,9,0
DRILL-2961,785,13,4,0
DRILL-1389,778,9,4,0.8576611402529865
DRILL-274,743,35,23,0.9805514616346384
DRILL-4382,724,80,47,0
DRILL-806,720,3,2,0
DRILL-751,720,3,2,0
DRILL-7237,700,10,5,0
DRILL-935,693,25,16,0.9772091992791905
DRILL-6997,691,8,6,0.9182958340544896
DRILL-1309,677,29,20,1
DRILL-3033,669,22,14,1
DRILL-7351,666,20,6,0
DRILL-5819,659,10,9,0
DRILL-556,646,9,5,0
DRILL-3177,643,8,3,0
DRILL-6410,622,4,4,0
DRILL-2714,618,13,4,0
DRILL-6762,614,23,15,0
DRILL-3581,611,73,44,0.9361948638282203
DRILL-2670,604,11,3,0
DRILL-4858,601,7,6,0
DRILL-8085,598,21,18,1
DRILL-4982,596,6,3,0
DRILL-6631,594,4,3,0
DRILL-6496,580,32,17,0.9182958340544896
DRILL-7790,579,18,11,0.9999999999999999
DRILL-7373,576,12,9,0
DRILL-5130,565,7,6,0
DRILL-6431,564,18,11,1
DRILL-61,560,9,7,0
DRILL-672,557,7,3,0
DRILL-6524,553,11,8,0
DRILL-4120,548,20,13,0
DRILL-7424,544,10,7,0
DRILL-5207,543,13,7,0.8649735207179271
DRILL-33,538,11,3,0
DRILL-2782,533,6,3,0
