Key,LOC,NOF,NOP,Entropy
FLINK-15706,8627,15,2,0
FLINK-14694,6736,14,2,0
FLINK-1952,4164,27,7,0
FLINK-21929,3571,2,2,0
FLINK-18071,2974,31,10,0.9602297178607611
FLINK-15247,2580,16,6,0.9741108952988204
FLINK-21445,2469,18,9,0
FLINK-14382,2426,24,11,0
FLINK-19653,2337,13,4,0
FLINK-8230,2277,9,4,0
FLINK-7153,2254,33,9,0.9999999999999999
FLINK-15758,2111,26,13,0.9999999999999999
FLINK-1535,2096,54,38,0.9825675930733633
FLINK-18934,2092,73,22,0.9463946303571861
FLINK-13494,1995,67,14,0.9951514340065969
FLINK-5048,1720,14,8,0.9999999999999999
FLINK-27399,1654,41,19,0
FLINK-22276,1646,16,9,0.9999999999999999
FLINK-17073,1457,38,8,0.9609640474436811
FLINK-1396,1363,49,28,0
FLINK-20145,1362,7,6,0
FLINK-21979,1342,18,10,1
FLINK-6783,1304,18,10,0.9755037590061086
FLINK-1628,1283,13,6,0
FLINK-11727,1282,10,4,0
FLINK-15911,1278,46,25,0.9471265725180565
FLINK-21627,1273,54,20,0.8868595071429147
FLINK-15728,1269,23,9,0
FLINK-15168,1251,19,18,0.9755037590061085
FLINK-1278,1249,14,8,0.9591479170272447
FLINK-6612,1245,10,7,1
FLINK-21030,1238,12,8,0.8699155297736257
FLINK-17800,1224,20,5,0
FLINK-610,1185,26,9,0.9629610647945144
FLINK-10309,1167,23,15,0.9709505944546686
FLINK-3466,1139,30,13,1.0000000000000002
FLINK-20654,1128,29,13,0.9463946303571861
FLINK-7880,1119,8,3,1
FLINK-9925,1112,4,3,0
FLINK-18461,1081,13,7,0
FLINK-8715,1079,22,6,0.9609640474436811
FLINK-13314,1077,8,5,0.9182958340544896
FLINK-3368,1068,13,8,0.9182958340544896
FLINK-22376,980,34,16,0
FLINK-2361,973,13,7,0
FLINK-20370,972,15,13,0.9463946303571861
FLINK-20006,943,5,2,0
FLINK-25943,902,18,9,0
FLINK-1249,899,15,10,1
FLINK-19154,875,22,7,0
FLINK-7968,873,59,18,0
FLINK-6578,842,11,4,0.9732146334251459
FLINK-21817,841,17,8,0
FLINK-17626,823,29,19,0
FLINK-18094,813,35,8,0
FLINK-23875,812,10,5,0
FLINK-13708,807,18,12,0
FLINK-15381,780,7,6,0
FLINK-7657,753,11,8,0
FLINK-8839,723,12,8,0
FLINK-4228,716,5,3,0.7706290693639404
FLINK-7343,709,15,7,1
FLINK-5824,699,74,47,0
FLINK-18206,698,16,8,0
FLINK-25107,679,18,9,0
FLINK-1463,676,70,17,1
FLINK-15599,675,9,8,0
FLINK-24058,668,11,5,0
FLINK-21008,665,10,8,0
FLINK-19022,662,19,11,0.967132018086354
FLINK-7368,652,12,5,0
FLINK-17753,645,29,22,0.9697238998682473
FLINK-7524,641,9,5,0
FLINK-24168,635,8,7,0
FLINK-13371,620,15,7,0.9464119282150149
FLINK-22067,619,8,3,0
FLINK-22017,619,20,7,0
FLINK-8679,608,8,5,0.9182958340544896
FLINK-11665,606,7,4,0.8322488896002307
FLINK-6574,597,11,6,0
FLINK-17914,594,4,3,0
FLINK-16577,594,10,7,0
FLINK-9169,591,18,12,0
FLINK-13384,590,10,9,0
FLINK-8484,586,7,6,0.9182958340544896
FLINK-22821,583,15,9,0
FLINK-16705,577,12,11,0
FLINK-3554,573,17,13,0.9328107709956055
FLINK-16913,571,30,12,0
FLINK-20241,566,9,5,0
FLINK-20379,559,21,13,0
FLINK-6537,554,7,4,1
FLINK-3418,543,8,7,0.9755037590061086
FLINK-2662,540,6,6,0
FLINK-20427,538,32,16,0
FLINK-11537,536,25,9,0.9848586617875463
FLINK-2766,536,18,15,0.9697238998682473
FLINK-15232,532,8,6,0
FLINK-3675,519,15,6,0.9528195311147831
FLINK-6964,518,13,10,1
FLINK-21490,515,5,4,0
FLINK-10166,513,18,14,1
FLINK-3011,512,4,4,0
FLINK-14574,511,5,3,0
FLINK-14091,508,9,5,0
FLINK-19401,507,4,4,1
FLINK-15093,500,13,8,0.9206198357143047
FLINK-11059,499,13,7,0.8832230535020456
FLINK-17935,494,16,13,0
FLINK-16638,492,21,11,0
FLINK-18056,491,12,6,0
FLINK-12392,478,4,4,0
FLINK-945,475,8,4,0.9963890537299693
FLINK-13540,470,13,11,1
FLINK-21928,469,9,9,0
FLINK-21104,462,18,10,0.9609640474436811
FLINK-2671,461,3,3,0
FLINK-26977,454,3,3,0
FLINK-27212,445,16,8,0
FLINK-6996,432,11,6,0
FLINK-26018,429,8,7,0
