Key,LOC,NOF,NOP,Entropy
FLINK-15935,9482,6,6,0
FLINK-6409,7927,7,5,0
FLINK-11843,7231,65,10,0.9353340267248303
FLINK-1296,6113,40,14,0.9825675930733633
FLINK-1580,5398,53,26,0.9283832117695864
FLINK-21725,5209,55,7,0
FLINK-24038,5008,56,15,0
FLINK-1953,4075,44,22,0
FLINK-2173,3812,22,10,0
FLINK-1578,3616,23,7,0.9825675930733634
FLINK-1969,3442,30,13,0.9609640474436811
FLINK-4035,3234,30,15,0.9463946303571861
FLINK-12802,3051,15,9,0
FLINK-4887,3011,78,36,0.9595853049325459
FLINK-2837,2913,79,23,1
FLINK-5144,2792,6,6,0
FLINK-21667,2752,37,14,1
FLINK-2098,2712,43,25,0.9592933026696813
FLINK-3718,2669,23,8,1
FLINK-1631,2524,30,16,0.8699155297736257
FLINK-1776,2506,15,7,0
FLINK-12796,2429,51,16,1
FLINK-25079,2415,32,9,1
FLINK-1159,2402,33,12,0
FLINK-20942,2391,4,4,0
FLINK-6491,2384,36,10,0
FLINK-6563,2332,45,21,1
FLINK-9444,2320,30,18,0
FLINK-23854,2202,52,20,0.8139294142102325
FLINK-8725,2130,22,9,0.9182958340544896
FLINK-5619,2129,14,7,0.8546465504915777
FLINK-1376,2124,40,12,0.9182958340544896
FLINK-935,2107,32,17,0.9518240442151141
FLINK-2842,2091,10,4,0
FLINK-26249,1992,17,3,0
FLINK-1349,1963,36,25,0.7782868027644884
FLINK-7643,1951,29,18,1
FLINK-6197,1930,32,12,0.9665385514523046
FLINK-5662,1909,48,14,0
FLINK-1876,1899,19,8,0.957713559837711
FLINK-7755,1891,14,13,0
FLINK-5747,1828,24,11,0
FLINK-6604,1817,12,6,0.9503315975535328
FLINK-21996,1805,26,14,0.8829207685594833
FLINK-22494,1784,21,14,1
FLINK-4800,1652,12,5,0
FLINK-22680,1581,4,4,0
FLINK-1117,1562,20,12,0
FLINK-8421,1552,16,10,0
FLINK-5364,1544,31,13,0
FLINK-6702,1534,5,2,0
FLINK-1594,1532,31,13,0.8454458223534912
FLINK-24776,1522,22,19,0
FLINK-1085,1517,13,5,0
FLINK-3415,1512,25,16,0.9211854965885544
FLINK-1911,1459,5,3,0
FLINK-5085,1454,43,23,0.9754045952796939
FLINK-3171,1435,32,20,0.8112781244591328
FLINK-2462,1420,36,13,0.9518787535125788
FLINK-5420,1414,10,5,0
FLINK-8802,1350,45,14,1
FLINK-12865,1327,18,10,1
FLINK-12863,1327,18,10,1
FLINK-3578,1310,19,8,0.8745486420104123
FLINK-8203,1309,15,12,0.9999999999999999
FLINK-1191,1297,14,4,1
FLINK-13074,1267,23,20,0.9755037590061086
FLINK-4152,1260,26,17,0.9463946303571861
FLINK-23704,1252,10,6,0
FLINK-1710,1249,16,5,0.9488131148903384
FLINK-13702,1242,36,12,0
FLINK-19324,1237,9,3,0
FLINK-3583,1218,3,2,1
FLINK-1722,1214,21,11,0
FLINK-4329,1209,26,15,0.8941460069117992
FLINK-5056,1209,5,3,0
FLINK-6371,1201,23,11,0
FLINK-1063,1200,11,7,1
FLINK-1547,1179,21,11,0.9246934699012204
FLINK-21606,1166,31,11,0.7964644635254114
FLINK-26516,1159,15,10,0
FLINK-3800,1157,28,20,0.9349775297671233
FLINK-23862,1146,48,17,0.9365002033811829
FLINK-9194,1137,33,12,0.9999999999999999
FLINK-6434,1123,7,3,0
FLINK-3013,1100,46,13,0
FLINK-1556,1092,32,18,0.7967991494675626
FLINK-8174,1090,11,9,0
FLINK-1508,1086,18,15,0.9157223991023113
FLINK-11094,1074,12,5,0
FLINK-4177,1062,4,3,0.8112781244591328
FLINK-25533,1053,23,8,1
FLINK-3713,1039,29,17,1
FLINK-21942,1027,15,4,0.9182958340544896
FLINK-22881,1026,6,5,0
FLINK-5473,1016,36,28,0
FLINK-23794,1015,8,4,0
FLINK-7460,1010,4,4,1
