Key,LOC,NOF,NOP,Entropy
GEODE-9354,3994,24,9,0
GEODE-1703,3193,10,5,0.6077729520089457
GEODE-1657,3044,2,2,0
GEODE-7157,2459,24,17,0.7479731722741594
GEODE-369,1984,6,3,0
GEODE-5547,1431,5,4,0.7725068857142601
GEODE-4721,927,6,5,0.9182958340544896
GEODE-1842,868,7,3,0.9602297178607611
GEODE-4929,702,16,12,0.8427376486136672
GEODE-1906,550,3,3,1
GEODE-2275,342,3,3,0
GEODE-3563,324,10,8,0.9609640474436811
GEODE-2601,256,11,9,0.5916727785823274
GEODE-8627,245,13,7,0.8312754768423054
GEODE-4820,244,3,2,0
GEODE-4913,242,10,7,0.9155385080075168
GEODE-96,241,3,3,0
GEODE-6616,226,4,4,0
GEODE-5875,179,3,3,0
GEODE-438,176,4,3,0.863120568566631
GEODE-2733,160,8,5,0
GEODE-9317,155,8,5,0.9080701021024675
GEODE-8498,111,6,5,0.8777875964952415
GEODE-2247,109,7,6,0
GEODE-10035,92,3,3,0
GEODE-8697,90,3,3,0
GEODE-2676,79,4,4,0.8868595071429147
GEODE-8339,78,8,5,0.9182958340544896
GEODE-5776,64,5,4,0
GEODE-4846,62,2,2,0
GEODE-4267,56,2,2,0
GEODE-103,55,5,4,0.9999999999999999
GEODE-2599,53,2,2,0
GEODE-7432,50,6,2,1
GEODE-9043,44,4,4,0
GEODE-138,42,2,2,0
GEODE-7763,40,3,3,0
GEODE-245,36,4,3,1
GEODE-140,29,3,3,0
GEODE-3335,26,2,2,0
GEODE-8632,23,4,4,0.7896900821428474
GEODE-7220,22,3,2,0
GEODE-2295,21,3,2,0
GEODE-1266,17,2,2,0
GEODE-500,17,2,2,0
GEODE-7048,15,2,2,0
GEODE-8587,12,3,3,0
GEODE-7907,12,3,3,0
GEODE-3760,10,3,3,0
GEODE-2986,10,2,2,0
GEODE-2049,9,2,2,0
GEODE-2600,8,4,4,0
GEODE-1770,7,2,2,0
GEODE-4874,6,2,2,0
GEODE-67,5,2,2,0
GEODE-6032,3,2,2,0
GEODE-6701,3,2,2,0
GEODE-1957,2,2,2,0
GEODE-1799,2,2,2,0
GEODE-704,2,2,2,0
