Key,LOC,NOF,NOP,Entropy
GEODE-9486,7536,76,48,0
GEODE-165,7343,27,8,0
GEODE-835,7029,68,13,0.8193399999898042
GEODE-3530,7012,60,16,0.9761020579218875
GEODE-6731,6720,87,53,0.8112585357927288
GEODE-1111,6000,3,2,0
GEODE-7256,5912,16,10,0.9609640474436811
GEODE-1376,5791,15,7,0.9182958340544896
GEODE-4187,5727,25,11,0.8467840094456568
GEODE-974,5570,11,4,1
GEODE-8652,5271,16,6,0.9476880961955376
GEODE-577,5136,11,9,0.9602297178607611
GEODE-949,5094,66,12,0.9843722987683813
GEODE-7008,4944,12,3,0
GEODE-5595,4777,19,9,0.9463946303571861
GEODE-9991,4703,31,16,0.9080815629484726
GEODE-4273,4684,8,3,0.6567045482143384
GEODE-6334,4311,22,16,0.9517961807358445
GEODE-4822,4139,88,24,0.8693528317234469
GEODE-1062,4124,45,13,0.9453562313117192
GEODE-3328,4035,41,25,0
GEODE-1751,3920,29,5,0.838499323999478
GEODE-1146,3918,5,5,0.9057125980138371
GEODE-9607,3863,55,19,0.9299369601086085
GEODE-2112,3847,25,6,0.9037652530507674
GEODE-1153,3734,8,5,0.8173454221465102
GEODE-7577,3476,26,14,1
GEODE-953,3358,76,12,0.9999999999999998
GEODE-2395,3301,87,13,0.9697238998682473
GEODE-1367,3225,15,7,0.9493825966902822
GEODE-4650,3181,21,13,0.95787919662003
GEODE-7356,3180,3,3,0
GEODE-4957,3013,5,4,0.7653559242682899
GEODE-6973,3008,6,6,0.7793498372920851
GEODE-3247,2785,42,12,0.9609640474436811
GEODE-1128,2746,19,14,0.9924509044541705
GEODE-6819,2740,4,4,1
GEODE-632,2698,6,5,0
GEODE-4629,2631,4,2,0
GEODE-4639,2535,15,9,0
GEODE-870,2499,15,12,0.8474178042973327
GEODE-1346,2474,6,5,0.9681300137657637
GEODE-7938,2469,6,4,1
GEODE-4131,2429,69,34,0.9307994054527358
GEODE-8221,2422,70,23,1
GEODE-6677,2402,18,5,0
GEODE-7650,2397,2,2,0
GEODE-3217,2296,12,9,1
GEODE-8272,2295,41,22,0.9483627932161024
GEODE-7812,2273,26,8,0.8373753907366711
GEODE-599,2254,14,5,0.8703340924413477
GEODE-925,2235,2,2,0
GEODE-8333,2231,34,16,0.8789448098023246
GEODE-3813,2225,6,5,0.5916727785823274
GEODE-3277,2191,15,8,1
GEODE-108,2166,5,2,0
GEODE-6322,2152,25,15,0.9716723593072037
GEODE-8079,2127,9,8,0
GEODE-6387,2119,14,10,0.920619835714305
GEODE-1463,2106,39,12,0.9426404333531813
GEODE-3637,2076,6,5,0.5771110923417612
GEODE-8559,2028,21,7,0.9009394438027232
GEODE-9704,1983,15,8,0.9850568223215076
GEODE-6607,1978,11,5,1
GEODE-9287,1961,82,35,0.9657022930491872
GEODE-6122,1956,64,29,0.9779328068880164
GEODE-10228,1929,12,5,1
GEODE-10066,1928,28,15,0.9697238998682475
GEODE-5314,1922,11,3,0
GEODE-3961,1895,11,7,0.9355375708821009
GEODE-543,1885,14,9,1
GEODE-875,1882,7,5,0.9656336071428249
GEODE-6754,1871,7,5,0.37123232664087563
GEODE-1227,1850,3,3,0.9852281360342515
GEODE-8029,1820,6,4,0.5916727785823274
GEODE-8585,1797,30,14,0.8068290761113166
GEODE-3738,1791,7,3,0
GEODE-5884,1736,13,9,0.9176188726560587
GEODE-3638,1731,68,20,0
GEODE-656,1704,5,3,0
GEODE-5420,1686,10,6,1
GEODE-9248,1626,6,3,0.9999999999999999
GEODE-2880,1599,30,9,0.8112781244591328
GEODE-3249,1568,51,9,0
GEODE-5111,1543,10,5,0
GEODE-8217,1537,24,13,0.979569764547061
GEODE-8696,1530,17,8,0
GEODE-10155,1529,8,6,0
GEODE-291,1528,15,4,0
GEODE-5305,1526,5,4,0
GEODE-1420,1518,20,7,0.9118339230369784
GEODE-10157,1505,22,4,0.7357190214757919
GEODE-6798,1500,13,5,0.927922922412097
GEODE-4163,1495,24,14,0.8983289127685206
GEODE-1274,1486,22,9,0.9357849740192014
GEODE-9980,1485,46,10,0.9801773305797093
GEODE-1209,1474,22,15,0.8862831898372671
GEODE-9854,1472,3,3,0
GEODE-2971,1444,39,22,0
GEODE-6822,1441,8,3,0
GEODE-7635,1427,5,5,0
GEODE-308,1422,12,8,0.7219280948873623
GEODE-1927,1414,41,15,0.9912980227186016
GEODE-5256,1401,21,11,0.9911230603728022
GEODE-10127,1396,25,14,0.9246934699012205
GEODE-872,1378,4,4,0.9654013672997088
GEODE-6183,1319,29,3,0
GEODE-3231,1308,37,13,0.969207387579044
GEODE-3962,1303,20,14,0.9334480962961336
GEODE-5401,1303,12,6,1
GEODE-7221,1299,11,7,0
GEODE-980,1272,4,4,0.920619835714305
GEODE-3730,1242,5,5,0
GEODE-3314,1202,6,3,0
GEODE-2661,1188,6,5,0.5762173955216959
GEODE-3187,1181,10,3,0
GEODE-1240,1180,2,2,0
GEODE-3685,1178,14,9,0.9609640474436811
GEODE-864,1176,5,4,0.975031878218105
GEODE-1760,1172,26,8,0.8720048657463589
GEODE-10271,1166,3,2,0
GEODE-1706,1161,11,6,0.9463946303571861
GEODE-2927,1160,18,11,0.8897213752718902
GEODE-378,1158,4,3,0
GEODE-6776,1157,3,3,0
GEODE-181,1145,12,5,0
GEODE-7273,1143,7,6,0.8649735207179271
GEODE-3513,1140,34,11,1
GEODE-845,1124,9,5,0.9821410328348751
GEODE-5265,1118,6,5,0.7871203566965331
GEODE-2324,1104,5,4,0
GEODE-9738,1103,9,2,0
GEODE-5376,1097,14,7,0
GEODE-8127,1091,6,4,0.9424257960378287
GEODE-6442,1090,11,4,0.8852130207431887
GEODE-6682,1084,8,3,0
GEODE-5568,1082,23,11,0.929880216631589
GEODE-1198,1067,3,3,0.5435644431995964
GEODE-730,1063,10,4,0
GEODE-7710,1058,13,8,0.9576351984400185
GEODE-8811,1048,10,5,0
GEODE-3235,1042,13,6,0
GEODE-8465,1039,9,5,0
GEODE-3987,1037,5,5,0
GEODE-4743,1028,20,8,0.9463946303571861
GEODE-8672,1025,8,5,0.8699155297736257
GEODE-1931,1022,3,2,0.9709505944546686
GEODE-8536,1015,5,5,0
GEODE-5433,1015,10,5,1
GEODE-9368,1006,33,20,1
GEODE-4685,1005,35,22,0.8559225886919676
GEODE-1726,994,12,9,0.9009376944786579
GEODE-9493,991,26,11,0.9709505944546686
GEODE-10122,985,8,7,0
GEODE-8240,980,55,28,0.9014526888557078
GEODE-1644,963,5,3,0
GEODE-8095,960,19,13,0.951824044215114
GEODE-6518,957,12,7,0.9609640474436811
GEODE-1617,951,22,14,0.8617485665051352
GEODE-4894,946,28,8,0.9521788058257852
GEODE-2485,937,22,11,0.9591479170272447
GEODE-1874,927,2,2,0
GEODE-9632,927,14,5,0
GEODE-10056,919,12,8,0
GEODE-3139,914,10,7,0.9343892443760743
GEODE-5437,910,13,9,1
GEODE-5065,906,3,3,0
GEODE-7627,905,15,10,0.8803657740667783
GEODE-3678,902,27,11,0
GEODE-6053,894,9,4,0.9999999999999999
GEODE-3784,893,4,2,0
GEODE-4942,886,13,9,0.8607745910554754
GEODE-3542,886,8,6,0.9372305632161295
GEODE-3523,881,10,6,1
GEODE-5033,879,33,6,0.9274104253236436
GEODE-5727,876,13,11,1
GEODE-6808,871,11,10,0
GEODE-4375,865,4,3,0
GEODE-538,863,9,7,0
GEODE-6177,862,4,4,0
GEODE-4833,861,21,7,0.8351096170535149
GEODE-865,855,3,3,0.9182958340544896
GEODE-5464,848,28,15,0.9999999999999999
GEODE-20,838,6,4,1
GEODE-1044,834,8,5,0.994722150725101
GEODE-9408,831,12,10,0
GEODE-3780,827,16,15,0.9299660318214293
GEODE-4771,825,5,4,0.863120568566631
GEODE-8876,822,10,4,0.9182958340544896
GEODE-5145,813,19,11,1
GEODE-4320,812,12,10,0.9463946303571861
GEODE-3967,808,12,9,0.6590780154670487
GEODE-8490,801,53,12,1
GEODE-10010,792,6,4,0.8112781244591328
GEODE-2398,790,5,3,0
GEODE-7089,786,12,5,0.957713559837711
GEODE-10297,785,5,4,0
GEODE-6551,779,7,7,0.6500224216483541
GEODE-6013,779,5,5,0.933816945485606
GEODE-2667,773,21,13,0.7712578626825477
GEODE-10347,769,3,2,0
GEODE-5027,769,12,7,0
GEODE-9365,765,4,4,0
GEODE-4030,764,5,5,0.9999999999999999
GEODE-1238,759,74,15,0.9689574139354014
GEODE-6759,757,10,9,0
GEODE-2593,756,4,3,0
GEODE-774,752,13,7,0.9999999999999999
GEODE-6488,751,36,22,0.94268071481726
GEODE-3613,751,27,5,0.9247991567825665
GEODE-8192,745,23,16,0.9613833012053531
GEODE-6369,734,29,20,0.9263067372632086
GEODE-3898,726,7,6,0.935944697445866
GEODE-8455,717,6,5,0.700576754845952
GEODE-7085,716,11,4,0
GEODE-1714,712,7,4,0.7725068857142601
GEODE-2000,709,16,14,0.9795193359563684
GEODE-9304,705,15,8,1
GEODE-8768,701,10,6,0.9924509044541705
GEODE-8491,701,5,5,0
GEODE-38,701,5,3,0.9182958340544896
GEODE-9103,689,4,4,0
GEODE-6763,687,9,8,0
GEODE-464,678,5,3,0.9211854965885542
GEODE-3647,674,5,3,0.9182958340544896
GEODE-8099,673,41,16,0.9651412900934386
GEODE-4872,673,5,4,0.9713067383178074
GEODE-4140,670,5,4,0
GEODE-1014,664,8,5,1
GEODE-3749,661,2,2,0
GEODE-7035,659,5,3,0.9182958340544896
GEODE-7863,655,12,5,0.9999999999999999
GEODE-1740,653,5,3,0.7896900821428474
GEODE-3687,652,10,8,0
GEODE-8926,650,12,6,0.8232557641736381
GEODE-6304,649,11,10,0.9755037590061086
GEODE-1873,649,5,4,0
GEODE-10039,648,16,7,0.9611009333744404
GEODE-10334,648,5,2,0
GEODE-3023,644,5,4,0.92146324007577
GEODE-4836,644,21,10,0.9343730750552456
GEODE-5923,639,7,4,1
GEODE-10015,638,8,8,0.7854752972273343
GEODE-9139,635,33,24,0.9329350879565486
GEODE-401,628,10,8,0.9591479170272447
GEODE-1967,626,3,3,0
GEODE-3214,624,11,7,0
GEODE-827,623,3,2,0
GEODE-5888,622,12,6,0.9528195311147831
GEODE-1723,619,17,7,0.9224050305657796
GEODE-6215,617,11,8,0.8678197777263957
GEODE-86,616,6,5,0
GEODE-5177,615,5,4,0.8112781244591328
GEODE-9969,613,4,4,0.8112781244591328
GEODE-130,612,29,26,0.9874687506009635
GEODE-6212,609,3,3,0
GEODE-3052,608,14,10,0.9602297178607611
GEODE-9141,606,16,6,0.8288713632524444
GEODE-8393,605,9,8,0.8682502479613888
GEODE-8305,604,15,7,0.8912800804373726
GEODE-4986,602,7,4,0.9591479170272448
GEODE-8784,602,14,9,0.929906376575379
GEODE-6100,601,4,3,0.9999999999999999
GEODE-9554,601,10,7,0
GEODE-1400,600,7,5,0.9999999999999999
GEODE-397,597,11,8,1
GEODE-5786,594,14,5,0.8649735207179271
GEODE-6293,593,8,7,0
GEODE-10304,589,3,3,0
GEODE-3785,585,7,7,0
GEODE-6630,584,6,5,1
GEODE-10121,583,12,8,0.7418806532738748
GEODE-4607,578,21,9,0.9547831395812889
GEODE-3614,578,6,4,1
GEODE-8298,576,9,5,0.9855316980637786
GEODE-1782,575,7,3,0
GEODE-9638,573,15,5,0
GEODE-1801,571,4,3,0
GEODE-7136,571,21,14,0.9197550015780558
GEODE-4180,569,27,14,0.9408921204464599
GEODE-8687,568,6,3,0
GEODE-2655,565,4,3,0
GEODE-1558,563,14,8,0.9028306725064511
GEODE-1609,563,14,8,0.9028306725064511
GEODE-4647,562,22,13,0.9104183301115555
GEODE-324,556,14,10,1
GEODE-9714,556,4,3,0.9850568223215076
GEODE-8200,554,18,9,0.8730017623570717
GEODE-2092,550,40,13,0.9342832466529898
GEODE-5393,550,7,5,0
GEODE-1672,548,8,3,0
GEODE-7728,543,6,4,0
GEODE-9582,541,29,12,0.9807418350845825
GEODE-10318,538,11,10,0.9463946303571861
GEODE-7465,537,11,8,0.935944697445866
GEODE-362,537,4,3,0
GEODE-4252,537,11,9,1
GEODE-4160,536,14,7,0.9587446613154132
GEODE-9429,535,10,8,1
GEODE-1329,534,6,5,0
GEODE-2402,533,19,10,0
GEODE-6904,532,10,6,0.9182958340544896
GEODE-3059,531,23,9,0.9459577203309796
GEODE-4642,530,2,2,0
GEODE-2977,529,17,7,0.9697238998682473
GEODE-2670,526,17,8,0.9221417517434336
GEODE-3152,522,4,4,0.9182958340544896
GEODE-9138,522,17,7,0.8941962435006109
GEODE-6955,520,3,3,0
GEODE-1036,519,2,2,0
GEODE-1546,516,17,8,0.9570060513562312
GEODE-232,516,9,4,0
GEODE-1742,514,4,4,0
GEODE-2119,512,6,6,0
GEODE-6559,512,11,10,0.9591479170272447
GEODE-7469,510,2,2,0
GEODE-4094,510,8,3,0.9609640474436811
GEODE-8786,504,25,12,0.9616475024856019
GEODE-4919,504,7,6,0.8394415782963752
GEODE-4451,503,13,11,0.9257875983547231
GEODE-657,499,16,11,0
GEODE-430,495,4,3,0
GEODE-1716,495,4,3,0
GEODE-6527,495,8,7,0.8112781244591328
GEODE-1408,495,23,7,0.8816821570523429
GEODE-4922,495,7,4,0.9756149631508355
GEODE-6742,495,3,3,0
GEODE-985,495,23,7,0.8816821570523427
GEODE-8890,494,3,3,0
GEODE-1958,492,11,11,0.9463946303571861
GEODE-6425,492,20,17,0.9773639328406064
GEODE-5406,491,7,5,0.9464119282150146
GEODE-5828,491,6,4,0.8112781244591328
GEODE-4118,491,7,5,0.9464119282150149
GEODE-5748,490,14,5,0.8866828800015338
GEODE-5502,488,6,5,0.9182958340544896
GEODE-9346,488,6,3,0
GEODE-8584,487,7,4,1
GEODE-873,487,2,2,0
GEODE-323,482,4,3,0
GEODE-478,482,20,15,0.9577355984191709
GEODE-2381,481,19,15,0
GEODE-2787,480,11,3,1
GEODE-699,480,3,3,0
GEODE-8656,479,20,13,0.9165164431996026
GEODE-7403,478,3,3,0
GEODE-1350,478,29,5,0
GEODE-6930,478,7,5,0
GEODE-1979,477,7,4,0
GEODE-9396,476,9,6,0
GEODE-5984,476,26,15,0.9320138282042072
GEODE-6152,475,4,4,0
GEODE-8996,475,11,9,0
GEODE-4991,474,20,4,0.923381637739255
GEODE-228,474,4,3,0
GEODE-4417,472,4,4,0
GEODE-2648,472,5,4,0
GEODE-1691,471,3,3,0
GEODE-2325,471,4,3,0
GEODE-8359,470,8,2,1
GEODE-5173,468,4,3,0.7219280948873623
GEODE-7604,466,2,2,0
GEODE-5953,466,7,5,0.9999999999999999
GEODE-4168,465,23,13,0.9281379929118302
GEODE-4116,465,23,13,0.92813799291183
GEODE-1101,464,44,9,0.9728405957374587
GEODE-364,463,3,3,0
GEODE-7880,461,24,14,0.9193308503340686
GEODE-1864,457,5,5,0.9999999999999999
GEODE-8765,456,6,6,0.8112781244591328
GEODE-10108,454,22,7,0.9766874637103278
GEODE-3520,453,12,10,0.9999999999999999
GEODE-6070,452,4,4,0
GEODE-7079,450,5,5,0
GEODE-10337,450,4,4,0
GEODE-6821,449,15,6,0
GEODE-4390,449,6,4,0.8649735207179271
GEODE-890,448,8,5,0
GEODE-249,448,7,3,0.9463946303571861
GEODE-6802,446,12,7,0
GEODE-5771,443,4,4,0
GEODE-1973,439,7,6,0
GEODE-5591,438,5,5,0
GEODE-2605,438,4,3,0
GEODE-5541,438,6,4,0
GEODE-2776,436,4,3,0.863120568566631
GEODE-1991,434,3,2,0
GEODE-3117,433,4,4,0
GEODE-4389,432,6,4,0.9528195311147831
GEODE-2183,429,27,8,0.9999999999999994
GEODE-3062,429,15,6,0.8458339306244514
GEODE-5609,427,6,4,0
GEODE-2705,425,11,6,0
GEODE-3026,424,17,7,0.9475623854478157
GEODE-5557,423,9,6,0
GEODE-10281,422,4,4,0
GEODE-7583,421,11,7,0.9755037590061086
GEODE-2954,419,7,5,0
GEODE-2970,418,11,9,0.9697238998682473
GEODE-8313,418,7,5,0.939082492917429
GEODE-3229,417,17,7,0
GEODE-9845,417,3,3,0
GEODE-4035,416,14,5,0.9999999999999999
GEODE-7474,416,2,2,0
GEODE-143,416,7,6,0
GEODE-7643,413,23,7,0
GEODE-7810,413,6,6,0
GEODE-8734,410,4,3,0
GEODE-2030,404,8,6,0.9329350879565486
GEODE-1292,404,5,3,0
GEODE-9936,403,8,4,0.9537111928345553
GEODE-473,402,4,4,0
GEODE-4893,401,15,8,0.7869944808251532
GEODE-6933,401,5,5,0
GEODE-4309,399,6,6,0
GEODE-5501,396,5,4,0.9709505944546686
GEODE-1912,396,25,7,0.9564970667203526
GEODE-7485,395,9,3,0
GEODE-981,394,35,7,0
GEODE-1818,393,2,2,0
