Key,LOC,NOF,NOP,Entropy
GROOVY-118,5844,48,23,0.8031470212261987
GROOVY-99,5844,48,23,0.8031470212261987
GROOVY-111,5844,48,23,0.8031470212261987
GROOVY-113,5844,48,23,0.8031470212261987
GROOVY-94,5844,48,23,0.8031470212261987
GROOVY-114,5844,48,23,0.8031470212261987
GROOVY-6307,3112,11,5,1
GROOVY-9632,2897,92,36,0.6571840674301089
GROOVY-3457,2787,6,3,0
GROOVY-8762,2632,4,4,0.8112781244591328
GROOVY-9333,2531,3,3,0.8112781244591328
GROOVY-9332,2531,3,3,0.8112781244591328
GROOVY-1553,2507,19,5,0.9697238998682473
GROOVY-755,2361,4,2,0.9999999999999999
GROOVY-9195,2346,11,7,0.6962043774397473
GROOVY-7071,2340,3,2,0
GROOVY-95,2293,4,4,0.9011701959974223
GROOVY-2329,2201,4,4,0.19981952947888357
GROOVY-9292,2127,5,3,0.6193821946787638
GROOVY-8693,2084,20,10,0.8839297342362054
GROOVY-9009,2021,3,3,0
GROOVY-9884,1905,17,10,0.9110810174527826
GROOVY-9909,1905,17,10,0.9110810174527827
GROOVY-9851,1905,17,10,0.9110810174527826
GROOVY-10651,1644,18,11,0.5916727785823274
GROOVY-9168,1540,14,7,0.5916727785823274
GROOVY-5226,1538,5,3,0.26676498780302604
GROOVY-9352,1517,9,4,0
GROOVY-2394,1303,24,9,0.8381465242430057
GROOVY-3278,1294,25,12,0.8986429553493921
GROOVY-766,1277,5,3,0.9609640474436811
GROOVY-3173,1210,10,4,0.9306882855501012
GROOVY-10133,1190,23,12,0.6950861398837618
GROOVY-6325,1138,7,5,0
GROOVY-6332,1138,7,5,0
GROOVY-6323,1138,7,5,0
GROOVY-7812,1134,25,10,0.8699155297736257
GROOVY-9293,1107,3,2,0
GROOVY-649,1096,6,3,0
GROOVY-6671,1081,6,5,0.9206198357143047
GROOVY-5112,1024,3,3,0
GROOVY-1978,1022,7,3,0.9681300137657637
GROOVY-5199,1014,31,3,0
GROOVY-4975,998,6,4,0.7642045065086203
GROOVY-4347,996,5,3,0.2863969571159562
GROOVY-5003,996,2,2,0
GROOVY-4946,954,4,4,0
GROOVY-9051,945,5,3,0
GROOVY-4386,932,22,9,0.9821410328348751
GROOVY-96,921,15,7,0.8210467068070542
GROOVY-97,921,15,7,0.8210467068070543
GROOVY-4767,819,4,4,0
GROOVY-9151,816,7,7,0.4567552073746944
GROOVY-4584,812,7,5,0.9431887805255735
GROOVY-5864,773,10,4,0
GROOVY-6728,770,2,2,0
GROOVY-3187,766,4,4,0
GROOVY-6504,755,8,5,0.9999999999999999
GROOVY-8347,739,5,4,0
GROOVY-4742,737,5,3,0
GROOVY-1973,732,10,4,0.9171410138393133
GROOVY-7482,730,33,2,0
GROOVY-8067,721,10,8,0
GROOVY-227,717,12,6,0.7177868696603601
GROOVY-8965,711,12,8,0.9463946303571861
GROOVY-8806,702,6,4,0
GROOVY-464,700,7,3,0.9709505944546686
GROOVY-7996,690,8,7,0.10441907800540785
GROOVY-10145,690,22,18,0.9463946303571861
GROOVY-7879,681,17,6,0.9182958340544896
GROOVY-10598,680,8,6,0.8539309314862878
GROOVY-9043,671,6,5,0
GROOVY-3237,655,7,5,0.2726652818700753
GROOVY-9382,653,15,10,0.6985240220268388
GROOVY-5374,648,5,2,0
GROOVY-2136,644,7,5,0.8775023389927531
GROOVY-6097,628,13,8,1
GROOVY-5491,627,11,8,0.3095434291503252
GROOVY-6144,627,11,8,0.3095434291503252
GROOVY-5001,627,11,8,0.3095434291503252
GROOVY-5258,624,3,3,0
GROOVY-321,616,8,5,0.23781698438018278
GROOVY-293,616,8,5,0.23781698438018278
GROOVY-337,616,8,5,0.23781698438018278
GROOVY-9945,613,4,4,0.5435644431995964
GROOVY-3971,613,3,3,0
GROOVY-8917,610,7,6,0.6398243839286435
GROOVY-4950,607,3,2,0
GROOVY-3503,591,6,5,0
GROOVY-8389,589,4,4,0
GROOVY-9106,589,6,4,0
GROOVY-824,588,6,4,0
GROOVY-1335,588,6,4,0
GROOVY-9093,586,6,5,0
GROOVY-2718,581,2,2,0
GROOVY-5217,580,3,3,0.3095434291503252
GROOVY-5619,580,10,7,0.6636475209170417
GROOVY-2015,574,9,3,0.8689926729102848
GROOVY-7883,565,7,7,0.8649735207179271
GROOVY-10277,561,15,7,0.5334451783180211
GROOVY-6025,556,9,8,1
GROOVY-4988,544,7,3,0.9182958340544896
GROOVY-5557,543,6,3,0
GROOVY-5574,543,6,3,0
GROOVY-10033,543,7,7,0.5916727785823274
GROOVY-5789,536,3,3,0.9182958340544896
GROOVY-3659,530,2,2,0
GROOVY-10668,529,8,6,0.9056185178648962
GROOVY-886,523,19,12,0.8493504394610225
GROOVY-1360,522,5,5,0
GROOVY-9972,514,6,4,0.7327525499549904
GROOVY-4937,510,3,3,0
GROOVY-5898,509,5,3,1
GROOVY-4976,508,5,4,0.6840384356390417
GROOVY-6128,504,9,6,0.9022925846688998
GROOVY-514,500,4,2,0
GROOVY-8788,494,14,8,0.8869774584585298
GROOVY-6390,492,6,6,0.9602297178607611
GROOVY-930,488,17,12,0.8431888973510258
GROOVY-584,488,17,12,0.843188897351026
GROOVY-888,488,17,12,0.843188897351026
GROOVY-918,488,17,12,0.843188897351026
GROOVY-931,488,17,12,0.843188897351026
GROOVY-8296,488,9,7,0
GROOVY-9779,476,4,4,0.5916727785823274
GROOVY-9368,476,7,6,0.9283832117695864
GROOVY-5027,476,2,2,0
GROOVY-8355,469,5,5,0.4021791902022728
GROOVY-9317,468,5,4,0
GROOVY-9127,468,7,4,0.37439393571421514
GROOVY-4516,465,5,5,0.8112781244591328
GROOVY-6314,463,5,4,0
GROOVY-2275,457,4,4,0
GROOVY-7753,457,5,4,0
GROOVY-7014,456,6,5,0
GROOVY-3570,451,2,2,0
GROOVY-1630,447,4,3,0
GROOVY-5249,444,9,5,0.9182958340544896
GROOVY-1383,441,5,4,0
GROOVY-5166,440,6,5,0.7083550221323153
GROOVY-8816,439,11,8,0.6398243839286435
GROOVY-7975,438,10,5,0.8824252235446576
GROOVY-7854,438,10,5,0.8824252235446576
GROOVY-779,429,8,5,0.7049076011287387
GROOVY-10143,422,14,7,1
GROOVY-8999,422,9,7,0.6892094263601618
GROOVY-6887,419,7,5,0
GROOVY-10049,419,6,5,0.7337746541592977
GROOVY-5231,417,4,3,0.4965446537895799
GROOVY-6454,413,26,7,1
GROOVY-8446,411,4,4,1
GROOVY-8959,407,2,2,0
GROOVY-4686,405,5,2,0
GROOVY-4997,402,8,5,0.9999999999999999
GROOVY-5742,399,3,3,0
GROOVY-8562,397,4,4,0
GROOVY-5586,397,4,4,0.625418115623811
GROOVY-8163,394,7,4,0
GROOVY-5974,392,5,4,0
GROOVY-422,390,8,6,0.9431887805255735
GROOVY-5416,389,5,4,0
GROOVY-435,389,15,9,0.7880974186300699
GROOVY-9095,386,13,7,0.9463946303571861
GROOVY-8274,381,3,3,0
GROOVY-10180,380,9,6,0.7023392365317855
GROOVY-10329,380,6,5,1
GROOVY-852,378,5,2,0.8949645376549995
GROOVY-4922,372,4,4,0.6913698302025113
GROOVY-2915,368,3,3,0
GROOVY-2217,366,3,3,0
GROOVY-3049,364,10,4,0
GROOVY-3051,364,10,4,0
GROOVY-1549,364,5,4,0.5767253226979191
GROOVY-9645,360,8,8,0.7233083338141041
GROOVY-115,358,33,5,0.5219882410289406
GROOVY-5288,357,5,5,0
GROOVY-5744,356,3,2,0
GROOVY-9569,354,4,4,1
GROOVY-8204,354,5,5,0
GROOVY-835,352,7,5,0.7349865470109875
GROOVY-5142,352,2,2,0
GROOVY-9591,352,4,3,0
GROOVY-7252,351,6,6,1
GROOVY-9206,351,6,6,1
GROOVY-9366,351,6,6,1
GROOVY-10592,350,4,4,0.6962122601251459
GROOVY-1006,346,5,3,0.5045930434561731
GROOVY-3146,346,5,3,1
GROOVY-2084,345,4,4,0
GROOVY-6137,344,8,7,0.7248340915057598
GROOVY-10057,342,9,7,0.7258303821788832
GROOVY-10067,342,7,6,0.8032946331625619
GROOVY-8486,339,13,4,0.9874687506009635
GROOVY-5228,339,3,3,0.21450983370697768
GROOVY-5191,337,9,8,0.9999999999999999
GROOVY-833,336,5,4,0.9182958340544896
GROOVY-6094,331,5,5,0
GROOVY-6001,330,5,5,0.9182958340544896
GROOVY-6008,328,7,6,0
GROOVY-9237,328,11,9,0.8962406251802889
GROOVY-8161,328,4,4,0.9852281360342515
GROOVY-7473,328,6,5,0.6500224216483541
GROOVY-9784,328,6,4,0
GROOVY-3544,328,3,3,1
GROOVY-6522,327,8,8,0
GROOVY-7969,327,6,5,0
GROOVY-10176,326,4,4,0
GROOVY-9158,326,4,4,0
GROOVY-9815,324,4,4,0.9182958340544896
GROOVY-2829,324,8,6,0.8191657184449588
GROOVY-6837,324,3,2,0
GROOVY-10063,323,5,4,0.35335933502142136
GROOVY-4768,323,3,3,0
GROOVY-4485,323,4,3,0.858672711073255
GROOVY-4827,321,8,5,0.8427376486136673
GROOVY-179,321,6,3,0.22559201659165629
GROOVY-10294,320,4,3,0.560698787620506
GROOVY-3021,320,4,4,0.863120568566631
GROOVY-6809,319,5,3,0.5916727785823274
GROOVY-1224,318,8,6,0.8254639825662984
GROOVY-3090,318,3,3,0
GROOVY-5147,318,4,3,0.8633083918889153
GROOVY-2391,318,5,5,0.9656336071428249
GROOVY-5148,318,4,3,0.8633083918889153
GROOVY-9391,315,3,3,0
GROOVY-1684,313,5,3,0.863120568566631
GROOVY-5971,310,11,9,0
GROOVY-10071,310,8,5,0.7919415836303251
GROOVY-7232,309,4,4,0.9182958340544896
GROOVY-1468,308,6,6,0.9169636088209151
GROOVY-10113,307,9,3,0
GROOVY-5169,306,10,8,0.205592508185083
GROOVY-8737,306,4,4,0.9182958340544896
GROOVY-6152,305,4,4,0
GROOVY-8920,305,5,5,0.896240625180289
GROOVY-10002,305,6,6,0.24988229283318544
GROOVY-6688,304,5,4,0.8173454221465102
GROOVY-9586,303,4,3,0
GROOVY-2204,299,10,8,0.775950192103276
GROOVY-2957,299,10,5,0.9283832117695864
GROOVY-2191,299,10,8,0.775950192103276
GROOVY-3687,298,4,3,0.8649735207179271
GROOVY-8909,298,9,4,0.7426245722298728
GROOVY-9844,298,9,4,0.7426245722298729
GROOVY-5240,297,4,3,0.6098403047164004
GROOVY-9197,297,5,5,0.7219280948873623
GROOVY-5233,297,4,3,0.6098403047164004
GROOVY-7705,295,8,6,0
GROOVY-8260,295,4,4,0
GROOVY-3832,293,4,3,0
GROOVY-7529,293,22,6,0.9463946303571861
GROOVY-7865,287,5,4,0
GROOVY-8251,286,6,5,1
GROOVY-9301,284,2,2,0
GROOVY-9455,284,4,4,0.4689955935892812
GROOVY-8835,284,4,4,0
GROOVY-8507,284,2,2,0
GROOVY-7342,283,5,4,0
GROOVY-10096,282,3,3,0
GROOVY-7971,282,3,3,0
GROOVY-2001,282,3,3,0
GROOVY-5257,282,10,8,1
GROOVY-9061,281,2,2,0
GROOVY-8955,280,6,6,0
GROOVY-8310,279,7,5,0.44430790118112
GROOVY-2188,278,4,4,0.9182958340544896
GROOVY-3783,276,7,2,0.8350146792398998
GROOVY-5746,276,6,5,0
GROOVY-303,276,19,8,0.6631301239560963
GROOVY-7585,275,3,3,0
GROOVY-7721,273,3,3,0
GROOVY-10089,272,6,5,0
GROOVY-2603,271,6,5,0.4803115764866971
GROOVY-7837,271,7,6,0
GROOVY-4660,269,4,3,0
GROOVY-9955,269,6,5,0.875
GROOVY-2326,268,4,4,0.9910760598382222
GROOVY-10654,268,3,3,0
GROOVY-8947,268,7,5,0.5240515878248747
GROOVY-4336,267,8,6,0.9609640474436811
GROOVY-5939,266,11,6,0.9182958340544896
GROOVY-9993,266,10,7,0.9602297178607611
GROOVY-5384,266,12,7,0.5202003413142616
GROOVY-5737,264,6,5,0.5058401091171317
GROOVY-6266,264,3,3,0
GROOVY-4434,263,11,4,0.9182958340544896
GROOVY-7394,263,7,6,0.9690222556651344
GROOVY-9803,260,4,3,0.8177882956021268
GROOVY-8815,256,5,5,0
GROOVY-5940,254,14,7,0
GROOVY-10299,254,5,4,1
GROOVY-4438,251,5,5,0
GROOVY-6415,250,4,3,0.9182958340544896
GROOVY-3034,249,10,6,0.9421567638998994
GROOVY-9337,248,2,2,0
GROOVY-6938,247,6,4,0
GROOVY-4267,246,5,4,0.9980008838722995
GROOVY-8629,243,4,3,0.4488644887230294
GROOVY-5587,243,5,4,0.24479755780920517
GROOVY-155,243,4,4,0.643808594871519
GROOVY-5126,242,9,6,0.6121616233934118
GROOVY-6058,242,2,2,0
GROOVY-3264,242,4,4,0.2651694120829809
GROOVY-4252,240,4,3,0.5916727785823274
GROOVY-5259,239,6,6,0.8980898459737487
GROOVY-224,239,10,8,0.7516535431236855
GROOVY-10457,237,5,3,0
GROOVY-6933,236,3,3,0.9709505944546686
GROOVY-4098,236,6,4,0
GROOVY-10434,235,9,6,0.972362610668201
GROOVY-6761,234,9,6,0.8320136531159297
GROOVY-2793,233,3,3,1
GROOVY-5606,233,6,4,0.7873904441499988
GROOVY-10535,232,4,3,0
GROOVY-2320,229,4,4,0.9431887805255735
GROOVY-9184,229,3,3,0
GROOVY-10585,227,3,3,0
GROOVY-9176,227,10,6,0
GROOVY-6295,226,3,3,0
GROOVY-9604,225,4,3,0
GROOVY-4222,225,4,4,1
GROOVY-9204,224,8,4,0
GROOVY-1000,224,4,4,0.6051865766334206
GROOVY-5170,223,3,3,0
GROOVY-8678,223,3,3,0
GROOVY-9454,222,3,3,0.4394969869215134
GROOVY-6919,222,4,3,0.9320942709786564
GROOVY-9821,221,4,3,0.9947372378779499
GROOVY-6481,220,6,4,0
GROOVY-6590,220,4,4,0
GROOVY-8495,220,9,9,0.9463946303571861
GROOVY-6480,220,6,4,0
GROOVY-8453,220,6,5,0.946265187221801
GROOVY-10229,219,5,4,0.6024095919040735
GROOVY-5996,218,3,3,0.9182958340544896
GROOVY-7448,218,5,3,0
GROOVY-10617,217,8,6,0
GROOVY-7967,216,3,3,0
GROOVY-6469,216,5,2,0
GROOVY-6882,216,4,3,0.9182958340544896
GROOVY-5775,215,5,4,0
GROOVY-7087,214,12,6,0
GROOVY-2453,210,4,3,0
GROOVY-9998,209,5,5,0.4987961529284569
GROOVY-4002,209,7,4,0
GROOVY-4340,208,4,4,0
GROOVY-3532,207,4,3,0.7248340915057598
GROOVY-2948,206,2,2,0
GROOVY-7691,205,4,4,0.7793498372920851
GROOVY-148,204,9,7,0.8414828369324754
GROOVY-5595,202,5,4,0.38991702294927216
GROOVY-3485,202,8,7,0.9463946303571861
GROOVY-3480,202,8,7,0.9463946303571861
GROOVY-3486,202,8,7,0.9463946303571861
GROOVY-5594,202,5,4,0.38991702294927216
GROOVY-9015,201,4,4,0
GROOVY-2861,200,3,3,0
GROOVY-8703,200,3,3,0
GROOVY-6345,200,3,2,0
GROOVY-6119,199,8,8,0.8112781244591328
GROOVY-8094,199,7,5,0.920619835714305
GROOVY-8983,199,7,4,0.8759114442916622
GROOVY-10106,199,5,4,0.38680520689797004
GROOVY-3069,199,6,5,0.8786744932173093
GROOVY-6114,199,8,8,0.8112781244591328
GROOVY-7538,199,6,5,0
GROOVY-4857,199,3,3,0
GROOVY-8386,199,7,5,0.9206198357143047
GROOVY-4832,198,15,7,0
GROOVY-2905,198,3,3,0.4394969869215134
GROOVY-10675,198,3,3,0
GROOVY-6258,197,7,5,0
GROOVY-8399,197,3,3,0
GROOVY-7840,196,8,6,0
GROOVY-9373,196,6,4,0.9602297178607611
GROOVY-6697,195,3,3,0
GROOVY-2749,194,2,2,0
GROOVY-5243,194,6,5,0
GROOVY-9215,194,3,3,0
GROOVY-7970,194,4,4,0.9182958340544896
GROOVY-9601,194,4,4,0.6500224216483541
GROOVY-2887,193,4,4,0
GROOVY-8233,193,10,5,0
GROOVY-9183,193,3,3,0
GROOVY-5820,192,4,4,0
GROOVY-9406,192,4,4,0
GROOVY-7304,191,5,4,0
GROOVY-3316,190,3,3,0.6500224216483541
GROOVY-5198,189,4,4,0
GROOVY-9902,189,7,6,0.991696060146615
GROOVY-964,189,4,3,0.9182958340544896
GROOVY-9896,188,4,4,0
GROOVY-4727,188,4,4,0
GROOVY-3019,188,3,3,0
GROOVY-7276,188,6,6,0.7896900821428474
GROOVY-9661,187,3,3,0
GROOVY-7434,187,6,4,0
GROOVY-907,186,5,5,0.8194483718728034
GROOVY-10424,186,3,3,0
GROOVY-5901,184,5,4,0
GROOVY-2158,184,9,4,0.6058561333724842
GROOVY-8531,183,4,3,0
GROOVY-10339,183,5,4,0.5935153202172024
GROOVY-5453,182,4,4,0
GROOVY-1995,182,3,3,0
GROOVY-1092,181,3,3,0
GROOVY-10548,181,6,4,0
GROOVY-6057,181,3,3,0.4262286569981449
GROOVY-9033,181,6,5,0.9895273808511965
GROOVY-6742,181,6,3,0
GROOVY-3012,180,4,3,0
GROOVY-4015,180,3,3,0.8112781244591328
GROOVY-5640,180,8,5,0.8173454221465102
GROOVY-9587,179,3,3,0
GROOVY-5562,179,4,3,0
GROOVY-8946,179,4,3,0
GROOVY-10596,179,4,3,0
GROOVY-7040,179,9,4,0
GROOVY-5471,178,8,6,0.920619835714305
GROOVY-5361,178,3,3,0
GROOVY-4163,178,6,6,0.9591479170272447
GROOVY-9915,177,4,4,0.7201762792309511
GROOVY-8951,177,5,4,0
GROOVY-9762,176,5,4,0.6686699807868641
GROOVY-10238,176,5,5,0
GROOVY-5893,176,6,4,0.7079749057776119
GROOVY-3242,175,3,3,0
GROOVY-2170,174,9,4,0.7699061956769787
GROOVY-2111,174,3,3,0.9975025463691153
GROOVY-6821,174,5,5,0.9999999999999999
GROOVY-9672,173,3,3,1
GROOVY-9871,173,5,3,0
GROOVY-10433,173,2,2,0
GROOVY-10516,172,2,2,0
GROOVY-4288,172,3,3,0
GROOVY-2523,170,5,4,0.6695919455357793
GROOVY-7637,170,3,3,0
GROOVY-3669,170,4,3,0.9182958340544896
GROOVY-6019,170,5,4,0.9182958340544896
GROOVY-2409,169,6,6,0.6729592758523572
GROOVY-8107,168,3,2,0
GROOVY-3077,168,5,3,0
GROOVY-5614,168,4,4,0.6504583656947635
GROOVY-6916,168,6,4,0.9591479170272448
GROOVY-7384,168,10,8,0.9766146686727132
GROOVY-9344,168,5,5,0.6643574057122259
GROOVY-2712,168,4,4,0.9182958340544896
GROOVY-9546,167,7,6,0.9999999999999999
GROOVY-716,167,3,3,0
GROOVY-2449,166,6,5,0.23342810355365096
GROOVY-10200,166,4,4,1
GROOVY-4743,166,5,3,0
GROOVY-6576,165,5,4,0
GROOVY-7370,165,3,3,0
GROOVY-9890,165,6,5,0.8649735207179271
GROOVY-5272,164,3,3,0
GROOVY-1464,164,9,5,0.9190368861092725
GROOVY-9648,163,4,4,0
GROOVY-10700,163,7,4,0.6783898247235197
GROOVY-9562,162,5,5,0
GROOVY-7624,162,2,2,0
GROOVY-4180,162,6,3,0.944623214254579
GROOVY-4881,162,5,3,0
GROOVY-3418,161,5,3,0
GROOVY-7287,161,6,5,0.6500224216483541
GROOVY-10356,160,6,5,0.6840384356390417
GROOVY-10466,160,5,4,1
GROOVY-10593,158,10,6,1
GROOVY-8186,158,8,4,0
GROOVY-6912,157,8,5,0.7309580159618966
GROOVY-7033,157,4,4,0
GROOVY-5229,156,4,3,0.20905980566852453
GROOVY-9281,156,5,3,0
GROOVY-7802,156,4,4,0
GROOVY-3170,156,3,3,0
GROOVY-8220,156,3,3,1
GROOVY-9799,155,5,5,0
GROOVY-9244,155,3,3,0
GROOVY-7620,155,5,4,0
GROOVY-4481,155,3,3,0
GROOVY-10699,155,4,3,0.9008197382654822
GROOVY-5565,155,5,5,0.24229218908241482
GROOVY-4356,154,5,5,1
