Key,LOC,NOF,NOP,Entropy
GUACAMOLE-1007,3146,31,8,0
GUACAMOLE-662,2518,45,17,0
GUACAMOLE-200,1597,10,3,0
GUACAMOLE-518,1372,9,3,1
GUACAMOLE-51,980,11,4,0
GUACAMOLE-938,404,4,2,0.6913698302025113
GUACAMOLE-1201,368,3,2,1
GUACAMOLE-205,336,10,4,0
GUACAMOLE-78,322,9,9,0.9999999999999999
GUACAMOLE-232,310,2,2,0
GUACAMOLE-1571,305,6,5,0
GUACAMOLE-540,305,6,5,0.7219280948873623
GUACAMOLE-934,277,8,4,0
GUACAMOLE-769,249,6,5,0
GUACAMOLE-231,244,6,6,0
GUACAMOLE-148,236,3,2,0
GUACAMOLE-76,212,9,6,0.9602297178607611
GUACAMOLE-81,205,17,5,0.9499420132200561
GUACAMOLE-44,203,3,2,0
GUACAMOLE-541,195,3,2,0
GUACAMOLE-412,171,7,4,0
GUACAMOLE-1388,149,5,3,0
GUACAMOLE-310,135,2,2,0
GUACAMOLE-414,121,4,2,0
GUACAMOLE-223,117,3,3,0
GUACAMOLE-77,111,5,5,0.9999999999999999
GUACAMOLE-185,93,2,2,0
GUACAMOLE-1446,92,16,13,0
GUACAMOLE-33,90,12,6,0.9513660725941632
GUACAMOLE-172,90,4,4,0.9456603046006401
GUACAMOLE-240,89,2,2,0
GUACAMOLE-167,85,2,2,0
GUACAMOLE-805,73,3,3,0
GUACAMOLE-715,72,4,3,0
GUACAMOLE-431,70,2,2,0
GUACAMOLE-1190,68,4,2,0
GUACAMOLE-1199,66,3,3,0
GUACAMOLE-1383,63,3,3,0
GUACAMOLE-1299,63,2,2,0
GUACAMOLE-931,59,2,2,0
GUACAMOLE-237,54,2,2,0
GUACAMOLE-847,53,2,2,0
GUACAMOLE-529,49,2,2,0
GUACAMOLE-736,48,11,8,0
GUACAMOLE-193,45,2,2,0
GUACAMOLE-1261,45,3,3,0
GUACAMOLE-201,45,3,3,0
GUACAMOLE-952,44,3,2,0
GUACAMOLE-927,43,3,2,0.828055725379504
GUACAMOLE-34,37,4,4,0.8033437314357733
GUACAMOLE-230,36,3,2,0
GUACAMOLE-893,35,2,2,0
GUACAMOLE-341,34,4,4,0
GUACAMOLE-1001,33,3,2,0
GUACAMOLE-320,33,4,4,0
GUACAMOLE-222,33,2,2,0
GUACAMOLE-396,26,2,2,0
GUACAMOLE-1263,25,2,2,0
GUACAMOLE-73,24,4,2,0
GUACAMOLE-128,24,3,3,0
GUACAMOLE-35,24,2,2,0
GUACAMOLE-347,24,3,3,0
GUACAMOLE-282,24,2,2,0
GUACAMOLE-184,23,2,2,0
GUACAMOLE-1181,22,3,3,0
GUACAMOLE-161,22,2,2,0
GUACAMOLE-1636,22,11,4,0
GUACAMOLE-958,20,2,2,0
GUACAMOLE-580,19,2,2,0
GUACAMOLE-955,19,2,2,0
GUACAMOLE-482,17,3,2,0
GUACAMOLE-1149,17,3,3,0
GUACAMOLE-94,16,3,2,0
GUACAMOLE-306,15,3,2,0
GUACAMOLE-1158,15,2,2,0
GUACAMOLE-301,13,2,2,0
GUACAMOLE-129,12,3,2,0
GUACAMOLE-355,12,2,2,0
GUACAMOLE-935,11,3,3,0.8812908992306927
GUACAMOLE-231,11,2,2,0
GUACAMOLE-817,11,2,2,0
GUACAMOLE-764,10,4,2,0
GUACAMOLE-1579,9,2,2,0
GUACAMOLE-1562,9,2,2,0
GUACAMOLE-500,9,2,2,0
GUACAMOLE-117,9,3,3,0
GUACAMOLE-110,8,2,2,0
GUACAMOLE-157,8,2,2,0
GUACAMOLE-194,8,3,3,0
GUACAMOLE-239,8,2,2,0
GUACAMOLE-323,7,2,2,0
GUACAMOLE-178,7,2,2,0
GUACAMOLE-400,7,2,2,0
GUACAMOLE-489,6,2,2,0
GUACAMOLE-1595,6,2,2,0
GUACAMOLE-324,6,2,2,0
GUACAMOLE-1031,6,2,2,0
GUACAMOLE-502,6,3,3,0
GUACAMOLE-979,6,2,2,0
GUACAMOLE-1225,6,4,3,0
GUACAMOLE-1227,6,4,2,0
GUACAMOLE-1215,6,2,2,0
GUACAMOLE-257,6,3,3,0
GUACAMOLE-717,5,2,2,0
GUACAMOLE-1384,5,2,2,0
GUACAMOLE-447,5,2,2,0
GUACAMOLE-67,4,5,5,0
GUACAMOLE-229,4,2,2,0
GUACAMOLE-1242,4,3,3,0
GUACAMOLE-1136,4,2,2,0
