Key,LOC,NOF,NOP,Entropy
HDFS-3579,2955,8,2,0.8902220097637679
HDFS-12681,2001,19,13,0.9211854965885543
MAPREDUCE-3121,1943,52,28,0.9351894472797138
YARN-4837,1407,39,24,0.929602083107532
MAPREDUCE-3078,1335,21,18,0.9449116289599279
HADOOP-7967,1296,32,22,0.950308352302772
MAPREDUCE-4819,1269,24,19,0.9418416192400638
MAPREDUCE-4894,1147,25,15,0
HADOOP-7324,1062,10,6,1
MAPREDUCE-2775,1048,22,11,0.9226760488581204
MAPREDUCE-2965,995,18,8,0.9289354628807461
MAPREDUCE-3240,965,21,15,0.8926492760272874
HDFS-6180,962,8,6,0.9455305560363264
MAPREDUCE-2952,906,26,19,0.9601402267739024
HADOOP-11934,818,5,3,0
YARN-2865,778,5,3,0.8443536850036222
YARN-5121,719,13,4,0
HDFS-4693,697,4,4,1
MAPREDUCE-4067,663,21,16,0.9391066549386179
MAPREDUCE-3398,644,18,16,0.8902871575129605
MAPREDUCE-4423,630,3,3,0
YARN-3304,619,11,5,0.9650020388664062
MAPREDUCE-3054,584,23,14,0.9485800872348288
HDFS-12682,583,24,13,0.8982444017039272
HDFS-12218,583,24,13,0.7816596645276666
HDFS-6422,581,13,8,0.604084086939203
HDFS-6962,570,26,15,1
HADOOP-10255,563,37,22,0.9602550098461564
MAPREDUCE-2954,545,10,4,0.9755037590061085
YARN-2946,541,13,5,0.9299763584366664
MAPREDUCE-2751,524,10,8,0.9251771358554945
MAPREDUCE-3350,520,14,9,0
MAPREDUCE-5536,509,21,13,0.890829660749343
YARN-193,491,21,12,0.9544338028939525
HDFS-7960,487,27,11,0.8304648220016473
HADOOP-11505,470,24,10,0
YARN-3655,467,5,3,0
YARN-897,465,7,3,0.8191266797356374
MAPREDUCE-2738,464,17,5,0.8603869945715462
HDFS-4877,459,15,4,0.9324045221607943
MAPREDUCE-3697,448,11,6,0.8699155297736257
HDFS-1480,441,5,3,0.8649735207179271
HADOOP-12533,441,4,3,0
YARN-1726,436,10,7,0.9755037590061085
MAPREDUCE-5279,422,6,4,0
HDFS-9427,406,23,19,0.8680102043747032
HADOOP-9549,405,3,3,0
YARN-5774,404,17,10,0
MAPREDUCE-2793,401,15,9,0.9758392587636588
YARN-2830,394,77,40,0.9606675964478442
HADOOP-12258,393,11,6,0
YARN-71,389,4,4,1
MAPREDUCE-4654,376,3,2,0
YARN-5373,367,11,7,0.9597508477506462
YARN-7163,364,20,6,0
HADOOP-6151,360,4,3,0
MAPREDUCE-2821,356,13,8,0.8270393803293333
YARN-3231,351,4,3,1
