Key,LOC,NOF,NOP,Entropy
YARN-926,7308,75,34,0.9331352306656757
HDFS-3916,5129,22,3,0.9999999999999996
YARN-10553,4517,10,3,0.9709505944546686
HDFS-5570,4475,36,16,0.892346484660978
YARN-7451,4214,22,6,0.9679694699064048
HADOOP-14445,4118,29,15,0.978347485907939
MAPREDUCE-2711,3963,5,5,0.8962406251802889
HADOOP-15446,3845,87,19,0.9908054591138301
MAPREDUCE-5412,3654,75,34,0.9331352306656755
HDFS-6293,3558,33,9,0.8394400914397798
YARN-4752,3517,23,6,0.9732146334251459
HDFS-13671,3212,36,18,0.9201045657708372
HDFS-5138,2985,44,18,0.8144244801731659
YARN-4648,2499,3,2,0
MAPREDUCE-5077,2434,17,8,0
YARN-4502,2250,24,16,0.9186581744567833
YARN-6216,2211,29,13,0
YARN-6363,2208,23,11,0
HDFS-3608,2030,27,4,0.963942375178191
MAPREDUCE-4440,1915,28,9,0.979613309799034
YARN-5889,1884,25,11,0.9881090915741205
HDFS-14967,1847,2,2,0
YARN-6366,1831,25,15,1
MAPREDUCE-4813,1752,36,12,0.9160158977692429
YARN-7258,1731,12,9,0
YARN-3983,1700,11,5,0.90507009727763
MAPREDUCE-7322,1524,22,10,0
HDFS-9080,1504,55,19,0.969178982985841
YARN-4311,1485,12,8,0.8043444700558314
HADOOP-9747,1480,6,4,0
HADOOP-9478,1473,7,7,0
HADOOP-6698,1470,27,9,0.8649735207179271
YARN-5388,1445,6,4,0
HDFS-11575,1376,18,6,0
YARN-6050,1350,32,20,0.8613531161467861
HDFS-8898,1320,24,15,0.8326608754909132
HDFS-11576,1307,9,8,0.9999999999999999
HDFS-6379,1294,10,7,0
YARN-8202,1294,9,8,0
YARN-7677,1251,11,7,0.8710776902592274
HADOOP-10141,1231,8,4,0
HDFS-2982,1212,25,8,0.9412865418641926
MAPREDUCE-2655,1199,15,11,0.9416178549113768
MAPREDUCE-6165,1164,3,3,0
HADOOP-13119,1159,6,4,0.9182958340544896
YARN-1453,1099,64,26,0.8730328308988172
MAPREDUCE-2764,1092,23,17,0.9264819918230719
YARN-45,1091,15,5,0.5916727785823274
YARN-3243,1075,13,4,0.9157701728456943
HDFS-8855,1067,7,6,0
MAPREDUCE-3717,1059,11,7,0
HDFS-11246,1057,2,2,0
HDFS-6451,1049,3,3,0
HDFS-10301,1045,14,8,0.9591479170272448
HDFS-3934,1025,8,7,0.9189900464321512
HDFS-3721,994,7,4,0.9046000163489061
HADOOP-7284,985,15,6,0.9428820280001846
YARN-7390,976,3,2,0
MAPREDUCE-3652,974,3,2,0
HDFS-13328,969,6,3,0
HADOOP-18321,964,14,7,0
YARN-8633,963,4,4,0
YARN-7088,951,37,24,1
YARN-9970,936,9,5,0.8702800850078923
HDFS-7496,935,24,8,0.9276053566056176
HADOOP-14170,929,4,3,0
YARN-1241,913,15,6,0.9232196723355077
MAPREDUCE-2677,912,22,6,0.979613309799034
HADOOP-3733,907,11,7,0.7896900821428474
HDFS-10609,907,7,5,0.920619835714305
YARN-1471,901,7,5,0
HADOOP-12551,891,5,3,0
MAPREDUCE-2264,882,6,5,1
MAPREDUCE-2649,881,14,6,1
HDFS-7728,879,27,5,0.9330350481805788
HDFS-15372,875,5,3,0
MAPREDUCE-5289,869,76,40,0.9385607925042186
HDFS-14111,846,9,8,0
MAPREDUCE-5139,835,51,34,0.933891975400943
YARN-10334,833,3,3,1
MAPREDUCE-5475,828,7,7,0.8647869792568111
YARN-6475,805,5,4,0
YARN-9341,800,53,32,0.9792375861451864
YARN-2637,791,19,13,0.9577135598377112
HDFS-9395,777,3,3,0
YARN-4000,774,26,14,0.9439652760571337
HADOOP-7223,767,9,4,0.863120568566631
MAPREDUCE-5325,753,25,15,0.9312971775147415
HDFS-16205,738,12,4,0
HDFS-8421,736,6,3,0.7770718451432451
YARN-5301,729,8,6,0.9629610647945144
YARN-8379,727,16,5,0
HDFS-7915,727,9,5,0.8710907166179828
HADOOP-17922,716,15,5,0.9432680223653442
HADOOP-6663,710,3,3,0
YARN-10154,702,11,4,0.9848586617875463
MAPREDUCE-6892,699,22,12,0
YARN-6102,693,14,6,0
HADOOP-11149,681,3,2,0
HADOOP-13789,670,5,2,0
HADOOP-10177,668,6,3,0.9999999999999999
HDFS-12935,667,5,5,0
HDFS-10797,666,11,4,0.9463946303571861
HADOOP-6240,666,7,3,0.875
YARN-2181,651,17,12,0.8992929828276938
YARN-8380,645,7,7,0.9609640474436811
HDFS-15423,645,5,5,0
HDFS-12914,636,4,4,0
HDFS-7456,636,15,7,0.8445412464587145
YARN-1885,630,28,16,0.9683829119432612
HADOOP-10250,625,4,3,0
YARN-599,625,7,3,0.9463946303571861
YARN-7952,623,15,12,0.9807239409418419
YARN-6302,622,19,9,0
HADOOP-14600,618,9,9,0
YARN-918,606,28,18,0.9382962923070876
MAPREDUCE-3312,601,5,4,0.9182958340544896
HADOOP-11321,600,9,8,0.9345154830993555
HDFS-6702,599,25,13,0.8899757434197542
MAPREDUCE-6846,584,3,3,0
HDFS-6651,583,21,4,0.7819695127067844
YARN-4629,581,7,6,0
HADOOP-7920,578,6,3,0.9463946303571861
YARN-4126,568,6,5,0.9852281360342515
HADOOP-6710,561,5,3,0
YARN-8761,560,19,16,0.9117416670684125
YARN-1824,559,18,16,0.9609640474436811
YARN-8248,556,7,4,0
HADOOP-15679,556,4,4,0
HDFS-3969,553,21,12,0.880160895483286
YARN-4767,551,11,8,0
MAPREDUCE-2365,548,15,7,0.9782223928152853
YARN-661,545,5,4,0.7659598179879971
HDFS-15147,545,10,7,0.9910760598382222
MAPREDUCE-5317,545,5,5,0.9544340029249649
HDFS-9939,542,6,3,0
HDFS-6056,542,29,13,0.9017065461758477
HADOOP-10490,541,4,3,0
HDFS-11538,540,24,10,0
HDFS-7163,539,8,5,0.9690222556651344
HDFS-9913,538,11,6,0
HDFS-12582,538,12,8,0
HDFS-6841,537,47,16,0.8729687964724478
HADOOP-6234,535,7,4,0
YARN-2073,535,6,3,1
YARN-9809,535,30,19,0
YARN-5714,534,4,4,0.9947372378779499
MAPREDUCE-4052,534,18,16,0.9609640474436811
MAPREDUCE-2606,534,6,3,1
MAPREDUCE-2789,532,16,13,0.9595258096620192
MAPREDUCE-2837,531,24,11,0.941734626111336
MAPREDUCE-5175,530,34,23,0.9595460119055153
YARN-9606,530,9,9,0
HDFS-11094,525,8,7,0.6695919455357793
YARN-5767,521,7,3,0
YARN-4026,519,7,5,0.8106352968964645
MAPREDUCE-6535,518,3,3,0
YARN-6467,516,14,8,0.9182958340544896
YARN-493,515,10,8,0
HDFS-10759,515,30,11,0.8914434183523268
HDFS-3157,514,5,5,0.8031140135750122
HDFS-14706,513,11,8,0.7219280948873623
YARN-1149,512,16,9,0.8603380065709937
YARN-6929,512,10,7,0
MAPREDUCE-5898,511,13,6,0.9684275911253815
HDFS-6305,510,4,4,0.6500224216483541
MAPREDUCE-5657,507,78,35,0.9450433355940556
MAPREDUCE-3055,506,12,9,0.9011341298898323
YARN-2743,506,10,8,0.9081585800092568
HDFS-5471,503,10,5,0.9283533700627632
HADOOP-9261,501,7,6,0
HADOOP-9228,501,7,6,0
YARN-4519,499,10,5,0.938462980643706
YARN-4212,494,13,4,0.9690222556651344
MAPREDUCE-4832,493,14,10,0.957742056202218
HDFS-10324,492,11,6,0
HDFS-7073,490,22,11,0.9592101522724052
HDFS-9780,490,5,4,0.9602297178607611
YARN-8929,487,6,3,0
MAPREDUCE-4737,487,6,4,0
YARN-7146,485,19,11,1
MAPREDUCE-6703,485,5,4,0.9463946303571861
HDFS-6294,483,25,8,0.8022213637452226
HDFS-2235,483,13,7,0.931089896505036
YARN-1783,482,7,3,0
MAPREDUCE-2697,481,12,4,0.9659134327745404
MAPREDUCE-3732,481,12,5,0.9524752712543503
MAPREDUCE-6549,481,5,5,0
HADOOP-14180,478,13,10,0
HADOOP-7353,478,7,3,0.8681110948877943
HDFS-6222,476,5,4,0
MAPREDUCE-6480,474,3,3,0
YARN-8538,472,12,9,1
MAPREDUCE-3829,472,6,3,0
MAPREDUCE-3961,471,37,14,1
MAPREDUCE-5656,470,8,6,0
YARN-596,468,15,4,0.8813534532688831
HDFS-3373,466,7,3,0.7917116702820189
HADOOP-16107,461,6,5,0
MAPREDUCE-2652,460,22,16,0.9644528420047959
MAPREDUCE-5239,460,32,23,0.9389066736806679
HDFS-7722,460,13,7,0.9350163325037856
YARN-5776,460,2,2,0
HDFS-10832,457,5,5,0
HDFS-16303,456,8,4,0
MAPREDUCE-4062,456,6,5,0
HDFS-3308,453,5,5,0.9609640474436811
HADOOP-13155,452,8,7,1
HDFS-11529,451,12,7,0.9999999999999999
HADOOP-17028,451,12,5,0
HADOOP-9413,449,13,11,0.9283832117695864
YARN-9118,447,7,4,0
YARN-8455,445,4,3,0
HDFS-4171,443,6,5,0.7219280948873623
HDFS-6439,443,12,9,0.9401966188888485
HDFS-5074,442,30,13,0.7219280948873623
HDFS-6898,442,12,7,0.8192834508368267
HDFS-4363,442,19,9,0.9163383218151825
HDFS-10843,440,7,4,0.9999999999999999
HDFS-6862,438,7,4,0
HDFS-13055,437,6,4,0
MAPREDUCE-5124,436,8,7,0
HDFS-13136,434,16,3,0.8649735207179271
HDFS-6981,434,10,6,0.8973789856454154
HDFS-11968,430,10,6,0.8649735207179271
HADOOP-11238,429,3,3,0
MAPREDUCE-5957,429,5,5,0
YARN-3388,428,4,3,0.7725068857142601
YARN-5641,426,5,5,0
HADOOP-16727,425,6,4,0
HDFS-16174,422,10,3,1
HADOOP-10880,420,6,3,0.9697238998682473
HADOOP-6439,420,3,3,0
YARN-72,414,7,4,0
HADOOP-12468,413,4,4,0
YARN-3769,413,6,5,1
YARN-8292,412,15,4,0.9463946303571861
MAPREDUCE-3125,412,3,3,0
HDFS-5555,412,10,7,0.9866312955554829
HDFS-4452,410,3,3,0
YARN-8648,410,11,8,0
MAPREDUCE-5204,409,38,26,0.9344809501938603
HDFS-7146,408,4,4,0.7725068857142601
YARN-5932,407,18,8,0.9708357627258161
HDFS-11164,407,9,7,0
MAPREDUCE-5028,406,8,7,0
YARN-2635,405,5,3,0
MAPREDUCE-7252,404,7,5,0
YARN-1553,404,40,31,0.8707845416637799
HADOOP-15478,402,4,3,0
HADOOP-9252,401,14,11,0.8613531161467861
HADOOP-11157,401,3,3,0.9709505944546686
YARN-2440,398,6,4,0
HDFS-14637,397,12,5,0
HDFS-3553,396,3,3,0.8112781244591328
HDFS-7957,396,6,3,0.8629771308020325
MAPREDUCE-3006,396,8,5,0.946287461288959
YARN-2026,395,5,4,0
HDFS-5704,393,10,5,0.8721650548689484
HADOOP-7964,391,8,6,0.9697238998682473
YARN-4280,390,7,4,0.9463946303571861
HDFS-16129,389,12,6,0
HDFS-9801,388,8,5,0.9528195311147831
YARN-7192,387,12,8,0
YARN-10468,386,2,2,0
HADOOP-13433,385,4,3,0
YARN-6805,384,5,5,0
HDFS-7515,384,33,14,0.9247390650857563
HDFS-8779,382,3,3,0
YARN-4524,381,3,2,0
MAPREDUCE-4479,380,2,2,0
MAPREDUCE-5167,379,31,21,0.9453317813264389
HDFS-12043,379,5,4,0.7298466991620974
MAPREDUCE-7103,378,2,2,0
HDFS-14434,376,6,5,0
YARN-6004,376,2,2,0
YARN-9527,376,3,3,0
YARN-3840,375,12,9,0
HDFS-5035,375,4,3,0
YARN-3453,375,9,4,0.8649735207179271
HDFS-6100,375,10,7,0.9141008920185651
HADOOP-6907,374,5,3,0.7732967821474691
YARN-75,374,4,4,1
YARN-9558,374,11,6,0.9825675930733634
YARN-2890,373,8,7,0.9250491934236446
HDFS-6326,373,13,10,0.700576754845952
HDFS-3510,371,6,3,0.9056390622295664
YARN-3849,371,4,3,0.9999999999999999
HDFS-8163,370,5,4,0.6913698302025113
MAPREDUCE-6616,370,3,3,0
HDFS-9301,368,8,4,0.8694627874146317
YARN-5554,366,4,4,1
HDFS-16591,366,9,8,0
MAPREDUCE-2693,365,4,3,0.9999999999999999
YARN-4389,365,8,6,0.8194483718728034
HDFS-4366,364,6,5,0
YARN-355,363,6,6,0.875
MAPREDUCE-5523,362,17,14,0.8173481235716543
HDFS-5122,362,6,5,0.9182958340544896
MAPREDUCE-3326,361,7,5,0.9751060324573733
HDFS-2545,361,6,5,0.9366673818775625
YARN-713,360,15,13,0.9294909601623742
MAPREDUCE-6684,360,3,3,0
MAPREDUCE-5282,358,37,25,0.9282043145218111
YARN-8738,357,3,3,0
HDFS-13023,356,10,7,0
YARN-495,356,13,7,0.9294834857694299
HDFS-3277,355,12,5,0.7959585933443496
HDFS-8999,354,16,7,0.8403546070127709
HDFS-3180,354,4,3,0
HDFS-8127,353,12,6,0.7037378825793379
HDFS-3031,352,10,6,0.769565680720438
YARN-8854,350,4,4,0
