Key,LOC,NOF,NOP,Entropy
HBASE-13798,8909,3,2,0
HBASE-4658,8386,19,9,0.9437937464955419
HBASE-819,7048,7,5,0.8222627070237594
HBASE-805,7025,4,4,0.9995708393473224
HBASE-638,6662,17,6,0.9562491436089663
HBASE-10336,6352,44,20,0.9940302114769564
HBASE-1586,6208,50,13,0.8830132404151462
HBASE-14406,5608,10,6,0
HBASE-5833,5541,21,12,0.7072549778021826
HBASE-15302,5261,12,10,0
HBASE-697,5199,16,4,0.9591479170272447
HBASE-14769,4763,15,9,0.9031258667932341
HBASE-14367,4683,19,13,0.9386350698404973
HBASE-4156,4434,28,5,1
HBASE-19496,4314,68,23,1
HBASE-6659,4164,18,9,0.7980627442708227
HBASE-13893,3813,97,28,0.9609640474436811
HBASE-7305,3474,33,12,0.8683131857752107
HBASE-12279,3258,33,3,0
HBASE-1385,3156,30,4,0.9505446550747755
HBASE-6611,3059,25,13,0.8462251667943635
HBASE-9182,2905,14,8,0.881556441089439
HBASE-9296,2740,10,5,0.9629610647945144
HBASE-21505,2717,23,11,0.8866828800015341
HBASE-3446,2667,42,19,0.825589586012165
HBASE-6272,2648,41,16,0.8604127547454529
HBASE-2840,2643,21,4,0.8208590378403715
HBASE-12751,2543,58,20,1
HBASE-6778,2399,49,26,0.9196494004967483
HBASE-18893,2384,15,9,0.9462651872218009
HBASE-19792,2288,6,3,0
HBASE-1790,2202,20,5,0.3095434291503252
HBASE-9230,2116,25,16,0.8549218951837855
HBASE-25568,2101,60,8,0
HBASE-26029,2032,33,11,0.8866483910737344
HBASE-9721,1924,16,12,0.8424763691585512
HBASE-13275,1901,9,7,0.9119170469093422
HBASE-7005,1858,27,3,0
HBASE-17624,1822,57,25,0.9706319429726952
HBASE-6381,1795,18,11,0.8325941883063644
HBASE-19134,1725,56,18,0.9130219184262132
HBASE-13082,1709,27,10,0.5697737595792064
HBASE-12126,1675,16,12,0.8701506925668053
HBASE-3112,1667,29,13,0.8664458433175684
HBASE-8764,1615,36,11,0.9335957197507538
HBASE-12740,1602,6,4,0.8058929680300275
HBASE-2437,1548,6,4,0.9463946303571861
HBASE-1761,1507,19,8,0.879881542831186
HBASE-4552,1497,9,7,0.7854272474374049
HBASE-1318,1494,8,7,0.9194959474862594
HBASE-15467,1454,27,15,0
HBASE-16993,1413,6,6,0
HBASE-13811,1407,22,12,0.8419967199792867
HBASE-12564,1397,20,11,0.9248464534420032
HBASE-7215,1394,37,11,0.6721113284026631
HBASE-1714,1367,16,7,0.8941001512259218
HBASE-7370,1364,9,7,0.9579945435450241
HBASE-3323,1355,10,4,0.8817708080970229
HBASE-1025,1320,14,7,0.81312690900572
HBASE-13097,1309,6,3,0.7219280948873623
HBASE-2151,1306,2,2,0
HBASE-7579,1296,5,3,0.9751060324573733
HBASE-1647,1288,7,3,0.8689526083132455
HBASE-10665,1272,6,3,0
HBASE-8930,1260,8,4,0.9148032861414372
HBASE-8327,1249,10,6,0.9211854965885542
HBASE-5104,1232,9,7,0.8423415361816292
HBASE-11797,1227,7,5,0.9999999999999999
HBASE-822,1203,9,3,1
HBASE-7232,1194,22,11,0.9639664236881201
HBASE-1916,1190,76,25,0.8969651467461844
HBASE-15196,1189,25,11,0.8838093947914534
HBASE-23181,1176,46,17,0.8202019266512645
HBASE-20601,1170,3,2,0
HBASE-17489,1162,5,4,0
HBASE-21248,1156,5,5,0
HBASE-2431,1130,16,6,0.9419352668854603
HBASE-22086,1121,5,4,0
HBASE-9129,1108,14,10,0.734401401439943
HBASE-4388,1103,13,9,0.8359526054773928
HBASE-12072,1093,24,11,0.9329234127691476
HBASE-7234,1090,26,17,0.9345559261906029
HBASE-20791,1058,5,3,0
HBASE-15650,1049,29,10,0.979569764547061
HBASE-11689,1046,15,10,0.8668758650906377
HBASE-12042,1024,76,25,0.9606852138170252
HBASE-18946,1004,28,13,0.9475231583990614
HBASE-9870,1001,48,17,0.938808716709174
HBASE-22074,995,23,8,0
HBASE-20411,990,29,3,1
HBASE-4634,983,74,20,0.9433988237395857
HBASE-15699,977,7,4,0
HBASE-6476,964,73,26,0.8819850441123274
HBASE-26281,957,9,4,0
HBASE-11983,935,47,16,1
HBASE-8877,935,12,7,0.65604170538303
HBASE-8299,934,17,5,0.7685098897591006
HBASE-19929,932,9,6,0.9602297178607611
HBASE-8531,932,13,6,0.8679283223729625
HBASE-11586,923,5,3,1
HBASE-8741,921,18,9,0.8557489567185635
HBASE-15875,914,38,21,0.9613377341556089
HBASE-18846,891,5,4,0.920619835714305
HBASE-25869,889,14,6,0
HBASE-20587,868,24,16,0
HBASE-19291,851,15,3,1
HBASE-11489,846,6,5,0
HBASE-11509,846,6,5,0
HBASE-10566,844,27,11,0.8623930088734705
HBASE-21707,836,12,4,0
HBASE-7383,833,13,7,0.3655322215997982
HBASE-13027,831,8,6,0.6695919455357793
HBASE-13895,829,10,8,0.4689955935892812
HBASE-25590,825,7,6,0.7219280948873623
HBASE-4169,825,8,4,0.7732967821474691
HBASE-5081,812,7,5,0.8391679941459171
HBASE-12034,801,21,9,0.8892013056717605
HBASE-24131,800,6,3,0
HBASE-12782,796,14,13,0.9426065103715944
HBASE-6728,794,6,6,0.6384510221121134
HBASE-16110,782,4,2,0
HBASE-588,780,12,3,0.8628646920745701
HBASE-25596,777,9,4,0.8856014073204163
HBASE-17578,773,14,11,1
HBASE-13294,773,8,2,0.8649735207179271
HBASE-3194,772,9,8,0.8781258656154106
HBASE-8506,761,12,9,0.9182958340544896
HBASE-12663,760,11,7,0.9295161320102843
HBASE-20066,759,9,8,0.8889979753972367
HBASE-2979,757,23,12,0.8599157984865674
HBASE-14004,750,28,10,0.981469313934892
HBASE-5795,746,4,3,0.9182958340544896
HBASE-17115,746,13,8,0.7219280948873623
HBASE-11373,745,12,7,0.8462279190060092
HBASE-26274,738,10,7,0
HBASE-4105,734,14,8,0.8810736212207931
HBASE-10466,729,9,3,0.7083211390478262
HBASE-22473,700,12,2,0
HBASE-2544,699,5,4,0.9586785101742112
HBASE-12665,696,7,6,0.5032583347756457
HBASE-21922,696,64,12,0
HBASE-19954,696,4,2,0
HBASE-21960,692,9,4,0
HBASE-7634,691,8,5,0.8453509366224364
HBASE-12073,691,15,9,0.9463946303571861
HBASE-21773,691,4,4,0
HBASE-8672,682,5,5,0.4394969869215134
HBASE-15670,680,6,3,0
HBASE-3028,676,12,8,0.8619956267208907
HBASE-9949,675,6,4,0.6500224216483541
HBASE-5986,668,10,7,0.8411832006338991
HBASE-7407,664,9,5,0.6697301150370141
HBASE-8900,663,2,2,0
HBASE-7725,662,13,5,0.8478327393917993
HBASE-2898,653,11,5,0.6617797890321233
HBASE-26938,650,28,8,0
HBASE-8140,648,5,5,0.6500224216483541
HBASE-23949,648,25,9,0.9182958340544894
HBASE-5564,642,7,5,0.8509553984313722
HBASE-14767,641,35,20,0
HBASE-649,635,13,5,0.8304069984793012
HBASE-20724,631,16,7,1
HBASE-9910,630,3,3,1
HBASE-6637,628,9,8,0.8936586862414604
HBASE-586,622,12,5,0.8696967839243066
HBASE-9508,618,76,31,0.913640699423553
HBASE-25307,618,7,4,0
HBASE-11333,614,4,4,0.9463946303571861
HBASE-19008,607,35,7,0
HBASE-1157,604,15,4,0.866333190564512
HBASE-10525,602,5,5,0.875
HBASE-589,602,24,9,0.8938364983657976
HBASE-19285,600,11,7,0
HBASE-18027,597,6,6,0
HBASE-15187,597,7,5,0
HBASE-16870,596,7,3,0.8699155297736257
HBASE-623,594,14,9,0.8485263736196033
HBASE-20634,591,18,8,0
HBASE-2727,591,6,4,0.7715092504353137
HBASE-876,587,87,18,0.8335184969124299
HBASE-24307,584,12,8,0.7709118050664144
HBASE-991,583,5,5,0
HBASE-14990,581,3,2,0
HBASE-507,578,8,2,0.8864643234221506
HBASE-10431,578,51,25,0.8429983139080174
HBASE-26384,573,4,3,0
HBASE-1320,571,18,9,0.9576866921917316
HBASE-21320,568,4,4,0
HBASE-16144,566,6,5,0.972362610668201
HBASE-21048,563,3,3,0
HBASE-16731,560,13,10,0.8603793885535264
HBASE-26036,556,8,7,0.9141008920185651
HBASE-19953,553,11,4,0
HBASE-3047,552,14,10,0.8302210658653603
HBASE-8882,549,5,5,0
HBASE-6429,546,11,4,0
HBASE-7268,545,22,14,0.8080128154775126
HBASE-3630,535,2,2,0
HBASE-18671,535,8,5,0
HBASE-13709,535,16,12,0.9283832117695864
HBASE-1740,533,6,3,0.8770842652484687
HBASE-528,533,9,5,0.9552031182081429
HBASE-5153,530,20,12,0.8099190791862445
HBASE-10485,527,4,3,0
HBASE-14370,523,9,3,0
HBASE-2961,521,20,13,0.883863547813671
HBASE-12954,517,8,6,0.8215228439464157
HBASE-6028,517,17,10,0
HBASE-5206,515,12,8,0.7458664862246378
HBASE-4270,514,6,3,0
HBASE-25292,514,25,11,0.948769510358905
HBASE-10970,511,4,3,0.8868595071429147
HBASE-3159,511,13,9,0.9075360411683193
HBASE-21213,509,25,16,0
HBASE-1457,507,13,4,0.8932663772791352
HBASE-5010,503,26,6,0.9267217680003995
HBASE-9461,496,12,3,0.8121607945551464
HBASE-8701,494,18,10,0.8198704525535924
HBASE-18551,488,14,7,0.9141008920185651
HBASE-24788,486,12,7,0
HBASE-17712,484,10,6,0.8897213752718902
HBASE-15027,484,20,11,0.8491853220906186
HBASE-5974,484,9,8,0.7296044695264863
HBASE-10490,479,5,4,0.9528195311147831
HBASE-11620,478,8,4,0.8112781244591328
HBASE-744,477,6,5,0.4689955935892812
HBASE-2553,476,8,5,0.8279849746380142
HBASE-8326,475,6,3,0
HBASE-12574,473,11,5,0
HBASE-22323,469,54,5,0
HBASE-1670,466,17,9,0.8076042703642867
HBASE-3006,466,8,6,0.7500345088461061
HBASE-15965,465,25,9,0.9999999999999998
HBASE-6894,465,6,5,0.8699155297736257
HBASE-1906,464,11,7,0.856692331223805
HBASE-5549,462,12,7,0.8305852404482551
HBASE-13028,462,7,5,0.967132018086354
HBASE-3100,462,13,9,0.9018886273990432
HBASE-22903,461,10,9,0.9165164431996023
HBASE-16664,460,16,4,0.986659958673865
HBASE-627,458,6,3,0.871837395854684
HBASE-10413,457,7,5,0
HBASE-9534,456,4,4,0.8112781244591328
HBASE-3010,455,12,6,0.8499216646571249
HBASE-4095,454,3,3,0
HBASE-14761,453,3,3,0
HBASE-3098,450,14,11,0.85832119563305
HBASE-16688,449,4,2,0
HBASE-23282,449,11,6,0
HBASE-15236,449,14,5,0
HBASE-4670,447,69,20,0.8869837319146509
HBASE-2803,444,11,4,0.88651901754885
HBASE-4072,444,8,5,0
HBASE-5200,440,3,3,0.863120568566631
HBASE-24294,439,10,3,0.975031878218105
HBASE-9748,438,17,10,0.9029048768513935
HBASE-11564,432,12,9,0.9999999999999999
HBASE-4271,429,8,5,0.7867390234160112
HBASE-3796,428,8,4,0.5713619478607342
HBASE-10958,428,10,6,0.9273450445733687
HBASE-9036,426,13,12,0.8602945755534819
HBASE-2531,424,23,15,0.7755030656329116
HBASE-9926,421,3,3,0.26676498780302604
HBASE-7777,419,4,4,0.8112781244591328
HBASE-9164,418,27,14,0.9018398040167448
HBASE-19919,418,35,21,0.9064315085556599
HBASE-12183,417,3,3,0.8112781244591328
HBASE-11554,417,3,3,0
HBASE-14660,416,4,3,0
HBASE-11766,416,2,2,0
HBASE-16551,416,9,4,0.5032583347756457
HBASE-22539,414,12,5,0
HBASE-20182,413,7,5,0
HBASE-14822,412,9,6,0
HBASE-6423,412,6,5,0.5066818470208005
HBASE-19598,410,13,10,0
HBASE-20741,404,7,4,0
HBASE-9869,404,3,3,0
HBASE-12219,404,8,8,0.8955324742143037
HBASE-18490,403,7,5,1
HBASE-12091,402,10,8,1
HBASE-19503,401,8,5,0
HBASE-12122,399,16,9,0.9274454755820257
HBASE-1574,399,11,6,0.8531317705856519
HBASE-3229,397,10,8,0.8060986113514965
HBASE-23312,397,5,3,0
HBASE-9547,397,6,4,0.8115082796286932
HBASE-15520,396,4,3,0
HBASE-21811,396,5,5,0
HBASE-11405,395,3,3,0.9798687566511528
HBASE-19510,395,5,2,0
HBASE-8505,392,7,7,0.931400125098263
HBASE-4455,392,16,10,0.742438388951341
HBASE-8797,391,12,9,0.8719082018157235
HBASE-12457,390,7,4,0.8175945758918562
HBASE-25280,388,3,3,0
HBASE-26768,387,4,4,0
HBASE-12603,387,65,30,0.9773209835198132
HBASE-659,387,9,5,0.9115099738131568
HBASE-20752,386,8,4,0.9999999999999999
HBASE-11527,386,13,8,0.934567232019116
HBASE-2519,385,17,6,0.9444092794272005
HBASE-14211,384,10,6,0
HBASE-13011,384,5,2,0.8322488896002307
HBASE-10012,382,63,28,0.8599088897919327
HBASE-927,380,14,4,0.7602411383590639
HBASE-16964,379,7,4,0.7706290693639404
HBASE-13560,377,5,5,1
HBASE-26178,375,8,3,0
HBASE-5849,375,3,3,0
HBASE-3147,375,14,8,0.7970789629168605
HBASE-9816,373,45,16,0.9191984677544809
HBASE-4647,372,24,18,0.9629610647945144
HBASE-10899,371,4,3,0
HBASE-13651,371,4,3,0.6840384356390417
HBASE-1831,370,12,7,0.8564384307135654
HBASE-2915,370,4,3,0.8194483718728034
HBASE-4540,369,6,5,0.6259837196324128
HBASE-26210,369,5,3,0
HBASE-4539,369,6,5,0.6259837196324128
HBASE-26960,366,5,4,0
HBASE-16345,365,5,3,0.9182958340544896
HBASE-13825,364,39,19,0.9462651872218009
HBASE-7192,364,3,2,0
HBASE-681,362,11,4,0.8534626477200141
HBASE-4052,361,3,3,0
HBASE-10656,361,10,7,0.8073249091317071
HBASE-12038,360,60,23,0.9565175596454266
