Key,LOC,NOF,NOP,Entropy
HIVE-13622,4460,28,19,0.9726863744255365
HIVE-136,2982,60,16,0.9175744981783097
HIVE-19498,2955,27,11,0.5063477710821173
HIVE-19384,2790,23,9,1.0000000000000002
HIVE-3443,2427,4,4,0.8649735207179271
HIVE-4561,1657,15,10,0
HIVE-8966,1419,28,17,0.967132018086354
HIVE-13395,1390,22,14,0.6597815899165383
HIVE-12353,1048,20,10,0.631071879524276
HIVE-487,869,20,12,0.94506993663091
HIVE-8221,828,18,8,0.6913698302025113
HIVE-318,806,26,8,0.7987710748925535
HIVE-16177,758,16,9,0.8699155297736257
HIVE-3218,671,18,5,0.973197315178593
HIVE-7985,611,6,5,0.9114406300356854
HIVE-10632,595,10,6,0.6713982813606043
HIVE-8732,542,13,4,0.8359889967247165
HIVE-7576,541,9,5,0.8112781244591328
HIVE-19248,470,13,11,0.9697238998682473
HIVE-14652,448,3,3,0
HIVE-5402,444,7,3,0
HIVE-8534,440,11,6,0.4764633824366997
HIVE-11388,440,16,8,0.968632253906078
HIVE-13856,419,3,3,0
HIVE-3484,408,8,3,0.7766490138119515
HIVE-8387,407,6,2,0
HIVE-16037,392,19,7,0
HIVE-4293,389,9,6,0
HIVE-13945,372,24,15,0.9618974703476995
HIVE-4119,362,4,4,0
HIVE-7957,358,5,4,1
HIVE-2117,357,6,3,0.9182958340544896
HIVE-12537,348,5,3,1
HIVE-5945,336,5,5,0.5762173955216959
HIVE-11031,336,5,3,0
HIVE-12064,326,7,5,0.6695919455357793
HIVE-8151,321,11,8,0.43408036125087623
HIVE-12577,316,7,3,0
HIVE-13961,315,3,3,0
HIVE-384,301,9,7,0.6706029327091878
HIVE-22685,258,3,3,0
HIVE-11768,242,8,7,0
HIVE-17172,212,4,4,1
HIVE-6586,212,2,2,0
HIVE-21843,201,12,8,0
HIVE-13599,196,3,3,0
HIVE-13725,189,5,5,1
HIVE-15104,181,7,5,0.7219280948873623
HIVE-1928,178,6,4,0.8054744763843985
HIVE-12724,173,5,5,0
