Key,LOC,NOF,NOP,Entropy
HIVE-25303,9599,24,14,0.8597585693200739
HIVE-9977,9232,32,15,0.9461718514116818
HIVE-6721,8684,49,10,0.962255818776177
HIVE-24909,8682,25,17,0.8963764347335242
HIVE-12215,8042,14,10,0.9111886696810592
HIVE-48,7966,13,4,0
HIVE-12075,7870,51,21,0.7772817800079785
HIVE-2562,7804,10,7,0.8944179259831345
HIVE-25504,6959,57,6,1
HIVE-24211,6954,24,14,0.9491261590039586
HIVE-15202,6659,24,12,0
HIVE-21631,6277,17,11,0.9211854965885543
HIVE-343,5738,30,10,0
HIVE-3079,5629,30,13,0.972432523951074
HIVE-25422,5550,14,2,0
HIVE-25915,5265,22,12,0.957742056202218
HIVE-11981,4906,59,23,0.93805287535895
HIVE-17147,4868,37,16,0.6022809636070834
HIVE-18240,4861,22,9,0
HIVE-2629,4844,26,13,0.9002858210509069
HIVE-10042,4625,4,2,0.9990102708804813
HIVE-13111,4578,86,20,0
HIVE-13682,4396,36,11,0
HIVE-20207,4093,55,10,0.9845034172484314
HIVE-20315,3962,35,9,0.9821410328348751
HIVE-19564,3959,10,6,0
HIVE-13178,3934,8,5,0.7364137599829962
HIVE-19711,3909,21,7,0
HIVE-6125,3813,60,20,0.8501643242500733
HIVE-16589,3469,30,15,0.6967027086301572
HIVE-20793,3326,36,15,0.7736006946447654
HIVE-13985,3243,19,7,0
HIVE-337,3127,62,11,0.8903329220946024
HIVE-16233,3099,30,9,0.8674556413455146
HIVE-13084,3052,7,6,0.9821410328348751
HIVE-16888,3028,12,6,0
HIVE-69,3024,37,5,0.9373011049988763
HIVE-20679,3017,77,19,0.7854752972273344
HIVE-20245,2891,31,8,0.9805683317417329
HIVE-22311,2872,23,16,0
HIVE-7704,2796,37,11,0.7836070356303859
HIVE-20294,2703,21,5,0
HIVE-10226,2679,57,11,0.9849357563894758
HIVE-3403,2675,26,7,0.7456711717114027
HIVE-15873,2646,40,30,0.7896900821428474
HIVE-7936,2637,14,8,0.9182958340544896
HIVE-1988,2632,15,10,0.8838087909638463
HIVE-6701,2625,16,10,0.9328605283986243
HIVE-13874,2608,30,19,0.9609640474436811
HIVE-12253,2571,18,10,0.9827308165908162
HIVE-20367,2399,40,4,0
HIVE-1915,2323,17,10,0.9657698932903847
HIVE-19529,2284,25,7,0.9146255133523657
HIVE-12767,2264,23,15,0.6518702905096468
HIVE-18352,2260,59,21,0
HIVE-20911,2246,42,20,0
HIVE-19565,2183,23,5,0
HIVE-10895,2147,5,4,0
HIVE-2674,2135,12,7,0.872497487061585
HIVE-24685,2109,10,5,0.9182958340544896
HIVE-23716,2074,52,19,0.6668801115087141
HIVE-6447,2064,33,12,0.8129739456501476
HIVE-26277,2044,20,5,0
HIVE-9593,1993,2,2,0
HIVE-736,1957,10,6,0.9554293273375704
