Key,LOC,NOF,NOP,Entropy
HUDI-3204,2270,40,25,0.8847257754450135
HUDI-2077,902,12,6,0.7208642439793533
HUDI-1434,899,30,21,0.937959523253579
HUDI-1129,852,22,15,0.8208375761612051
HUDI-3719,577,6,4,0
HUDI-3494,438,6,6,0.9709505944546686
HUDI-2752,427,20,12,0.9262280934240678
HUDI-3748,402,16,9,0.9099215388776507
HUDI-3135,371,19,15,0.8083109232335057
HUDI-4303,354,19,16,0.8639310753591652
HUDI-802,338,9,8,0.8699155297736257
HUDI-3855,331,19,12,0.9015495832025235
HUDI-3421,270,5,5,0.9463946303571861
HUDI-2840,249,19,12,0.8665872459210202
HUDI-3355,245,8,7,0.8319608522027202
HUDI-3370,243,18,14,0.9344362913641304
HUDI-2970,218,8,5,0.9138646883853215
HUDI-3998,210,18,12,0.9999999999999999
HUDI-3130,201,9,9,0.9400386617393354
HUDI-1723,194,5,4,0
HUDI-4197,193,5,4,0.9591479170272448
HUDI-3200,190,9,5,0.9382019533594902
HUDI-3921,176,9,9,0.8353813556177326
HUDI-1763,156,18,11,0.9011864413171192
HUDI-3451,152,7,6,0.8807752504269271
HUDI-2527,144,2,2,0
HUDI-4001,143,7,7,0.9335100357365149
HUDI-2496,142,6,5,0.9463946303571861
HUDI-3984,137,6,3,1
HUDI-3213,136,16,13,0.8799032505845932
HUDI-3194,135,4,4,0.9182958340544896
HUDI-2875,133,18,13,0.9068609253820042
HUDI-3667,122,9,9,0.9999999999999999
HUDI-2947,114,4,3,0.8031140135750121
HUDI-2904,104,9,8,0.9456593029391613
HUDI-2016,99,4,4,1
HUDI-2987,89,10,8,0.9821410328348751
HUDI-3978,81,4,4,0.9182958340544896
HUDI-3453,75,3,3,1
HUDI-2665,74,3,3,0
HUDI-2033,71,3,3,1
HUDI-1177,69,4,3,0
HUDI-1651,68,6,5,0.9349775297671233
HUDI-3643,67,6,3,0.9463946303571861
HUDI-3544,67,3,3,0.9852281360342515
HUDI-4072,65,4,4,0.9182958340544896
HUDI-44,62,8,7,0.7374568900013332
HUDI-2844,59,2,2,0
HUDI-1932,56,4,3,0.9463946303571861
HUDI-3642,50,3,3,0
HUDI-3845,49,3,3,0.4689955935892812
HUDI-4200,43,5,5,0.9528195311147831
HUDI-4192,38,3,3,1
HUDI-2480,37,5,5,0.9463946303571861
HUDI-3583,37,3,3,1
HUDI-3362,37,4,4,0.920619835714305
HUDI-2880,36,3,3,0.9709505944546686
HUDI-3548,35,4,4,0.8534739433956112
HUDI-3733,35,3,2,0.5916727785823274
HUDI-2017,35,6,4,0
HUDI-2013,31,4,4,0
HUDI-4003,28,2,2,0
HUDI-3426,24,3,3,0.9612366047228759
HUDI-3348,23,2,2,0
HUDI-3647,22,2,2,0
HUDI-2747,21,2,2,0
HUDI-3724,20,3,3,0.5916727785823274
HUDI-3723,20,2,2,0
HUDI-3093,17,2,2,0
HUDI-3670,16,4,2,0
HUDI-3521,12,4,3,0.7219280948873623
HUDI-1087,7,2,2,0
HUDI-525,6,2,2,0
HUDI-3253,4,2,2,0
HUDI-1200,3,3,2,0
HUDI-2473,2,2,2,0
HUDI-2800,1,2,2,0
