Key,LOC,NOF,NOP,Entropy
HUDI-1989,3044,16,12,0.8868595071429147
HUDI-3549,2817,47,28,0.9188281873266162
HUDI-3664,2297,49,35,0.9055048316621793
HUDI-4098,2066,19,11,0.9475573365278511
HUDI-3760,2023,47,22,0.902514521262321
HUDI-3396,1896,34,17,0.8937391571183775
HUDI-3993,1880,41,24,0.8794866888620522
HUDI-3896,1719,43,26,0.956390686551609
HUDI-3457,1465,23,11,0.9617334209730829
HUDI-4249,1205,38,23,0.8383457075860213
HUDI-741,1184,17,12,0.9339068454252959
HUDI-4202,1069,22,14,0.9486684095190384
HUDI-2086,1037,10,5,0.9528195311147831
HUDI-3406,719,10,6,0.9122066329329885
HUDI-2079,691,20,5,0.896240625180289
HUDI-3365,672,19,14,0.9329883761859948
HUDI-4420,637,16,10,0.9288094580122752
HUDI-4176,636,15,12,0.8844008524845507
HUDI-4178,632,29,23,0.8872800912495975
HUDI-3653,573,6,5,0.863120568566631
HUDI-3689,549,8,5,0.6767415163243736
HUDI-2305,544,19,14,0.6092203179798706
HUDI-1893,508,14,9,0.9411424989133542
HUDI-1879,487,13,9,0.8191355198899443
HUDI-3825,478,21,16,0.8836797474971468
HUDI-3669,462,8,6,0
HUDI-2909,439,36,28,0.8463611267154875
HUDI-1098,431,7,5,0
HUDI-389,428,15,6,0.9150096032515006
HUDI-2119,424,14,7,0.8920348327082516
HUDI-2917,395,12,8,0.9517183196428586
HUDI-3343,365,19,14,0.9268796874098554
HUDI-3322,365,19,14,0.9268796874098554
HUDI-3593,361,6,4,0.9372305632161295
HUDI-1489,357,3,3,1
HUDI-1716,356,8,7,0
HUDI-2872,355,13,9,0.8676896330568612
HUDI-2548,351,17,14,0.9008105993402894
HUDI-3834,346,13,8,0.7453148600323917
HUDI-2537,342,12,12,0.9242514937460616
HUDI-3337,330,6,5,0.9463946303571861
HUDI-3624,327,5,5,0.9610115714257866
HUDI-1950,324,9,5,0.7219280948873623
HUDI-3782,322,8,7,0.9251384479807238
HUDI-2243,308,6,5,0.9386935321483066
HUDI-3722,307,6,4,0.9182958340544896
HUDI-4298,300,11,9,0.9517961807358445
HUDI-2139,293,7,6,0.9061046786569098
HUDI-1234,292,8,7,0.9244211090762223
HUDI-2107,287,7,6,0.9138646883853215
HUDI-2990,280,12,8,0.8613531161467861
HUDI-3934,277,7,5,0.895640305638598
HUDI-789,277,3,3,0.9709505944546686
HUDI-3469,274,14,11,0.8491968053229427
HUDI-2483,273,7,7,0.8112781244591328
HUDI-1740,268,13,11,0.9732146334251459
HUDI-2081,265,3,3,0
HUDI-3841,260,3,3,0.9709505944546686
HUDI-1140,257,8,4,0
HUDI-1749,255,4,3,1
HUDI-2902,249,9,7,0.7818415436051007
HUDI-2861,246,9,8,0.6703538076375133
HUDI-1794,245,20,19,0.886134680433223
HUDI-711,242,4,4,0
HUDI-4400,240,5,4,0.9182958340544896
HUDI-4149,230,4,4,0.9999999999999999
HUDI-4170,222,7,3,0.9546444483376649
HUDI-4219,221,3,3,0
HUDI-4404,218,3,3,0
HUDI-2951,213,9,6,0.7640437042192221
HUDI-2009,209,13,8,0.9352672625244963
HUDI-4319,206,18,9,1
HUDI-3559,201,4,4,0.9463946303571861
HUDI-3826,200,6,5,0.9473539682709406
HUDI-3812,200,5,4,0.9099534554247559
HUDI-3902,195,9,4,0.9020290839518085
HUDI-3935,194,13,8,0.9424753984698789
HUDI-4290,193,4,3,1
HUDI-3972,193,5,4,0.7918374774323302
HUDI-4224,191,33,17,0.9708357627258161
HUDI-164,190,5,5,0.9463946303571861
HUDI-2731,187,7,5,0.9283832117695864
HUDI-3795,186,6,5,0.9697238998682475
HUDI-3663,185,5,5,0.882048827786958
HUDI-1915,182,7,7,0.9551954923827068
HUDI-3726,182,4,3,0.757839021442451
HUDI-1347,174,5,4,0.6643574057122259
HUDI-4291,172,2,2,0
HUDI-116,172,6,3,0
HUDI-3848,171,4,4,0.7219280948873623
HUDI-114,166,16,10,0
HUDI-1184,165,5,4,0.9609640474436811
HUDI-3729,162,7,4,0.8706283688741359
HUDI-740,162,6,4,0.9854752972273343
HUDI-1496,160,5,4,0.7219280948873623
HUDI-1996,159,5,5,0
HUDI-1550,158,9,5,0.8836333707797247
HUDI-3713,158,7,6,0.920237033637674
HUDI-1181,157,5,5,0.9232196723355077
HUDI-3805,151,4,4,0.7896900821428474
HUDI-1230,148,3,3,0.863120568566631
HUDI-135,147,4,4,0
HUDI-1618,146,4,3,0.8112781244591328
HUDI-4320,143,6,6,0
HUDI-1150,142,8,5,0.9629610647945144
HUDI-2868,140,5,2,1
HUDI-3634,139,4,4,0.9709505944546686
HUDI-3772,139,6,6,0.7262631349743797
HUDI-3844,138,5,5,0.5725552071907913
HUDI-2686,136,5,4,0.9182958340544896
HUDI-840,136,4,3,0
HUDI-2090,136,7,4,0.960058249314534
HUDI-1717,136,7,5,0.9609640474436811
HUDI-38,135,10,8,0.9999999999999999
HUDI-2217,134,4,3,0.8699155297736257
HUDI-2925,133,8,7,0.8258965442715471
HUDI-2716,132,5,4,0
HUDI-2307,131,4,4,0.8416997498853909
HUDI-3721,130,10,9,0.92556485421079
HUDI-2408,129,10,5,1
HUDI-1358,127,8,5,0.9211854965885542
HUDI-3977,126,9,7,0.8784952262128425
HUDI-298,126,7,5,0.9335100357365149
HUDI-2923,123,9,8,0.9181983117608232
HUDI-1804,122,4,3,0.9141008920185651
HUDI-4258,121,5,5,1
HUDI-63,120,3,3,0
HUDI-2798,118,6,6,0.9417623012206598
HUDI-162,118,13,9,0.9583797412805535
HUDI-232,117,12,10,0.8761298896559251
HUDI-204,117,3,3,1
HUDI-1919,117,4,4,0.5435644431995964
HUDI-3215,115,6,3,0.9462651872218009
HUDI-3776,114,4,4,0.9911594714322185
HUDI-3640,113,5,5,0.9182958340544896
HUDI-4340,113,6,5,0
HUDI-2131,112,6,3,0.9613833012053531
HUDI-1722,112,5,5,0.8112781244591328
HUDI-717,111,4,3,0.920619835714305
HUDI-4326,111,5,4,0.9910760598382222
HUDI-4171,109,8,7,0
HUDI-2069,109,6,6,0.9010924456664139
HUDI-2058,108,3,3,0.5032583347756457
HUDI-1254,107,3,3,0
HUDI-3178,105,6,6,0.8429810869594795
HUDI-1080,104,3,3,0
HUDI-4309,103,4,3,0
HUDI-3236,102,7,5,0.9755037590061086
HUDI-607,101,3,3,0
HUDI-2144,101,4,4,1
HUDI-2379,101,5,5,0.9224409677146626
HUDI-1809,100,4,4,0.9709505944546686
HUDI-1922,100,3,3,0.7219280948873623
HUDI-3936,100,9,5,0.9102424701086007
HUDI-3024,100,5,3,0
HUDI-1800,100,4,4,0
HUDI-1644,98,5,5,0.8649735207179271
HUDI-3716,97,6,6,0.9690222556651344
HUDI-3106,97,5,4,0.9528195311147831
HUDI-4100,97,4,3,0.9910760598382222
HUDI-3268,93,3,3,0.9709505944546686
HUDI-4403,91,6,5,0.8902220097637679
HUDI-723,90,3,3,0
HUDI-2286,90,4,4,0.6695919455357793
HUDI-1888,90,4,4,0
HUDI-2756,90,4,3,0.9182958340544896
HUDI-3861,89,3,3,0
HUDI-2053,87,5,4,0.9609640474436811
HUDI-535,86,8,6,0.9463946303571861
HUDI-2114,85,4,3,0.8112781244591328
HUDI-3686,83,3,3,0.4262286569981449
HUDI-3102,82,3,3,0.9852281360342515
HUDI-4282,82,4,3,0
HUDI-3595,82,4,4,0
HUDI-3464,81,3,3,0
