Key,LOC,NOF,NOP,Entropy
IGNITE-2943,2163,22,19,0.9999999999999999
IGNITE-7638,2037,15,7,0.8133211859633362
IGNITE-10052,1881,34,15,0.8900945116418711
IGNITE-1903,1811,34,12,0.9244658211275737
IGNITE-12227,1464,66,29,0.946741309647284
IGNITE-7143,1351,7,4,0
IGNITE-10561,1340,33,19,0.9755037590061085
IGNITE-9989,1127,12,9,0.8756175419010291
IGNITE-9298,1104,6,5,0.8070027314271101
IGNITE-8476,1069,8,5,0.8796544120394841
IGNITE-3699,1055,29,12,0.9247018733065668
IGNITE-4424,1050,6,4,0.964078764808229
IGNITE-12033,987,32,22,0.9697238998682475
IGNITE-1864,954,21,9,0
IGNITE-3504,952,5,4,1
IGNITE-10898,938,15,8,0.842140860349336
IGNITE-3799,877,15,8,0.9774795888896627
IGNITE-2552,873,11,9,0
IGNITE-9550,762,23,14,0.9113428389742156
IGNITE-8685,739,11,7,0.5900157193890014
IGNITE-2313,727,43,22,0.9147773168517398
IGNITE-12800,714,15,9,0.9035580910917864
IGNITE-12489,706,45,30,0.9559152905772157
IGNITE-8552,689,4,4,0.9886994082884974
IGNITE-14204,679,10,5,0
IGNITE-4111,640,14,10,0.7805337063825447
IGNITE-1544,626,13,10,0.9587446613154132
IGNITE-1355,623,30,18,0.791570357936199
IGNITE-625,615,10,4,0.8992042989107536
IGNITE-3597,546,53,43,0.9493964082428084
IGNITE-3191,534,9,7,0.9013798137439636
IGNITE-10959,529,6,5,0.9463946303571861
IGNITE-6324,520,12,7,0.9232196723355077
IGNITE-16579,512,6,5,1
IGNITE-6578,504,5,5,0
IGNITE-8122,485,17,11,0.7806126406590667
IGNITE-2753,484,6,5,0.6323993473853351
IGNITE-2604,468,7,4,0.8427376486136672
IGNITE-2450,461,16,6,0.8760436058933075
IGNITE-15951,440,4,4,0
IGNITE-2881,430,8,6,0.9056185178648962
IGNITE-7918,429,6,5,0.9910760598382222
IGNITE-8233,429,11,7,0.960058249314534
IGNITE-10554,423,34,17,0.9892972558517701
IGNITE-13553,408,7,6,0
IGNITE-6282,399,10,7,0.8920795639257109
IGNITE-13639,392,5,3,0.9709505944546686
IGNITE-2218,378,13,6,0.9182958340544896
IGNITE-1910,369,6,6,0.8686210827146237
IGNITE-10359,361,23,8,0.9449167240762234
IGNITE-1924,348,14,7,0
IGNITE-13414,347,8,6,0
IGNITE-8752,347,30,12,0.9411763975446986
IGNITE-8464,343,7,4,1
IGNITE-14725,342,17,12,0.9462651872218009
IGNITE-10421,340,21,12,0.9495956841869555
IGNITE-6044,330,7,7,0.8714737630876075
IGNITE-2249,329,12,10,0.8110587088699587
IGNITE-7278,319,4,4,0.863120568566631
IGNITE-16019,317,5,4,0.7896900821428474
IGNITE-7793,312,6,6,0.9808340377961403
IGNITE-12549,309,5,5,0
IGNITE-15549,301,6,6,0
IGNITE-13976,297,5,4,0
IGNITE-6375,294,9,6,0.9175744981783098
IGNITE-17123,283,9,7,0
IGNITE-11852,272,6,4,0.7219280948873623
IGNITE-8995,264,4,4,0
IGNITE-5786,261,7,4,0
IGNITE-614,259,4,3,0.7298466991620974
IGNITE-4219,257,8,7,0.4759970409543915
IGNITE-15146,244,11,4,0.9609640474436811
IGNITE-14250,243,10,5,0.967132018086354
IGNITE-3182,239,23,11,0.9999999999999999
IGNITE-8343,233,4,4,0.8112781244591328
IGNITE-13572,232,5,4,0
IGNITE-2455,230,5,5,0.8898674129376922
IGNITE-12530,230,17,11,0.9248006397629235
IGNITE-11614,229,4,4,0
IGNITE-835,226,7,6,0
IGNITE-2806,226,9,5,0.744127040566291
IGNITE-3467,223,5,5,0.8649735207179271
IGNITE-5399,223,10,6,0.7540533764152432
IGNITE-11650,216,4,4,0
IGNITE-11204,216,6,5,0.9323934896284055
IGNITE-12734,215,7,6,0.8777875964952415
IGNITE-12911,209,7,5,0
IGNITE-9290,207,38,16,0.9183431301955153
IGNITE-5553,203,9,7,0.8748367207773246
