Key,LOC,NOF,NOP,Entropy
IGNITE-12688,7011,46,18,0.8552674436024448
IGNITE-5729,6709,23,10,0.6229553757999423
IGNITE-891,5051,44,23,0.7354167504178156
IGNITE-6113,4206,51,19,0.8652217094695767
IGNITE-1653,4138,69,30,0.9409583900892993
IGNITE-15281,3784,34,9,1
IGNITE-10104,3703,34,10,0.8668652429095507
IGNITE-2191,3466,57,18,0.9325126845986947
IGNITE-7594,3431,14,9,0.8715852569101372
IGNITE-16650,3302,76,45,0.9639384467339627
IGNITE-264,3112,54,20,0.9142766335001463
IGNITE-8428,2957,51,26,0.9241167420456055
IGNITE-12038,2939,51,24,0.9472404662992677
IGNITE-8610,2930,23,11,0.8403919036677396
IGNITE-4678,2888,13,6,0.9282136470754653
IGNITE-8626,2725,17,8,0
IGNITE-1192,2627,29,11,0
IGNITE-3511,2541,36,24,0.9419959553375266
IGNITE-1956,2474,64,28,0.9048677369592496
IGNITE-6397,2463,39,11,0.9517802128210192
IGNITE-9864,2275,51,28,0.8492744955697503
IGNITE-218,2251,49,18,0
IGNITE-8640,2190,6,6,0.5435644431995964
IGNITE-9082,2140,24,13,0.906737312392549
IGNITE-1094,2123,25,15,0.8554019576079144
IGNITE-12387,2058,39,15,1
IGNITE-1590,2048,16,6,0.9240140363233272
IGNITE-4473,2046,17,11,0.8985807600306732
IGNITE-6949,1904,48,22,0.9573084256785105
IGNITE-6564,1834,20,11,0.9198863501350845
IGNITE-5388,1815,43,22,0.9211765526741333
IGNITE-8422,1798,8,6,0.8783471047618533
IGNITE-8719,1786,21,13,0.9020757712656885
IGNITE-14702,1764,20,10,0.9499420132200561
IGNITE-5795,1758,16,12,0.7950055756300146
IGNITE-4779,1755,20,11,0
IGNITE-11982,1745,56,40,0.9297677949885595
IGNITE-16581,1736,17,5,0.9484503122074789
IGNITE-8920,1726,36,21,0.9311940365048518
IGNITE-1619,1711,27,14,0.9327315833227724
IGNITE-12496,1690,23,16,0.7804132238095365
IGNITE-12853,1674,48,21,0.9289932038625521
IGNITE-9373,1651,28,16,0.8929715398364928
IGNITE-2099,1616,35,17,0.8989638893257902
IGNITE-8048,1610,15,9,0.8176600066499256
IGNITE-8911,1589,31,16,0.8613764628175117
IGNITE-10824,1520,7,4,0.6067520456541758
IGNITE-8320,1511,15,11,0.842323675685124
IGNITE-7514,1496,12,7,0.925443201868391
IGNITE-10643,1495,41,15,0.8781433094422457
IGNITE-12555,1485,31,13,0.9999999999999999
IGNITE-958,1481,33,16,0
IGNITE-2308,1464,27,5,0
IGNITE-10580,1452,84,16,0.8355713645179371
IGNITE-2228,1449,27,18,0.9241353623667345
IGNITE-5287,1439,43,20,0.8784687991067284
