Key,LOC,NOF,NOP,Entropy
IMPALA-10502,3918,30,9,0.9022968652028397
IMPALA-3899,3765,26,6,0.9673379079506734
IMPALA-5152,2397,70,11,0.9205859792758231
IMPALA-1619,2130,31,8,0.9414664152808305
IMPALA-9101,1767,15,8,0
IMPALA-2979,1451,11,5,0.8930136123504364
IMPALA-1755,1372,20,10,0.9999999999999999
IMPALA-3441,1319,19,5,0
IMPALA-3638,1271,68,9,1
IMPALA-1575,1084,14,5,0.8293274019019945
IMPALA-129,1075,19,4,0.9119621184381425
IMPALA-3343,1065,18,8,0.8987931696745562
IMPALA-9664,970,13,10,0
IMPALA-2615,904,93,16,0.9182958340544896
IMPALA-3724,897,10,7,0.9629610647945144
IMPALA-3726,889,24,10,1
IMPALA-1670,885,14,6,0.8096568334164151
IMPALA-2328,838,23,9,0.8962406251802889
IMPALA-7928,820,14,4,1
IMPALA-6340,698,29,7,1
IMPALA-5429,688,9,6,1
IMPALA-6500,650,7,3,0
IMPALA-3931,630,30,12,0
IMPALA-1422,625,6,4,0
IMPALA-1623,605,31,12,1
IMPALA-3063,597,23,4,0
IMPALA-4365,588,5,3,0.9032139773855579
IMPALA-4397,574,28,8,0.9807239409418417
IMPALA-3259,572,28,8,0.9807239409418417
IMPALA-1702,553,39,13,1.0000000000000002
IMPALA-2154,551,10,5,0
IMPALA-7844,550,9,6,0.9463946303571861
IMPALA-2382,549,5,4,0
IMPALA-20,512,17,7,0
IMPALA-3671,501,13,5,0.9999999999999999
IMPALA-6670,499,20,12,0
IMPALA-620,496,15,8,0.9335100357365149
IMPALA-525,465,21,5,0.9713256910609173
IMPALA-1952,455,6,5,0
IMPALA-2075,454,11,4,0
IMPALA-4705,452,16,6,0
IMPALA-1048,450,34,8,1
IMPALA-252,441,17,8,0.8751227365193184
IMPALA-249,441,17,8,0.8751227365193184
IMPALA-2086,436,7,4,0
IMPALA-197,428,18,6,0.8680751340374047
IMPALA-2076,415,18,4,0
IMPALA-3552,415,20,12,0
IMPALA-3611,412,6,2,0
IMPALA-2816,412,6,3,0.9629610647945144
IMPALA-5270,411,8,3,0
IMPALA-3629,407,15,3,0.9999999999999999
IMPALA-597,405,11,6,0.9358155217142358
IMPALA-571,400,3,3,0
IMPALA-85,391,8,4,0
IMPALA-13,390,14,6,0.9462651872218009
IMPALA-3079,380,8,4,0
IMPALA-4551,366,12,7,0.8824252235446576
IMPALA-2898,355,10,3,0
IMPALA-6326,343,3,2,0
IMPALA-4965,335,17,7,1
IMPALA-976,333,15,4,0
IMPALA-1820,331,12,4,0.9517961807358447
IMPALA-5338,329,19,12,0
IMPALA-2742,328,4,2,0
IMPALA-3833,323,10,4,0
IMPALA-3628,321,9,4,0
IMPALA-3360,319,10,4,0
IMPALA-2347,314,17,6,0.9804820237218405
IMPALA-2265,309,5,2,0
IMPALA-9669,309,12,8,0
IMPALA-2005,304,8,5,1
IMPALA-1676,302,8,3,0.967132018086354
IMPALA-1102,302,4,4,0.9672947789468944
IMPALA-5558,300,11,5,1
IMPALA-789,299,6,3,0
IMPALA-4026,288,7,4,0
IMPALA-1519,287,12,4,0.9685640295976682
IMPALA-3710,284,17,7,0
IMPALA-2048,277,7,3,0
IMPALA-5929,277,4,4,0
IMPALA-2892,275,3,2,0
IMPALA-3346,269,6,4,0
IMPALA-4929,268,5,2,0
IMPALA-5908,267,13,5,0
IMPALA-3639,266,2,2,0
IMPALA-1726,263,16,11,1
IMPALA-6300,263,7,5,0.9609640474436811
IMPALA-1346,258,4,2,0.8649735207179271
IMPALA-7106,246,18,3,0
IMPALA-5715,246,22,6,0
IMPALA-1019,246,8,4,0
IMPALA-6227,245,5,5,0
IMPALA-8663,245,7,7,0
IMPALA-3703,241,9,5,0
IMPALA-2990,241,12,6,0
IMPALA-3809,236,7,5,0.9182958340544896
IMPALA-1841,235,4,2,0
IMPALA-1873,235,4,2,0
IMPALA-1243,235,13,4,0.7097119535495765
IMPALA-6642,234,4,4,0
IMPALA-2378,233,15,5,0.9709505944546686
IMPALA-72,230,7,4,0
IMPALA-888,219,7,3,0.9463946303571861
IMPALA-3868,216,4,3,0
IMPALA-1731,216,4,3,0
IMPALA-2184,216,8,3,0
IMPALA-1867,213,5,3,0
IMPALA-2914,212,10,6,0.9182958340544896
IMPALA-2270,211,8,5,0
IMPALA-1690,210,12,6,1
IMPALA-1972,210,7,3,0
IMPALA-3524,208,3,2,0
IMPALA-397,207,9,5,0.9999999999999999
IMPALA-4731,207,9,5,0.9999999999999999
IMPALA-4725,207,7,4,0.9162695888499091
IMPALA-5746,206,9,3,0.9463946303571861
IMPALA-3652,205,46,3,0
IMPALA-4379,198,9,7,0
IMPALA-2688,195,13,8,0
IMPALA-5191,194,6,4,0
IMPALA-7604,193,5,4,0
IMPALA-1324,190,4,3,0.9223569568643887
IMPALA-4377,188,2,2,0
IMPALA-1578,187,5,3,0
IMPALA-2213,180,6,5,0
IMPALA-2728,178,11,4,0
IMPALA-4057,174,10,5,0.9182958340544896
IMPALA-3000,173,3,2,0
IMPALA-2284,171,10,5,0
IMPALA-8606,171,12,7,0
IMPALA-6429,167,4,4,0
IMPALA-2636,165,4,3,0
IMPALA-5476,163,3,3,0
IMPALA-7824,161,7,6,0
IMPALA-4120,161,7,5,0
IMPALA-4914,160,3,3,0
IMPALA-4546,160,5,2,0
IMPALA-1371,156,5,3,0.863120568566631
IMPALA-1632,156,5,5,0.8322488896002305
IMPALA-4058,156,6,5,0
IMPALA-3930,153,4,4,1
IMPALA-2570,153,4,4,1
IMPALA-27,152,6,3,0.9462651872218009
IMPALA-1699,150,8,4,0
IMPALA-1666,150,4,4,0
IMPALA-3641,149,3,3,0
IMPALA-2178,146,6,3,0.9999999999999999
IMPALA-3756,146,3,3,0
IMPALA-5539,146,15,10,0
IMPALA-8974,146,4,4,0
IMPALA-5164,144,8,3,0
IMPALA-6881,144,8,3,0
IMPALA-2592,143,11,4,0
IMPALA-3038,140,5,3,0
IMPALA-1033,140,9,4,0
IMPALA-5531,139,4,3,0
IMPALA-2029,138,17,8,0
IMPALA-1292,137,5,3,0.9703227248076732
IMPALA-2069,137,7,5,0
IMPALA-950,135,13,8,0.9755037590061086
IMPALA-3332,135,4,3,0
IMPALA-1476,134,8,4,1
IMPALA-3613,131,5,2,0
IMPALA-755,130,5,3,0
IMPALA-7662,129,11,4,0
IMPALA-7272,129,8,3,0
IMPALA-3040,126,5,5,1
IMPALA-3084,126,7,4,0.9190368861092725
IMPALA-7211,125,4,3,0.9182958340544896
IMPALA-3732,124,6,3,0.9697238998682473
IMPALA-8984,123,4,3,0.8112781244591328
IMPALA-2642,123,4,3,0
IMPALA-9949,123,7,3,0.9999999999999999
IMPALA-7961,123,5,3,1
IMPALA-2913,122,2,2,0
IMPALA-2207,121,7,4,0
IMPALA-10413,120,5,4,0
IMPALA-3242,119,12,5,0.9475231583990614
IMPALA-2732,118,5,4,0
IMPALA-3713,117,5,4,0
IMPALA-5776,116,4,3,0
IMPALA-7957,115,6,3,0
IMPALA-1584,114,6,4,0
IMPALA-6812,113,12,8,0.9999999999999999
IMPALA-10233,111,9,5,0
IMPALA-9152,110,6,3,0
IMPALA-2915,110,3,3,0
IMPALA-966,109,8,3,0
IMPALA-6498,105,2,2,0
IMPALA-1240,105,2,2,0
IMPALA-3237,105,8,4,0
IMPALA-3643,104,9,4,0
IMPALA-8270,103,4,2,0
IMPALA-5355,103,4,4,0
IMPALA-7545,102,5,4,1
IMPALA-8842,101,7,7,0.9911594714322185
IMPALA-3126,101,2,2,0
IMPALA-1567,101,4,4,0
IMPALA-2365,100,3,3,0
IMPALA-2481,100,7,3,0.8112781244591328
IMPALA-4387,99,7,5,1
IMPALA-4858,99,9,4,0
IMPALA-7835,99,6,4,0
IMPALA-3893,98,6,5,0
IMPALA-3901,98,6,5,0
IMPALA-2358,97,6,4,0
IMPALA-234,97,6,6,0.8112781244591328
IMPALA-3942,97,4,4,0
IMPALA-2344,96,4,2,0
IMPALA-3962,95,10,3,0
IMPALA-5327,95,5,3,0
IMPALA-4890,94,4,3,0
IMPALA-2734,94,5,3,0
IMPALA-1898,94,4,3,0
IMPALA-7665,93,5,4,0
IMPALA-8178,92,17,7,0
IMPALA-1319,92,6,5,0.843583072663759
IMPALA-3314,92,7,5,0
IMPALA-7960,91,3,3,0
IMPALA-3513,90,6,4,0
IMPALA-3095,90,3,2,0
IMPALA-3039,90,6,3,0.9349775297671233
IMPALA-6772,88,3,3,0
IMPALA-7335,88,3,2,0
IMPALA-1261,87,4,3,0.8453509366224364
IMPALA-8926,87,5,4,0
IMPALA-8852,87,5,4,0
IMPALA-2565,87,3,3,0
IMPALA-709,86,6,3,1
IMPALA-8103,85,9,5,0
IMPALA-1170,84,3,3,0
IMPALA-6660,84,7,4,0
IMPALA-2888,84,5,4,0
IMPALA-6590,83,11,8,0.7668937437992748
IMPALA-795,83,6,5,0.9548193549840598
IMPALA-3785,83,6,5,0
IMPALA-1401,83,3,2,0
IMPALA-7784,82,9,6,0
IMPALA-5668,82,6,3,0
IMPALA-1794,80,6,4,0
IMPALA-9596,80,6,4,1
IMPALA-1475,80,8,6,0
IMPALA-7559,78,5,3,0
IMPALA-3034,78,11,3,0.8112781244591328
IMPALA-8191,77,3,3,0
IMPALA-3817,77,3,3,0
IMPALA-2264,76,4,3,0
IMPALA-2648,76,5,3,1
IMPALA-164,75,2,2,0
IMPALA-7833,75,4,2,0
IMPALA-5357,75,3,2,0
IMPALA-5664,74,8,4,0.9182958340544896
IMPALA-3317,74,3,3,0
