Key,LOC,NOF,NOP,Entropy
IMPALA-9708,6880,68,23,0
IMPALA-3719,4044,47,18,1
IMPALA-3374,3630,30,7,0.9292661415036004
IMPALA-5754,3217,7,4,0.9182958340544896
IMPALA-1612,2263,43,9,0
IMPALA-6039,2159,17,6,0.9609640474436811
IMPALA-10325,2045,40,10,0
IMPALA-9154,1891,37,6,1
IMPALA-4117,1864,5,2,0.9182958340544896
IMPALA-2716,1829,26,17,0.9695703501901249
IMPALA-1599,1708,30,8,0.8237693574833553
IMPALA-7241,1605,57,12,0.9238647928751815
IMPALA-4108,1571,39,10,0
IMPALA-5920,1541,13,6,0
IMPALA-3659,1319,19,5,0
IMPALA-10737,1263,17,8,0.9823887817956214
IMPALA-534,1075,19,4,0.9119621184381423
IMPALA-4862,1039,43,10,0
IMPALA-2444,1012,7,3,0.863120568566631
IMPALA-7595,998,13,7,0.9766146686727132
IMPALA-9649,997,8,4,0
IMPALA-7061,993,7,7,0
IMPALA-2538,960,24,8,0
IMPALA-10950,945,2,2,0
IMPALA-7412,928,5,4,0
IMPALA-4302,892,32,10,0
IMPALA-7095,857,21,4,0
IMPALA-8791,822,13,5,0.9560313383353007
IMPALA-9077,796,8,6,1
IMPALA-7033,790,7,4,0.935944697445866
IMPALA-7030,790,7,4,0.935944697445866
IMPALA-4586,766,21,8,1
IMPALA-6389,764,9,2,0
IMPALA-10838,762,16,4,0
IMPALA-4231,750,20,5,0
IMPALA-8962,749,19,8,0
IMPALA-9731,744,5,5,0
IMPALA-4879,723,25,9,0
IMPALA-4878,723,25,9,0
IMPALA-4364,720,10,6,0
IMPALA-7931,715,16,7,0
IMPALA-7794,709,4,3,0
IMPALA-4172,706,7,4,0.9681300137657637
IMPALA-3940,702,10,6,0
IMPALA-995,702,10,3,0.8775184401186072
IMPALA-6518,698,29,7,1
IMPALA-6215,692,9,7,0.957742056202218
IMPALA-4495,691,27,6,0.9683925140412226
IMPALA-7537,681,9,6,0.9953278668354073
IMPALA-5750,672,56,13,0
IMPALA-10554,664,9,5,0
IMPALA-10627,646,12,8,0.9602297178607611
IMPALA-6920,627,14,4,0
IMPALA-5534,613,8,6,0
IMPALA-8858,612,13,6,0
IMPALA-10069,607,15,5,0
IMPALA-1675,607,5,3,0.9206198357143047
IMPALA-9661,585,22,6,0
IMPALA-4091,583,73,13,0
IMPALA-6372,568,4,3,0
IMPALA-2491,565,14,4,0
IMPALA-10914,556,19,10,1
IMPALA-4561,547,19,8,0.9119335452750653
IMPALA-2233,538,25,6,0
IMPALA-4135,528,7,3,0
IMPALA-8279,524,4,3,0
IMPALA-5537,517,18,9,0
IMPALA-3764,481,19,6,0
IMPALA-8783,474,10,4,0
IMPALA-30,473,7,5,0
IMPALA-9957,471,11,5,0
IMPALA-9955,471,11,5,0
IMPALA-10956,468,2,2,0
IMPALA-9714,466,13,4,0
IMPALA-2620,465,22,9,0
IMPALA-5019,462,6,5,1
IMPALA-3575,461,18,12,0.9629610647945144
IMPALA-912,457,9,5,0
IMPALA-4780,452,16,6,0
IMPALA-1228,452,11,4,0.9544288139898591
IMPALA-4779,452,16,6,0
IMPALA-11053,452,20,9,1
IMPALA-1691,442,10,6,0.9115339911368304
IMPALA-3141,442,20,6,0.948769510358905
IMPALA-7096,441,13,4,0.957742056202218
IMPALA-5532,439,12,5,0
IMPALA-10656,439,11,7,0
IMPALA-2090,436,7,4,0
IMPALA-7905,434,14,7,1
IMPALA-1852,433,8,4,0
IMPALA-2132,433,8,4,0
IMPALA-626,423,29,11,0.9365435351726666
IMPALA-3711,420,12,6,0
IMPALA-5599,412,14,6,0
IMPALA-9385,412,24,8,1
IMPALA-6948,411,11,9,0
IMPALA-1116,408,22,5,0.9182958340544896
IMPALA-5014,406,16,7,0.8649735207179271
IMPALA-8073,404,13,7,0
IMPALA-4940,393,6,6,0.9544340029249649
IMPALA-4939,393,6,6,0.9544340029249649
IMPALA-785,390,5,3,0
IMPALA-7597,390,4,3,0
IMPALA-1101,387,16,7,0.9739760316291207
IMPALA-9357,386,8,4,0
IMPALA-736,386,10,6,0.9417623012206596
IMPALA-1195,384,9,3,0.9272635841016705
IMPALA-8630,376,7,4,0
IMPALA-657,375,16,5,0.9558073035958116
IMPALA-862,374,10,5,1
IMPALA-1453,373,8,3,0
IMPALA-4658,372,37,3,0
IMPALA-3610,367,11,4,0
IMPALA-1141,365,6,6,0
IMPALA-2726,363,5,4,0
IMPALA-2295,357,9,3,0.9464119282150146
IMPALA-8312,355,5,4,0
IMPALA-5388,355,9,6,0
IMPALA-1589,351,6,5,0.9182958340544896
IMPALA-10626,340,14,8,0.8437590816619511
IMPALA-5315,336,5,4,0.5589409160340044
IMPALA-4038,331,8,4,1
IMPALA-592,329,7,4,0.9462651872218009
IMPALA-329,328,14,9,0.7198932867717507
IMPALA-7421,322,12,4,0.9999999999999999
IMPALA-827,318,8,6,0.9372305632161295
IMPALA-8851,316,11,7,1
IMPALA-5221,312,9,2,0
IMPALA-6962,310,7,6,1
IMPALA-495,310,26,3,0.899553486800372
IMPALA-309,309,4,3,0
IMPALA-6488,309,4,3,0
IMPALA-2002,306,8,6,0
IMPALA-5576,300,11,5,1
IMPALA-3115,300,12,3,0.9609640474436811
IMPALA-3501,299,6,4,0
IMPALA-432,298,6,4,0.9025182662886329
IMPALA-7616,297,15,9,0
IMPALA-8058,297,6,4,0
IMPALA-4432,292,24,7,0.9755037590061085
IMPALA-3745,292,9,5,0.8649735207179271
IMPALA-6717,289,2,2,0
IMPALA-9045,287,13,10,0.9182958340544896
IMPALA-6171,286,10,5,0.9642388260732416
IMPALA-3024,286,4,2,0.7896900821428474
IMPALA-958,283,13,6,0.9528195311147831
IMPALA-7311,282,9,7,0.8663016377374095
IMPALA-9151,282,8,7,0
IMPALA-588,281,6,4,0.9709505944546686
IMPALA-8446,279,6,2,0
IMPALA-7734,278,8,5,0
IMPALA-7678,273,7,5,0.9674887648835616
IMPALA-7721,273,7,4,0
IMPALA-2696,268,6,3,0
IMPALA-10660,266,7,3,0
IMPALA-1427,265,8,6,0
IMPALA-10714,263,4,2,0
IMPALA-7476,262,2,2,0
IMPALA-87,262,13,6,0.7951579519429205
IMPALA-4381,259,4,3,0
IMPALA-2838,256,8,7,0
IMPALA-4449,256,4,3,0.9182958340544896
IMPALA-4494,255,4,2,0
IMPALA-7907,255,8,6,0
IMPALA-3159,255,5,4,0
IMPALA-3245,254,5,3,0
IMPALA-3305,254,5,3,0
IMPALA-4104,254,8,3,0.9708357627258161
IMPALA-1646,253,8,5,0
IMPALA-8553,250,18,9,0.887169925458184
IMPALA-8552,250,18,9,0.887169925458184
IMPALA-677,249,7,3,0
IMPALA-1091,249,12,8,0
IMPALA-8839,249,5,5,0.9874687506009635
IMPALA-482,248,15,5,0.9335100357365149
IMPALA-7626,247,11,7,0
IMPALA-1437,247,12,6,0.8859142421682963
IMPALA-1302,242,9,6,0.9460249653968296
IMPALA-11263,240,4,3,0
IMPALA-10815,239,6,4,1
IMPALA-9071,238,8,8,0
IMPALA-1669,238,3,3,0
IMPALA-444,237,3,2,0
IMPALA-9183,232,8,6,0
IMPALA-1596,232,8,3,0
IMPALA-809,230,5,2,0
IMPALA-742,230,4,3,0
IMPALA-3915,228,9,3,0
IMPALA-1822,227,8,4,0
IMPALA-10600,227,5,5,0
IMPALA-9350,227,13,7,0
IMPALA-4435,227,3,2,0
IMPALA-10127,227,3,2,0
IMPALA-1142,226,8,6,0
IMPALA-9643,226,10,5,0.9756149631508355
IMPALA-6364,225,7,2,0
IMPALA-9851,225,9,3,0
IMPALA-4902,223,6,4,0
IMPALA-9047,223,8,7,0
IMPALA-5116,222,8,3,0
IMPALA-10005,222,3,3,0
IMPALA-831,221,6,2,0.9182958340544896
IMPALA-7025,220,4,3,0
IMPALA-4323,219,6,5,0
IMPALA-1900,219,4,3,0
IMPALA-37,219,5,2,0.895640305638598
IMPALA-169,218,6,3,0.5931390622295665
IMPALA-11034,215,7,5,0
IMPALA-119,215,6,3,0
IMPALA-1178,214,6,2,0.8079022659701258
IMPALA-4923,214,6,3,1
IMPALA-2062,213,38,8,0
IMPALA-3946,213,4,2,0
IMPALA-4336,213,5,3,0
IMPALA-4319,210,20,11,0.9999999999999999
IMPALA-5273,209,3,3,0
IMPALA-749,209,4,4,0
IMPALA-1304,208,6,3,0.9842722474172207
IMPALA-934,208,10,7,0
IMPALA-189,207,10,4,0.9709439591518343
IMPALA-1318,207,10,5,0.7592369330532206
IMPALA-9709,204,26,15,0.9211854965885544
IMPALA-2878,204,13,5,0
IMPALA-2897,203,12,3,0
IMPALA-5352,203,5,3,0
IMPALA-4207,202,3,2,0
IMPALA-624,201,6,4,0.975031878218105
IMPALA-358,200,12,6,0.6811931019937967
IMPALA-765,199,6,3,0
IMPALA-2042,199,5,4,0.6500224216483541
IMPALA-5903,199,5,4,0
IMPALA-3378,198,12,6,0
IMPALA-3379,198,12,6,0
IMPALA-4593,198,3,3,0
IMPALA-8946,198,6,2,0
IMPALA-5017,198,6,3,0
IMPALA-5522,197,6,3,0
IMPALA-11274,194,14,5,0
IMPALA-3385,194,10,5,1
IMPALA-6241,193,3,3,0
IMPALA-4792,193,4,3,1
IMPALA-561,193,7,4,1
IMPALA-2160,190,5,2,0
IMPALA-1307,190,4,3,0.9223569568643887
IMPALA-7460,190,9,6,0
IMPALA-4504,190,5,3,0.9182958340544896
IMPALA-587,190,8,5,0
IMPALA-1209,189,4,4,0.8112781244591328
IMPALA-10945,189,3,2,0
IMPALA-367,188,10,4,0.7976051012250923
IMPALA-6816,188,10,6,0
IMPALA-466,187,15,4,0
IMPALA-5144,187,11,6,0
IMPALA-7403,186,5,3,0
IMPALA-2195,185,3,3,0
IMPALA-9266,184,4,4,0
IMPALA-1438,184,7,6,0
IMPALA-4410,183,11,5,0.9473539682709406
IMPALA-689,183,7,4,1
IMPALA-8205,182,11,7,0.9247991567825665
IMPALA-5488,181,6,4,0
IMPALA-1856,179,6,5,0
IMPALA-3906,179,4,3,0
IMPALA-5236,179,11,3,0.9591479170272447
IMPALA-724,178,11,7,0
IMPALA-10905,178,3,3,0
IMPALA-6661,177,9,4,0
IMPALA-6468,176,6,3,0
IMPALA-6230,176,6,3,0
IMPALA-5582,175,8,7,0
IMPALA-9964,175,8,5,0.979569764547061
IMPALA-4620,175,26,2,0
IMPALA-4924,175,9,5,1
IMPALA-8847,174,4,4,0.9182958340544896
IMPALA-1278,174,2,2,0
IMPALA-10243,173,5,3,0
IMPALA-2350,173,2,2,0
IMPALA-1429,170,5,3,0.9609640474436811
IMPALA-2987,170,8,6,0
IMPALA-8459,169,13,8,0.8586727110732549
IMPALA-6530,168,10,4,0.9697238998682473
IMPALA-7704,167,5,5,1
IMPALA-694,167,5,3,0
IMPALA-849,167,8,5,0
IMPALA-8277,167,4,2,0
IMPALA-5497,166,6,2,0.9690222556651344
IMPALA-8207,166,7,5,0.9999999999999999
IMPALA-4098,165,7,3,1
IMPALA-2558,164,4,3,0
IMPALA-8830,162,9,3,0
IMPALA-8816,161,20,4,0.9591479170272448
IMPALA-4664,160,3,3,0
IMPALA-1756,160,10,5,0
IMPALA-5890,159,10,5,0.9182958340544896
IMPALA-4964,158,4,3,1
IMPALA-5412,157,9,4,0
IMPALA-9131,157,7,5,0
IMPALA-1645,156,5,5,0.8322488896002307
IMPALA-2667,156,4,3,0
IMPALA-8469,156,9,6,0
IMPALA-14,154,4,3,0.9709505944546686
IMPALA-1029,153,6,5,0
IMPALA-3376,153,5,4,0
IMPALA-1408,152,5,2,0
IMPALA-6614,151,7,2,0
IMPALA-2226,151,7,6,0.9709505944546686
IMPALA-3383,151,14,8,0
IMPALA-10036,149,7,3,0
IMPALA-6724,149,7,3,0
IMPALA-1036,149,10,5,0.7896900821428474
IMPALA-9128,149,10,6,0
IMPALA-1072,149,4,3,0.9182958340544896
IMPALA-9782,148,6,4,0
IMPALA-786,148,9,7,0.9101415926479804
IMPALA-1392,148,4,3,0
IMPALA-7446,148,9,4,0
IMPALA-3936,148,4,2,0
IMPALA-1714,147,11,8,0.9609640474436811
IMPALA-3105,147,10,3,0
IMPALA-4865,147,14,9,0
IMPALA-10184,147,10,4,0
IMPALA-680,146,3,3,0
IMPALA-769,145,3,2,0
IMPALA-9030,145,9,6,1
