Key,LOC,NOF,NOP,Entropy
OAK-8710,1932,16,11,0.9247991567825665
OAK-7358,1903,19,7,0.9755037590061086
OAK-3629,1115,14,5,0.9020646476826887
OAK-2294,1039,18,5,0.9297233920690261
OAK-1094,968,4,4,0
OAK-1604,710,21,12,0.7513668920641281
OAK-1174,597,7,5,0.8879294741223203
OAK-2557,575,7,5,0.7867012262088835
OAK-643,539,6,5,0.7947865639655296
OAK-8314,505,7,6,0
OAK-1471,442,15,6,0.8916260363346012
OAK-1111,435,31,16,0.9230537463453861
OAK-1998,390,6,4,0
OAK-1137,359,11,9,0.8150727736343564
OAK-1622,329,6,5,0.40351514000041366
OAK-4114,266,5,5,0.863120568566631
OAK-4066,265,3,3,0.9852281360342515
OAK-5096,259,4,3,0.921302010636776
OAK-6252,244,22,4,0
OAK-1168,228,4,4,0.8734790278701755
OAK-2929,223,3,3,0.8366407419411672
OAK-3156,220,4,3,0.9182958340544896
OAK-3139,200,9,4,0.797881013442818
OAK-2401,186,3,3,0
OAK-1226,180,4,4,0.8194483718728034
OAK-5125,177,14,8,0.7382446058995827
OAK-4946,173,4,3,0
OAK-8591,171,3,3,0
OAK-2420,167,3,3,0.8904916402194913
OAK-1566,153,6,4,0.7611563729041362
OAK-510,146,9,5,0.82406943027187
OAK-5070,143,6,4,0.7708443071693558
OAK-1465,141,4,3,0.8023534428291901
OAK-8949,137,3,3,0
OAK-1076,133,3,3,0
OAK-2863,130,4,3,0.9922150607220181
OAK-1589,126,4,3,0.9811522341999133
OAK-2723,125,3,2,0.5916727785823274
OAK-2195,117,5,5,0
OAK-7638,116,5,3,0
OAK-1178,114,8,6,0.8607170097426349
OAK-3991,110,3,3,0
OAK-2266,110,3,3,0
OAK-4099,105,4,3,0
OAK-6493,101,4,4,0.9182958340544896
OAK-7855,101,4,3,0
OAK-4313,98,3,3,0
OAK-4077,98,3,3,0
OAK-8093,97,3,3,0
OAK-6648,97,6,6,0.6512888470192231
OAK-3191,90,3,3,0
OAK-4054,89,6,4,0.9591479170272448
OAK-1689,87,6,4,0.696109471426504
OAK-2991,84,2,2,0
OAK-2024,82,3,3,0
OAK-4999,77,3,3,0
OAK-8800,75,3,3,0
OAK-4998,75,2,2,0
OAK-8803,71,7,7,0.9780416657815159
OAK-6150,67,7,4,0.935944697445866
OAK-3311,65,3,3,0
OAK-7174,64,4,3,0.8649735207179271
OAK-8948,63,3,3,0
OAK-2934,61,2,2,0
OAK-8802,60,3,3,0.8112781244591328
OAK-4170,59,4,4,0.9182958340544896
OAK-7975,55,3,3,1
OAK-8218,52,11,10,0.9999999999999999
OAK-2881,51,3,3,0
OAK-9541,51,3,3,0
OAK-6116,49,3,3,0
OAK-6890,48,2,2,0
OAK-260,47,13,11,0.8037256680668684
OAK-8870,44,5,3,0
OAK-6641,43,2,2,0
OAK-8139,40,3,3,0
OAK-2402,40,4,3,0.7126256296237541
OAK-1415,39,3,2,0.9182958340544896
OAK-3396,38,3,3,0.8112781244591328
OAK-4954,36,3,2,0
OAK-4009,31,5,3,0.7865834126456138
OAK-5930,31,2,2,0
OAK-5229,29,2,2,0
OAK-1501,27,2,2,0
OAK-3753,26,2,2,0
OAK-8801,26,2,2,0
OAK-8984,24,3,3,0
OAK-1624,23,3,3,0
OAK-5173,23,3,3,0
OAK-3517,23,3,3,0
OAK-1416,18,2,2,0
OAK-8049,17,3,3,0
OAK-4830,17,3,3,0
OAK-4128,17,4,3,0
OAK-2250,16,3,3,0.7219280948873623
OAK-6975,15,2,2,0
OAK-5656,15,8,7,0.9141008920185651
OAK-259,13,2,2,0
OAK-957,11,2,2,0
OAK-5007,11,5,4,0.8586727110732549
OAK-4548,10,2,2,0
OAK-4507,10,2,2,0
OAK-3072,9,2,2,0
OAK-1200,9,2,2,0
OAK-8278,8,2,2,0
OAK-2072,8,2,2,0
OAK-4302,8,2,2,0
OAK-9324,6,2,2,0
OAK-1675,6,2,2,0
OAK-5636,6,2,2,0
OAK-4572,5,2,2,0
OAK-6894,4,2,2,0
OAK-1317,4,2,2,0
OAK-8670,4,2,2,0
OAK-6049,4,2,2,0
OAK-5949,4,3,3,0
OAK-8720,3,2,2,0
OAK-1414,3,2,2,0
OAK-257,3,2,2,0
OAK-5348,3,2,2,0
OAK-9617,2,2,2,0
OAK-4896,2,2,2,0
OAK-1599,2,2,2,0
OAK-4360,2,3,3,0.8112781244591328
OAK-8582,2,2,2,0
OAK-3067,1,2,2,0
OAK-244,1,2,2,0
