Key,LOC,NOF,NOP,Entropy
OAK-926,5540,33,7,0.6744616904571742
OAK-127,4971,31,8,0.5859326919369953
OAK-2366,4548,55,18,0.833767438499696
OAK-9176,4438,15,4,0
OAK-781,4193,38,24,0.6373728181002772
OAK-3646,4033,63,8,0.7785680009597332
OAK-380,3706,46,12,0.8633192901885665
OAK-2192,3470,21,6,0.8908164095419023
OAK-16,3120,75,19,0.7137998271135791
OAK-938,3015,15,7,0.7297878282144974
OAK-6378,2618,41,8,0.9767405284749313
OAK-440,2311,34,13,0.8833198151752493
OAK-269,2088,50,14,0.8195232247134003
OAK-9346,2047,29,11,0.9172088932791937
OAK-4958,2041,29,6,0.876767284409413
OAK-828,1880,36,21,0.870816655160513
OAK-8956,1801,31,11,0.9881090915741206
OAK-155,1741,52,11,0.9443799378141635
OAK-2347,1685,22,7,0.9911230603728023
OAK-4055,1514,21,7,0.9709505944546686
OAK-101,1485,34,18,0.7145399180984884
OAK-7929,1380,13,8,0.920619835714305
OAK-9275,1372,14,4,0
OAK-1362,1345,63,63,0
OAK-3201,1246,12,7,0.9602297178607611
OAK-1418,1159,16,9,0.8123469980201387
OAK-1537,1143,35,14,0.8494652554606078
OAK-1768,1085,17,7,0.8118415107091922
OAK-342,1067,52,17,0.9703679207441035
OAK-6950,1038,12,8,0.8904104442028663
OAK-2077,1008,5,4,0.8112781244591328
OAK-6500,974,14,5,0.863120568566631
OAK-2486,962,11,4,0
OAK-2123,960,2,2,0
OAK-2712,960,27,8,0.6178266860002799
OAK-1254,958,14,4,0.7098321557833073
OAK-3313,949,16,3,0.8982444017039272
OAK-4882,874,13,6,0.8868595071429147
OAK-7401,865,19,5,0.9999999999999999
OAK-3488,863,17,7,0.8408734365103406
OAK-1055,861,34,17,0.8847108186176164
OAK-1124,847,8,3,1
OAK-9649,846,18,6,0
OAK-537,826,10,7,0.8655727980341983
OAK-3765,823,16,7,0.8494309006713349
OAK-535,822,15,9,0.8287025370240674
OAK-2226,821,5,3,0
OAK-2539,810,27,6,0.9115729613959227
OAK-8195,800,9,3,0
OAK-6507,796,24,9,0.7809655524324294
OAK-1233,793,13,6,0.7404594031198608
OAK-3740,792,3,3,0
OAK-1707,784,13,8,0.9697238998682473
OAK-622,782,8,7,0.6032150096687265
OAK-9564,779,6,3,0.895640305638598
OAK-136,773,17,5,0.4822681286239992
OAK-6486,771,11,5,0.632932720784574
OAK-7027,769,19,7,0.8962406251802889
OAK-7997,749,11,6,0
OAK-455,741,19,15,0.931759688097497
OAK-5355,735,5,3,0
OAK-139,730,4,4,0.7248340915057598
OAK-459,725,17,12,0.9317689968607336
OAK-4529,724,9,5,0.8387106419146823
OAK-6504,717,7,5,0.8586727110732549
OAK-6827,715,7,6,0.8699155297736257
OAK-7551,714,20,7,0.9577420562022178
OAK-9424,711,15,5,1
OAK-343,690,10,5,0.934068055375491
OAK-4897,685,19,5,0.8624101877387099
OAK-9798,684,5,3,0.9609640474436811
OAK-58,681,8,4,0.8439397154040857
OAK-8898,677,6,3,0
OAK-770,676,7,6,0.9125056054120886
OAK-5740,675,5,4,0
OAK-5180,668,2,2,0
OAK-477,665,15,12,0.9505787683425313
OAK-3388,661,12,5,0.8178927788816022
OAK-2605,655,6,3,0
OAK-9059,654,5,3,0
OAK-4251,649,12,5,0.9629610647945144
OAK-958,648,14,6,0.6649625283587645
OAK-4301,638,13,6,0
OAK-3838,616,10,6,0.9464805260987916
OAK-2035,614,5,5,0.9852281360342515
OAK-9471,611,7,4,0
OAK-189,611,14,5,0.8424612798236644
OAK-3371,601,19,6,0.8514097655573916
OAK-2188,597,15,6,0
OAK-2147,584,4,4,0.7219280948873623
OAK-9775,584,13,8,0
OAK-5238,582,8,6,0.9161314485121343
OAK-783,581,9,8,0.8734790278701755
OAK-2000,574,13,6,0.9115339911368305
OAK-4872,564,10,3,0.9709505944546686
OAK-4089,563,3,2,0.8112781244591328
OAK-6151,561,9,5,0
