Key,LOC,NOF,NOP,Entropy
KAFKA-10173,6140,33,16,0.9248127822568166
KAFKA-42,5146,53,23,0.8803173251297002
KAFKA-5152,3132,28,8,0.899590548539936
KAFKA-499,1992,21,11,0.913297711121892
KAFKA-3315,1949,30,15,0.9058256125113209
KAFKA-7895,1668,37,15,0.9473100987543973
KAFKA-13216,1627,33,7,1
KAFKA-9501,1605,42,11,0.9243579938459211
KAFKA-391,1588,33,18,0.9093565935744604
KAFKA-544,1563,57,23,0.8764943072203017
KAFKA-8199,1509,18,7,0.9691745848606977
KAFKA-498,1352,20,11,0.9514856350141225
KAFKA-12925,1257,17,7,0.9101415926479804
KAFKA-12487,1070,14,7,0
KAFKA-3396,969,17,12,0.8421438331264955
KAFKA-4667,909,17,10,0.9211854965885542
KAFKA-7897,854,22,12,0.9770696496367745
KAFKA-8204,843,16,6,0.9533522741071692
KAFKA-4039,832,64,24,0.8975888895899863
KAFKA-8391,824,13,2,0
KAFKA-43,823,11,5,0.9242770353392971
KAFKA-7657,772,7,7,0.927694271103767
KAFKA-3185,743,6,6,0.9182958340544896
KAFKA-432,743,17,9,0.8241401160110279
KAFKA-10716,733,10,7,0.9409256218900506
KAFKA-10515,716,18,7,0.9492473191501517
KAFKA-3627,710,9,6,0.8413651179457649
KAFKA-2489,676,11,7,0.5487689199209768
KAFKA-501,654,27,14,0.8672491688239032
KAFKA-5829,653,21,9,0.9193765113544158
KAFKA-8972,649,21,10,0.9199639420738525
KAFKA-13456,641,22,11,0.9114082707611324
KAFKA-6398,626,38,9,0.9999999999999999
KAFKA-6981,590,18,5,0.9658662974004117
KAFKA-642,578,34,19,0.84308587109613
KAFKA-7072,554,20,7,0.9409583900892993
KAFKA-5416,534,10,4,0.9882781844356804
KAFKA-12339,512,9,5,0.5011094889988462
KAFKA-7421,511,5,3,0.9182958340544896
KAFKA-5998,497,15,4,0.9629610647945144
KAFKA-6782,493,5,4,1
KAFKA-500,488,24,14,0.8173864046263872
KAFKA-9500,487,8,5,0.9165164431996026
KAFKA-4216,487,14,9,0.9597405780261892
KAFKA-3977,486,5,4,0
KAFKA-10134,485,11,8,0.8339095981148643
KAFKA-10017,476,3,3,0.9774178175281716
KAFKA-6975,476,10,8,0.9138646883853215
KAFKA-10223,474,52,21,0.9224739175256282
KAFKA-3160,459,13,7,1
KAFKA-8429,457,7,4,0.9514672129973435
KAFKA-5449,456,9,4,0.9675213145201016
KAFKA-8262,456,2,2,0
KAFKA-8263,456,2,2,0
KAFKA-6269,446,5,5,0.9463946303571861
KAFKA-4597,445,26,13,0.9092246450895529
KAFKA-12435,439,12,8,0.7233083338141042
KAFKA-1044,438,38,19,0.916945734543015
KAFKA-10167,425,12,8,0.9203341381449994
KAFKA-13435,425,14,10,0.9358129119117209
KAFKA-6868,421,11,6,0.8300072595050233
KAFKA-9231,419,15,5,0.9258154042945345
KAFKA-1387,417,13,9,0.8627909617975716
KAFKA-7703,410,7,4,0.9129642001600771
KAFKA-4916,406,12,7,0.8583070461305721
KAFKA-3328,404,5,5,0.8527924884900405
KAFKA-8649,399,12,7,0.9190251377713133
KAFKA-12677,392,11,10,0.8685074056262202
KAFKA-4631,377,20,15,0.9302908312849583
KAFKA-9517,363,16,5,1
KAFKA-3782,361,4,4,0.7499999999999999
KAFKA-9750,353,9,3,0.8605934330165173
KAFKA-8724,337,7,3,0.8991528740278204
KAFKA-9390,325,11,6,0.9697238998682473
KAFKA-14024,300,8,5,0.8940282437120122
KAFKA-6593,270,7,4,0.9337851376692214
KAFKA-9801,268,9,6,0.9002397825838717
KAFKA-10638,267,3,3,0
KAFKA-10247,260,6,3,0.9417957443519398
KAFKA-7672,260,21,4,0.9091047508862794
KAFKA-7182,258,8,5,0.9697238998682475
KAFKA-7280,258,3,3,0.9798687566511528
KAFKA-13173,257,9,3,0.9187219122089041
KAFKA-696,251,11,5,0.9038088556451539
KAFKA-7987,249,4,4,0
KAFKA-463,247,6,4,0.7594935020495306
KAFKA-1356,247,7,7,0.8514097655573916
KAFKA-7467,246,10,8,0.9196931902080582
KAFKA-12257,245,7,5,1
KAFKA-7763,243,8,6,0.8866828800015341
KAFKA-7576,241,11,7,0.9349300034531909
KAFKA-13132,237,7,7,0.8952967911062744
KAFKA-9212,233,6,6,0.8054744763843985
KAFKA-9891,232,3,3,0
KAFKA-1580,229,9,7,0.873232899252036
KAFKA-725,227,6,5,0.8663330502813675
KAFKA-9666,221,5,4,0
KAFKA-13310,221,8,6,0.972362610668201
KAFKA-6042,220,21,7,0.8614082464676898
KAFKA-5957,220,5,3,0.7237259734198573
KAFKA-1315,219,9,8,0.8553213502671448
KAFKA-3915,217,4,3,0.9463946303571861
KAFKA-4576,214,5,4,0.8783471047618533
KAFKA-6087,211,3,3,0
KAFKA-10417,207,5,3,1
KAFKA-7920,206,11,8,0.9551922850690828
KAFKA-10387,201,4,4,0
KAFKA-4450,199,26,14,0.9672559714132952
KAFKA-6003,195,7,3,0.9006757139383933
KAFKA-8011,194,3,3,0
KAFKA-3378,193,6,2,0
KAFKA-1664,193,3,3,0
