Key,LOC,NOF,NOP,Entropy
KAFKA-3856,5813,20,10,0.841653693442397
KAFKA-3623,5232,40,7,0.9693502354078165
KAFKA-6054,4623,30,18,0.8497385542524231
KAFKA-3607,4546,33,6,0.9612153709887601
KAFKA-506,3906,75,29,0.8543664927558833
KAFKA-7831,3276,38,19,0.9589002912144727
KAFKA-9374,2944,21,12,0.9277634274334043
KAFKA-3561,2422,34,15,0.965266682591138
KAFKA-1583,2271,30,11,0.9386203185272982
KAFKA-4714,2180,11,6,0
KAFKA-4831,2091,52,10,0.9403515824304606
KAFKA-5697,2053,45,24,0.8242036579911451
KAFKA-3514,2019,33,11,0.856366604040294
KAFKA-6927,2004,52,19,0.930857954715924
KAFKA-8804,1987,35,16,0.979569764547061
KAFKA-10888,1931,28,12,0.9003120780820701
KAFKA-5163,1929,46,16,0.914067000538978
KAFKA-13552,1883,24,8,0.9645263136821166
KAFKA-8457,1856,37,11,0.9490796979662337
KAFKA-10384,1855,12,4,0.9513282751069652
KAFKA-46,1820,43,18,0.9757125879289831
KAFKA-13162,1741,32,16,0.91179001865819
KAFKA-2276,1734,20,9,0
KAFKA-6397,1692,14,7,0.9089720469756679
KAFKA-4494,1689,24,7,0.9522976109488419
KAFKA-13807,1675,39,16,0.9612557461561052
KAFKA-5362,1654,10,6,0.794577772101236
KAFKA-6264,1644,15,7,0.9462874612889592
KAFKA-4857,1612,23,11,0.9371374270703654
KAFKA-4060,1587,27,13,0.8238731092086407
KAFKA-4565,1542,58,27,0.9276528692017508
KAFKA-3812,1517,14,5,0.9165164431996026
KAFKA-351,1514,31,17,0.9626716868664976
KAFKA-350,1478,68,24,0.9436520325926238
KAFKA-4001,1471,21,6,0.9157119767053323
KAFKA-8340,1455,17,11,0
KAFKA-8819,1455,17,11,0
KAFKA-12383,1383,18,10,0.864577259347597
KAFKA-4863,1333,12,4,0.9178114620629283
KAFKA-5361,1327,7,5,0.7990320593877764
KAFKA-13725,1238,84,8,0
KAFKA-13649,1229,25,15,0.8998931649774029
KAFKA-8332,1194,26,15,0.8958762858951664
KAFKA-4117,1191,23,14,0.9112625262693134
KAFKA-6121,1129,31,8,0.9355272221550675
KAFKA-6287,1115,16,7,0
KAFKA-9261,1114,31,15,0.8711989851794303
KAFKA-13510,1113,31,11,0.9741108952988204
KAFKA-149,1092,11,7,0.8322488896002305
