Key,LOC,NOF,NOP,Entropy
SOLR-2654,1822,33,14,0.9595904266649589
SOLR-2654,1822,33,14,0.9595904266649589
SOLR-5216,1092,13,7,0.8831324901158998
SOLR-5216,1092,13,7,0.8831324901158998
SOLR-13963,832,3,3,0
SOLR-13963,832,3,3,0
SOLR-7803,803,33,23,0.9311066102039658
SOLR-7803,803,33,23,0.9311066102039659
SOLR-12738,745,17,4,0.9371580791158379
SOLR-12738,745,17,4,0.937158079115838
SOLR-12891,712,11,9,0.9463946303571861
SOLR-12891,712,11,9,0.9463946303571861
SOLR-647,694,12,9,0.8653650967182372
SOLR-647,694,12,9,0.8653650967182372
SOLR-5113,650,3,2,0
SOLR-5113,650,3,2,0
SOLR-8082,557,5,4,0.9182958340544894
SOLR-8082,557,5,4,0.9182958340544896
SOLR-3933,507,14,8,0.9575962794279047
SOLR-3933,507,14,8,0.9575962794279046
SOLR-6640,487,5,4,0.5745599396756751
SOLR-6640,487,5,4,0.5745599396756751
SOLR-4265,482,8,4,0.9602297178607611
SOLR-4265,482,8,4,0.9602297178607611
SOLR-10845,468,4,3,0
SOLR-10845,468,4,3,0
SOLR-10939,458,9,7,0.9609640474436811
SOLR-10939,458,9,7,0.9609640474436811
SOLR-4506,439,7,4,0.7091479170272448
SOLR-4506,439,7,4,0.7091479170272448
SOLR-9321,430,46,13,0.9400843531534476
SOLR-9321,430,46,13,0.9400843531534476
SOLR-14158,418,12,9,0
SOLR-2719,416,4,3,0
SOLR-2719,416,4,3,0
SOLR-8677,413,11,9,0.9163782242163865
SOLR-8677,413,11,9,0.9163782242163865
SOLR-12290,410,11,4,0.5032583347756457
SOLR-12290,410,11,4,0.5032583347756457
SOLR-4982,391,7,5,0.9338169454856061
SOLR-4982,391,7,5,0.933816945485606
SOLR-12358,360,7,4,0.920619835714305
SOLR-12358,360,7,4,0.920619835714305
SOLR-8575,357,9,6,0.7864593845761488
SOLR-8575,357,9,6,0.7864593845761488
SOLR-9438,338,9,5,0.9850568223215078
SOLR-9438,338,9,5,0.9850568223215078
SOLR-10835,316,3,3,0
SOLR-10835,316,3,3,0
SOLR-6920,309,4,3,0.535717510957051
SOLR-6920,309,4,3,0.535717510957051
SOLR-7128,308,3,3,0.9182958340544896
SOLR-7128,308,3,3,0.9182958340544896
SOLR-7387,305,9,3,0.7969545656190148
SOLR-7387,305,9,3,0.7969545656190147
SOLR-5397,289,6,5,0.8806959775118035
SOLR-5397,289,6,5,0.8806959775118034
SOLR-5971,284,10,6,0.7219280948873623
SOLR-5971,284,10,6,0.7219280948873623
SOLR-14901,275,5,3,0
SOLR-14347,274,10,5,0.9709505944546686
SOLR-2115,260,7,4,0.9755037590061086
SOLR-2115,260,7,4,0.9755037590061086
SOLR-9867,259,6,6,0.8302328485010438
SOLR-9867,259,6,6,0.8302328485010438
SOLR-11407,258,4,4,0
SOLR-11407,258,4,4,0
SOLR-3029,254,8,5,0.8322488896002307
SOLR-3029,254,8,5,0.8322488896002307
SOLR-324,251,7,3,0
SOLR-324,251,7,3,0
SOLR-3831,245,7,6,0.93111332105417
SOLR-3831,245,7,6,0.93111332105417
SOLR-10130,241,4,4,1
SOLR-10130,241,4,4,1
SOLR-5209,240,7,3,0.9683925140412226
SOLR-5209,240,7,3,0.9683925140412226
SOLR-4047,232,6,3,0.947730922119161
SOLR-4047,232,6,3,0.947730922119161
SOLR-6969,230,6,4,0.9463946303571861
SOLR-6969,230,6,4,0.9463946303571861
SOLR-3861,222,7,3,0.8043461359047005
SOLR-3861,222,7,3,0.8043461359047005
SOLR-2890,216,5,3,0
SOLR-2890,216,5,3,0
SOLR-7033,216,7,4,0.9709505944546686
SOLR-7033,216,7,4,0.9709505944546686
SOLR-4926,212,5,4,0
SOLR-4926,212,5,4,0
SOLR-6956,208,6,4,0.8750578187872007
SOLR-6956,208,6,4,0.8750578187872007
SOLR-9191,207,5,3,0
SOLR-9191,207,5,3,0
SOLR-5452,200,8,5,0.8760128985519946
SOLR-5452,200,8,5,0.8760128985519946
SOLR-8812,192,3,3,0
SOLR-8812,192,3,3,0
SOLR-4112,187,5,4,0.7896900821428474
SOLR-4112,187,5,4,0.7896900821428474
SOLR-4044,187,9,7,0.8326573646392779
SOLR-4044,187,9,7,0.8326573646392779
SOLR-3587,186,4,3,0.9709505944546686
SOLR-3587,186,4,3,0.9709505944546686
SOLR-9972,182,3,3,0.9182958340544896
SOLR-9972,182,3,3,0.9182958340544896
SOLR-3655,180,3,3,0
SOLR-3655,180,3,3,0
SOLR-10237,174,6,4,0.9414280318460244
SOLR-10237,174,6,4,0.9414280318460244
SOLR-14013,172,14,13,0
SOLR-5552,171,8,5,0.9363633822180765
SOLR-5552,171,8,5,0.9363633822180765
SOLR-7989,170,5,3,0.7501361728042042
SOLR-7989,170,5,3,0.7501361728042042
SOLR-3316,167,12,7,0.7855738745908398
SOLR-3316,167,12,7,0.7855738745908398
SOLR-8838,163,3,3,0.9709505944546686
SOLR-8838,163,3,3,0.9709505944546686
SOLR-8069,159,8,4,0.8781258656154106
SOLR-8069,159,8,4,0.8781258656154105
SOLR-807,158,3,3,0
SOLR-807,158,3,3,0
SOLR-2829,155,5,4,0
SOLR-11293,155,10,6,1
SOLR-11293,155,10,6,1
SOLR-2829,155,5,4,0
SOLR-5658,153,7,6,0
SOLR-5658,153,7,6,0
SOLR-1427,150,4,3,0
SOLR-1427,150,4,3,0
SOLR-10033,143,5,4,0
SOLR-10033,143,5,4,0
SOLR-12087,139,7,6,0.8437590816619511
SOLR-12087,139,7,6,0.8437590816619511
SOLR-3758,137,3,3,0
SOLR-3758,137,3,3,0
SOLR-11807,135,3,3,0.7219280948873623
SOLR-11807,135,3,3,0.7219280948873623
SOLR-1870,134,4,4,0
SOLR-1870,134,4,4,0
SOLR-8983,132,4,3,0.9182958340544896
SOLR-8983,132,4,3,0.9182958340544896
SOLR-5164,131,7,6,0.9294209357460215
SOLR-5164,131,7,6,0.9294209357460217
SOLR-6002,130,6,3,0.7959585933443496
SOLR-6002,130,6,3,0.7959585933443496
SOLR-11406,124,4,4,0
SOLR-11406,124,4,4,0
SOLR-11043,118,5,4,0.8527924884900405
SOLR-11043,118,5,4,0.8527924884900405
SOLR-4463,118,4,4,0
SOLR-4463,118,4,4,0
SOLR-4705,117,3,3,0.9182958340544896
SOLR-4705,117,3,3,0.9182958340544896
SOLR-12938,105,4,4,0
SOLR-12938,105,4,4,0
SOLR-5832,103,4,4,0.9852281360342515
SOLR-5832,103,4,4,0.9852281360342515
SOLR-8725,101,9,7,0.9138509710979504
SOLR-12860,101,3,3,0
SOLR-8725,101,9,7,0.9138509710979504
SOLR-12860,101,3,3,0
SOLR-1256,100,6,4,0
SOLR-13255,100,6,5,1
SOLR-1256,100,6,4,0
SOLR-13255,100,6,5,1
SOLR-2824,99,4,4,0.9018972358711527
SOLR-2824,99,4,4,0.9018972358711527
SOLR-14898,99,3,3,0
SOLR-5127,97,5,3,0.9463946303571861
SOLR-5127,97,5,3,0.9463946303571861
SOLR-12070,96,3,3,0
SOLR-12070,96,3,3,0
SOLR-2983,95,4,3,0
SOLR-2983,95,4,3,0
SOLR-11664,89,9,3,0
SOLR-11664,89,9,3,0
SOLR-13036,88,3,3,0
SOLR-13036,88,3,3,0
SOLR-3779,87,4,3,0
SOLR-3779,87,4,3,0
SOLR-838,86,6,3,0.7559752426306121
SOLR-838,86,6,3,0.7559752426306121
SOLR-5479,86,3,3,0
SOLR-5479,86,3,3,0
SOLR-4480,84,3,3,0
SOLR-4480,84,3,3,0
SOLR-7092,74,4,4,0.7248340915057598
SOLR-9843,74,2,2,0
SOLR-13563,74,5,4,0
SOLR-9843,74,2,2,0
SOLR-7092,74,4,4,0.7248340915057598
SOLR-8085,73,3,3,0
SOLR-8085,73,3,3,0
SOLR-1398,73,3,3,0
SOLR-1398,73,3,3,0
SOLR-8419,72,4,3,0
SOLR-2834,72,7,3,0
SOLR-2834,72,7,3,0
SOLR-8419,72,4,3,0
SOLR-825,71,6,6,0
SOLR-825,71,6,6,0
SOLR-7921,71,3,3,0.7219280948873623
SOLR-7921,71,3,3,0.7219280948873623
SOLR-5739,69,9,5,0.7018660861733468
SOLR-3939,69,8,4,0.9496080672282599
SOLR-5739,69,9,5,0.7018660861733468
SOLR-3939,69,8,4,0.9496080672282597
SOLR-12172,68,4,3,0.5435644431995964
SOLR-12172,68,4,3,0.5435644431995964
SOLR-10710,63,5,3,0
SOLR-10710,63,5,3,0
SOLR-8865,62,3,3,0
SOLR-8865,62,3,3,0
SOLR-6501,60,3,3,1
SOLR-4553,60,3,3,0.6722948170756379
SOLR-6501,60,3,3,1
SOLR-4553,60,3,3,0.6722948170756379
SOLR-8924,59,3,3,0
SOLR-8924,59,3,3,0
SOLR-6387,58,9,7,1
SOLR-11268,58,3,3,0.9182958340544896
SOLR-11268,58,3,3,0.9182958340544896
SOLR-6387,58,9,7,1
SOLR-8578,55,5,4,0.9125056054120886
SOLR-8578,55,5,4,0.9125056054120886
SOLR-9893,53,9,7,0
SOLR-9893,53,9,7,0
SOLR-729,52,5,3,0.9751060324573735
SOLR-729,52,5,3,0.9751060324573735
SOLR-9141,50,3,3,0.9852281360342515
SOLR-9141,50,3,3,0.9852281360342515
SOLR-5547,49,3,3,0.9182958340544896
SOLR-5547,49,3,3,0.9182958340544896
SOLR-3035,48,3,3,0
SOLR-3035,48,3,3,0
SOLR-6314,47,4,4,1
SOLR-6314,47,4,4,1
SOLR-3875,45,3,3,0
SOLR-9188,45,4,4,0
SOLR-3875,45,3,3,0
SOLR-9188,45,4,4,0
SOLR-10847,44,4,3,0
SOLR-13293,44,4,4,0
SOLR-10847,44,4,3,0
SOLR-5904,44,2,2,0
SOLR-5904,44,2,2,0
SOLR-13293,44,4,4,0
SOLR-1973,43,3,3,0
SOLR-1973,43,3,3,0
SOLR-3791,42,3,3,0
SOLR-3791,42,3,3,0
SOLR-3878,42,3,3,0.8112781244591328
SOLR-3878,42,3,3,0.8112781244591328
SOLR-11130,41,5,5,0
SOLR-11459,41,3,3,0
SOLR-2796,41,3,3,0
SOLR-11459,41,3,3,0
SOLR-11130,41,5,5,0
SOLR-2796,41,3,3,0
SOLR-3879,40,2,2,0
SOLR-3879,40,2,2,0
SOLR-7508,40,3,3,0
SOLR-7508,40,3,3,0
SOLR-14897,39,2,2,0
SOLR-3648,37,4,3,0.920619835714305
SOLR-3648,37,4,3,0.920619835714305
SOLR-9485,36,2,2,0
SOLR-9485,36,2,2,0
SOLR-8657,34,4,4,0
SOLR-8657,34,4,4,0
SOLR-7587,33,4,3,0.8031140135750122
SOLR-7587,33,4,3,0.8031140135750122
SOLR-10846,32,4,4,0
SOLR-10846,32,4,4,0
SOLR-3377,31,3,3,1
SOLR-3377,31,3,3,1
SOLR-15145,29,2,2,0
SOLR-10919,29,4,3,0
SOLR-10919,29,4,3,0
SOLR-4032,28,3,3,0.9182958340544896
SOLR-4032,28,3,3,0.9182958340544896
SOLR-11278,27,4,3,0
SOLR-11278,27,4,3,0
SOLR-13285,26,3,3,0.9182958340544896
SOLR-13285,26,3,3,0.9182958340544896
SOLR-606,26,3,3,0.8112781244591328
SOLR-606,26,3,3,0.8112781244591328
SOLR-13855,24,3,2,1
SOLR-13855,24,3,2,1
SOLR-7421,23,2,2,0
SOLR-5261,23,2,2,0
SOLR-7421,23,2,2,0
SOLR-5261,23,2,2,0
SOLR-13725,22,3,3,0
SOLR-3809,22,3,3,1
SOLR-3809,22,3,3,1
SOLR-13725,22,3,3,0
SOLR-12413,21,3,2,0
SOLR-12413,21,3,2,0
SOLR-4489,20,3,3,0
SOLR-4287,20,2,2,0
SOLR-4489,20,3,3,0
SOLR-4287,20,2,2,0
SOLR-12541,19,3,3,0
SOLR-12541,19,3,3,0
SOLR-14431,18,3,3,0
SOLR-884,17,2,2,0
SOLR-884,17,2,2,0
SOLR-12882,16,2,2,0
SOLR-12882,16,2,2,0
SOLR-13887,15,3,3,1
SOLR-6056,14,2,2,0
SOLR-13414,14,2,2,0
SOLR-5649,14,2,2,0
SOLR-6056,14,2,2,0
SOLR-14409,14,3,3,0.9182958340544896
SOLR-1962,14,2,2,0
SOLR-13414,14,2,2,0
SOLR-1962,14,2,2,0
SOLR-5649,14,2,2,0
SOLR-3867,13,2,2,0
SOLR-8701,13,2,2,0
SOLR-3867,13,2,2,0
SOLR-8701,13,2,2,0
SOLR-8307,12,7,7,1
SOLR-8307,12,7,7,1
SOLR-4117,11,4,4,0.8194483718728034
SOLR-10063,11,2,2,0
SOLR-10063,11,2,2,0
SOLR-6941,11,2,2,0
SOLR-4117,11,4,4,0.8194483718728034
SOLR-4333,11,3,3,0.9709505944546686
SOLR-5838,11,2,2,0
SOLR-4333,11,3,3,0.9709505944546686
SOLR-5838,11,2,2,0
SOLR-6941,11,2,2,0
SOLR-2124,10,2,2,0
SOLR-2124,10,2,2,0
SOLR-7866,10,3,3,0
SOLR-7866,10,3,3,0
SOLR-4311,9,3,3,0
SOLR-1580,9,3,3,0
SOLR-1580,9,3,3,0
SOLR-4200,9,2,2,0
SOLR-4200,9,2,2,0
SOLR-4311,9,3,3,0
SOLR-3471,8,3,3,0
SOLR-9915,8,2,2,0
SOLR-3471,8,3,3,0
SOLR-3204,8,3,3,0
SOLR-3204,8,3,3,0
SOLR-9915,8,2,2,0
SOLR-11296,7,3,3,0
SOLR-8407,7,2,2,0
SOLR-6426,7,2,2,0
SOLR-8407,7,2,2,0
SOLR-6426,7,2,2,0
SOLR-11296,7,3,3,0
SOLR-888,7,2,2,0
SOLR-4373,7,3,3,0
SOLR-15114,7,2,2,0
SOLR-888,7,2,2,0
SOLR-4373,7,3,3,0
SOLR-4734,6,2,2,0
SOLR-11591,6,2,2,0
SOLR-12391,6,2,2,0
SOLR-12523,6,3,3,0
SOLR-11591,6,2,2,0
SOLR-10763,6,2,2,0
SOLR-12523,6,3,3,0
SOLR-4734,6,2,2,0
SOLR-12391,6,2,2,0
SOLR-10763,6,2,2,0
SOLR-11183,4,3,3,0.8112781244591328
SOLR-11183,4,3,3,0.8112781244591328
SOLR-7616,4,3,3,0.8865408928220899
SOLR-9189,4,2,2,0
SOLR-7028,4,2,2,0
SOLR-9189,4,2,2,0
SOLR-7616,4,3,3,0.8865408928220899
SOLR-7028,4,2,2,0
SOLR-15061,3,2,2,0
SOLR-14165,3,2,2,0
SOLR-6900,2,2,2,0
SOLR-4754,2,2,2,0
SOLR-5954,2,2,2,0
SOLR-5954,2,2,2,0
SOLR-13281,2,2,2,0
SOLR-3527,2,2,2,0
SOLR-4064,2,2,2,0
SOLR-13281,2,2,2,0
SOLR-3527,2,2,2,0
SOLR-2310,2,2,2,0
SOLR-2327,2,2,2,0
SOLR-6900,2,2,2,0
SOLR-2327,2,2,2,0
