Key,LOC,NOF,NOP,Entropy
MESOS-1404,1062,20,4,0.979569764547061
MESOS-2161,679,3,3,0
MESOS-1617,326,9,3,0
MESOS-935,218,8,4,0
MESOS-8135,196,2,2,0
MESOS-3349,154,4,4,0.858672711073255
MESOS-4198,116,3,3,0.9182958340544896
MESOS-9554,87,2,2,0
MESOS-831,71,5,2,0.9463946303571861
MESOS-4975,67,2,2,0
MESOS-9766,66,2,2,0
MESOS-10114,61,2,2,0
MESOS-5340,61,2,2,0
MESOS-2771,52,3,2,0
MESOS-56,51,4,3,0.9463946303571861
MESOS-6816,50,4,4,0.8112781244591328
MESOS-243,40,3,3,0
MESOS-851,39,3,3,0.9182958340544896
MESOS-1689,38,3,2,0
MESOS-1673,33,6,4,0.8777875964952415
MESOS-858,33,3,2,0.9182958340544896
MESOS-7934,32,2,2,0
MESOS-7604,31,5,2,0
MESOS-3005,29,2,2,0
MESOS-2319,29,2,2,0
MESOS-3430,26,2,2,0
MESOS-35,25,3,3,0.9182958340544896
MESOS-4070,22,3,3,0
MESOS-1758,22,2,2,0
MESOS-9856,18,2,2,0
MESOS-2973,16,3,3,0.863120568566631
MESOS-963,15,2,2,0
MESOS-8557,15,2,2,0
MESOS-4142,13,2,2,0
MESOS-33,10,3,3,0.9709505944546686
MESOS-1433,9,2,2,0
MESOS-979,9,2,2,0
MESOS-870,8,2,2,0
MESOS-2627,8,2,2,0
MESOS-2049,7,3,2,0
MESOS-59,6,2,2,0
MESOS-1341,6,2,2,0
MESOS-1337,6,2,2,0
MESOS-1436,6,2,2,0
MESOS-1310,6,2,2,0
MESOS-4111,6,2,2,0
MESOS-5031,5,2,2,0
MESOS-8687,4,2,2,0
MESOS-3273,4,2,2,0
MESOS-1058,4,2,2,0
MESOS-1533,4,2,2,0
MESOS-79,4,2,2,0
MESOS-4954,4,2,2,0
MESOS-1693,4,3,3,0
MESOS-2199,4,2,2,0
MESOS-1857,4,2,2,0
MESOS-455,3,2,2,0
MESOS-1945,3,2,2,0
MESOS-9130,3,2,2,0
MESOS-1257,3,2,2,0
MESOS-326,3,2,2,0
MESOS-1427,3,2,2,0
MESOS-1543,3,2,2,0
MESOS-1359,2,2,2,0
MESOS-3902,2,2,2,0
MESOS-1273,2,2,2,0
MESOS-1613,2,2,2,0
MESOS-78,2,2,2,0
MESOS-1376,2,2,2,0
MESOS-2377,1,2,2,0
