Key,LOC,NOF,NOP,Entropy
NETBEANS-1563,1099,14,7,0
NETBEANS-819,544,5,2,0.9821410328348751
NETBEANS-2004,308,6,4,0
NETBEANS-615,272,13,13,1
NETBEANS-5956,272,8,3,0
NETBEANS-4891,269,7,6,0
NETBEANS-3588,222,3,3,0
NETBEANS-4185,207,4,4,0
NETBEANS-4953,158,31,27,0
NETBEANS-3234,153,5,4,0
NETBEANS-1859,142,7,6,0
NETBEANS-2888,141,7,5,0
NETBEANS-2754,118,11,11,0
NETBEANS-892,117,5,5,0
NETBEANS-1438,98,4,4,0
NETBEANS-1803,80,2,2,0
NETBEANS-445,76,3,3,0
NETBEANS-3286,71,2,2,0
NETBEANS-2543,71,3,2,0
NETBEANS-1342,58,6,6,0
NETBEANS-4696,53,3,3,0
NETBEANS-2082,47,3,3,0
NETBEANS-3254,42,2,2,0
NETBEANS-326,37,4,4,0
NETBEANS-3733,29,2,2,0
NETBEANS-620,26,2,2,0
NETBEANS-654,25,3,3,0
NETBEANS-491,24,3,2,0
NETBEANS-210,22,2,2,0
NETBEANS-4620,21,2,2,0
NETBEANS-1443,20,3,3,0
NETBEANS-2446,19,2,2,0
NETBEANS-1159,19,4,4,0
NETBEANS-586,17,3,3,0
NETBEANS-1507,16,2,2,0
NETBEANS-346,14,2,2,0
NETBEANS-6458,14,2,2,0
NETBEANS-3042,13,3,2,0
NETBEANS-5638,12,2,2,0
NETBEANS-3673,12,2,2,0
NETBEANS-1440,9,3,3,0
NETBEANS-6114,8,2,2,0
NETBEANS-2012,8,2,2,0
NETBEANS-618,8,2,2,0
NETBEANS-1386,7,2,2,0
NETBEANS-2824,6,2,2,0
NETBEANS-2559,6,2,2,0
NETBEANS-4270,5,2,2,0
NETBEANS-6107,5,2,2,0
NETBEANS-5480,5,2,2,0
NETBEANS-1419,5,2,2,0
NETBEANS-1768,5,2,2,0
NETBEANS-712,5,2,2,0
NETBEANS-5905,4,2,2,0
NETBEANS-373,4,2,2,0
NETBEANS-4256,4,2,2,0
NETBEANS-168,3,2,2,0
NETBEANS-3198,3,2,2,0
NETBEANS-6102,2,2,2,0
NETBEANS-3858,2,2,2,0
NETBEANS-2443,2,2,2,0
NETBEANS-6068,2,2,2,0
