Key,LOC,NOF,NOP,Entropy
NETBEANS-4290,7904,4,3,0.9999999999999999
NETBEANS-68,3773,27,8,1
NETBEANS-417,2396,11,5,0
NETBEANS-1260,2144,27,7,0
NETBEANS-1238,2144,27,7,0
NETBEANS-5004,1174,10,6,0
NETBEANS-2751,1067,15,7,0
NETBEANS-6077,986,7,3,0.8112781244591328
NETBEANS-311,981,9,3,0
NETBEANS-497,963,9,8,0
NETBEANS-5427,941,19,16,0
NETBEANS-3604,915,14,11,0
NETBEANS-895,864,11,7,0.9463946303571861
NETBEANS-4311,726,8,7,0
NETBEANS-4209,724,27,14,0
NETBEANS-4208,724,27,14,0
NETBEANS-5931,689,31,24,0
NETBEANS-6044,659,5,4,0
NETBEANS-2183,648,6,4,0
NETBEANS-410,636,7,4,0
NETBEANS-4867,618,9,5,0
NETBEANS-1147,610,21,9,0
NETBEANS-4938,548,35,12,0
NETBEANS-1780,541,3,3,0
NETBEANS-5062,522,8,7,0
NETBEANS-3730,521,10,7,0
NETBEANS-97,508,4,4,0
NETBEANS-4910,501,6,5,1
NETBEANS-2753,472,7,7,0
NETBEANS-1298,440,15,5,0
NETBEANS-138,436,3,2,0
NETBEANS-3020,435,6,2,0
NETBEANS-1658,429,17,11,0
NETBEANS-4235,426,5,3,0
NETBEANS-635,402,3,3,0
NETBEANS-66,379,8,6,1
NETBEANS-938,357,10,5,0
NETBEANS-2644,344,9,7,1
NETBEANS-2029,319,8,5,0
NETBEANS-2400,313,14,6,0
NETBEANS-3789,305,7,6,0
NETBEANS-6067,294,4,4,0
NETBEANS-253,293,6,6,0
NETBEANS-1985,291,11,4,0
NETBEANS-2831,290,8,3,0
NETBEANS-2730,286,16,2,0
NETBEANS-3573,276,6,5,0
NETBEANS-6388,274,7,5,0
NETBEANS-2864,266,97,73,0.9999999999999999
NETBEANS-2667,260,2,2,0
NETBEANS-648,258,7,2,0
NETBEANS-1945,254,6,5,0
NETBEANS-4857,253,3,3,0
NETBEANS-5370,250,9,8,0
NETBEANS-6123,244,8,7,1
NETBEANS-791,244,3,3,0
NETBEANS-5142,244,4,4,0
NETBEANS-3313,234,8,6,0
NETBEANS-6307,234,4,3,0
NETBEANS-3648,233,3,3,0
NETBEANS-643,230,3,3,0
NETBEANS-3085,227,10,10,0
NETBEANS-4029,208,3,3,0
NETBEANS-2914,202,3,3,0
NETBEANS-6328,201,4,4,0
NETBEANS-4617,199,6,3,0
NETBEANS-4503,198,4,4,0
NETBEANS-1576,198,4,4,0
NETBEANS-893,192,5,3,0
NETBEANS-4900,190,5,4,0
NETBEANS-2983,189,5,4,0
NETBEANS-252,188,6,4,0
NETBEANS-1872,187,4,2,0
NETBEANS-3108,177,6,5,0
NETBEANS-2992,175,6,5,1
NETBEANS-2348,175,5,4,0
NETBEANS-5744,174,5,5,1
NETBEANS-997,172,7,5,0
NETBEANS-721,169,3,3,0
NETBEANS-1396,169,4,4,0
NETBEANS-135,159,2,2,0
NETBEANS-5846,155,7,6,0
NETBEANS-4198,154,2,2,0
NETBEANS-3652,153,3,2,0
NETBEANS-5587,153,3,3,0
NETBEANS-792,150,4,4,0
NETBEANS-1197,148,2,2,0
NETBEANS-2439,148,6,2,0
NETBEANS-4550,148,6,6,0
NETBEANS-317,147,3,2,0
NETBEANS-5849,145,7,6,0
NETBEANS-1728,145,12,9,0
NETBEANS-4284,144,41,35,0.9999999999999999
NETBEANS-2392,144,5,5,0
NETBEANS-2293,144,3,3,0
NETBEANS-2763,143,5,5,0
NETBEANS-5734,141,6,5,0
NETBEANS-501,139,4,4,0
NETBEANS-1663,135,6,6,0
NETBEANS-335,132,4,4,0
NETBEANS-1083,132,3,3,0
NETBEANS-6196,131,9,9,0
NETBEANS-228,131,3,3,0
NETBEANS-3342,130,5,3,0
NETBEANS-3103,129,7,4,0
NETBEANS-2745,129,3,3,0
NETBEANS-3929,128,9,6,0
NETBEANS-2346,123,7,5,0
NETBEANS-5927,121,3,3,0
NETBEANS-2149,121,7,4,0
NETBEANS-3002,119,6,5,0
NETBEANS-3793,119,5,2,0.9528195311147831
NETBEANS-5629,119,2,2,0
NETBEANS-1774,116,4,3,0
NETBEANS-6087,116,7,5,0
NETBEANS-2430,115,3,3,0
NETBEANS-539,113,18,14,0
NETBEANS-888,113,3,2,0
NETBEANS-5719,112,5,4,0
NETBEANS-5380,112,3,2,0
NETBEANS-2762,109,3,3,0
NETBEANS-5906,108,5,4,0
