Key,LOC,NOF,NOP,Entropy
NIFI-2608,7305,94,25,0.847565821969906
NIFI-2265,1757,51,24,0.9227678187231411
NIFI-6699,1560,4,3,0
NIFI-1097,1151,3,3,0
NIFI-8749,935,11,10,1
NIFI-6852,848,8,7,0
NIFI-7870,789,16,11,0
NIFI-4215,789,4,4,0
NIFI-3248,767,5,3,0
NIFI-4,734,30,21,0.9466336459249044
NIFI-3761,606,14,11,0
NIFI-4734,582,17,12,0
NIFI-3301,537,2,2,0
NIFI-3055,499,5,5,0
NIFI-1073,489,25,13,0.9465918465485027
NIFI-2366,485,12,9,0.7630769657734043
NIFI-1701,430,9,3,0.8904104442028662
NIFI-6113,424,2,2,0
NIFI-3389,402,8,5,0
NIFI-6390,343,4,4,0
NIFI-2032,296,6,5,0
NIFI-7076,279,4,4,0
NIFI-800,246,5,3,0
NIFI-7730,233,16,13,0
NIFI-3205,224,8,5,0
NIFI-3104,218,2,2,0
NIFI-8727,214,3,3,0
NIFI-977,202,3,3,0
NIFI-9801,196,4,4,0
NIFI-6040,196,4,3,0
NIFI-3613,182,2,2,0
NIFI-4864,181,11,8,1
NIFI-7973,166,19,11,0
NIFI-225,158,34,23,0.9553783718316619
NIFI-9722,158,3,3,0
NIFI-7469,142,13,9,0
NIFI-8347,121,3,3,0
NIFI-8614,120,4,3,0
NIFI-2395,118,3,3,0.8812908992306927
NIFI-1984,112,3,3,0
NIFI-2472,94,2,2,0
NIFI-3897,93,3,3,0
NIFI-1062,89,3,3,0
NIFI-256,85,9,3,0.896240625180289
NIFI-2515,83,6,3,0
NIFI-1814,82,3,3,0
NIFI-9944,80,5,5,0
NIFI-6409,79,4,4,0
NIFI-7114,76,8,5,0
NIFI-2259,72,5,5,0.8699155297736257
NIFI-1110,70,3,3,0
NIFI-1383,67,5,4,0.9182958340544896
NIFI-7348,66,3,3,0
NIFI-8237,62,4,4,0
NIFI-5200,61,3,3,0
NIFI-7992,57,2,2,0
NIFI-379,48,4,3,0.7219280948873623
NIFI-7278,48,3,3,0
NIFI-7732,48,4,3,0
NIFI-3242,42,2,2,0
NIFI-9730,42,4,4,0
NIFI-6442,41,4,4,0
NIFI-2838,40,3,3,0
NIFI-3972,39,3,2,0
NIFI-3036,38,4,4,0
NIFI-2751,38,2,2,0
NIFI-938,34,3,3,0.9182958340544896
NIFI-4747,32,3,3,0
NIFI-1689,31,2,2,0
NIFI-7964,31,2,2,0
NIFI-695,30,4,3,0.7248340915057598
NIFI-3066,28,3,3,0
NIFI-363,26,2,2,0
NIFI-8034,25,3,3,0
NIFI-4295,25,2,2,0
NIFI-7366,24,2,2,0
NIFI-8417,23,2,2,0
NIFI-6955,22,3,2,0
NIFI-3671,21,3,2,0
NIFI-2159,19,3,3,0
NIFI-1650,19,3,3,0
NIFI-6977,18,3,3,0
NIFI-8253,17,4,4,0
NIFI-481,16,2,2,0
NIFI-4686,15,4,4,0
NIFI-4801,14,3,3,0
NIFI-8394,14,2,2,0
NIFI-4279,13,3,2,0
NIFI-4021,13,2,2,0
NIFI-8119,13,2,2,0
NIFI-6695,13,3,2,0
NIFI-8270,12,2,2,0
NIFI-5828,12,2,2,0
NIFI-775,11,3,2,1
NIFI-6443,11,3,3,0
NIFI-5666,11,3,2,0
NIFI-255,11,11,3,0.9797236796601578
NIFI-7622,10,3,3,0
NIFI-4093,10,2,2,0
NIFI-2344,8,3,3,0.9182958340544896
NIFI-4859,8,5,4,0
NIFI-1726,7,2,2,0
NIFI-5822,7,2,2,0
NIFI-1310,6,2,2,0
NIFI-6416,6,3,3,0
NIFI-1665,6,2,2,0
NIFI-1676,5,2,2,0
NIFI-1604,5,2,2,0
NIFI-3689,4,2,2,0
NIFI-4290,4,2,2,0
NIFI-6017,2,2,2,0
NIFI-5456,2,2,2,0
NIFI-2478,2,2,2,0
NIFI-2686,2,2,2,0
NIFI-3544,2,2,2,0
NIFI-8398,2,2,2,0
NIFI-1534,2,2,2,0
NIFI-6795,2,2,2,0
NIFI-6016,1,2,2,0
