Key,LOC,NOF,NOP,Entropy
NIFI-1827,9922,32,8,0.7896900821428474
NIFI-1764,9922,32,8,0.7896900821428474
NIFI-2660,7305,94,25,0.847565821969906
NIFI-8304,6771,19,6,0
NIFI-527,6075,33,10,0.9528195311147831
NIFI-2208,4672,88,47,0.841741472453456
NIFI-9625,4248,7,4,0
NIFI-1883,3990,77,17,0.9644952869051258
NIFI-8209,3954,9,6,0
NIFI-2635,3454,31,10,0.8823296861782252
NIFI-2732,3286,15,5,0.9634761951932856
NIFI-4774,3164,27,6,0
NIFI-2519,2980,13,10,0
NIFI-2007,2878,61,19,0
NIFI-744,2586,27,9,0.9635449745360276
NIFI-7467,2568,14,11,0
NIFI-8095,2565,48,25,0
NIFI-4660,2500,17,9,0
NIFI-4664,2500,17,9,0
NIFI-4659,2500,17,9,0
NIFI-2057,2296,79,43,0.868014257767911
NIFI-1645,2294,8,3,0.9182958340544896
NIFI-980,2242,5,4,0.9591479170272447
NIFI-1133,2242,5,4,0.9591479170272447
NIFI-6312,2040,15,3,0
NIFI-899,2016,24,10,0.9766146686727132
NIFI-2566,1973,47,25,0.9538701908886009
NIFI-2335,1757,51,24,0.9227678187231412
NIFI-2331,1757,51,24,0.9227678187231408
NIFI-2307,1757,51,24,0.9227678187231414
NIFI-2242,1757,51,24,0.9227678187231412
NIFI-1497,1637,35,21,1
NIFI-1712,1536,43,25,0
NIFI-374,1530,7,5,0.9182958340544896
NIFI-4902,1517,16,3,0
NIFI-6085,1508,7,7,0
NIFI-5208,1458,91,23,0
NIFI-221,1362,7,5,0
NIFI-7584,1362,9,6,0
NIFI-6322,1315,99,10,0
NIFI-2599,1296,5,5,1
NIFI-9507,1281,16,7,0
NIFI-5442,1265,7,7,0
NIFI-5148,1243,17,5,0
NIFI-4382,1204,18,11,0
NIFI-1966,1201,28,20,0.9499263773646953
NIFI-8625,1184,30,12,0
NIFI-6640,1171,15,12,0
NIFI-8041,1152,22,12,1.0000000000000002
NIFI-2338,1151,33,20,0.9046323043562481
NIFI-2346,1151,33,20,0.9046323043562479
NIFI-216,1112,7,6,0.8051709189395957
NIFI-7866,1100,27,20,0.9999999999999999
NIFI-10019,1095,28,12,0
NIFI-604,1068,7,5,0.9165164431996023
NIFI-7379,1061,11,5,0
NIFI-2273,1058,12,7,0.7982649332140432
NIFI-2272,1058,12,7,0.7982649332140432
NIFI-6734,1041,20,7,0
NIFI-537,1015,17,9,0.9828022372275808
NIFI-7332,998,5,3,0
NIFI-6266,998,18,8,0
NIFI-6403,986,17,5,0.9697238998682473
NIFI-3162,977,3,3,0
NIFI-6171,955,5,5,0
NIFI-3273,954,41,13,0
NIFI-557,946,12,5,0.9243243872926642
NIFI-6285,940,18,13,0
NIFI-7011,924,6,6,0
NIFI-632,917,22,13,0.9463946303571861
NIFI-7304,913,12,12,0
NIFI-5222,904,14,8,0
NIFI-4761,903,7,5,0
NIFI-5622,900,33,19,0
NIFI-8218,883,12,8,0
NIFI-4772,864,13,8,0
NIFI-2403,848,11,10,0.8714719122121108
NIFI-1171,833,3,3,0.9910760598382222
NIFI-2249,830,48,10,0.9737957014334319
NIFI-3472,826,13,10,0
NIFI-9903,825,4,3,0
NIFI-3221,802,3,3,0
NIFI-8365,800,8,8,0
NIFI-482,788,61,8,1
NIFI-1164,786,8,6,0
NIFI-795,776,17,4,0
NIFI-4971,769,8,6,0
NIFI-9192,768,5,5,0
NIFI-7377,767,13,12,0
NIFI-3135,762,12,4,0.9517961807358445
NIFI-396,759,5,5,0.9709505944546686
NIFI-9871,754,4,4,0
NIFI-9060,753,17,11,0
NIFI-4907,750,22,17,0
NIFI-3117,742,12,4,1
NIFI-1965,739,9,7,0
NIFI-4740,739,12,7,0
NIFI-5997,731,18,11,0
NIFI-3946,730,11,9,0.9691745848606977
NIFI-5667,725,7,7,0
NIFI-1117,712,4,3,0.8112781244591328
NIFI-5623,712,7,4,0
NIFI-5718,710,8,6,0
NIFI-1484,703,6,3,0.79111751347728
NIFI-4003,696,3,3,0
NIFI-5949,689,6,4,0
NIFI-4756,685,16,12,0
NIFI-488,676,4,2,0
NIFI-2292,672,19,13,0.887200688533674
NIFI-7558,671,13,12,0
NIFI-7536,664,17,14,0
NIFI-6530,650,20,16,0
NIFI-5540,644,7,7,0
NIFI-4707,643,7,5,0
NIFI-3133,636,26,19,0.9641157682210614
NIFI-7375,626,21,12,0
NIFI-6983,619,10,6,0
NIFI-2551,618,19,11,0
NIFI-2606,617,23,12,0.8771945057051445
NIFI-7314,613,3,3,0
NIFI-2488,602,21,13,0.8737339820050659
NIFI-2554,599,16,7,0.8845147656768563
NIFI-694,596,14,10,0.8785204509214299
NIFI-1649,593,3,3,0
NIFI-2347,591,3,3,1
NIFI-4069,591,9,5,0
NIFI-2670,589,13,5,0.9414324415725632
NIFI-1686,582,4,3,0
NIFI-8458,579,5,3,0
NIFI-8768,579,21,19,1
NIFI-9853,571,10,6,0
NIFI-1300,570,3,3,0
NIFI-2702,553,7,3,0
NIFI-7242,550,20,12,0
NIFI-8204,550,27,20,0.9999999999999999
NIFI-8039,549,17,9,0
NIFI-8173,541,15,13,0
NIFI-8174,541,15,13,0
