Key,LOC,NOF,NOP,Entropy
OFBIZ-8341,722,44,33,0.9348704159880585
OFBIZ-5254,205,6,6,0.5152734452350943
OFBIZ-10012,130,4,3,0.9182958340544896
OFBIZ-8341,110,6,2,0
OFBIZ-4212,83,3,3,0
OFBIZ-5409,69,4,4,0
OFBIZ-5035,67,5,4,0.9852281360342515
OFBIZ-4130,60,4,4,0
OFBIZ-12636,54,2,2,0
OFBIZ-5701,46,2,2,0
OFBIZ-2563,24,2,2,0
OFBIZ-12303,23,2,2,0
OFBIZ-1716,22,2,2,0
OFBIZ-176,20,2,2,0
OFBIZ-380,19,2,2,0
OFBIZ-5882,18,3,2,0.7219280948873623
OFBIZ-9908,17,3,2,1
OFBIZ-497,16,2,2,0
OFBIZ-12595,16,2,2,0
OFBIZ-7758,15,5,4,0
OFBIZ-1532,14,2,2,0
OFBIZ-386,13,3,3,0.6840384356390417
OFBIZ-6576,13,2,2,0
OFBIZ-12450,12,2,2,0
OFBIZ-4220,11,2,2,0
OFBIZ-12604,11,2,2,0
OFBIZ-278,11,2,2,0
OFBIZ-7186,10,2,2,0
OFBIZ-904,9,2,2,0
OFBIZ-12140,8,2,2,0
OFBIZ-2238,8,2,2,0
OFBIZ-2940,8,2,2,0
OFBIZ-3912,8,2,2,0
OFBIZ-3833,7,2,2,0
OFBIZ-10959,7,3,3,0
OFBIZ-8336,7,2,2,0
OFBIZ-293,7,2,2,0
OFBIZ-567,6,2,2,0
OFBIZ-567,6,2,2,0
OFBIZ-7011,6,2,2,0
OFBIZ-12636,5,2,2,0
OFBIZ-11029,4,2,2,0
OFBIZ-12014,4,2,2,0
OFBIZ-12595,4,2,2,0
OFBIZ-4940,2,2,2,0
OFBIZ-9890,2,2,2,0
OFBIZ-12229,2,2,2,0
OFBIZ-894,2,2,2,0
OFBIZ-12100,2,2,2,0
OFBIZ-7346,2,2,2,0
OFBIZ-6022,2,2,2,0
OFBIZ-6845,2,2,2,0
