Key,LOC,NOF,NOP,Entropy
OFBIZ-3100,2004,89,22,0.9211854965885543
OFBIZ-12386,1908,22,16,0.9751060324573733
OFBIZ-12386,1471,75,50,0.9587446613154132
OFBIZ-4170,1288,5,2,0
OFBIZ-1264,1232,2,2,0
OFBIZ-11275,993,7,6,0.8656939941993219
OFBIZ-4594,864,3,2,0
OFBIZ-4107,845,12,11,0.9463946303571861
OFBIZ-4118,562,9,4,0.9699870314266159
OFBIZ-4118,562,9,4,0.9699870314266158
OFBIZ-10814,487,5,3,0.7725068857142601
OFBIZ-6060,481,9,4,1
OFBIZ-1020,405,2,2,0
OFBIZ-12178,353,4,3,0.9182958340544896
OFBIZ-1905,334,2,2,0
OFBIZ-8321,304,6,6,0
OFBIZ-10187,296,4,3,1
OFBIZ-1775,295,3,2,0
OFBIZ-828,290,3,3,0.5293608652873644
OFBIZ-1935,262,7,6,0.7854752972273343
OFBIZ-5047,259,2,2,0
OFBIZ-3904,255,3,3,0
OFBIZ-3883,253,13,9,1
OFBIZ-4477,252,3,2,0.9709505944546686
OFBIZ-12097,241,3,3,0.6193821946787638
OFBIZ-10206,240,5,3,0.7835807040488098
OFBIZ-5544,239,2,2,0
OFBIZ-6715,232,3,2,0
OFBIZ-6715,232,3,2,0
OFBIZ-6561,222,6,3,0
OFBIZ-9206,220,3,3,0.9709505944546686
OFBIZ-4275,215,4,3,0.9182958340544896
OFBIZ-4964,210,4,3,0
OFBIZ-4964,210,4,3,0
OFBIZ-1598,206,9,3,0.9999999999999999
OFBIZ-1598,206,9,3,0.9999999999999999
OFBIZ-11261,200,4,3,0.7219280948873623
OFBIZ-12281,197,3,3,0
OFBIZ-5534,190,5,3,0
OFBIZ-3318,182,2,2,0
OFBIZ-10936,180,2,2,0
OFBIZ-289,180,5,5,0.8453509366224364
OFBIZ-2337,179,3,3,0.8904916402194913
OFBIZ-4198,172,4,3,0.9182958340544896
OFBIZ-10655,167,5,5,0
OFBIZ-2163,166,3,2,0.9709505944546686
OFBIZ-1221,166,2,2,0
OFBIZ-10933,166,4,4,0
OFBIZ-4342,164,2,2,0
OFBIZ-4342,164,2,2,0
OFBIZ-6860,159,4,4,1
OFBIZ-2058,148,2,2,0
OFBIZ-4289,145,3,3,0
OFBIZ-11862,144,6,5,0.9999999999999999
OFBIZ-2124,142,2,2,0
OFBIZ-10277,140,2,2,0
OFBIZ-3394,139,2,2,0
OFBIZ-5347,137,4,3,0
OFBIZ-9855,136,18,17,0.9463946303571861
OFBIZ-3909,135,4,4,0.9999999999999999
OFBIZ-1152,134,2,2,0
OFBIZ-5335,134,4,3,0
OFBIZ-1180,132,3,3,0
OFBIZ-10458,131,3,3,0
OFBIZ-4528,131,4,4,0
OFBIZ-4954,130,5,3,0
OFBIZ-4769,129,2,2,0
OFBIZ-2609,129,2,2,0
OFBIZ-2928,126,2,2,0
OFBIZ-5617,123,2,2,0
OFBIZ-10284,121,2,2,0
OFBIZ-5535,119,4,3,0
OFBIZ-5535,119,4,3,0
OFBIZ-4813,119,3,2,0.8112781244591328
OFBIZ-4967,118,2,2,0
OFBIZ-3077,117,4,3,0
OFBIZ-4527,117,3,3,0
OFBIZ-11440,116,4,3,0
OFBIZ-757,115,3,3,0.7219280948873623
OFBIZ-10597,115,4,4,0.8112781244591328
OFBIZ-11677,114,2,2,0
OFBIZ-10635,113,4,4,0.5578578164321781
OFBIZ-4160,111,3,3,0
OFBIZ-8302,111,5,5,0
OFBIZ-5261,110,7,6,1
OFBIZ-4176,110,2,2,0
OFBIZ-3671,110,4,3,0.8438173245512004
OFBIZ-12555,109,2,2,0
OFBIZ-12063,108,6,5,0
OFBIZ-10818,107,2,2,0
OFBIZ-1914,107,2,2,0
OFBIZ-2353,106,5,4,0.6783898247235198
OFBIZ-5896,105,4,3,0.8868595071429147
OFBIZ-5453,105,6,6,0
OFBIZ-3398,103,2,2,0
OFBIZ-5478,100,3,2,0
OFBIZ-5710,97,3,2,0
OFBIZ-10369,93,5,5,0
OFBIZ-2628,93,4,4,0.8649735207179271
OFBIZ-12392,92,2,2,0
OFBIZ-9192,90,2,2,0
OFBIZ-1524,90,8,8,0
OFBIZ-133,89,15,10,0.9959472171171373
OFBIZ-136,89,15,10,0.9959472171171373
OFBIZ-12249,88,3,2,0
OFBIZ-4390,88,2,2,0
OFBIZ-5980,88,2,2,0
OFBIZ-1226,87,4,2,0
OFBIZ-5148,86,2,2,0
OFBIZ-6795,86,2,2,0
OFBIZ-12305,85,3,3,0
OFBIZ-714,85,4,4,0.9003120349047063
OFBIZ-1144,85,2,2,0
OFBIZ-1608,84,2,2,0
OFBIZ-1608,84,2,2,0
OFBIZ-627,83,2,2,0
OFBIZ-5025,81,3,2,0
OFBIZ-2208,80,2,2,0
OFBIZ-11342,80,3,3,0
OFBIZ-12283,80,3,2,1
OFBIZ-3026,80,3,2,0
OFBIZ-9677,78,2,2,0
OFBIZ-11278,77,2,2,0
OFBIZ-4946,77,3,3,1
OFBIZ-742,77,3,3,0
OFBIZ-3208,77,3,2,0.9182958340544896
OFBIZ-12282,77,2,2,0
OFBIZ-4356,75,2,2,0
OFBIZ-9623,73,2,2,0
OFBIZ-6275,73,5,4,0
OFBIZ-12453,73,3,3,0
OFBIZ-1922,72,3,3,0.9940302114769564
OFBIZ-259,72,6,4,1
OFBIZ-6088,71,9,7,1
OFBIZ-2466,70,2,2,0
OFBIZ-2965,70,2,2,0
OFBIZ-597,70,2,2,0
OFBIZ-10741,69,2,2,0
OFBIZ-7929,69,2,2,0
OFBIZ-7929,69,2,2,0
OFBIZ-10883,68,2,2,0
OFBIZ-3782,68,4,3,0
OFBIZ-2148,68,3,3,0.9957274520849255
OFBIZ-2937,68,2,2,0
OFBIZ-3889,66,2,2,0
OFBIZ-1944,66,2,2,0
OFBIZ-8505,66,6,5,0.6826061944859853
OFBIZ-6051,64,2,2,0
OFBIZ-4156,64,2,2,0
OFBIZ-401,64,6,6,0.9873179343530822
OFBIZ-7344,64,2,2,0
OFBIZ-5565,63,3,3,0
OFBIZ-12628,63,3,2,0
OFBIZ-11862,62,2,2,0
OFBIZ-270,62,2,2,0
OFBIZ-4959,62,4,3,0.9544340029249649
OFBIZ-11294,62,7,4,0.9182958340544896
OFBIZ-3254,60,6,4,0.8645617058093956
OFBIZ-3927,60,2,2,0
OFBIZ-1706,60,2,2,0
OFBIZ-4573,59,2,2,0
OFBIZ-4602,58,2,2,0
OFBIZ-2108,58,2,2,0
