Key,LOC,NOF,NOP,Entropy
HDDS-1812,2579,31,6,1
HDDS-1610,846,6,5,0.919717323575093
HDDS-399,834,20,13,0.9327150647681655
HDDS-3930,780,17,16,0.9549282133516955
HDDS-4731,752,37,28,0.9203920099882844
HDDS-2891,732,22,9,0.9697238998682475
HDDS-247,691,7,7,0.9854752972273343
HDDS-1913,685,24,18,0.8613531161467861
HDDS-2542,647,11,7,0.9366107178069573
HDDS-1128,583,24,10,0.9394163033779763
HDDS-4308,552,29,14,0.9525202551304327
HDDS-3282,493,21,13,0.9085346904521793
HDDS-268,458,8,7,0.8794424312432465
HDDS-273,458,8,5,0.9240434372045377
HDDS-4040,428,12,5,0.9724056781360314
HDDS-277,411,19,14,0.9611767928023934
HDDS-2898,394,6,2,0
HDDS-3965,377,7,5,0.9609640474436811
HDDS-2164,365,11,9,0.8946724269432816
HDDS-2026,352,3,3,0
HDDS-4327,344,19,14,0.8596610491977074
HDDS-1525,295,8,3,0.7204930400545079
HDDS-1843,274,13,9,0.8515610503502468
HDDS-4037,274,14,10,0.8787409903782898
HDDS-263,267,9,9,0.9186036732522916
HDDS-638,234,7,6,0.9674887648835618
HDDS-2076,222,3,3,0
HDDS-4026,216,5,3,0.858672711073255
HDDS-3465,203,6,6,0.9314885997695778
HDDS-1093,198,6,5,1
HDDS-3920,188,13,11,0.9999999999999999
HDDS-3562,171,7,5,0.9591479170272447
HDDS-3106,171,2,2,0
HDDS-544,169,4,4,0
HDDS-1717,158,6,5,0.936084710977641
HDDS-230,154,4,3,0.8649735207179271
HDDS-939,122,9,8,0.700220621330788
HDDS-568,122,6,4,1
HDDS-1082,119,2,2,0
HDDS-4010,116,4,3,0.9431887805255735
HDDS-3778,112,3,3,1
HDDS-3999,108,3,3,0.8112781244591328
HDDS-4008,106,4,4,0
HDDS-1834,102,4,4,0.7975511165325083
HDDS-6868,101,2,2,0
HDDS-114,96,4,3,0.8112781244591328
HDDS-3392,94,4,3,0.9629470156266078
HDDS-502,88,3,3,0.828055725379504
HDDS-3564,84,6,5,0.6695919455357793
HDDS-3072,71,7,4,0.863927576327933
HDDS-246,69,4,4,0.5478948105177535
HDDS-1811,66,4,4,0.9463946303571861
HDDS-1401,65,8,8,0.782775952814142
HDDS-5279,63,4,3,0.9999999999999999
HDDS-19,57,4,4,0.9463946303571861
HDDS-6369,57,3,3,0
HDDS-5858,49,4,4,0
HDDS-1310,48,3,3,0.7219280948873623
HDDS-3380,46,4,4,0.9709505944546686
HDDS-3118,41,5,5,0.9709505944546686
HDDS-4597,40,4,4,0.9656336071428251
HDDS-3066,39,2,2,0
HDDS-1766,39,2,2,0
HDDS-2919,36,2,2,0
HDDS-4607,35,2,2,0
HDDS-3481,34,4,4,0.9922150607220181
HDDS-3067,31,3,3,0.9182958340544896
HDDS-2363,29,7,6,0.9609640474436811
HDDS-3116,27,2,2,0
HDDS-4186,27,4,4,0.9182958340544896
HDDS-4497,22,6,5,0
HDDS-1492,20,3,3,0.9182958340544896
HDDS-4851,20,3,3,1
HDDS-420,19,6,6,0.851138449603646
HDDS-2346,19,2,2,0
HDDS-5804,18,5,5,0
HDDS-2511,14,2,2,0
HDDS-5068,13,2,2,0
HDDS-762,13,3,3,0.7219280948873623
HDDS-5524,12,2,2,0
HDDS-5619,10,3,3,0
HDDS-1302,9,3,3,0.9798687566511528
HDDS-403,8,3,3,0
HDDS-3765,8,2,2,0
HDDS-5426,8,2,2,0
HDDS-408,8,3,3,0
HDDS-344,8,2,2,0
HDDS-1417,7,2,2,0
HDDS-7034,6,2,2,0
HDDS-4408,6,2,2,0
HDDS-3512,6,2,2,0
HDDS-4774,5,3,3,0.863120568566631
HDDS-4343,3,2,2,0
HDDS-2172,3,2,2,0
HDDS-415,3,2,2,0
HDDS-3935,2,2,2,0
HDDS-5744,2,2,2,0
HDDS-2515,2,2,2,0
