Key,LOC,NOF,NOP,Entropy
HDDS-1395,5283,15,9,0.9026000957137802
HDDS-1373,3531,8,5,0.8365358528800314
HDDS-45,3195,16,6,0.9596744479117069
HDDS-1778,2698,20,5,0.9999999999999999
HDDS-1333,2459,10,4,0.9158222865890289
HDDS-332,2256,38,18,0.9206419420417915
HDDS-3477,2151,14,4,0.8667255430471602
HDDS-3312,2098,85,37,0.8598428284877915
HDDS-239,1957,15,13,0.9139881617429211
HDDS-5607,1898,61,29,0.9049839433571463
HDDS-357,1843,25,16,0.9336591895124727
HDDS-675,1772,25,18,0.9105375235882601
HDDS-175,1619,46,30,0.9601050399494646
HDDS-360,1501,32,15,0.9347905943848138
HDDS-1927,1478,26,16,0.9358725312658651
HDDS-1449,1309,20,14,0.9766874637103278
HDDS-629,1296,17,13,0.9583333333333334
HDDS-2490,1272,32,6,0.984004625883935
HDDS-476,1265,49,30,0.9210208911187071
HDDS-692,1171,4,3,0.9999999999999999
HDDS-656,1083,17,6,0.9892972558517699
HDDS-981,1082,37,21,0.9408599206141638
HDDS-6900,1068,90,37,0.9331228999039486
HDDS-187,1046,25,13,0.9036538804397478
HDDS-2920,949,33,14,0.9382719913870516
HDDS-1088,934,5,3,0.9854752972273343
HDDS-5142,932,13,4,0
HDDS-297,925,37,22,0.9329274208858559
HDDS-5554,920,7,7,1
HDDS-6323,918,13,7,0
HDDS-359,904,11,4,0.8322488896002307
HDDS-5916,883,23,14,0.924324387292664
HDDS-460,876,11,6,0.9182958340544894
HDDS-389,850,10,6,0.942631203937882
HDDS-5359,836,28,19,0.9882589275241974
HDDS-3493,808,9,4,0.8902220097637679
HDDS-2321,796,30,22,0.9330846004375771
HDDS-266,773,14,11,0.949754393855329
HDDS-1491,768,7,6,0
HDDS-2878,751,11,4,1
HDDS-576,748,33,18,0.9546280219579402
HDDS-550,747,28,21,1
HDDS-351,741,12,8,0.8850236391440959
HDDS-325,715,34,23,0.9463946303571861
HDDS-1753,675,18,15,0.854067862183147
HDDS-1497,671,9,5,0.9999999999999999
HDDS-816,662,15,6,0.8715060275968614
HDDS-2339,648,9,5,0.8244519050636353
HDDS-2260,642,56,35,0.9538703907940802
HDDS-1164,642,9,4,0.989316588808282
HDDS-6114,636,19,9,0.9943678467207028
HDDS-2914,634,10,7,0.9504833100571272
HDDS-844,626,18,10,0.9271064820508704
HDDS-524,619,10,6,0.8783471047618533
HDDS-358,612,8,4,0.8609640474436812
HDDS-424,578,25,7,0.9376797559849956
HDDS-38,565,6,5,0.8112781244591328
HDDS-324,549,40,28,0.9499425682588867
HDDS-4075,540,5,5,0.9182958340544896
HDDS-49,539,11,8,0.9791922016723984
HDDS-603,535,12,10,0.9914658571708473
