Key,LOC,NOF,NOP,Entropy
QPID-346,9820,65,30,0.8408065825394411
QPID-346,9820,65,30,0.8408065825394408
QPID-4514,9432,83,17,0.8739327517699447
QPID-4514,9432,83,17,0.8739327517699447
QPID-355,6408,49,25,0.8715765038415243
QPID-355,6408,49,25,0.8715765038415245
QPID-355,6408,49,25,0.871576503841524
QPID-6803,6081,10,6,0.8112781244591328
QPID-6803,6081,10,6,0.8112781244591328
QPID-5165,4994,88,37,0.930563746915512
QPID-5165,4994,88,37,0.9305637469155119
QPID-5165,4994,88,37,0.9305637469155116
QPID-139,4661,31,9,0.8941713821967672
QPID-5362,4347,14,5,0
QPID-389,4092,30,20,0.8994082901639241
QPID-389,4092,30,20,0.8994082901639241
QPID-389,4092,30,20,0.8994082901639241
QPID-1564,4026,55,9,0.9656194994696199
QPID-1564,4026,55,9,0.9656194994696201
QPID-1564,4026,55,9,0.9656194994696198
QPID-180,3920,14,8,0.9205187168307507
QPID-180,3920,14,8,0.9205187168307507
QPID-180,3920,14,8,0.9205187168307507
QPID-181,3920,14,8,0.9205187168307508
QPID-181,3920,14,8,0.9205187168307508
QPID-3799,3881,13,4,0.9558779636570708
QPID-3799,3881,13,4,0.9558779636570708
QPID-920,3495,94,13,0.9207882680188112
QPID-920,3495,94,13,0.9207882680188119
QPID-410,3412,32,18,0.8858656835431421
QPID-410,3412,32,18,0.8858656835431423
QPID-410,3412,32,18,0.8858656835431423
QPID-947,3109,35,8,0.8317502831254623
QPID-8191,3046,22,9,0
QPID-947,3020,29,5,0.8439340943207188
QPID-348,2831,37,17,0.8728541296943848
QPID-348,2831,37,17,0.8728541296943846
QPID-102,2809,11,5,0.9098596492561208
QPID-102,2809,11,5,0.9098596492561207
QPID-102,2809,11,5,0.9098596492561207
QPID-3643,2775,50,23,0.9068355822830301
QPID-3643,2775,50,23,0.90683558228303
QPID-4710,2680,57,11,0.9096775216663778
QPID-5928,2500,42,22,0.9363039735122957
QPID-5928,2500,42,22,0.9363039735122958
QPID-3304,2460,19,7,0.888524656919891
QPID-4710,2415,55,10,0.9096775216663777
QPID-1621,2359,62,33,0.953496092958428
QPID-1621,2359,62,33,0.953496092958428
QPID-4286,2350,39,9,0.9246940703096569
QPID-4286,2350,39,9,0.924694070309657
QPID-2420,2334,18,3,0
QPID-2420,2334,18,3,0
QPID-1764,2326,30,16,0.8852812069870867
QPID-1764,2326,30,16,0.8852812069870867
QPID-1764,2326,30,16,0.8852812069870865
QPID-7279,2318,37,19,0.8397003871336511
QPID-7279,2318,37,19,0.8397003871336511
QPID-8066,2285,61,27,0.9335100357365151
QPID-7753,2020,68,25,0.9303798991884017
QPID-3526,1984,16,8,0.8889895926818489
QPID-3526,1984,16,8,0.8889895926818489
QPID-3526,1984,16,8,0.8889895926818489
QPID-940,1937,40,14,0.9220028622490064
QPID-594,1937,40,14,0.9220028622490062
QPID-805,1937,40,14,0.9220028622490064
QPID-805,1937,40,14,0.9220028622490062
QPID-805,1937,40,14,0.9220028622490065
QPID-940,1937,40,14,0.9220028622490062
QPID-594,1937,40,14,0.9220028622490064
QPID-826,1937,40,14,0.9220028622490064
QPID-826,1937,40,14,0.9220028622490062
QPID-940,1937,40,14,0.9220028622490062
QPID-826,1937,40,14,0.9220028622490064
QPID-275,1908,45,16,0.8868313626911454
QPID-275,1904,44,15,0.8868313626911453
QPID-275,1904,44,15,0.8868313626911454
QPID-3524,1795,14,8,0.9123495232883485
QPID-3524,1795,14,8,0.9123495232883484
QPID-3524,1795,14,8,0.9123495232883484
QPID-5890,1750,8,4,0.9182958340544896
QPID-5890,1750,8,4,0.9182958340544896
QPID-164,1735,9,6,0.9175684939759813
QPID-164,1735,9,6,0.9175684939759813
QPID-164,1735,9,6,0.9175684939759813
QPID-4712,1641,62,9,0.9254802960068391
QPID-4712,1641,62,9,0.925480296006839
QPID-317,1641,25,7,0.8784112697208839
QPID-317,1641,25,7,0.8784112697208837
QPID-5855,1531,34,9,0.9189209605829901
QPID-5855,1531,34,9,0.9189209605829901
QPID-5040,1515,40,11,0.9348704159880585
QPID-5040,1515,40,11,0.9348704159880584
QPID-7635,1492,22,12,0.8045194686209807
QPID-7649,1449,24,11,0.9010558478789062
QPID-1463,1392,52,12,0.9645640357297544
QPID-1463,1392,52,12,0.9645640357297544
QPID-1463,1392,52,12,0.964564035729754
QPID-5560,1388,24,10,0.9380528753589502
QPID-325,1382,51,19,0.9416156867104171
QPID-325,1382,51,19,0.941615686710417
QPID-325,1382,51,19,0.941615686710417
QPID-3521,1380,20,11,0.8979676915059206
QPID-3521,1380,20,11,0.8979676915059206
QPID-2418,1368,12,9,0.7392416813438126
QPID-2418,1368,12,9,0.7392416813438129
QPID-2418,1368,12,9,0.7392416813438129
QPID-5560,1365,23,9,0.93805287535895
QPID-3767,1360,20,7,0.9163899478664979
QPID-4382,1359,41,23,0.8923785717861504
QPID-4382,1359,41,23,0.8923785717861504
QPID-4382,1359,41,23,0.8923785717861504
QPID-3767,1338,18,5,0.916389947866498
QPID-6249,1293,13,4,0.8721393746884706
QPID-6249,1293,13,4,0.8721393746884707
QPID-7646,1222,28,13,0.893753451113533
QPID-1879,1206,9,3,0.7953794059715827
QPID-1879,1206,9,3,0.7953794059715826
QPID-2243,1183,12,9,0.9463946303571861
QPID-2796,1183,32,14,0.9649483470238077
QPID-2796,1183,32,14,0.9649483470238077
QPID-2243,1183,12,9,0.9463946303571861
QPID-2796,1183,32,14,0.9649483470238077
QPID-6619,1180,26,18,0.9260250192659827
QPID-372,1176,16,11,0.8633034925494877
QPID-372,1176,16,11,0.8633034925494877
QPID-7625,1157,33,16,0.901135799908057
QPID-2631,1153,16,10,0.8762910195644694
QPID-6660,1152,36,17,0.8615993638995318
QPID-6660,1152,36,17,0.8615993638995317
QPID-408,1151,20,9,0.8849336787738831
QPID-408,1151,20,9,0.8849336787738831
QPID-408,1151,20,9,0.8849336787738832
QPID-6710,1139,18,7,0.7773048806327834
QPID-6710,1139,18,7,0.7773048806327834
QPID-183,1128,25,12,0.8656508633451045
QPID-183,1128,25,12,0.8656508633451044
QPID-2630,1121,12,8,0.832447330291019
QPID-2923,1120,8,2,0.9999999999999999
QPID-2923,1120,8,2,0.9999999999999999
QPID-2361,1114,9,7,0.9755037590061086
QPID-2361,1114,9,7,0.9755037590061086
QPID-2360,1104,9,7,0.9755037590061085
QPID-8062,1098,10,6,0.5435644431995964
QPID-4705,1089,18,7,0.8884461045429239
QPID-4705,1089,18,7,0.8884461045429239
QPID-4705,1089,18,7,0.8884461045429239
QPID-871,1088,17,12,0.9426807148172599
QPID-871,1088,17,12,0.9426807148172599
QPID-871,1088,17,12,0.9426807148172599
QPID-7425,1074,20,9,0.49703944929850064
QPID-3317,1069,16,6,0.8678167879757966
QPID-7548,1069,10,3,0.920619835714305
QPID-7548,1069,10,3,0.920619835714305
QPID-3317,1069,16,6,0.8678167879757966
QPID-3317,1069,16,6,0.8678167879757965
QPID-4124,1066,7,6,0.9709505944546686
QPID-5967,1062,13,9,0.7934656307332029
QPID-5967,1062,13,9,0.793465630733203
QPID-2031,1060,7,6,0.7208642439793533
QPID-2031,1060,7,6,0.7208642439793533
QPID-2031,1060,7,6,0.7208642439793533
QPID-3527,1057,8,4,0.9736669121131954
QPID-3527,1057,8,4,0.9736669121131954
QPID-3527,1057,8,4,0.9736669121131954
QPID-3415,1047,14,11,0.9061046786569098
QPID-3415,1047,14,11,0.9061046786569098
QPID-69,1044,9,3,0.8514097655573916
QPID-69,1044,9,3,0.8514097655573916
QPID-119,1042,18,5,0.977417518308649
QPID-119,1042,18,5,0.977417518308649
QPID-119,1042,18,5,0.977417518308649
QPID-2093,1040,5,5,0.9852281360342515
QPID-375,1040,77,39,0.8850884071639648
QPID-375,1040,77,39,0.8850884071639645
QPID-2093,1040,5,5,0.9852281360342515
QPID-375,1040,77,39,0.885088407163964
QPID-2093,1040,5,5,0.9852281360342515
QPID-1258,1031,50,23,0.9738894973269228
QPID-1258,1031,50,23,0.9738894973269228
QPID-1258,1031,50,23,0.9738894973269232
QPID-6800,1015,9,7,0.5864611796328074
QPID-3280,1015,33,7,0.8971659539509184
QPID-3280,1015,33,7,0.8971659539509184
QPID-3448,1001,9,4,0.9206198357143047
QPID-3448,1001,9,4,0.920619835714305
QPID-7789,993,22,14,0.6207550943681299
QPID-2242,989,10,6,0.8112781244591328
QPID-2242,989,10,6,0.8112781244591328
QPID-2242,989,10,6,0.8112781244591328
QPID-1094,983,8,3,0.6913698302025113
QPID-1094,983,8,3,0.6913698302025113
QPID-2062,982,7,4,0.6500224216483541
QPID-2063,982,7,4,0.6500224216483541
QPID-2062,982,7,4,0.6500224216483541
QPID-2063,982,7,4,0.6500224216483541
QPID-2487,978,6,3,0.9138646883853215
QPID-2487,978,6,3,0.9138646883853215
QPID-6625,974,10,9,0.9462874612889592
QPID-6625,974,10,9,0.9462874612889592
QPID-3525,969,4,4,0
QPID-3525,969,4,4,0
QPID-2102,962,22,3,0.8796329067699212
QPID-2102,962,22,3,0.8796329067699213
QPID-4970,956,44,17,0.9660376500000147
QPID-4970,956,44,17,0.9660376500000147
QPID-4970,956,44,17,0.9660376500000147
QPID-4339,948,19,7,0.9463946303571861
QPID-4339,948,19,7,0.9463946303571861
QPID-293,946,8,4,0.8620220977283416
QPID-293,946,8,4,0.8620220977283416
QPID-293,946,8,4,0.8620220977283416
QPID-2444,929,19,9,0.9414455616455956
QPID-2444,929,19,9,0.9414455616455957
QPID-5139,919,32,5,0.8734024082770836
QPID-5139,915,31,4,0.874272083417962
QPID-6593,908,7,5,0.9674887648835618
QPID-3429,906,24,19,0.9179816459364515
QPID-3429,906,24,19,0.9179816459364515
QPID-4315,893,13,4,0.7962763192083259
QPID-4315,893,13,4,0.7962763192083259
QPID-1286,893,6,5,0.7219280948873623
QPID-1286,893,6,5,0.7219280948873623
QPID-1503,891,7,3,0
QPID-1503,891,7,3,0
QPID-1385,889,9,5,0.9709505944546686
QPID-3219,889,11,4,0
QPID-3219,889,11,4,0
QPID-3219,889,11,4,0
QPID-1385,889,9,5,0.9709505944546686
QPID-1385,889,9,5,0.9709505944546686
QPID-339,883,6,4,0.8014698931335287
QPID-339,883,6,4,0.8014698931335287
QPID-339,883,6,4,0.8014698931335287
QPID-1487,877,8,4,0
QPID-1487,877,8,4,0
QPID-5481,871,13,2,1
QPID-5481,871,13,2,1
QPID-8520,862,5,4,0
QPID-4429,854,27,16,0.9463946303571861
QPID-4429,854,27,16,0.9463946303571861
QPID-4429,854,27,16,0.9463946303571861
QPID-5275,852,28,5,0.938803404279799
QPID-5275,852,28,5,0.9388034042797989
QPID-6052,844,26,9,0.9086654090872543
QPID-6052,844,26,9,0.9086654090872543
QPID-8398,841,26,12,1
QPID-4784,822,22,11,0.976687463710328
QPID-4784,822,22,11,0.9766874637103278
QPID-5834,821,8,6,0.9029896470252536
QPID-5834,821,8,6,0.9029896470252536
