Key,LOC,NOF,NOP,Entropy
SPARK-6123,6575,20,8,0.9106386519286994
SPARK-7944,3234,10,3,0.8962406251802889
SPARK-10136,2525,12,4,0.8879113028967575
SPARK-1371,2374,32,11,0.766583501441532
SPARK-3575,2277,25,13,0.9327541257423387
SPARK-10474,2243,32,18,0.7678210509671454
SPARK-2097,1880,39,12,0.8890018041810551
SPARK-4553,1823,13,6,0.8668190287021866
SPARK-4213,1229,6,5,0.9439140772487246
SPARK-3936,1142,16,6,1
SPARK-2316,1019,14,8,0.74000603937818
SPARK-34859,878,11,3,0.9426807148172599
SPARK-36447,859,25,13,0.8368348848502526
SPARK-23643,856,33,20,0.8666490857838504
SPARK-12244,771,20,11,0.9801500856796054
SPARK-15345,755,45,23,0.8729558686681121
SPARK-4072,712,14,8,0.9528195311147831
SPARK-18668,640,19,7,0.8789782831891989
SPARK-7902,607,8,5,0.8718373977071608
SPARK-26154,602,8,7,0.5586293734521992
SPARK-11866,566,19,10,0.8989893026043753
SPARK-9826,559,17,11,0.8138975790033559
SPARK-1126,554,5,4,0
SPARK-1235,511,8,5,0.8258262893088368
SPARK-14223,501,14,11,0.9372610478968413
SPARK-5751,497,3,2,0
SPARK-2569,496,4,2,0.7424875695421235
SPARK-31399,481,3,3,0
SPARK-16007,476,4,4,0.3095434291503252
SPARK-15165,473,18,9,0.8125846095347748
SPARK-8029,454,17,13,0.954312251267292
SPARK-2583,451,11,5,0.8902220097637679
SPARK-2406,450,9,7,0.8859199260235843
SPARK-15621,443,4,3,0
SPARK-3610,416,30,17,0.9190988748332134
SPARK-9202,409,6,5,1
SPARK-4514,409,8,6,0.5032583347756457
SPARK-8151,405,63,20,0.9761897269890533
SPARK-6923,394,7,5,0.851831300933565
SPARK-4548,393,9,5,0.8638040650985518
SPARK-12313,386,8,6,0.8450951415496594
SPARK-14997,386,6,6,0.745234285366414
SPARK-6578,385,6,4,0
SPARK-4452,375,9,5,0.5030940827162643
SPARK-5950,366,18,15,0.9253500867926575
SPARK-34212,365,5,5,0
SPARK-23243,364,7,6,0.8083828877630646
SPARK-9141,346,19,13,0.9099730965976214
SPARK-11932,342,7,5,0.9681905137485697
SPARK-8167,340,18,9,0.9221286105650611
SPARK-28441,331,5,4,0.8527924884900403
SPARK-28067,326,6,5,0.7248340915057598
SPARK-5945,325,4,3,0.8725416159876915
SPARK-25271,321,9,7,0.9629610647945144
SPARK-4105,320,5,5,1
SPARK-14393,313,35,14,0.9550787297740763
SPARK-16533,311,10,9,0.8613531161467861
SPARK-33705,306,7,3,0.8194483718728034
SPARK-18339,306,10,4,0.8646222145961721
SPARK-10825,305,2,2,0
SPARK-1720,296,13,9,0.7466685182529145
SPARK-16321,290,6,6,0.8005071529034173
SPARK-22042,289,5,5,0
SPARK-27992,287,10,9,0.9002095604333884
SPARK-23754,285,8,3,0.7244201675360527
SPARK-27439,285,4,4,0.8756633923230397
SPARK-21762,277,4,4,0
SPARK-24588,276,6,6,1
SPARK-23207,272,18,14,0.5557685040074553
SPARK-6954,272,3,3,1
SPARK-18908,269,8,4,0.9015077534853994
SPARK-9210,264,8,6,0.9259640358613577
SPARK-2975,263,15,10,0.953214138168116
SPARK-24935,262,3,3,0
SPARK-5746,254,16,8,0.8776413156168824
SPARK-2096,253,11,10,0.8949829836696915
SPARK-2190,250,12,7,0.8293274019019945
SPARK-22306,249,20,11,0.934241963542056
SPARK-5775,244,5,4,0.9570230930125954
SPARK-2155,244,9,8,0.9243472686304645
SPARK-3277,240,6,6,0.8010657220914289
SPARK-26555,240,3,3,0
SPARK-8090,235,4,4,0.42802721870636873
SPARK-8091,235,4,4,0.42802721870636873
SPARK-8368,234,6,4,0.6500224216483543
SPARK-14725,234,3,3,0.9182958340544896
SPARK-6575,233,5,4,0.6696903235339325
SPARK-8119,231,5,4,0.6801529888510397
SPARK-24948,229,5,5,0
SPARK-1397,229,12,7,0.9066502458933341
SPARK-20547,225,6,4,0.9463946303571861
SPARK-15832,221,3,3,0.8366407419411672
SPARK-6046,219,6,6,0.8768247112371996
SPARK-18187,217,10,4,0.9032285656373548
SPARK-4014,216,26,18,0.9237543754625607
SPARK-8080,216,5,3,0.9664572819896989
SPARK-18112,215,8,5,0.9248892283226846
SPARK-5259,215,5,3,0.8730460894168197
SPARK-30462,215,7,3,0
SPARK-32092,211,3,3,0.9182958340544896
SPARK-19646,209,5,5,0.5435644431995964
SPARK-7341,203,3,2,1
SPARK-28647,202,4,3,0
SPARK-21657,202,14,11,0.9086340819061786
SPARK-25250,198,4,3,0.97288250263637
SPARK-31519,196,7,6,0.7373593695613132
SPARK-23301,195,4,4,0.6913698302025113
SPARK-20393,194,20,13,0.9654175532860075
SPARK-4133,192,5,4,0.7510432159264185
SPARK-22393,191,5,3,1
SPARK-3958,189,4,3,1
SPARK-10116,189,16,15,0.7934372155723913
SPARK-2678,188,6,5,0.9825370967471708
SPARK-23413,186,4,4,0.9431887805255735
SPARK-31703,182,6,4,0
SPARK-12363,181,5,5,0.7298466991620974
SPARK-31684,180,5,5,1
SPARK-2205,179,11,6,0.9392045208241617
SPARK-2069,177,4,3,0.6686503162353499
SPARK-20706,177,3,3,0.9182958340544896
SPARK-6369,176,7,6,0.6660146075441881
SPARK-16106,176,3,3,0
SPARK-16460,176,8,6,0.9561255325036926
SPARK-39313,175,7,6,0.8866828800015341
SPARK-10310,174,6,5,0.9102746203716441
SPARK-15782,173,6,6,0.8444847779899117
SPARK-14521,171,3,3,0.9709505944546686
SPARK-34833,169,3,3,0.17033057560105985
SPARK-17455,168,3,3,0
SPARK-23307,168,7,5,0.9127045965049082
SPARK-13101,168,8,7,0.9345579224230702
SPARK-29295,167,3,3,0.5435644431995964
SPARK-8020,165,3,3,0.3993820824245975
SPARK-26941,163,6,6,0.842088781560647
SPARK-4865,161,10,8,0.7975274918191065
SPARK-14163,161,4,3,0
SPARK-2670,159,3,3,0
SPARK-26267,158,7,3,0
SPARK-21402,157,3,3,0
SPARK-38124,155,7,5,0.6760150508789764
SPARK-10495,154,4,3,0.9656336071428251
SPARK-34448,154,3,3,0
SPARK-6152,153,7,7,0.6840384356390417
SPARK-1740,153,6,4,0.8689330832353959
SPARK-22977,150,7,6,0.9609640474436811
SPARK-32635,149,6,6,0.863120568566631
SPARK-22984,147,3,3,1
SPARK-30495,146,5,5,0
SPARK-2260,144,17,11,0.8690444224848444
SPARK-9323,144,10,8,0.9738606299325213
SPARK-6955,141,5,5,0.9999999999999999
SPARK-1113,140,3,3,0.5435644431995964
SPARK-19751,138,4,3,0.8173454221465102
SPARK-14004,137,15,10,0.8377139281593394
SPARK-26078,137,3,3,0
SPARK-19517,136,3,3,0.9182958340544896
SPARK-36669,135,6,4,1
SPARK-3339,135,7,5,0.8767943053307257
SPARK-4019,134,4,4,0.8649735207179271
SPARK-10685,134,3,3,0.8904916402194913
SPARK-8632,134,3,3,0.8904916402194913
SPARK-1817,133,6,5,0.697817929319323
SPARK-33071,133,7,4,0.8496830079927122
SPARK-10692,131,5,3,0.6500224216483541
SPARK-18538,131,7,4,0.9400675467488144
SPARK-17409,131,16,11,0.9179530116282303
SPARK-15654,128,12,11,0.8864941627178892
SPARK-24313,127,6,5,0.6903062163479455
SPARK-5297,127,4,4,0.5816718657178866
SPARK-10671,127,3,3,0.9709505944546686
SPARK-3390,125,4,3,0.8409160494198366
SPARK-19900,125,3,3,0.9709505944546686
SPARK-24415,125,4,4,0
SPARK-26188,124,5,4,0
SPARK-21656,124,3,3,0
SPARK-11275,124,4,4,0.9437600120884533
SPARK-34719,123,6,5,0.7817893051915294
SPARK-34002,123,6,5,0.9042492561839792
SPARK-25081,123,3,3,0
SPARK-11725,122,7,7,0.9411655859875327
SPARK-6847,121,6,5,0.8887263188962904
SPARK-27097,118,5,5,1
SPARK-21254,118,2,2,0
SPARK-32819,118,3,3,0
SPARK-16550,118,5,5,1
SPARK-33593,117,5,5,0.9709505944546686
SPARK-21549,116,3,3,0
SPARK-26836,116,3,3,0
SPARK-24309,115,5,4,0.9999999999999999
SPARK-32234,114,5,4,0
SPARK-19129,114,6,5,0.9905920155390896
SPARK-16056,113,3,3,0.7642045065086203
SPARK-6144,113,3,3,0.2974722489192896
SPARK-10740,113,4,4,0.7262717891875203
SPARK-16058,113,3,3,0.7642045065086203
SPARK-16057,113,3,3,0.7642045065086203
SPARK-24373,112,5,3,0.6500224216483541
SPARK-17806,112,3,3,0
SPARK-8881,112,2,2,0
SPARK-11047,111,4,4,0.9141008920185651
SPARK-18863,111,3,3,0.7219280948873623
SPARK-15381,111,5,4,0.9256573443248606
SPARK-2718,111,7,4,0.8560873938623892
SPARK-10317,110,3,3,0
SPARK-21093,110,2,2,0
SPARK-10224,109,4,4,0
SPARK-7119,109,4,4,0.9487371991618746
SPARK-34421,109,3,3,0.8366407419411672
SPARK-25240,108,4,4,0.9999999999999999
SPARK-6247,108,10,8,0.7609158481121084
SPARK-4552,107,4,4,0.8173454221465102
SPARK-10188,105,4,2,0.7896900821428474
SPARK-9844,105,3,3,1
SPARK-10304,102,3,3,0.8112781244591328
SPARK-14993,102,3,3,0.7219280948873623
SPARK-6299,102,4,4,0.8699155297736257
SPARK-6869,101,4,4,0.9993638867123699
SPARK-10672,101,2,2,0
SPARK-23381,101,8,8,0.6223659728744492
SPARK-1465,100,4,2,0.8920082108960955
SPARK-3650,99,5,5,0
SPARK-8014,99,6,4,0.9918151203762018
SPARK-8420,99,7,5,0.8420880337306473
SPARK-33314,98,3,3,0.7219280948873623
SPARK-7896,97,3,2,0.9182958340544896
SPARK-32621,97,13,13,0.9606293157795306
SPARK-34331,96,5,5,0.8726689269151324
SPARK-1112,94,7,5,0.935944697445866
SPARK-25694,92,4,4,0
SPARK-3736,92,4,4,0.9910760598382222
SPARK-11060,92,6,3,0.9463946303571861
SPARK-14589,91,3,3,0.2761954276479391
SPARK-18671,91,6,5,0.8613531161467861
SPARK-732,91,4,4,0.7896900821428474
SPARK-1860,91,5,4,0.6617449807388899
SPARK-25921,90,4,3,0
SPARK-5771,90,6,5,0.8340048201002629
SPARK-21306,90,5,4,0.9852281360342515
SPARK-24484,89,3,3,0
SPARK-2677,89,3,3,0.9182958340544896
SPARK-12153,88,4,4,0.8173454221465102
SPARK-15888,88,5,4,0.3727052964167111
SPARK-9482,88,9,2,0.9593967508595441
SPARK-11553,88,4,4,1
SPARK-12030,88,3,3,0
SPARK-23290,88,5,3,0.7382371320040435
SPARK-31788,86,4,4,0.9182958340544896
SPARK-10623,86,3,3,0.9709505944546686
SPARK-15367,85,8,6,0.8374257978179943
SPARK-32372,85,3,3,0.7793498372920851
SPARK-6463,85,3,3,0
SPARK-25134,84,5,4,0.8647869792568111
SPARK-27798,84,4,4,0
SPARK-2208,83,2,2,0
SPARK-23377,82,5,3,1
SPARK-3661,82,3,2,0.9182958340544896
SPARK-35027,82,5,4,0
SPARK-17957,82,3,3,0.9544340029249649
SPARK-1712,81,5,4,0.7248340915057598
SPARK-5821,80,4,4,0.8830374409547586
SPARK-24552,79,12,8,0.979569764547061
SPARK-26859,79,4,3,0
SPARK-4986,79,4,3,0.8112781244591328
SPARK-3877,79,6,6,0.9461403161212643
SPARK-11191,78,4,3,0.7300573707131146
SPARK-7858,78,6,5,0.823019472775301
SPARK-18458,78,4,3,0
SPARK-1749,78,3,3,0.9544340029249649
SPARK-18387,77,5,3,0.8763576394898523
SPARK-6175,77,9,7,0.8348096339550948
SPARK-10058,76,3,3,0
SPARK-33906,76,2,2,0
SPARK-29232,75,9,5,1
SPARK-25579,75,4,3,0
SPARK-18715,75,3,3,0.8960382325345575
SPARK-33259,75,5,5,0.45001121082417705
SPARK-23209,75,3,3,0
SPARK-4520,74,5,3,0.9664572819896989
SPARK-38510,74,4,4,0.4394969869215134
SPARK-14933,74,5,5,0.6661389223949191
SPARK-7269,74,7,5,0.8613964512014461
SPARK-31706,74,8,6,0.9999999999999999
SPARK-16785,73,6,4,0.874587334195005
SPARK-3224,73,3,3,0.8554508105601306
SPARK-24934,72,3,3,0
SPARK-3426,72,7,4,0.8534897229796914
SPARK-20364,72,3,3,0
SPARK-8357,71,4,4,0.7642045065086203
SPARK-18444,70,4,3,0.9182958340544896
SPARK-34949,68,3,3,0
SPARK-27100,68,5,5,0
SPARK-26152,68,2,2,0
SPARK-15601,68,3,3,0
SPARK-21066,68,4,4,0
SPARK-12717,67,4,2,0.9182958340544896
SPARK-5454,67,7,6,0.7672443345060905
SPARK-27619,67,5,5,0.44273315452608547
SPARK-10790,67,5,3,0.8699155297736257
SPARK-23000,67,6,5,0.7248340915057598
SPARK-9182,66,4,4,0.6908140210976049
SPARK-2632,66,5,3,0.8288713632524445
SPARK-35992,66,2,2,0
SPARK-11972,66,4,4,0.9463946303571861
SPARK-7361,66,3,3,0.9975025463691153
SPARK-2576,66,5,3,0.8288713632524445
SPARK-11624,66,4,4,0.9463946303571861
SPARK-1364,66,3,3,0
SPARK-5426,65,3,3,0.6500224216483541
SPARK-32148,65,4,4,0.8112781244591328
SPARK-28699,65,4,4,0.9602297178607611
SPARK-17099,65,4,4,0
SPARK-8093,65,4,3,0.7499999999999999
SPARK-24257,64,3,3,0
SPARK-7989,64,5,5,0.8636983367872396
SPARK-18125,64,3,3,0
SPARK-25538,63,3,3,0
SPARK-11716,63,3,3,0.9709505944546686
SPARK-25406,63,2,2,0
SPARK-2977,63,7,4,0.9078707128981123
SPARK-6985,62,3,3,0
SPARK-13719,62,5,3,0.9819407868640976
SPARK-15899,62,4,4,0.7400999512755887
SPARK-8889,62,3,3,0
SPARK-4516,62,4,4,0.9056185178648962
SPARK-8532,62,3,2,0.7382848661434506
SPARK-2066,62,3,3,0.7642045065086203
SPARK-31535,61,2,2,0
SPARK-16802,61,3,3,0
SPARK-15989,61,4,4,0.8350554511591552
SPARK-15934,61,4,3,0.8292439007914474
SPARK-11009,61,3,3,0.7219280948873623
SPARK-4266,60,8,5,0.9081052033865293
SPARK-19644,60,3,3,0
SPARK-13363,60,3,3,0.9852281360342515
SPARK-6890,60,4,3,0.9821410328348751
SPARK-16224,60,5,3,0.6957332524163007
SPARK-26745,60,9,7,0.9074480899727231
SPARK-4584,60,2,2,0
SPARK-6450,59,3,3,0.5159469300074474
SPARK-24867,59,4,4,0.9999999999999999
SPARK-14488,59,3,3,0.5032583347756457
SPARK-21377,59,2,2,0
SPARK-12091,59,9,4,0.8632115796270617
SPARK-31761,59,6,6,0.8949645376549995
SPARK-18274,59,3,2,0
SPARK-32038,59,4,4,1
SPARK-8468,59,6,6,0.9232657986563665
SPARK-14804,58,4,3,0
SPARK-3170,57,5,5,0.9874687506009635
SPARK-25126,57,4,4,0
SPARK-5363,57,3,3,0.5225593745369408
SPARK-5281,57,2,2,0
SPARK-4955,57,2,2,0
SPARK-3032,57,3,3,0.8112781244591328
SPARK-11778,55,4,3,0.863120568566631
SPARK-16071,55,3,3,0
SPARK-17666,55,9,8,0.8438055355643016
SPARK-31925,55,8,8,0.9400664543100068
SPARK-18394,54,4,4,0
SPARK-21258,54,3,3,0
SPARK-7863,54,3,3,0.8112781244591328
SPARK-4777,54,3,3,0
SPARK-6300,53,3,3,0.228538143953528
SPARK-2546,53,2,2,0
SPARK-21597,53,4,3,1
SPARK-7565,52,4,3,0.9214632400757699
SPARK-35423,52,4,4,0
SPARK-20386,52,2,2,0
SPARK-10215,52,5,4,0.7862055351490063
SPARK-18497,51,3,3,0.9182958340544896
SPARK-5672,51,7,5,0.9182958340544896
SPARK-16473,51,4,3,0
SPARK-28266,51,3,3,0
SPARK-2391,51,2,2,0
SPARK-10829,51,3,3,0.9709505944546686
SPARK-17721,50,5,5,0
SPARK-24107,50,3,3,0
SPARK-9446,50,2,2,0
SPARK-25399,50,6,5,0.8288713632524444
SPARK-2693,50,3,3,0.5435644431995964
SPARK-31011,49,4,4,0.7725068857142601
SPARK-7378,48,2,2,0
SPARK-17093,48,4,3,0.8173454221465102
SPARK-13157,48,4,4,0.9182958340544896
SPARK-17061,48,4,3,0.8173454221465102
SPARK-31234,48,6,6,0.7442626474488743
SPARK-6694,48,3,3,0.9544340029249649
SPARK-6440,48,8,8,0.47838285418315724
SPARK-7286,48,8,7,0.907822157003392
SPARK-34757,48,3,3,1
SPARK-3615,48,3,3,1
SPARK-14343,48,3,3,0.9709505944546686
SPARK-16372,48,4,4,0.5435644431995964
SPARK-2075,47,7,4,0.8220622153734009
SPARK-14959,47,4,3,0.8659846443873767
SPARK-37577,47,3,3,0
SPARK-32167,47,5,4,0
