Key,LOC,NOF,NOP,Entropy
SPARK-14014,5519,67,29,0.8980640045689573
SPARK-31467,4645,25,12,0.9261337249548358
SPARK-8959,3478,5,3,1
SPARK-32094,2960,7,4,1
SPARK-7684,2782,6,6,0.8729194959897677
SPARK-21869,2471,19,6,0.8689153811657405
SPARK-5509,2277,25,13,0.9327541257423387
SPARK-10929,2104,32,18,0.957754326500273
SPARK-10309,2104,32,18,0.9577543265002733
SPARK-5388,2096,21,9,0.8116786930875856
SPARK-13923,2006,30,13,0.9347353676803646
SPARK-7956,1978,17,8,0.8145471786019988
SPARK-19945,1949,4,4,0.9819407868640976
SPARK-5767,1823,13,6,0.8668190287021866
SPARK-36004,1752,3,2,0
SPARK-20286,1611,15,11,0.8643739301379719
SPARK-25496,1534,14,11,0.793102605717108
SPARK-34354,1518,17,12,0.46863974298170125
SPARK-9363,1484,14,9,0.7816009638688075
SPARK-13450,1479,12,7,0.9182958340544896
SPARK-25317,1469,42,29,0.9708357627258161
SPARK-10301,1452,10,5,0.9162657513279213
SPARK-38204,1438,21,7,0.9299672846635934
SPARK-10873,1435,16,7,0.6081860060358725
SPARK-29277,1410,19,15,0.8112669674029732
SPARK-39041,1360,27,7,0
SPARK-15078,1352,3,3,0
SPARK-9439,1219,19,12,0.9683925140412224
SPARK-25829,1162,23,15,0.693265297468231
SPARK-10624,1104,18,4,0.9187002190893226
SPARK-16839,1087,13,11,0.8552585217062989
SPARK-11675,1074,13,9,0.8320370956326324
SPARK-15115,1025,10,5,0.9182958340544896
SPARK-3654,1013,14,9,0.9088144975833093
SPARK-15474,1011,8,3,0.8112781244591328
SPARK-21791,1011,8,3,0.8112781244591328
SPARK-36667,1006,3,2,1
SPARK-6444,1004,18,11,0.9365695192756338
SPARK-19556,980,21,16,0.920619835714305
SPARK-23020,951,10,5,0.9511514337132874
SPARK-32646,913,11,7,0.9578791966200303
SPARK-33647,894,16,11,0.8351427813505882
SPARK-15370,881,4,4,0.7063227295353631
SPARK-4923,839,12,2,1
SPARK-25352,836,27,17,0.8143206606478796
SPARK-22430,830,27,2,0.9162695888499091
SPARK-5761,828,4,3,0.8649735207179271
SPARK-5760,828,4,3,0.8649735207179271
SPARK-3212,808,24,14,0.9404641576696111
SPARK-23361,803,17,11,0.9629610647945144
SPARK-20159,796,5,3,0.4884931363139442
SPARK-25005,794,7,3,0.8438055355643016
SPARK-22000,773,5,3,0.9182958340544896
SPARK-12245,771,20,11,0.9801500856796055
SPARK-4309,769,5,5,0.8636243031319604
SPARK-4407,769,5,5,0.8636243031319604
SPARK-9619,753,15,8,0.8870864796226127
SPARK-23094,749,14,8,0.8610373491429182
SPARK-18886,747,11,8,0.8621964130337126
SPARK-4705,747,22,11,0.8506104175805635
SPARK-19185,746,7,4,0
SPARK-32041,742,13,8,0.904600016348906
SPARK-2756,731,11,7,0.9517961807358445
SPARK-2626,728,40,14,0.9148335455233798
SPARK-14137,720,10,7,0.945742450772239
SPARK-19447,709,9,8,0.9443479439410531
SPARK-19611,696,12,9,0.8944302073847288
SPARK-34581,696,16,9,0.7954270904789017
SPARK-20548,694,5,3,1
SPARK-12133,686,9,6,0.8480652336871045
SPARK-20213,685,38,18,0.8153600120715224
SPARK-31387,678,6,6,0
SPARK-4124,673,13,3,0.9836807527162803
SPARK-19451,667,16,12,0.8848701386911133
SPARK-27296,657,7,6,0.8112781244591328
SPARK-3041,656,6,5,0.991532399729883
SPARK-17426,648,4,4,0.8173454221465102
SPARK-30104,646,9,7,0.6723639639241434
SPARK-18657,640,19,7,0.8789782831891989
SPARK-18529,618,6,3,0.8479262949612602
SPARK-18373,618,6,3,0.8479262949612602
SPARK-23977,614,7,4,0
SPARK-22340,613,12,8,0.7896900821428474
SPARK-6289,607,8,5,0.8718373977071608
SPARK-10966,597,32,3,0.9184189443904065
SPARK-3496,593,9,4,0.8133597172124848
SPARK-3495,593,9,4,0.813359717212485
SPARK-17207,582,6,4,0
SPARK-30885,580,17,10,0.7622637127139944
SPARK-19279,579,14,10,0.9078632857414219
SPARK-4194,573,7,7,0.8152559705767514
SPARK-3649,573,6,4,0
SPARK-4879,572,13,5,0.8547746142969453
SPARK-1395,571,8,6,0.7715096227393582
SPARK-28344,570,12,9,0.8151502817482106
SPARK-17147,569,7,4,0
SPARK-33277,568,11,6,0.9528195311147831
SPARK-10428,567,5,3,0.9828913818695839
SPARK-19654,564,7,3,0.7416130984854556
SPARK-21786,561,8,7,0.2974722489192896
SPARK-1183,559,21,5,0.9521686057435442
SPARK-2094,550,20,12,0.9004106901459124
SPARK-31710,549,29,15,0.8468584471223061
SPARK-30668,541,15,12,0.6408478686784208
SPARK-23408,536,4,3,0.7543533561649699
SPARK-17768,535,11,3,0
SPARK-11359,532,7,3,0.9999999999999999
SPARK-7237,527,12,8,0.7202421028964293
SPARK-23951,527,27,9,0.9301785979102379
SPARK-3494,524,8,6,0.8620403957586276
SPARK-31450,520,40,26,0.9513118343844533
SPARK-12904,515,7,6,0.8863899078308307
SPARK-35721,514,11,4,0.903444544801672
SPARK-21977,508,7,3,0.7668937437992748
SPARK-7306,504,6,4,0.876929095204979
SPARK-14310,501,14,11,0.9372610478968411
SPARK-14224,501,14,11,0.9372610478968413
SPARK-21145,495,18,8,0.9306613408378229
SPARK-10092,492,17,11,0.8439180066163683
SPARK-3543,488,15,10,0.8303000021561922
SPARK-28628,483,3,3,0.9852281360342515
SPARK-13860,483,11,7,0.6949892100369469
SPARK-12311,480,50,25,0.9153474719310187
SPARK-5479,478,9,5,0.9081934985586787
SPARK-28572,477,9,8,0.8822844156867352
SPARK-15982,476,4,4,0.3095434291503252
SPARK-16009,476,4,4,0.3095434291503252
SPARK-35881,473,8,6,0.62888856542733
SPARK-6285,472,3,3,0.39124356362925566
SPARK-4180,470,8,6,0.8016068380747323
SPARK-16693,469,8,3,0.8453348043012464
SPARK-8103,469,14,4,0.8301806239801911
SPARK-29007,467,20,9,0.9602297178607611
SPARK-729,464,9,9,0.7388158238060383
SPARK-6157,462,4,4,0.7695756163983517
SPARK-10907,462,4,4,0.7695756163983515
SPARK-10337,460,8,6,0.8653312786259365
SPARK-25214,459,5,3,0.7725068857142601
SPARK-23623,450,8,3,0.7219280948873623
SPARK-34756,450,5,4,0
SPARK-22934,449,7,5,0.9656336071428251
SPARK-23786,448,11,5,0.9081023989763936
SPARK-12165,447,9,4,0.9541051250318663
SPARK-36315,445,19,8,0.8365571212363847
SPARK-20586,442,8,7,0.7728946658280157
SPARK-18118,441,3,3,0
SPARK-9393,440,5,5,0.8699155297736257
SPARK-7713,435,5,3,0.9130293721553148
SPARK-12189,434,9,4,0.9627181691398033
SPARK-21350,433,4,4,0
SPARK-26615,432,6,6,0.8194483718728034
SPARK-21055,431,3,3,0.9182958340544896
SPARK-31859,430,18,8,0.5916727785823274
SPARK-31861,430,18,8,0.5916727785823274
SPARK-9407,426,11,5,0.9484503122074789
SPARK-22395,422,12,6,0.9275917689117117
SPARK-17732,420,8,7,0.9552956860169772
SPARK-16711,417,5,5,0.8868595071429147
SPARK-3377,416,30,17,0.9190988748332132
SPARK-14602,414,12,4,0.8918418949441114
SPARK-1143,413,3,2,0
SPARK-14458,411,8,5,0.8380529426231215
SPARK-15615,410,23,12,0.9121213303293628
SPARK-9026,409,8,6,0.5032583347756457
SPARK-25567,408,3,3,0
SPARK-3914,407,12,9,0.9252516647501712
SPARK-30555,407,3,3,0.7732266742876346
SPARK-28206,402,24,11,0.8708190349036514
SPARK-4519,401,5,3,0.875
SPARK-27021,401,20,14,0.6852695843977522
SPARK-6066,401,15,11,0.7857629727638624
SPARK-4518,401,5,3,0.875
SPARK-14940,398,13,7,0.9584395362651481
SPARK-14732,397,8,8,0.8649735207179271
SPARK-10063,396,18,11,0.855505825635011
SPARK-21490,395,7,4,0
SPARK-31863,394,18,8,0.8112781244591328
SPARK-7003,393,8,6,1
SPARK-13319,389,4,4,0.4394969869215134
SPARK-31170,389,6,5,0.9602297178607611
SPARK-17491,388,9,7,0.7743974703476992
SPARK-1600,387,7,4,0.9111886696810589
SPARK-3904,386,8,6,0.8805041296869981
SPARK-13476,381,8,6,0.8865878395534174
SPARK-30612,380,13,12,0.7852831760642618
SPARK-11486,379,9,7,0.9675790359315455
SPARK-9116,377,9,5,0.8797748738762962
SPARK-35176,374,36,14,0.9640656206765508
SPARK-4092,372,11,9,0.928324965322813
SPARK-18699,371,9,6,0.9569111122107062
SPARK-8372,369,3,3,0.8935711016541907
SPARK-33592,369,9,5,0.8359750080865053
SPARK-11673,367,28,15,0.8937689980588089
