Key,LOC,NOF,NOP,Entropy
THRIFT-292,4120,13,4,0.9609640474436811
THRIFT-158,833,32,8,0.996185127899073
THRIFT-3768,586,8,4,1
THRIFT-4260,378,15,6,0.9306282244165778
THRIFT-2246,352,3,2,0
THRIFT-3877,323,8,7,0.9182958340544896
THRIFT-3178,244,3,3,0.5032583347756457
THRIFT-3873,207,21,10,0
THRIFT-4106,197,10,4,0
THRIFT-554,164,4,4,1
THRIFT-2849,152,44,33,0.9855367869446295
THRIFT-836,146,4,3,0.9999999999999999
THRIFT-5453,134,5,4,0
THRIFT-2998,132,10,4,0
THRIFT-3329,132,6,2,0
THRIFT-4949,117,4,2,0
THRIFT-3821,103,4,3,0
THRIFT-1429,89,6,4,0
THRIFT-4164,70,4,3,0
THRIFT-3043,62,2,2,0
THRIFT-4079,58,2,2,0
THRIFT-4384,57,3,3,0
THRIFT-4984,56,3,3,0
THRIFT-4477,54,4,3,0.9999999999999999
THRIFT-4618,47,2,2,0
THRIFT-3798,45,2,2,0
THRIFT-3974,38,4,4,0
THRIFT-895,35,2,2,0
THRIFT-479,31,2,2,0
THRIFT-3038,30,5,4,0
THRIFT-356,23,4,3,0.9372305632161295
THRIFT-372,23,5,4,0.9821410328348751
THRIFT-601,23,2,2,0
THRIFT-4778,22,5,2,0
THRIFT-3947,21,2,2,0
THRIFT-3964,19,4,2,0
THRIFT-378,19,3,3,0
THRIFT-3277,18,2,2,0
THRIFT-1447,16,3,3,0.7219280948873623
THRIFT-3558,12,3,2,0
THRIFT-4970,12,3,2,0
THRIFT-4641,12,2,2,0
THRIFT-4273,11,3,3,0
THRIFT-4026,11,3,3,0
THRIFT-3476,11,2,2,0
THRIFT-5431,10,2,2,0
THRIFT-427,10,2,2,0
THRIFT-3237,9,2,2,0
THRIFT-1755,9,2,2,0
THRIFT-5111,9,2,2,0
THRIFT-360,9,3,3,0.8112781244591328
THRIFT-3896,8,3,2,0
THRIFT-4009,8,2,2,0
THRIFT-5421,7,2,2,0
THRIFT-4307,6,2,2,0
THRIFT-4919,5,3,3,0
THRIFT-3552,4,3,3,0
THRIFT-4558,4,2,2,0
THRIFT-396,4,2,2,0
THRIFT-4163,4,3,3,0
THRIFT-3750,3,2,2,0
THRIFT-2073,3,2,2,0
THRIFT-5199,3,2,2,0
THRIFT-544,2,2,2,0
THRIFT-4464,2,2,2,0
THRIFT-813,2,2,2,0
THRIFT-4312,2,2,2,0
THRIFT-2871,2,2,2,0
THRIFT-4622,2,2,2,0
THRIFT-2340,2,2,2,0
THRIFT-3385,2,2,2,0
THRIFT-815,2,2,2,0
THRIFT-2474,2,2,2,0
THRIFT-4062,1,2,2,0
THRIFT-4733,1,2,2,0
