Key,LOC,NOF,NOP,Entropy
THRIFT-4329,2669,19,6,0
THRIFT-4356,2262,4,3,0
THRIFT-1753,1998,48,8,1
THRIFT-4675,1752,19,10,1
THRIFT-5322,1682,19,2,0
THRIFT-169,1469,13,7,0
THRIFT-1930,1388,6,3,0
THRIFT-2069,1295,8,3,0
THRIFT-2451,1244,5,4,0
THRIFT-3000,1095,9,3,0.9922150607220181
THRIFT-3191,983,11,5,0
THRIFT-3189,983,11,5,0
THRIFT-2441,934,16,4,0.9528195311147831
THRIFT-4476,787,15,9,0
THRIFT-5519,754,6,3,0
THRIFT-5186,730,8,3,0
THRIFT-932,701,11,2,1
THRIFT-90,640,5,2,0.9975025463691153
THRIFT-3420,627,7,3,0
THRIFT-918,616,10,3,0
THRIFT-2854,599,5,4,0
THRIFT-3360,594,10,8,0.969570350190125
THRIFT-162,584,8,5,0
THRIFT-2313,558,5,3,0.9463946303571861
THRIFT-3464,538,7,5,1
THRIFT-1582,487,11,3,1
THRIFT-1578,487,11,3,1
THRIFT-1583,487,11,3,1
THRIFT-1957,482,5,4,0
THRIFT-5299,476,2,2,0
THRIFT-3569,473,7,4,0
THRIFT-4215,464,22,4,0
THRIFT-1267,447,6,4,0
THRIFT-3200,427,5,4,0
THRIFT-481,424,2,2,0
THRIFT-280,418,9,5,0.6783898247235198
THRIFT-3601,414,4,3,0.6500224216483541
THRIFT-4108,410,3,2,0
THRIFT-5208,371,6,3,0
THRIFT-2904,371,5,2,1
THRIFT-2232,367,3,3,0
THRIFT-2999,328,3,3,0
THRIFT-562,324,8,3,0
THRIFT-3301,321,3,3,0
THRIFT-4419,318,2,2,0
THRIFT-2180,310,13,4,0
THRIFT-3164,298,4,3,0
THRIFT-321,295,3,2,1
THRIFT-2642,291,6,6,0
THRIFT-1013,287,2,2,0
THRIFT-1094,286,5,3,1
THRIFT-1298,283,4,4,0.7219280948873623
THRIFT-1342,278,4,4,0
THRIFT-3231,274,4,3,0
THRIFT-3433,271,7,5,0
THRIFT-2868,270,3,3,0.5435644431995964
THRIFT-2814,267,2,2,0
THRIFT-845,260,5,3,0.9999999999999999
THRIFT-4797,259,3,3,0
THRIFT-4196,257,5,4,0
THRIFT-4024,254,16,14,1
THRIFT-5515,251,2,2,0
THRIFT-2817,246,4,2,0
THRIFT-4783,244,14,12,1
THRIFT-2458,241,3,3,0
THRIFT-3616,240,2,2,0
THRIFT-787,236,16,2,0.9131253092085677
THRIFT-1222,230,6,4,0.9911594714322185
THRIFT-5238,230,4,3,0
THRIFT-5445,226,3,2,1
THRIFT-3145,225,5,4,0
THRIFT-1783,220,2,2,0
THRIFT-5128,219,7,4,0
THRIFT-5389,218,3,3,0
THRIFT-4002,214,10,9,1
THRIFT-3235,212,4,3,0
THRIFT-1826,208,84,13,0
THRIFT-5504,208,19,9,0
THRIFT-3437,207,17,8,0
THRIFT-3847,207,21,10,0
THRIFT-4060,206,4,3,0
THRIFT-2032,201,5,5,0
THRIFT-4066,200,8,4,0
THRIFT-4455,199,3,2,0
THRIFT-632,198,9,5,0
THRIFT-133,196,4,3,0
THRIFT-3225,192,5,3,0
THRIFT-3886,189,2,2,0
THRIFT-970,186,2,2,0
THRIFT-2508,185,2,2,0
THRIFT-5314,184,7,5,0
THRIFT-3224,182,5,3,0
THRIFT-4898,178,5,5,0
THRIFT-2953,176,2,2,0
THRIFT-3775,176,13,12,0
THRIFT-2365,173,3,3,0.9182958340544896
THRIFT-969,169,3,2,0
THRIFT-2375,168,2,2,0
THRIFT-3383,167,7,3,0
THRIFT-2045,159,8,5,0.9125056054120886
THRIFT-739,157,6,4,0.9602297178607611
THRIFT-5133,157,8,5,0
THRIFT-1800,156,2,2,0
THRIFT-638,156,2,2,0
THRIFT-3680,155,11,7,0.9463946303571861
THRIFT-2370,155,2,2,0
THRIFT-4251,154,3,2,0
THRIFT-3260,154,4,4,0
THRIFT-621,152,2,2,0
THRIFT-2210,149,3,3,0
THRIFT-4548,145,5,4,0
THRIFT-3169,144,4,2,0
