Key,LOC,NOF,NOP,Entropy
TS-390,1371,28,12,0.7225766030000621
TS-588,1370,20,11,0.884136284987092
TS-489,914,13,6,0.9379884504506076
TS-475,882,13,4,0.863932413831126
TS-2660,803,7,3,1
TS-224,421,15,2,0.9755037590061086
TS-1577,373,9,4,0
TS-1574,373,9,4,0
TS-716,351,9,4,1
TS-882,297,7,5,0.920619835714305
TS-4769,293,3,3,0
TS-1825,187,5,3,1
TS-228,184,28,5,0.935944697445866
TS-3046,161,12,5,0.8649735207179271
TS-2886,156,2,2,0
TS-4947,142,6,3,0
TS-1007,118,6,4,0.9388201415867106
TS-4868,111,4,4,0
TS-702,101,2,2,0
TS-4915,93,4,3,0
TS-2564,89,11,4,0
TS-4813,81,5,4,0.8112781244591328
TS-2019,76,3,3,0
TS-3595,64,3,3,0
TS-181,62,9,8,0.960058249314534
TS-171,57,3,2,0.8739810481273578
TS-2532,54,19,19,0
TS-2031,47,4,2,0
TS-3959,46,3,3,0
TS-5062,44,7,5,0.8096568334164151
TS-380,43,5,3,0.8798137681706784
TS-165,40,5,3,0.920619835714305
TS-4195,39,5,4,0.9910760598382222
TS-5047,37,7,6,0.9462651872218009
TS-395,36,5,4,0.9591479170272447
TS-3281,34,5,3,0.8112781244591328
TS-4161,33,3,2,0
TS-3022,32,2,2,0
TS-63,32,2,2,0
TS-3640,31,2,2,0
TS-505,31,6,4,0.7079254340562346
TS-4916,31,4,2,0.8868595071429147
TS-1330,29,3,2,0.9709505944546686
TS-4732,29,3,3,0
TS-2351,26,2,2,0
TS-1392,24,3,2,0
TS-3261,21,3,2,0
TS-4788,20,2,2,0
TS-3710,20,2,2,0
TS-506,20,3,3,0.8112781244591328
TS-2251,19,2,2,0
TS-4327,18,2,2,0
TS-2051,18,2,2,0
TS-3529,17,4,3,0.895754137500101
TS-3749,16,2,2,0
TS-3896,15,2,2,0
TS-2054,15,2,2,0
TS-3257,14,3,2,0
TS-4131,14,3,2,0
TS-3522,12,4,4,0.9602297178607611
TS-4833,12,3,2,0
TS-4207,10,4,3,0
TS-2679,10,2,2,0
TS-1770,9,2,2,0
TS-3248,9,2,2,0
TS-2776,9,2,2,0
TS-3802,8,2,2,0
TS-1411,8,2,2,0
TS-3083,7,3,2,0
TS-170,7,3,2,0
TS-2434,7,2,2,0
TS-3769,7,2,2,0
TS-3917,6,3,2,0.9182958340544896
TS-2052,6,2,2,0
TS-817,6,2,2,0
TS-4070,4,2,2,0
TS-651,4,2,2,0
TS-4317,4,2,2,0
TS-2884,4,2,2,0
TS-2983,4,2,2,0
TS-4608,4,2,2,0
TS-327,3,2,2,0
TS-2792,3,2,2,0
TS-859,3,2,2,0
TS-3274,3,2,2,0
TS-2494,2,2,2,0
TS-4633,2,2,2,0
TS-3074,2,2,2,0
TS-3045,2,2,2,0
TS-4282,2,2,2,0
TS-2848,2,2,2,0
TS-2161,2,2,2,0
TS-2654,2,2,2,0
TS-1881,2,2,2,0
TS-4071,2,3,2,0.9182958340544896
TS-2845,2,2,2,0
TS-3276,2,2,2,0
TS-3754,2,2,2,0
TS-4462,2,2,2,0
TS-4905,1,2,2,0
TS-431,1,2,2,0
