Key,LOC,NOF,NOP,Entropy
TS-4331,4746,19,7,0.8934291722731897
TS-443,4543,42,16,0.9484629255087758
TS-3543,3448,20,9,0
TS-486,3181,32,10,0.8825974815664831
TS-551,3084,15,6,0.7579240161829848
TS-663,2491,10,3,0.9801148589303806
TS-604,2406,8,3,0.9744978312404311
TS-603,2406,8,3,0.9744978312404311
TS-211,1933,89,25,0.9499577165664731
TS-2302,1892,26,5,0.8040986358493116
TS-1422,1757,27,8,0.9343073081064348
TS-584,1646,15,8,0.8044005039369515
TS-555,1631,34,11,0.8548624759520017
TS-545,1616,40,9,0.9108073677213256
TS-1765,1541,2,2,0
TS-4425,1408,96,16,0.9468116565065569
TS-125,1342,83,20,0.9295491840268632
TS-1370,1229,2,2,0
TS-490,1133,7,3,0.5575843014897939
TS-550,1123,25,10,0.8249149298505858
TS-674,1071,7,3,0.9182958340544896
TS-556,1070,15,8,0.8458868939256298
TS-1634,1051,9,2,0
TS-418,1042,3,3,0
TS-2751,1037,37,8,0
TS-3287,1035,39,23,0.7638295372627469
TS-2106,1004,91,61,0.9654159880582215
TS-422,997,15,7,0.9420679101407778
TS-2675,963,2,2,0
TS-35,933,5,2,0
TS-1225,919,7,4,0.9182958340544896
TS-292,897,5,3,0
TS-434,884,9,6,0.8419317870975548
TS-689,866,15,4,0.7822342342686325
TS-491,852,28,15,0.8595132259876036
TS-579,839,29,22,0.8148357809532626
TS-1685,818,33,9,0.8778841267928251
TS-3608,815,10,3,0
TS-2623,809,3,2,0
TS-1740,788,12,5,0
TS-1919,732,18,5,0.891037601098273
TS-1787,731,4,3,0
TS-103,716,41,13,0.9372509348960415
TS-620,713,81,26,0.7569377434258528
TS-4635,708,4,2,0
TS-645,677,13,4,0.9283832117695864
TS-1102,671,24,15,0.6714164824337003
TS-1909,665,2,2,0
TS-675,641,11,6,0.7115247632832541
TS-1487,613,17,7,0.7604175829332768
TS-1758,596,3,2,1
TS-14,550,32,18,0.8402428558003063
TS-3752,543,7,2,0.9182958340544896
TS-1094,536,3,2,0
TS-4763,519,8,2,0.9211854965885542
TS-554,498,14,7,0.8822005009856451
TS-4448,488,64,28,0
TS-2553,487,2,2,0
TS-3468,476,9,3,0.9577135598377112
TS-4067,476,2,2,0
TS-2202,469,15,6,0.9409583900892993
TS-4507,467,16,4,0.9404989652642356
TS-2863,466,13,5,0.547565872584953
TS-384,455,9,3,0.8085031265007542
TS-266,451,20,15,0.8224567821207499
TS-609,450,10,6,0.7857785486604402
TS-4340,441,8,4,0.8112781244591328
TS-1710,434,12,5,0
TS-1053,418,25,16,0.9668346549012641
TS-3670,412,8,8,0
TS-4280,396,5,2,0
TS-4622,393,3,3,0
TS-2275,389,6,2,0
TS-1735,386,6,4,0.9999999999999999
TS-435,378,12,5,0.8738559330572999
TS-2757,366,8,6,0.892079563925711
TS-3427,364,60,3,0
TS-577,360,8,4,0.6841580606007104
TS-552,359,19,9,0.896508461070023
TS-1339,350,15,6,0.9119543649294081
TS-466,345,3,2,0
TS-4309,341,5,2,0.875
TS-644,336,2,2,0
TS-1981,336,11,4,0.797881013442818
TS-3960,334,15,5,0
TS-6,328,18,5,0.9436922136564777
TS-549,317,9,5,0.7366728103562732
TS-934,317,8,3,0.810143416694102
TS-3312,316,6,5,0.9591479170272447
TS-3554,316,14,10,0.7747766441363657
TS-376,315,21,9,0.9386894925083767
TS-4313,314,5,3,0
TS-2797,314,4,2,0
TS-2690,314,3,3,0.8812908992306927
TS-2832,305,3,3,0
TS-816,301,6,5,0.7219280948873623
TS-4503,293,31,8,0
TS-3797,291,12,3,0
TS-1127,284,17,6,1
TS-944,283,5,2,0.7773048806327834
TS-4458,281,12,4,0
TS-640,276,13,7,0.9421141086977403
TS-748,274,6,4,0.5713619478607342
TS-1057,274,4,3,0
TS-4420,272,4,2,0.4689955935892812
TS-1627,269,3,2,0.9709505944546686
TS-2244,268,6,5,1
TS-938,264,8,5,0.945993826237722
TS-496,264,21,7,0.9034897779688918
TS-1315,263,3,3,0
TS-715,257,2,2,0
TS-1594,255,12,6,1
TS-1582,254,37,16,0.9046326673643553
TS-1889,251,6,3,0.9544340029249649
TS-2746,251,34,5,0.9463946303571861
TS-118,249,37,15,0.9248013549238321
TS-2766,242,9,2,0
TS-828,241,14,6,0.6223659728744492
TS-3558,238,14,9,0.8840426304408893
TS-3815,236,12,6,0
TS-4952,235,13,7,0.7995789215949071
TS-1892,230,6,4,0.892079563925711
TS-363,229,14,6,0.9745670840057398
TS-1314,228,10,4,0
TS-1240,227,7,3,0
TS-403,226,2,2,0
TS-2292,220,22,6,0
TS-4408,219,3,3,0
TS-529,218,8,4,0.8456126240914309
TS-2810,218,7,5,0.9463946303571861
TS-530,218,8,4,0.8456126240914309
TS-3714,215,10,5,0.8902220097637679
TS-3867,214,3,2,0
TS-1631,214,22,8,0.9463946303571861
TS-1080,208,4,2,0
TS-2624,205,3,3,0
TS-273,202,9,4,0.9463946303571861
TS-112,202,8,4,0.969570350190125
TS-2470,201,3,3,0
TS-5059,199,7,5,0
TS-245,198,11,6,0.960058249314534
TS-1145,196,5,3,0.9456603046006401
TS-1181,196,6,3,0.8234833341368247
TS-328,194,45,20,0.8921900946341509
TS-3885,194,2,2,0
TS-1150,190,12,4,0.9211854965885544
TS-1960,187,32,10,0
TS-3561,186,10,8,0.8720315521762333
TS-1125,185,13,5,0.7967165849966045
TS-425,185,6,3,0.6695919455357793
TS-1156,185,12,2,0.9739760316291207
TS-497,184,6,4,0.8699155297736257
TS-2490,184,12,10,0.9023666157662857
TS-4134,181,11,6,0
TS-3582,180,6,2,1
TS-4858,180,7,3,0.5916727785823274
TS-3610,177,7,3,0.9182958340544896
TS-4469,172,6,3,0
TS-2788,170,7,3,0
TS-3272,169,2,2,0
TS-3100,166,5,3,0.8112781244591328
TS-4310,165,7,7,0
TS-4717,164,5,4,0.9681300137657637
TS-5092,162,4,2,0
TS-3085,162,4,2,0.7725068857142601
TS-1576,161,4,3,0
TS-2471,160,10,3,0.9999999999999999
TS-1570,158,6,3,0.9122066329329885
TS-752,155,4,2,0.8649735207179271
TS-1484,155,4,2,0
TS-4365,153,23,23,0.9897465535993829
TS-998,152,5,3,0.6802636557218541
TS-4442,151,21,10,0.9629610647945144
TS-4341,151,11,5,0.8201119644709259
TS-4772,151,2,2,0
TS-2063,150,7,3,0.7576678506299053
TS-3707,150,4,4,0
TS-798,149,3,2,0
TS-4840,146,6,4,0
TS-1587,145,3,2,0
TS-1550,145,10,3,0.9283832117695864
TS-4072,145,3,2,0
TS-411,143,8,5,0.8112781244591328
TS-4785,142,2,2,0
TS-5069,142,2,2,0
TS-595,142,35,29,0.73958168831735
TS-4796,142,5,2,0.9463946303571861
TS-1884,141,8,5,1
TS-4135,141,6,3,0
TS-981,140,7,3,0
TS-4143,140,5,2,0
TS-1227,140,2,2,0
TS-3656,136,4,2,0
TS-1664,136,2,2,0
TS-4653,135,9,4,0
TS-2237,133,5,3,0
TS-721,133,5,4,0.7732967821474691
TS-544,132,12,8,0.810379522866246
TS-1706,131,2,2,0
TS-3890,131,3,2,0
TS-1444,130,4,3,0.9182958340544896
TS-2873,128,5,2,0.9824483084128177
TS-3326,127,3,2,0.4537163391869448
TS-3828,127,3,3,0
TS-1635,126,7,3,1
TS-1623,126,7,3,1
TS-42,125,19,10,0.9517183196428587
TS-3125,125,4,2,0.25530317370482025
TS-1249,124,15,6,0.8112781244591328
TS-3049,124,3,2,0
TS-143,123,14,7,0.9280383007257987
TS-1021,123,6,3,0.9850568223215078
TS-3740,119,2,2,0
TS-4775,118,5,3,0
TS-949,118,3,2,0
TS-857,118,4,3,0
TS-1851,116,8,4,0.9140953986215168
TS-4875,116,7,2,0.920619835714305
TS-2677,116,4,2,1
TS-560,115,6,3,0.8244618719363133
TS-4759,114,5,2,0
TS-3674,114,4,2,0
TS-1805,113,4,2,0.6695919455357793
TS-3235,112,5,4,0.9182958340544896
TS-2569,112,2,2,0
TS-1717,112,16,12,0.9307577440123558
TS-2057,111,3,2,0
TS-151,110,4,2,0.7219280948873623
TS-516,110,4,3,0.5633841440162103
TS-2822,109,2,2,0
TS-1966,109,11,7,0.9755037590061086
TS-209,108,2,2,0
TS-1844,108,4,3,0
TS-5027,108,8,5,1
TS-2527,107,8,4,1
TS-1265,106,2,2,0
TS-1114,105,2,2,0
TS-74,104,5,4,0.9182958340544896
TS-88,104,4,3,0.920619835714305
TS-1424,104,4,2,0.6567045482143385
TS-2595,101,3,2,0
TS-4328,101,5,3,0.9709505944546686
TS-2257,101,2,2,0
TS-2258,101,3,2,0
TS-1911,101,9,6,0.9240434372045379
TS-3066,100,17,12,0
TS-2295,100,4,4,0
TS-4728,100,4,2,0
TS-2012,100,2,2,0
TS-3140,100,7,4,0.9609640474436811
TS-955,100,4,3,0.970359934392026
TS-4160,97,5,4,0
TS-5107,97,2,2,0
TS-159,96,3,2,0
TS-1457,95,9,4,0.8889330869177119
TS-4942,94,2,2,0
TS-2784,94,21,2,0
TS-1220,94,3,2,0.7642045065086203
TS-837,93,4,4,1
TS-4108,92,2,2,0
TS-52,92,5,4,0.9528195311147831
TS-194,91,3,2,0.8812908992306927
TS-4480,91,3,2,0
TS-3375,90,7,3,0.5152734452350943
TS-1250,90,2,2,0
TS-4263,89,3,3,0.9182958340544896
TS-162,89,4,3,0.9852281360342515
TS-616,89,4,4,0.9463946303571861
TS-3486,89,5,3,0.9709505944546686
TS-1115,88,7,4,0.9182958340544896
TS-4697,87,10,5,0.9999999999999999
TS-465,87,5,4,0.7653195311147831
TS-4228,86,6,5,0
TS-3848,86,7,4,0.6500224216483541
TS-973,85,8,4,0.880731685416214
TS-937,84,11,6,0.8112781244591328
TS-4892,84,9,4,0
TS-1117,84,11,6,0.8112781244591328
TS-527,84,6,4,0.7830667018471136
TS-2780,84,6,2,0.7273089130953396
TS-1538,83,4,3,0
TS-1988,83,2,2,0
TS-1606,83,3,2,0
TS-1277,83,2,2,0
TS-1264,80,4,2,0
TS-950,80,3,2,0
TS-2658,79,3,2,0
TS-4862,79,3,3,0
TS-2929,79,6,4,0.9450520768166325
TS-4861,79,3,2,0
TS-2448,78,7,5,0.9999999999999999
TS-3790,78,3,3,0
TS-4953,78,2,2,0
TS-2047,78,2,2,0
TS-4797,77,3,2,0
TS-3382,77,6,4,0
TS-2333,77,4,3,0
TS-5066,75,5,2,0.9463946303571861
TS-2028,75,2,2,0
TS-4872,75,3,3,0
TS-3729,75,2,2,0
TS-2883,74,9,4,0.9697238998682473
TS-4116,73,3,2,0
TS-4399,73,5,4,0.9911594714322185
TS-1721,73,3,2,1
TS-2988,72,3,2,1
TS-773,72,9,3,0.960058249314534
TS-860,71,2,2,0
TS-3189,71,2,2,0
TS-2250,71,2,2,0
TS-3424,71,3,2,0
TS-1958,70,3,3,0
TS-4978,70,4,2,0.920619835714305
TS-2672,70,3,2,0
TS-1028,70,2,2,0
TS-4043,70,3,2,0
TS-3719,70,6,5,0
TS-1109,69,2,2,0
TS-352,69,2,2,0
TS-2940,68,4,3,0.9999999999999999
TS-4063,68,2,2,0
TS-4891,67,12,9,0
TS-4019,66,6,3,0.8763576394898522
TS-281,66,11,3,0.9798490797116899
TS-1896,66,13,6,0.9243421384755154
TS-12,65,3,3,1
TS-2691,65,7,3,0.8085947862963575
TS-1543,64,2,2,0
TS-1615,64,30,23,0.8819633072133183
TS-570,64,5,3,0.7248340915057598
TS-1075,63,6,4,0.9424118296239257
TS-3039,63,4,2,0
TS-901,63,4,4,0.8112781244591328
TS-38,63,3,2,1
TS-3435,62,4,3,0
TS-3801,62,3,2,0.8112781244591328
TS-1030,62,3,2,0
TS-1959,62,2,2,0
TS-501,62,7,3,0.8341922232380712
TS-2384,61,3,2,0
TS-3202,61,4,2,0.9141008920185651
TS-2556,61,6,4,0
TS-3951,61,2,2,0
TS-3444,61,8,6,0
TS-4366,61,2,2,0
TS-1467,61,7,3,0.7725068857142601
TS-5065,60,2,2,0
TS-2709,60,4,2,0.782775952814142
TS-517,60,9,6,0.8451140440016048
TS-3667,60,2,2,0
TS-3774,59,4,2,0.68844308654496
TS-2534,59,7,2,0.863120568566631
TS-4750,59,8,3,0.7219280948873623
TS-336,58,3,3,0.9182958340544896
TS-1044,58,6,5,0.8260742242427029
TS-834,58,6,3,0
TS-3724,57,8,5,0.9106994941661897
TS-3370,57,2,2,0
TS-3389,57,3,3,0
TS-5019,57,9,2,0.8383685150260665
TS-2360,57,21,21,0.8173454221465102
TS-485,56,12,7,0.7743848551258464
TS-1934,56,5,2,0
TS-1887,56,4,3,0.7816596645276666
TS-662,56,5,4,0.9431541408460861
TS-191,56,2,2,0
TS-39,55,4,2,0.9602297178607611
TS-3296,55,7,5,0
TS-3333,55,3,2,0
TS-2211,55,5,2,0
TS-2116,55,2,2,0
TS-4665,54,3,2,0
TS-4820,54,3,2,0
TS-3631,54,7,5,0.9182958340544896
TS-614,54,6,5,0.9975215826796759
TS-457,54,6,4,0.9462651872218009
TS-3747,54,3,2,0
TS-4436,53,3,2,0.8112781244591328
TS-454,52,6,3,0.8453348043012464
TS-2938,52,3,2,1
TS-4075,52,2,2,0
TS-1184,52,4,4,0.4394969869215134
TS-4925,52,3,3,0
TS-4089,52,4,2,0.8699155297736257
TS-4828,52,7,7,0
TS-2009,52,4,2,0.9709505944546686
TS-24,51,3,3,1
TS-1364,51,3,3,0
TS-4531,50,5,3,0
TS-3984,50,4,3,0.9417346261113356
TS-2959,50,3,2,0
TS-4190,50,4,3,0
TS-385,50,4,3,0.7571658503272266
TS-1365,50,8,6,0.920619835714305
TS-2187,50,3,2,0.9709505944546686
TS-105,50,2,2,0
TS-3658,50,2,2,0
TS-3440,49,3,3,0.9182958340544896
TS-4473,49,2,2,0
