Key,LOC,NOF,NOP,Entropy
WICKET-5418,1089,5,3,0
WICKET-483,775,4,2,0
WICKET-3675,766,18,9,0.9068270745913876
WICKET-35,677,6,5,0.9057125980138371
WICKET-3514,586,4,4,0.8260742242427029
WICKET-3702,517,37,21,0.9247275123822493
WICKET-4116,485,11,4,0.6390291975863086
WICKET-16,471,6,3,0.9690222556651344
WICKET-40,447,9,4,0.5916727785823274
WICKET-2853,422,3,3,0
WICKET-5001,389,12,11,0.8983741916842143
WICKET-5853,369,14,3,0
WICKET-1120,304,2,2,0
WICKET-3098,289,8,5,0.8699155297736257
WICKET-6841,231,4,3,0
WICKET-254,223,10,7,0.5842684619224354
WICKET-891,207,7,5,0
WICKET-6288,184,5,3,0
WICKET-3088,175,61,23,1
WICKET-38,173,4,3,0.6193821946787638
WICKET-6543,159,5,4,0
WICKET-6704,153,3,3,0
WICKET-2325,150,8,2,1
WICKET-3773,145,4,4,0
WICKET-4196,136,3,3,0
WICKET-1403,132,5,2,0
WICKET-5316,130,3,3,0
WICKET-3671,103,3,3,0
WICKET-6044,96,3,2,0
WICKET-5060,94,5,3,0
WICKET-5975,92,3,2,0
WICKET-386,82,2,2,0
WICKET-2407,80,2,2,0
WICKET-3836,74,3,3,0
WICKET-6316,74,3,3,1
WICKET-4153,72,3,3,0
WICKET-4894,70,2,2,0
WICKET-6568,70,5,4,0
WICKET-6170,68,3,3,0
WICKET-3201,54,2,2,0
WICKET-6865,47,2,2,0
WICKET-6713,45,3,3,0
WICKET-3998,43,3,3,0
WICKET-6921,41,4,3,0.9999999999999999
WICKET-464,39,4,3,0.6223659728744492
WICKET-3023,37,2,2,0
WICKET-5552,36,3,3,0
WICKET-260,36,3,3,0
WICKET-809,33,3,2,0.9544340029249649
WICKET-720,33,2,2,0
WICKET-5676,32,4,3,0
WICKET-6607,29,3,3,0
WICKET-6011,27,2,2,0
WICKET-5123,26,3,3,1
WICKET-2215,24,2,2,0
WICKET-796,22,3,3,0.9544340029249649
WICKET-2957,22,2,2,0
WICKET-3605,21,2,2,0
WICKET-2567,20,2,2,0
WICKET-989,20,2,2,0
WICKET-536,18,3,3,0.9182958340544896
WICKET-5555,18,2,2,0
WICKET-1809,18,2,2,0
WICKET-2657,14,2,2,0
WICKET-4705,13,2,2,0
WICKET-5224,12,2,2,0
WICKET-2279,12,2,2,0
WICKET-6157,11,2,2,0
WICKET-758,10,3,3,0.228538143953528
WICKET-57,10,6,2,1
WICKET-3095,10,2,2,0
WICKET-6440,9,2,2,0
WICKET-3196,9,3,3,0.9182958340544896
WICKET-5473,8,2,2,0
WICKET-2418,8,2,2,0
WICKET-4682,7,2,2,0
WICKET-4895,6,2,2,0
WICKET-2843,5,2,2,0
WICKET-4165,5,2,2,0
WICKET-4859,5,2,2,0
WICKET-3444,4,2,2,0
WICKET-4780,4,2,2,0
WICKET-3040,4,2,2,0
WICKET-2902,4,2,2,0
WICKET-2397,4,2,2,0
WICKET-6007,4,2,2,0
WICKET-6571,3,2,2,0
WICKET-5335,3,2,2,0
WICKET-4893,2,2,2,0
WICKET-756,2,2,2,0
WICKET-6174,2,2,2,0
WICKET-2616,2,2,2,0
WICKET-590,2,2,2,0
WICKET-2917,2,2,2,0
