Key,CommentCount,CommentLength,CommentPeopleCount
AMBARI-10319,8,1796,5
AMBARI-10320,5,1352,4
AMBARI-10355,11,2388,6
AMBARI-10493,6,12094,2
AMBARI-10495,4,736,2
AMBARI-10519,5,2366,3
AMBARI-10630,13,3540,5
AMBARI-10849,5,779,2
AMBARI-11004,7,2758,5
AMBARI-11302,10,3167,6
AMBARI-11424,5,2803,4
AMBARI-11607,4,1911,3
AMBARI-11634,6,1100,5
AMBARI-11658,6,664,4
AMBARI-11714,5,2317,3
AMBARI-1179,1,34,1
AMBARI-11960,4,4131,2
AMBARI-12075,4,810,3
AMBARI-12107,4,2054,3
AMBARI-12343,3,1290,2
AMBARI-12378,3,962,2
AMBARI-12417,4,1954,3
AMBARI-12433,5,2150,4
AMBARI-12442,8,30718,4
AMBARI-12478,2,252,1
AMBARI-12480,2,262,1
AMBARI-12538,5,7811,4
AMBARI-12612,5,2364,4
AMBARI-12691,6,891,3
AMBARI-12785,6,1272,3
AMBARI-12793,1,0,1
AMBARI-12823,2,313,1
AMBARI-12834,2,793,2
AMBARI-12908,5,938,3
AMBARI-12921,5,2225,4
AMBARI-12926,4,965,4
AMBARI-13107,5,2170,3
AMBARI-13168,4,3683,2
AMBARI-13207,3,1621,2
AMBARI-13291,2,1300,1
AMBARI-13553,6,565,3
AMBARI-13575,4,2560,3
AMBARI-1359,2,20,2
AMBARI-13597,2,433,2
AMBARI-1362,2,36,2
AMBARI-13626,2,124,1
AMBARI-13656,5,1140,3
AMBARI-13669,5,1185,3
AMBARI-13751,6,1157,3
AMBARI-13874,4,486,3
AMBARI-13937,11,1325,4
AMBARI-14183,5,1624,4
AMBARI-14249,8,5798,4
AMBARI-14260,6,2614,4
AMBARI-14290,5,1214,3
AMBARI-14315,5,2922,4
AMBARI-14358,3,1415,3
AMBARI-14396,6,15903,3
AMBARI-14442,5,2608,3
AMBARI-14443,3,1454,3
AMBARI-14453,7,2038,4
AMBARI-14550,13,12772,3
AMBARI-14582,2,129,2
AMBARI-14653,7,727,4
AMBARI-14659,4,1909,3
AMBARI-14666,6,1955,3
AMBARI-14695,9,2209,5
AMBARI-14745,11,5507,4
AMBARI-14929,7,2389,4
AMBARI-15249,9,6851,4
AMBARI-15255,4,1982,3
AMBARI-15342,5,1197,3
AMBARI-15486,2,445,2
AMBARI-15538,24,10164,8
AMBARI-15634,5,948,3
AMBARI-15770,11,4897,4
AMBARI-15817,5,2649,3
AMBARI-15852,9,4795,3
AMBARI-15854,8,2271,5
AMBARI-15871,6,2577,5
AMBARI-15872,3,1623,2
AMBARI-15909,7,1702,4
AMBARI-15982,2,490,2
AMBARI-16025,2,458,2
AMBARI-16303,4,1470,3
AMBARI-1665,2,12,2
AMBARI-16736,2,4116,2
AMBARI-16757,3,813,2
AMBARI-1677,1,271,1
AMBARI-16798,4,1473,4
AMBARI-16888,3,1333,2
AMBARI-16974,6,1025,5
AMBARI-17019,1,0,1
AMBARI-17186,17,5172,6
AMBARI-17213,7,26479,5
AMBARI-17253,10,4849,4
AMBARI-17283,7,2955,6
AMBARI-17285,24,7112,7
AMBARI-17291,14,3523,5
AMBARI-17296,4,2534,3
AMBARI-1734,3,578,2
AMBARI-17345,3,1615,3
AMBARI-1735,10,1773,3
AMBARI-1737,1,282,1
AMBARI-17416,7,2782,5
AMBARI-17469,4,2275,3
AMBARI-17523,3,1733,3
AMBARI-17570,5,2403,4
AMBARI-17572,3,816,3
AMBARI-17587,7,3246,4
AMBARI-17661,9,1636,5
AMBARI-17679,2,80,2
AMBARI-17682,3,1622,3
AMBARI-17687,6,4528,3
AMBARI-17688,5,4952,3
AMBARI-17694,21,14784,8
AMBARI-17704,20,3742,5
AMBARI-1772,5,987,2
AMBARI-17748,4,511,3
AMBARI-17786,4,1540,3
AMBARI-17801,3,2032,3
AMBARI-17807,4,994,3
AMBARI-17810,2,497,1
AMBARI-17843,5,2133,4
AMBARI-17886,8,1927,3
AMBARI-17942,3,1047,3
AMBARI-17954,4,2332,3
AMBARI-17966,4,1067,3
AMBARI-18026,7,2612,4
AMBARI-18035,2,2476,2
AMBARI-18053,3,823,3
AMBARI-18091,6,1511,4
AMBARI-18099,8,2657,4
AMBARI-18115,3,1069,3
AMBARI-18135,2,464,2
AMBARI-18142,8,2883,4
AMBARI-18151,7,1934,5
AMBARI-18169,4,1116,4
AMBARI-18203,1,415,1
AMBARI-18208,5,6446,4
AMBARI-18213,4,1901,4
AMBARI-18217,6,1599,4
AMBARI-18219,13,1863,5
AMBARI-18221,4,721,3
AMBARI-18224,3,805,3
AMBARI-18228,4,1215,3
AMBARI-18234,4,1474,3
AMBARI-18239,7,1333,6
AMBARI-18275,2,756,2
AMBARI-18285,3,799,3
AMBARI-18294,3,881,3
AMBARI-18316,3,983,2
AMBARI-18335,6,9402,3
AMBARI-18340,7,3581,4
AMBARI-18345,4,1311,3
AMBARI-18427,1,251,1
AMBARI-1846,2,357,1
AMBARI-18770,12,6449,6
AMBARI-188,1,29,1
AMBARI-18834,6,3853,3
AMBARI-189,1,30,1
AMBARI-18900,6,1963,3
AMBARI-18923,3,1039,2
AMBARI-18935,4,2317,3
AMBARI-190,2,55,2
AMBARI-19041,5,2172,3
AMBARI-19068,6,2170,4
