Key,CommentCount,CommentLength,CommentPeopleCount
AMBARI-10000,1,0,1
AMBARI-10001,6,2280,4
AMBARI-10002,5,2139,3
AMBARI-10004,7,2062,4
AMBARI-10007,1,35,1
AMBARI-10008,4,2078,3
AMBARI-10009,4,1691,3
AMBARI-10010,4,1916,3
AMBARI-10011,2,834,1
AMBARI-10012,3,542,3
AMBARI-10013,3,1143,2
AMBARI-10014,4,1345,4
AMBARI-10015,3,786,2
AMBARI-10016,5,2482,3
AMBARI-10018,9,7270,3
AMBARI-10019,5,931,3
AMBARI-10020,2,1425,2
AMBARI-10021,2,5030,1
AMBARI-10022,7,4710,3
AMBARI-10024,7,1326,4
AMBARI-10025,3,744,2
AMBARI-10027,1,0,1
AMBARI-10028,5,1875,4
AMBARI-10030,3,735,2
AMBARI-10031,3,1101,2
AMBARI-10032,3,739,2
AMBARI-10033,4,1485,4
AMBARI-10034,3,781,2
AMBARI-10035,6,24870,4
AMBARI-10036,4,5966,2
AMBARI-10040,4,2300,3
AMBARI-10041,3,979,2
AMBARI-10042,5,2024,4
AMBARI-10043,4,2409,3
AMBARI-10045,4,1421,4
AMBARI-10046,5,1191,3
AMBARI-10047,1,0,1
AMBARI-10048,6,2307,4
AMBARI-10049,3,1189,2
AMBARI-10050,3,2931,2
AMBARI-10051,3,2423,3
AMBARI-10052,4,2870,1
AMBARI-10053,8,4038,3
AMBARI-10054,2,980,1
AMBARI-10055,9,8125,3
AMBARI-10056,5,1546,3
AMBARI-10058,3,2002,2
AMBARI-10059,3,969,2
AMBARI-10061,2,848,2
AMBARI-10062,4,2490,3
AMBARI-10063,4,4382,4
AMBARI-10064,5,6933,3
AMBARI-10065,3,2636,2
AMBARI-10066,7,3085,4
AMBARI-10067,4,3565,3
AMBARI-10068,8,5515,4
AMBARI-10070,8,3309,4
AMBARI-10071,7,3824,3
AMBARI-10072,3,905,2
AMBARI-10073,5,2077,3
AMBARI-10074,3,1137,2
AMBARI-10078,4,1470,4
AMBARI-10079,4,1367,4
AMBARI-10080,5,1460,4
AMBARI-10081,5,1044,4
AMBARI-10083,5,3530,2
AMBARI-10084,4,1492,3
AMBARI-10085,6,1897,3
AMBARI-10086,3,803,2
AMBARI-10088,2,641,2
AMBARI-10092,3,2088,2
AMBARI-10093,4,2186,3
AMBARI-10094,5,1543,4
AMBARI-10095,6,1390,3
AMBARI-10097,3,2261,2
AMBARI-10098,6,2294,3
AMBARI-10099,3,3030,2
AMBARI-101,1,232,1
AMBARI-10100,4,2037,3
AMBARI-10101,4,1508,2
AMBARI-10109,2,967,2
AMBARI-10110,3,381,3
AMBARI-10115,1,151,1
AMBARI-10116,10,3371,4
AMBARI-10117,4,797,3
AMBARI-10118,3,1003,2
AMBARI-10119,5,1220,3
AMBARI-10120,4,1486,4
AMBARI-10122,4,1504,4
AMBARI-10124,4,2143,3
AMBARI-10125,1,628,1
AMBARI-10126,5,2520,2
AMBARI-10129,5,1439,4
AMBARI-10131,5,1665,5
AMBARI-10132,9,21291,3
AMBARI-10134,4,1537,4
AMBARI-10135,3,1352,3
AMBARI-10136,4,1484,4
AMBARI-10137,3,434,3
AMBARI-10138,4,1488,4
AMBARI-10139,4,1521,4
AMBARI-10142,4,1250,1
AMBARI-10143,10,3537,4
AMBARI-10146,10,5083,3
AMBARI-10147,3,18477,1
AMBARI-10148,4,1405,3
AMBARI-10150,2,429,2
AMBARI-10151,2,566,2
AMBARI-10152,2,379,2
AMBARI-10153,4,2052,3
AMBARI-10154,2,885,2
AMBARI-10157,7,3414,3
AMBARI-10160,5,2248,2
AMBARI-10161,1,0,1
AMBARI-10162,1,0,1
AMBARI-10165,6,2952,3
AMBARI-10166,2,788,2
AMBARI-10172,2,433,2
AMBARI-10173,4,1545,4
AMBARI-10175,4,1540,4
AMBARI-10176,6,3646,3
AMBARI-10177,1,0,1
AMBARI-10178,2,382,2
AMBARI-10179,2,1730,2
AMBARI-10180,8,3451,5
AMBARI-10181,4,1466,4
AMBARI-10182,1,44,1
AMBARI-10184,4,1646,4
AMBARI-10185,4,1425,4
AMBARI-10186,2,139,2
AMBARI-10188,5,3385,2
AMBARI-10189,4,2002,1
AMBARI-10191,3,893,2
AMBARI-10193,2,432,2
AMBARI-10195,4,1600,4
AMBARI-10197,2,1450,2
