Key,CommentCount,CommentLength,CommentPeopleCount
AMQ-1038,2,682,2
AMQ-1063,25,16502,15
AMQ-1067,6,630,4
AMQ-1069,4,592,2
AMQ-1112,16,4707,5
AMQ-1148,9,7011,2
AMQ-1205,2,195,2
AMQ-1212,1,0,1
AMQ-1213,1,0,1
AMQ-1234,1,0,1
AMQ-1240,2,165,2
AMQ-1244,6,5620,4
AMQ-1272,15,5207,8
AMQ-1276,7,2939,5
AMQ-1286,5,2080,3
AMQ-1313,2,521,2
AMQ-1331,1,81,1
AMQ-1333,1,0,1
AMQ-1354,1,44,1
AMQ-1482,14,17515,11
AMQ-1549,3,807,3
AMQ-170,2,1709,1
AMQ-172,1,0,1
AMQ-1792,5,1926,3
AMQ-1803,2,3468,2
AMQ-184,3,198,2
AMQ-1862,6,1298,5
AMQ-1920,2,509,1
AMQ-199,2,367,1
AMQ-2009,39,16781,21
AMQ-2016,7,3700,4
AMQ-2067,6,5574,4
AMQ-2093,5,380,4
AMQ-2155,5,5484,1
AMQ-2161,5,566,3
AMQ-2167,2,123,2
AMQ-2183,5,1360,3
AMQ-2184,8,2251,2
AMQ-2216,3,335,2
AMQ-2225,4,744,3
AMQ-2226,1,24,1
AMQ-2264,2,494,2
AMQ-2286,5,2583,3
AMQ-2293,5,1676,3
AMQ-2331,4,828,2
AMQ-2333,4,1029,2
AMQ-2495,3,14996,2
AMQ-2496,17,5991,4
AMQ-2505,1,83,1
AMQ-2520,5,2291,3
AMQ-2536,1,98,1
AMQ-2545,2,125,2
AMQ-2581,4,433,3
AMQ-2593,3,293,3
AMQ-2614,2,211,2
AMQ-2627,7,2464,5
AMQ-2657,8,1646,4
AMQ-2700,9,3814,3
AMQ-2745,12,7409,3
AMQ-2748,3,1540,3
AMQ-2778,6,497,4
AMQ-2831,5,1203,2
AMQ-2881,2,134,2
AMQ-2901,6,2189,2
AMQ-2935,44,19107,21
AMQ-2936,1,84,1
AMQ-2962,16,14442,4
AMQ-3009,1,58,1
AMQ-3031,4,713,2
AMQ-3051,5,456,4
AMQ-3101,2,1004,2
AMQ-3103,10,1863,4
AMQ-3132,1,69,1
AMQ-3281,30,5939,10
AMQ-3299,6,1869,3
AMQ-3350,3,446,2
AMQ-3396,4,334,3
AMQ-3421,8,4522,4
AMQ-3432,1,129,1
AMQ-3608,5,40057,2
AMQ-3617,5,670,3
AMQ-3629,1,71,1
AMQ-3658,2,395,2
AMQ-366,5,971,3
AMQ-3697,8,2231,3
AMQ-3710,6,1963,5
AMQ-3712,6,894,6
AMQ-3736,14,4766,6
AMQ-3746,7,3090,4
AMQ-3753,6,2960,4
AMQ-3762,2,219,2
AMQ-3848,2,253,1
AMQ-3853,9,3502,4
AMQ-3922,4,688,3
AMQ-4037,5,605,3
AMQ-4040,4,497,2
AMQ-4051,6,6145,4
AMQ-4072,28,18559,5
AMQ-4133,2,285,2
AMQ-4136,6,1219,3
AMQ-4159,8,1711,3
AMQ-4182,7,3754,3
AMQ-4183,4,602,2
AMQ-4223,5,4015,1
AMQ-4242,6,729,4
AMQ-4277,16,3133,6
AMQ-4316,3,181,2
AMQ-4336,9,2451,2
AMQ-4371,3,309,2
AMQ-4382,1,71,1
AMQ-4468,12,3261,2
AMQ-4471,5,430,4
AMQ-4533,50,22472,6
AMQ-4556,5,1350,3
AMQ-4611,2,337,2
AMQ-4633,3,831,2
AMQ-4639,2,128,2
AMQ-4642,2,169,2
AMQ-4687,2,355,1
AMQ-472,1,5,1
AMQ-473,2,37,2
AMQ-4746,2,245,1
AMQ-4802,8,6851,3
AMQ-4828,7,849,5
AMQ-4895,2,136,2
AMQ-4899,5,572,3
AMQ-4936,3,205,2
AMQ-4955,14,4521,5
AMQ-4977,10,2926,3
AMQ-4986,7,9091,5
AMQ-5004,5,917,1
AMQ-502,1,0,1
AMQ-5032,3,282,1
AMQ-5052,1,39,1
AMQ-5062,1,25,1
AMQ-507,4,787,3
AMQ-5073,1,124,1
AMQ-5098,13,3479,4
AMQ-5172,3,430,3
