Key,CommentCount,CommentLength,CommentPeopleCount
AMQ-100,4,1450,3
AMQ-1000,2,102,2
AMQ-1003,1,0,1
AMQ-1005,1,143,1
AMQ-1006,1,66,1
AMQ-1009,1,0,1
AMQ-101,1,53,1
AMQ-1014,3,577,2
AMQ-1015,4,404,2
AMQ-1016,35,26974,8
AMQ-1017,22,5574,6
AMQ-1018,1,275,1
AMQ-1019,1,81,1
AMQ-1020,4,2802,4
AMQ-1022,3,470,2
AMQ-1024,1,92,1
AMQ-1026,2,186,1
AMQ-1027,1,231,1
AMQ-1028,4,2011,3
AMQ-1029,3,489,2
AMQ-1030,1,43,1
AMQ-1031,1,30,1
AMQ-1033,2,70,1
AMQ-1034,1,97,1
AMQ-1035,2,414,2
AMQ-1036,6,810,3
AMQ-1039,1,25,1
AMQ-104,3,1676,2
AMQ-1043,2,63,2
AMQ-1044,3,1196,2
AMQ-1045,5,4275,5
AMQ-1048,1,332,1
AMQ-1049,1,78,1
AMQ-1050,3,550,1
AMQ-1052,2,53,1
AMQ-1054,21,9444,3
AMQ-1057,4,1299,4
AMQ-1058,1,39,1
AMQ-1059,3,6720,2
AMQ-1060,3,459,2
AMQ-1061,2,802,2
AMQ-1062,1,20,1
AMQ-1066,1,47,1
AMQ-1068,2,164,1
AMQ-1070,1,69,1
AMQ-1071,2,794,2
AMQ-1072,6,17084,6
AMQ-1076,1,339,1
AMQ-1077,3,138,3
AMQ-1078,10,7161,3
AMQ-1079,5,7379,3
AMQ-1080,1,28,1
AMQ-1081,1,0,1
AMQ-1083,2,302,2
AMQ-1086,6,697,4
AMQ-1087,1,245,1
AMQ-1088,4,5290,2
AMQ-1089,2,129,1
AMQ-1090,1,0,1
AMQ-1092,4,13016,4
AMQ-1093,1,273,1
AMQ-1095,12,3227,3
AMQ-1096,1,269,1
AMQ-1097,2,114,1
AMQ-1098,5,967,4
AMQ-110,4,3844,4
AMQ-1102,1,0,1
AMQ-1103,1,28,1
AMQ-1106,1,87,1
AMQ-1107,1,108,1
AMQ-1108,1,33,1
AMQ-1109,8,5512,6
AMQ-111,1,57,1
AMQ-1110,1,39,1
AMQ-1111,3,517,3
AMQ-1113,1,28,1
AMQ-1114,1,209,1
AMQ-1115,1,50,1
AMQ-1116,11,8043,7
AMQ-1118,1,58,1
