Key,CommentCount,CommentLength,CommentPeopleCount
ARROW-10033,4,1299,3
ARROW-10038,5,2383,2
ARROW-10088,8,5501,4
ARROW-10152,3,422,2
ARROW-10226,12,8513,4
ARROW-10271,2,364,2
ARROW-10346,6,747,2
ARROW-10430,1,0,1
ARROW-10457,1,79,1
ARROW-10485,5,1835,4
ARROW-10489,22,11055,6
ARROW-10498,9,3334,3
ARROW-10739,7,3796,4
ARROW-10834,2,1160,1
ARROW-10856,11,92926,3
ARROW-10913,1,79,1
ARROW-10928,8,2976,3
ARROW-10971,1,62,1
ARROW-11030,20,6826,4
ARROW-11051,2,248,2
ARROW-11075,12,10005,3
ARROW-11085,1,79,1
ARROW-11102,1,79,1
ARROW-11189,1,79,1
ARROW-11229,1,79,1
ARROW-11239,4,2691,3
ARROW-11301,1,79,1
ARROW-114,1,0,1
ARROW-11427,13,2453,4
ARROW-11448,1,79,1
ARROW-11456,14,7028,4
ARROW-11694,2,681,2
ARROW-11763,2,408,2
ARROW-11853,1,0,1
ARROW-11957,3,1269,2
ARROW-12006,5,1250,2
ARROW-12093,1,303,1
ARROW-12100,14,4569,4
ARROW-12103,1,79,1
ARROW-12112,6,639,2
ARROW-12142,3,316,3
ARROW-12161,8,2250,3
ARROW-12201,7,781,3
ARROW-12321,8,2786,4
ARROW-12338,5,917,3
ARROW-12408,1,81,1
ARROW-12433,8,3045,3
ARROW-12487,3,731,2
ARROW-12542,3,2254,2
ARROW-12576,1,377,1
ARROW-12582,3,479,1
ARROW-12636,2,1594,1
ARROW-12663,1,81,1
ARROW-12790,2,133,1
ARROW-12839,3,966,2
ARROW-12840,2,352,2
ARROW-12885,15,44792,5
ARROW-13115,1,268,1
ARROW-13134,13,1803,2
ARROW-13135,1,81,1
ARROW-13169,9,2224,6
ARROW-13198,8,2704,3
ARROW-13216,2,250,1
ARROW-13329,2,21121,2
ARROW-13382,10,14055,3
ARROW-13384,6,3173,3
ARROW-13512,5,825,4
ARROW-13588,6,1239,4
ARROW-13592,3,1242,2
ARROW-13601,1,0,1
ARROW-13602,1,81,1
ARROW-13624,1,81,1
ARROW-13636,3,886,2
ARROW-13694,8,3213,3
ARROW-13743,4,462,3
ARROW-13799,3,1297,3
ARROW-13860,6,4289,4
ARROW-13940,2,446,1
ARROW-13981,7,1215,2
ARROW-13982,4,852,2
ARROW-14047,5,11568,2
ARROW-14087,1,314,1
ARROW-14136,4,813,2
ARROW-14179,3,361,1
ARROW-14197,6,4094,4
ARROW-14208,2,133,2
ARROW-14215,4,752,4
ARROW-14253,6,2978,3
ARROW-14313,4,599,3
ARROW-14323,10,13513,3
ARROW-14340,4,178,2
ARROW-14344,4,2448,3
ARROW-14434,1,128,1
ARROW-14526,4,2940,3
ARROW-14550,3,990,3
ARROW-14638,3,192,2
ARROW-14722,6,2479,4
ARROW-14787,2,611,2
ARROW-14911,9,2801,5
ARROW-14930,25,15386,3
ARROW-15045,4,3692,2
ARROW-15144,2,425,2
ARROW-15312,12,6614,4
ARROW-15318,1,81,1
ARROW-15324,3,4450,2
ARROW-15326,1,81,1
ARROW-15397,4,8082,3
ARROW-15401,3,527,3
ARROW-15414,1,81,1
ARROW-15459,17,15111,6
ARROW-15490,1,50,1
ARROW-15500,5,1425,2
ARROW-15511,2,198,1
ARROW-15520,1,81,1
ARROW-15677,6,2475,2
ARROW-15733,2,559,2
ARROW-15822,8,976,4
ARROW-15837,7,1356,2
ARROW-15858,1,383,1
ARROW-15899,1,89,1
ARROW-15908,3,594,2
ARROW-15928,8,2305,4
ARROW-15938,5,3809,4
ARROW-15948,6,916,3
ARROW-15960,2,277,2
ARROW-15977,2,2348,2
ARROW-1599,3,713,2
ARROW-16009,1,8,1
ARROW-16013,4,428,3
ARROW-16037,7,5660,4
ARROW-16143,13,1634,3
ARROW-16219,11,5110,4
ARROW-16225,5,635,2
ARROW-16238,3,236,3
ARROW-16336,1,81,1
ARROW-16372,3,284,2
ARROW-16393,1,81,1
ARROW-16413,1,81,1
ARROW-16464,6,719,3
ARROW-16519,6,435,3
ARROW-16546,3,449,2
ARROW-16586,6,1360,2
ARROW-16611,3,753,2
ARROW-1664,14,3481,4
ARROW-16678,3,646,2
ARROW-16692,7,1474,3
ARROW-16700,9,13194,3
ARROW-16775,6,6916,3
ARROW-16778,29,13061,5
ARROW-16822,4,1284,2
ARROW-16864,2,199,1
ARROW-16897,5,5062,3
ARROW-16904,7,2322,5
ARROW-1692,8,2419,3
ARROW-16932,1,81,1
ARROW-16980,1,0,1
ARROW-17066,1,19,1
ARROW-1778,7,11273,3
ARROW-1837,11,4461,3
ARROW-198,2,116,2
ARROW-2041,2,567,1
ARROW-2208,6,831,3
ARROW-2227,20,17220,4
ARROW-2246,2,155,2
ARROW-2280,6,5693,2
ARROW-2300,5,778,3
ARROW-2303,3,377,2
ARROW-2326,27,39153,6
ARROW-2461,19,5268,4
ARROW-2500,3,144,3
ARROW-2599,11,3122,5
ARROW-2814,11,2222,2
ARROW-2911,4,350,3
ARROW-2917,1,79,1
ARROW-3190,1,79,1
ARROW-3241,4,5831,1
ARROW-3324,4,3074,2
ARROW-3393,1,79,1
ARROW-3437,2,107,2
ARROW-3543,27,14148,6
ARROW-3663,3,830,2
ARROW-3828,1,111,1
ARROW-4034,1,79,1
ARROW-4260,4,540,3
ARROW-4301,17,3313,4
ARROW-4411,1,0,1
ARROW-4413,11,2381,3
ARROW-4469,5,1201,2
ARROW-4480,5,2173,4
ARROW-4497,8,1154,3
ARROW-4688,6,1232,3
ARROW-4712,1,79,1
ARROW-4766,1,79,1
ARROW-4774,2,264,2
ARROW-4809,11,4532,3
ARROW-4851,1,65,1
ARROW-4872,1,79,1
ARROW-4886,4,333,2
ARROW-4917,5,213,3
ARROW-5089,1,906,1
ARROW-5103,4,459,4
ARROW-5117,1,79,1
ARROW-5142,3,228,2
ARROW-5144,20,13711,7
ARROW-5202,3,442,2
ARROW-5300,8,1700,4
ARROW-5540,4,966,3
ARROW-5578,1,114,1
ARROW-5658,25,9281,4
ARROW-5680,3,262,2
ARROW-5744,7,1987,2
ARROW-5764,4,263,2
ARROW-5868,12,3104,2
ARROW-5932,4,643,4
ARROW-6044,2,260,2
ARROW-6046,2,416,2
ARROW-6182,3,821,3
ARROW-6214,4,1126,3
ARROW-6235,3,417,2
ARROW-6348,4,1648,3
ARROW-6389,2,364,2
ARROW-6547,7,2070,3
ARROW-6640,3,131,1
ARROW-6682,41,16281,4
ARROW-6701,5,567,2
ARROW-6766,7,1579,4
ARROW-6801,2,123,2
ARROW-6806,4,2329,3
ARROW-6869,2,92,1
ARROW-6886,6,2587,4
ARROW-6895,9,1614,4
ARROW-6992,1,79,1
ARROW-7018,8,5012,4
ARROW-7030,3,516,2
ARROW-7040,3,836,2
ARROW-7244,7,2332,4
ARROW-7288,30,6598,6
ARROW-7405,1,55,1
ARROW-7451,1,73,1
ARROW-7503,1,79,1
ARROW-7520,4,1831,2
ARROW-7535,3,515,3
ARROW-7545,2,1298,2
ARROW-7553,3,660,2
ARROW-7618,1,79,1
ARROW-7640,1,79,1
ARROW-7650,2,108,1
ARROW-7654,4,691,4
ARROW-7690,4,300,3
ARROW-7723,6,1546,3
ARROW-7740,8,7646,3
ARROW-7789,5,2344,2
ARROW-7830,6,1977,4
ARROW-7852,15,2881,6
ARROW-7867,2,186,1
ARROW-7956,6,894,3
ARROW-8006,3,260,2
ARROW-8138,6,1488,3
ARROW-8238,15,1813,4
ARROW-8365,4,257,2
ARROW-8374,5,515,2
ARROW-8406,13,2184,3
ARROW-8411,1,335,1
ARROW-8429,1,79,1
ARROW-8510,3,249,1
ARROW-8535,1,79,1
ARROW-8536,5,506,2
ARROW-8566,6,2407,2
ARROW-8801,5,1236,3
ARROW-8825,1,79,1
ARROW-8860,3,965,2
ARROW-8909,4,579,3
ARROW-9071,1,79,1
ARROW-9208,3,357,2
ARROW-9237,2,880,1
ARROW-9326,5,512,2
ARROW-933,2,121,1
ARROW-9349,9,1913,5
ARROW-9351,1,79,1
ARROW-9354,1,86,1
ARROW-9438,2,392,2
ARROW-9536,1,79,1
ARROW-9606,4,2462,3
ARROW-9652,2,707,2
ARROW-9676,13,8298,2
ARROW-9785,3,126,2
