Key,CommentCount,CommentLength,CommentPeopleCount
ARROW-10003,1,79,1
ARROW-10008,4,3734,3
ARROW-10011,1,79,1
ARROW-10012,3,559,1
ARROW-10013,6,925,2
ARROW-10017,1,79,1
ARROW-10022,1,79,1
ARROW-10025,2,154,2
ARROW-10027,7,2989,3
ARROW-10029,11,3855,3
ARROW-1003,1,77,1
ARROW-10034,1,79,1
ARROW-10039,2,224,1
ARROW-1004,2,121,1
ARROW-10041,1,79,1
ARROW-10042,1,79,1
ARROW-10047,1,0,1
ARROW-10048,1,79,1
ARROW-10049,1,79,1
ARROW-1005,3,412,2
ARROW-10056,17,14729,4
ARROW-10060,1,79,1
ARROW-10062,1,79,1
ARROW-10067,1,681,1
ARROW-10073,1,79,1
ARROW-10080,7,1393,4
ARROW-10081,1,79,1
ARROW-10085,1,79,1
ARROW-10087,1,79,1
ARROW-10098,1,79,1
ARROW-10104,1,79,1
ARROW-10114,4,2889,2
ARROW-10116,1,79,1
ARROW-10119,1,79,1
ARROW-10121,3,1344,2
ARROW-10122,4,929,2
ARROW-10123,1,429,1
ARROW-10124,2,311,2
ARROW-10125,1,79,1
ARROW-10126,16,17942,4
ARROW-10130,1,79,1
ARROW-10133,2,666,1
ARROW-10136,1,79,1
ARROW-10137,1,79,1
ARROW-10140,13,6382,4
ARROW-10145,3,1089,1
ARROW-10146,2,323,2
ARROW-10147,1,79,1
ARROW-10150,1,79,1
ARROW-10153,5,1891,3
ARROW-10169,1,79,1
ARROW-1017,7,1117,1
ARROW-10170,1,73,1
ARROW-10172,2,2358,1
ARROW-10174,1,79,1
ARROW-10175,7,1662,4
ARROW-10176,2,210,2
ARROW-10177,1,41,1
ARROW-10178,3,108,3
ARROW-10179,1,79,1
ARROW-10181,1,79,1
ARROW-10186,1,0,1
ARROW-10187,6,881,4
ARROW-10188,3,744,2
ARROW-10189,1,79,1
ARROW-10192,1,79,1
ARROW-10193,1,79,1
ARROW-10194,1,0,1
ARROW-10198,1,0,1
ARROW-10200,1,79,1
ARROW-10204,1,79,1
ARROW-10210,1,0,1
ARROW-10213,1,139,1
ARROW-10214,5,334,2
ARROW-10218,2,88,2
ARROW-10221,2,1732,2
ARROW-1023,2,121,2
ARROW-10230,1,79,1
ARROW-10232,1,133,1
ARROW-10234,1,79,1
ARROW-10237,1,79,1
ARROW-10238,1,79,1
ARROW-10239,3,373,2
ARROW-10242,3,870,2
ARROW-10244,1,79,1
ARROW-10246,1,174,1
ARROW-10247,6,2810,3
ARROW-10248,1,79,1
ARROW-10262,1,79,1
ARROW-10264,5,1223,2
ARROW-10270,1,79,1
ARROW-10275,2,296,2
ARROW-10276,10,2380,3
ARROW-10279,1,79,1
ARROW-10280,1,79,1
ARROW-10281,1,79,1
ARROW-10282,1,183,1
ARROW-10283,1,79,1
ARROW-10284,1,79,1
ARROW-10285,1,79,1
ARROW-10286,2,103,1
ARROW-10288,1,79,1
ARROW-10290,1,79,1
ARROW-10293,1,79,1
ARROW-10294,1,79,1
ARROW-10296,1,251,1
ARROW-10298,1,170,1
ARROW-103,1,75,1
ARROW-10308,27,14396,4
ARROW-10309,8,1698,2
ARROW-10321,9,1909,5
ARROW-10329,2,626,2
ARROW-1033,1,77,1
ARROW-10333,1,79,1
ARROW-10339,1,65,1
ARROW-10341,1,0,1
ARROW-10342,1,0,1
ARROW-10343,2,1337,1
ARROW-10345,5,880,3
ARROW-10348,1,79,1
ARROW-10350,2,355,2
ARROW-10352,1,303,1
ARROW-10353,3,187,2
ARROW-10358,1,79,1
ARROW-10362,2,220,2
ARROW-10365,1,79,1
ARROW-10367,2,58,2
ARROW-10369,1,79,1
ARROW-10370,8,1597,3
ARROW-10371,17,2728,2
ARROW-10373,1,81,1
ARROW-10376,1,98,1
ARROW-10386,6,3379,3
ARROW-10388,1,79,1
ARROW-1039,3,396,1
ARROW-10390,2,926,2
ARROW-10393,1,79,1
ARROW-10394,1,79,1
ARROW-10395,2,146,2
ARROW-10397,1,79,1
ARROW-10399,1,79,1
ARROW-104,1,75,1
ARROW-10403,1,79,1
ARROW-10405,3,418,3
ARROW-10409,1,97,1
ARROW-10411,1,79,1
ARROW-10412,11,9283,2
ARROW-10413,1,79,1
ARROW-10414,1,1017,1
ARROW-10417,6,2755,4
ARROW-10418,1,218,1
ARROW-10426,4,1079,4
ARROW-1043,2,148,1
ARROW-10433,4,1415,1
ARROW-10434,1,79,1
ARROW-10441,6,752,2
ARROW-10442,1,0,1
ARROW-10443,2,2017,2
ARROW-10444,4,3342,3
ARROW-10446,1,79,1
ARROW-10447,4,851,2
ARROW-10448,1,79,1
ARROW-1045,1,53,1
ARROW-10450,2,1015,2
ARROW-10453,3,1843,2
ARROW-1046,1,77,1
ARROW-10460,4,5199,2
ARROW-10461,1,79,1
ARROW-10462,2,748,1
ARROW-10463,3,1198,2
ARROW-10469,2,218,2
ARROW-10470,1,79,1
ARROW-10472,4,664,3
ARROW-10473,1,544,1
ARROW-10475,3,335,3
ARROW-10480,3,811,3
ARROW-10482,1,79,1
ARROW-10491,1,79,1
ARROW-10493,1,79,1
ARROW-10494,1,0,1
ARROW-10495,3,351,1
ARROW-10496,1,79,1
ARROW-10497,1,32,1
ARROW-10499,1,79,1
ARROW-105,3,229,1
ARROW-1050,2,121,2
ARROW-10501,2,1181,2
ARROW-10502,1,79,1
ARROW-10503,8,1476,3
ARROW-10508,2,156,1
ARROW-10509,1,79,1
ARROW-1051,1,77,1
ARROW-10511,3,739,3
ARROW-10514,2,280,2
ARROW-10516,2,76,2
ARROW-10517,29,35961,4
ARROW-10518,1,79,1
ARROW-10519,1,79,1
ARROW-10525,1,79,1
ARROW-1053,6,523,2
ARROW-10532,1,79,1
ARROW-1054,3,170,1
ARROW-10545,1,79,1
ARROW-10546,1,79,1
ARROW-10547,1,79,1
ARROW-10551,1,79,1
ARROW-10553,17,7669,5
ARROW-10555,1,0,1
ARROW-10558,1,79,1
ARROW-1056,2,121,2
ARROW-10560,1,79,1
ARROW-10563,2,321,1
ARROW-10564,1,0,1
ARROW-10565,3,776,2
ARROW-10568,8,713,4
ARROW-10569,2,281,1
ARROW-1057,1,77,1
ARROW-10571,1,187,1
ARROW-10577,3,317,2
ARROW-10578,4,5084,2
ARROW-10579,8,1157,3
ARROW-10587,9,2247,3
ARROW-10592,1,65,1
ARROW-10593,1,65,1
ARROW-1061,1,77,1
ARROW-10610,1,79,1
ARROW-10616,1,79,1
ARROW-10617,3,582,3
ARROW-10618,1,0,1
ARROW-10619,1,79,1
ARROW-1062,1,77,1
ARROW-10620,1,79,1
ARROW-10621,1,79,1
ARROW-10622,1,79,1
ARROW-10623,2,686,1
ARROW-10624,9,1603,2
ARROW-10627,3,953,3
ARROW-10629,2,88,1
ARROW-10631,1,79,1
ARROW-10635,6,849,4
ARROW-1064,9,3022,2
ARROW-10642,1,79,1
ARROW-1065,1,5,1
ARROW-10650,1,0,1
ARROW-10656,3,177,2
ARROW-1066,1,77,1
ARROW-10661,1,79,1
ARROW-10662,1,79,1
ARROW-10663,2,1218,2
ARROW-10667,1,79,1
ARROW-10668,5,1518,2
ARROW-1067,2,427,2
ARROW-10676,1,145,1
ARROW-10678,2,210,2
ARROW-10681,3,119,2
ARROW-10684,1,79,1
ARROW-10690,1,0,1
ARROW-10691,1,0,1
ARROW-10692,1,79,1
ARROW-10694,9,4553,2
ARROW-10699,3,187,3
ARROW-1070,1,77,1
ARROW-10700,2,320,2
ARROW-10701,1,79,1
ARROW-10705,1,79,1
ARROW-10706,1,303,1
ARROW-10710,3,1983,1
ARROW-10711,1,79,1
ARROW-10719,1,79,1
ARROW-1072,1,0,1
ARROW-10726,8,6190,2
ARROW-10730,2,399,1
ARROW-10737,2,70,2
ARROW-10738,1,0,1
ARROW-1074,6,719,3
ARROW-10743,1,74,1
ARROW-10748,6,1801,3
ARROW-10749,1,79,1
ARROW-1075,1,77,1
ARROW-10751,5,678,2
ARROW-10753,3,207,3
ARROW-10757,1,79,1
ARROW-10758,4,279,2
ARROW-10760,1,79,1
ARROW-10762,6,1364,2
ARROW-10768,3,130,2
ARROW-10769,2,175,1
ARROW-10773,10,2829,2
ARROW-10774,3,302,2
ARROW-10777,4,1172,2
ARROW-10778,1,79,1
ARROW-10779,1,79,1
ARROW-10780,5,1695,2
ARROW-10784,9,2362,4
ARROW-10787,1,14,1
ARROW-1079,2,121,1
ARROW-10791,1,79,1
ARROW-10794,2,286,2
ARROW-10799,8,3236,3
ARROW-10801,1,79,1
ARROW-10803,8,1956,2
ARROW-10804,1,79,1
ARROW-10807,1,79,1
ARROW-1081,2,121,2
ARROW-10810,1,79,1
ARROW-10811,1,79,1
ARROW-10823,1,79,1
ARROW-10830,1,79,1
ARROW-10833,2,695,2
ARROW-10837,1,79,1
ARROW-10840,1,79,1
ARROW-10841,7,14307,3
ARROW-10842,1,79,1
ARROW-10844,4,342,2
ARROW-1085,1,77,1
ARROW-10850,3,227,2
ARROW-10852,1,79,1
ARROW-10853,6,2252,3
ARROW-10854,1,79,1
ARROW-10855,2,178,2
ARROW-10859,1,79,1
ARROW-1086,3,163,2
ARROW-10860,1,79,1
ARROW-10863,3,357,3
ARROW-10872,2,610,2
ARROW-10875,1,79,1
ARROW-10876,1,79,1
ARROW-1088,4,3702,3
ARROW-10884,1,73,1
ARROW-10886,1,65,1
ARROW-10892,1,83,1
ARROW-10897,1,79,1
ARROW-109,4,464,3
ARROW-1090,4,558,2
ARROW-10901,1,1181,1
ARROW-10907,1,79,1
ARROW-1091,1,77,1
ARROW-10910,8,2375,5
ARROW-10912,1,0,1
ARROW-10914,1,79,1
ARROW-10919,4,665,3
ARROW-1092,1,77,1
ARROW-10920,1,65,1
ARROW-10921,1,308,1
ARROW-10930,3,334,2
ARROW-10932,1,79,1
ARROW-10935,2,1174,2
ARROW-10937,10,3556,3
ARROW-10939,2,746,2
ARROW-1094,2,121,1
ARROW-10942,6,815,2
ARROW-10943,10,20987,4
ARROW-10953,1,79,1
ARROW-10954,1,79,1
ARROW-10955,5,1855,4
ARROW-10958,3,2095,2
ARROW-1096,3,286,1
ARROW-10960,1,79,1
ARROW-10961,1,65,1
ARROW-10962,1,79,1
ARROW-10965,1,73,1
ARROW-1097,1,97,1
ARROW-1098,4,238,3
ARROW-10990,1,79,1
ARROW-10991,1,65,1
ARROW-10992,1,0,1
