Key,CommentCount,CommentLength,CommentPeopleCount
AXIS2-101,4,310,3
AXIS2-1023,2,1218,1
AXIS2-1041,2,102,2
AXIS2-1045,10,1871,2
AXIS2-1053,11,1377,4
AXIS2-1081,2,387,2
AXIS2-1082,4,1077,3
AXIS2-1087,6,3195,3
AXIS2-1089,2,702,2
AXIS2-1106,4,726,2
AXIS2-1107,2,349,2
AXIS2-1116,4,445,3
AXIS2-112,9,6589,3
AXIS2-1126,2,296,2
AXIS2-1129,13,10737,5
AXIS2-1138,9,3143,3
AXIS2-1174,1,53,1
AXIS2-1175,1,22,1
AXIS2-1176,1,37,1
AXIS2-1178,2,92,2
AXIS2-1201,3,622,2
AXIS2-1214,5,808,3
AXIS2-1215,7,1593,2
AXIS2-1222,5,2690,4
AXIS2-1233,5,383,3
AXIS2-1239,3,979,3
AXIS2-1247,9,12583,3
AXIS2-1250,4,4046,2
AXIS2-1254,10,4446,4
AXIS2-1263,3,278,2
AXIS2-1264,8,1316,3
AXIS2-1271,3,272,2
AXIS2-1276,6,751,3
AXIS2-1277,5,944,3
AXIS2-1280,4,580,2
AXIS2-1295,2,172,2
AXIS2-1299,2,181,2
AXIS2-1308,3,1132,2
AXIS2-1327,10,3843,5
AXIS2-1334,3,539,3
AXIS2-1343,5,847,4
AXIS2-1361,4,2025,3
AXIS2-1362,5,1684,2
AXIS2-1363,4,952,3
AXIS2-1376,4,1567,4
AXIS2-1384,1,264,1
AXIS2-1421,2,123,1
AXIS2-1424,4,442,2
AXIS2-1437,6,1456,4
AXIS2-1440,3,147,3
AXIS2-1449,7,3387,4
AXIS2-1470,2,107,2
AXIS2-1486,5,1656,4
AXIS2-1488,5,405,3
AXIS2-1510,4,606,3
AXIS2-1527,3,252,3
AXIS2-1537,9,617,5
AXIS2-1538,3,173,2
AXIS2-1541,3,179,1
AXIS2-1561,6,6509,3
AXIS2-1564,3,547,2
AXIS2-1570,9,8410,3
AXIS2-1581,4,1680,2
AXIS2-1584,3,381,2
AXIS2-1587,5,1027,3
AXIS2-1597,8,1549,3
AXIS2-1606,17,5251,4
AXIS2-1640,5,2250,2
AXIS2-1644,3,126,3
AXIS2-1649,2,69,2
AXIS2-1658,5,1119,3
AXIS2-1662,5,529,4
AXIS2-1670,2,69,2
AXIS2-1681,10,5667,4
AXIS2-1691,5,652,2
AXIS2-1694,1,200,1
AXIS2-1700,3,244,2
AXIS2-1701,3,2252,2
AXIS2-1702,6,1335,5
AXIS2-1703,2,259,2
AXIS2-1708,10,2057,6
AXIS2-1720,1,41,1
AXIS2-1723,4,241,2
AXIS2-1746,11,3578,5
AXIS2-1754,6,1978,4
AXIS2-1812,2,228,2
AXIS2-1815,1,28,1
AXIS2-1829,4,173,3
AXIS2-1855,3,121,1
AXIS2-1856,3,98,1
AXIS2-1862,5,1366,3
AXIS2-1869,5,620,4
AXIS2-1871,4,836,3
AXIS2-1875,2,47,2
AXIS2-1889,12,2372,4
AXIS2-1897,3,352,2
AXIS2-1899,5,433,2
AXIS2-1910,1,20,1
AXIS2-1917,7,1828,2
AXIS2-1926,5,2493,2
AXIS2-1927,6,541,4
AXIS2-1930,6,1342,4
AXIS2-1939,4,237,2
AXIS2-1950,1,64,1
AXIS2-1954,2,118,2
AXIS2-1986,1,176,1
AXIS2-2022,2,230,2
AXIS2-2055,14,2236,3
AXIS2-2066,4,1035,2
AXIS2-2075,12,3747,5
AXIS2-2118,5,6669,4
AXIS2-2129,6,898,4
AXIS2-2144,9,4848,3
AXIS2-2179,7,1453,4
AXIS2-2191,2,124,2
AXIS2-2214,1,79,1
AXIS2-2218,4,376,2
AXIS2-2231,4,308,2
AXIS2-2243,4,294,4
AXIS2-2248,1,34,1
AXIS2-2249,4,319,3
AXIS2-2264,5,4711,3
AXIS2-2279,12,3756,7
AXIS2-2280,2,89,2
AXIS2-2282,1,202,1
AXIS2-2287,1,28,1
AXIS2-2288,1,292,1
AXIS2-2294,3,1389,2
AXIS2-2295,2,266,1
AXIS2-2302,2,192,2
AXIS2-2306,1,59,1
AXIS2-2320,5,678,4
AXIS2-2322,4,545,2
AXIS2-2325,18,7717,4
AXIS2-2326,6,591,5
AXIS2-2339,1,90,1
AXIS2-2348,3,254,2
AXIS2-2352,18,37986,6
AXIS2-2356,1,214,1
AXIS2-2357,5,1770,3
AXIS2-2374,3,1222,2
AXIS2-2375,4,738,3
AXIS2-2383,7,4168,2
AXIS2-2389,14,12423,5
AXIS2-2391,3,347,3
AXIS2-2395,2,971,2
AXIS2-2398,10,1083,6
AXIS2-240,7,1982,5
AXIS2-2409,2,304,2
AXIS2-2415,3,173,2
AXIS2-2417,11,9475,4
AXIS2-2423,1,81,1
AXIS2-2426,5,567,4
AXIS2-2431,7,1854,4
AXIS2-2450,2,672,2
AXIS2-2461,4,1770,4
AXIS2-2478,2,164,1
AXIS2-2494,5,891,2
AXIS2-2529,4,499,3
AXIS2-2530,4,588,2
AXIS2-2550,3,3836,2
AXIS2-2552,2,633,2
AXIS2-2553,13,5867,5
AXIS2-2558,2,62,2
AXIS2-2564,5,404,4
AXIS2-2569,12,5089,5
AXIS2-2581,4,289,3
AXIS2-2583,3,456,3
AXIS2-2589,6,1773,3
AXIS2-2591,4,155,2
AXIS2-2592,1,29,1
AXIS2-2594,4,609,1
AXIS2-2603,5,6161,4
AXIS2-2626,7,3036,2
AXIS2-2635,4,2104,3
AXIS2-2636,3,116,3
AXIS2-2641,1,30,1
AXIS2-2642,4,841,2
AXIS2-2643,1,108,1
AXIS2-2645,3,196,2
AXIS2-2649,3,339,3
AXIS2-2651,1,33,1
AXIS2-2655,2,320,2
AXIS2-2661,1,39,1
AXIS2-2668,2,473,2
AXIS2-2682,9,1714,8
AXIS2-2685,2,375,1
AXIS2-2689,5,1192,3
