Key,CommentCount,CommentLength,CommentPeopleCount
AXIS2-1000,1,0,1
AXIS2-1001,1,23,1
AXIS2-1002,1,211,1
AXIS2-1003,2,288,2
AXIS2-1004,4,298,3
AXIS2-1005,1,131,1
AXIS2-1006,4,606,3
AXIS2-1008,2,76,2
AXIS2-1009,4,1078,4
AXIS2-1010,1,338,1
AXIS2-1011,4,255,2
AXIS2-1012,1,57,1
AXIS2-1013,2,53,2
AXIS2-1014,9,4576,7
AXIS2-1018,2,57,2
AXIS2-102,1,119,1
AXIS2-1020,1,22,1
AXIS2-1021,2,287,2
AXIS2-1022,2,126,2
AXIS2-1026,2,4133,1
AXIS2-1028,4,942,2
AXIS2-1029,1,42,1
AXIS2-1030,3,2187,2
AXIS2-1032,2,34,1
AXIS2-1035,1,20,1
AXIS2-1037,2,84,2
AXIS2-1040,1,164,1
AXIS2-1043,1,23,1
AXIS2-1044,1,48,1
AXIS2-1046,1,14,1
AXIS2-1047,2,100,2
AXIS2-1048,1,55,1
AXIS2-1049,1,175,1
AXIS2-105,1,194,1
AXIS2-1050,1,20,1
AXIS2-1051,1,0,1
AXIS2-1052,5,695,3
AXIS2-1054,3,452,2
AXIS2-1055,1,31,1
AXIS2-1058,2,823,2
AXIS2-106,3,611,2
AXIS2-1060,4,1287,2
AXIS2-1061,7,6674,2
AXIS2-1063,2,186,2
AXIS2-1064,6,490,3
AXIS2-1065,11,3725,3
AXIS2-1066,1,25,1
AXIS2-1068,3,578,2
AXIS2-1070,3,1194,3
AXIS2-1071,1,148,1
AXIS2-1073,1,51,1
AXIS2-1074,4,281,3
AXIS2-1075,1,88,1
AXIS2-1077,1,0,1
AXIS2-1078,1,43,1
AXIS2-1079,1,155,1
AXIS2-108,1,499,1
AXIS2-1080,2,311,1
AXIS2-1083,2,100,2
AXIS2-1084,1,162,1
AXIS2-1086,2,212,2
AXIS2-1088,1,54,1
AXIS2-1090,1,35,1
AXIS2-1094,2,972,1
AXIS2-1095,2,310,2
AXIS2-1096,3,193,1
AXIS2-1098,2,282,1
AXIS2-1101,1,30,1
AXIS2-1103,4,393,4
AXIS2-1105,3,679,2
AXIS2-1108,2,94,1
AXIS2-1112,1,24,1
AXIS2-1113,5,4107,2
AXIS2-1115,1,36,1
AXIS2-1117,1,13,1
AXIS2-1118,1,28,1
AXIS2-1121,4,2910,2
AXIS2-1123,1,81,1
AXIS2-1124,7,11485,3
AXIS2-1125,1,23,1
AXIS2-1127,1,26,1
AXIS2-1128,3,365,2
AXIS2-1133,1,24,1
AXIS2-1135,5,1934,3
AXIS2-1136,3,369,3
AXIS2-1137,2,560,2
AXIS2-1139,4,637,3
AXIS2-1140,2,292,2
AXIS2-1141,1,23,1
AXIS2-1142,2,71,2
AXIS2-1143,3,1482,3
AXIS2-1144,2,298,2
AXIS2-1145,2,83,2
AXIS2-1146,1,101,1
AXIS2-1147,3,546,1
AXIS2-1148,2,2428,2
AXIS2-1149,1,31,1
AXIS2-115,2,291,1
AXIS2-1150,3,1028,2
AXIS2-1152,2,195,2
AXIS2-1153,2,353,2
AXIS2-1154,5,8935,3
AXIS2-1155,1,75,1
AXIS2-1156,1,0,1
AXIS2-1157,1,0,1
AXIS2-1158,1,0,1
AXIS2-1159,1,0,1
AXIS2-116,4,855,2
AXIS2-1160,1,0,1
AXIS2-1161,1,36,1
AXIS2-1162,4,785,2
AXIS2-1164,1,24,1
AXIS2-1168,1,374,1
AXIS2-1169,4,1120,2
AXIS2-1172,1,6,1
AXIS2-1173,1,20,1
AXIS2-1177,3,1450,2
AXIS2-1181,1,478,1
AXIS2-1182,6,3829,3
AXIS2-1184,1,38,1
AXIS2-1185,3,982,3
AXIS2-1186,1,99,1
AXIS2-1187,7,769,3
AXIS2-1188,5,206,3
AXIS2-119,1,27,1
AXIS2-1190,1,84,1
AXIS2-1191,6,316,2
AXIS2-1192,2,203,2
AXIS2-1193,1,97,1
AXIS2-1198,1,123,1
AXIS2-1200,4,462,2
AXIS2-1202,1,23,1
AXIS2-1203,4,16131,3
AXIS2-1205,1,43,1
AXIS2-1206,4,162,2
AXIS2-1207,1,22,1
AXIS2-1208,2,63,1
AXIS2-1210,1,43,1
AXIS2-1211,2,295,2
AXIS2-1213,1,68,1
AXIS2-1216,3,202,2
AXIS2-1218,4,2437,2
AXIS2-1219,1,257,1
AXIS2-1220,11,3612,7
AXIS2-1221,5,5870,1
AXIS2-1223,1,35,1
AXIS2-1224,11,3512,6
AXIS2-1225,1,34,1
AXIS2-1226,1,85,1
AXIS2-1227,2,93,2
AXIS2-1228,1,73,1
AXIS2-1229,2,204,2
AXIS2-1230,1,799,1
AXIS2-1231,4,379,2
AXIS2-1232,2,620,1
AXIS2-1235,3,5010,2
AXIS2-1236,2,357,2
AXIS2-1237,1,29,1
AXIS2-1238,1,158,1
AXIS2-1240,1,30,1
AXIS2-1241,3,424,2
AXIS2-1242,1,32,1
AXIS2-1243,1,20,1
AXIS2-1244,1,9,1
AXIS2-1245,1,26,1
AXIS2-1246,1,44,1
AXIS2-1248,1,1042,1
AXIS2-1249,2,292,2
AXIS2-1251,2,466,2
AXIS2-1255,1,75,1
AXIS2-1258,6,659,3
AXIS2-126,8,1902,4
AXIS2-1261,1,127,1
AXIS2-1262,2,275,2
AXIS2-1265,2,50,2
AXIS2-1269,1,36,1
AXIS2-1270,5,341,3
AXIS2-1272,3,729,3
AXIS2-1273,2,121,2
AXIS2-1274,4,647,2
AXIS2-1275,1,30,1
AXIS2-1279,1,15,1
AXIS2-1282,5,1459,2
AXIS2-1283,3,451,2
AXIS2-1284,2,62,2
AXIS2-1285,6,1607,2
AXIS2-1286,2,1015,1
AXIS2-1287,1,0,1
AXIS2-1289,3,371,2
AXIS2-1290,1,50,1
AXIS2-1292,1,27,1
AXIS2-1293,2,445,1
AXIS2-1294,2,545,2
AXIS2-1296,1,5,1
AXIS2-1297,2,229,2
AXIS2-1298,1,0,1
AXIS2-130,1,327,1
AXIS2-1300,3,274,2
AXIS2-1301,1,46,1
AXIS2-1302,2,874,2
AXIS2-1305,2,354,2
AXIS2-1307,1,117,1
AXIS2-1310,7,2599,2
AXIS2-1311,4,192,2
AXIS2-1312,3,479,2
AXIS2-1313,1,37,1
