Key,CommentCount,CommentLength,CommentPeopleCount
CAMEL-10093,3,2235,2
CAMEL-10104,1,0,1
CAMEL-10123,2,564,2
CAMEL-10135,4,1123,3
CAMEL-10162,2,94,1
CAMEL-10171,11,6161,4
CAMEL-10174,2,2041,2
CAMEL-10192,3,950,2
CAMEL-10195,3,132,2
CAMEL-10206,3,638,2
CAMEL-1021,7,1264,2
CAMEL-1022,4,398,1
CAMEL-10238,32,83730,3
CAMEL-10241,9,4726,3
CAMEL-10247,7,1565,2
CAMEL-10249,6,974,3
CAMEL-10253,3,989,2
CAMEL-10259,1,88,1
CAMEL-10272,13,8720,5
CAMEL-10277,5,577,2
CAMEL-10304,11,2647,3
CAMEL-10315,3,138,2
CAMEL-10349,11,11829,3
CAMEL-10360,2,603,2
CAMEL-10364,1,44,1
CAMEL-10365,2,73,1
CAMEL-10380,2,184,2
CAMEL-10384,2,49,1
CAMEL-10394,4,1231,3
CAMEL-10406,1,49,1
CAMEL-10429,5,2212,3
CAMEL-10439,2,314,2
CAMEL-10440,7,2003,4
CAMEL-10442,1,115,1
CAMEL-10443,3,878,2
CAMEL-10449,3,896,2
CAMEL-10453,3,409,2
CAMEL-10461,2,148,1
CAMEL-10492,9,6693,2
CAMEL-10496,1,15,1
CAMEL-10526,2,105,2
CAMEL-10582,3,955,2
CAMEL-10616,6,2118,2
CAMEL-10634,4,1144,3
CAMEL-1064,10,2069,5
CAMEL-10653,8,3198,2
CAMEL-10657,1,313,1
CAMEL-10664,1,67,1
CAMEL-10708,1,52,1
CAMEL-10727,3,336,2
CAMEL-10728,6,4332,4
CAMEL-10741,5,2783,2
CAMEL-10802,3,440,2
CAMEL-10805,1,77,1
CAMEL-10817,2,947,1
CAMEL-10880,3,369,2
CAMEL-10964,3,1251,2
CAMEL-10985,9,2303,4
CAMEL-11009,7,2381,3
CAMEL-11029,5,986,2
CAMEL-11088,2,320,1
CAMEL-11111,14,5053,3
CAMEL-11120,5,630,3
CAMEL-11179,3,431,2
CAMEL-11234,7,2575,3
CAMEL-11235,12,24663,3
CAMEL-11264,3,946,2
CAMEL-11266,9,3447,3
CAMEL-11273,5,5312,3
CAMEL-11288,3,979,2
CAMEL-11299,1,39,1
CAMEL-11370,10,3616,4
CAMEL-11387,15,19020,4
CAMEL-11437,6,2801,4
CAMEL-11467,2,319,2
CAMEL-11482,11,3159,3
CAMEL-11510,4,403,2
CAMEL-11523,5,13099,2
CAMEL-11524,4,1411,3
CAMEL-11589,3,1033,2
CAMEL-11595,14,18908,2
CAMEL-11620,3,923,2
CAMEL-11658,15,13233,4
CAMEL-11672,5,632,2
CAMEL-11677,5,992,2
CAMEL-11690,8,1103,2
CAMEL-11723,3,884,2
CAMEL-11725,4,1207,3
CAMEL-11792,7,2522,4
CAMEL-11810,4,1349,3
CAMEL-11811,4,1173,3
CAMEL-11846,5,3205,3
CAMEL-11866,3,663,3
CAMEL-11876,7,2009,3
CAMEL-11906,1,19,1
CAMEL-11937,6,6742,1
CAMEL-11947,1,0,1
CAMEL-12038,5,1887,3
CAMEL-12058,11,7402,5
CAMEL-12060,1,123,1
CAMEL-12063,2,358,1
CAMEL-12094,6,331,3
CAMEL-12096,3,4569,2
CAMEL-12101,2,276,1
CAMEL-12112,9,961,3
CAMEL-12120,3,531,2
CAMEL-12141,4,1656,2
CAMEL-12195,7,1682,5
CAMEL-12256,3,286,2
CAMEL-12263,5,654,2
CAMEL-12271,5,456,3
CAMEL-12284,1,0,1
CAMEL-12395,2,89,1
CAMEL-12410,5,1231,2
CAMEL-12428,4,326,3
CAMEL-12451,7,991,3
CAMEL-12456,3,508,2
CAMEL-12471,7,2606,4
CAMEL-12511,7,3846,3
CAMEL-12540,1,55,1
CAMEL-12571,5,356,2
CAMEL-12589,4,442,2
CAMEL-12593,19,8993,4
CAMEL-12610,15,3753,3
CAMEL-12626,4,257,2
CAMEL-12635,4,290,4
CAMEL-12727,11,4498,3
CAMEL-12758,10,6927,3
CAMEL-12812,4,825,2
CAMEL-12838,7,1424,2
CAMEL-12843,4,638,2
CAMEL-12851,1,181,1
CAMEL-12852,6,7044,2
CAMEL-12861,4,503,3
CAMEL-12871,9,5384,2
CAMEL-12875,12,2894,3
CAMEL-12889,3,910,2
CAMEL-12906,6,801,3
CAMEL-12912,1,0,1
CAMEL-12940,5,10361,2
CAMEL-12947,5,730,3
CAMEL-12963,5,1742,5
CAMEL-12974,6,1585,2
CAMEL-12980,26,29316,5
CAMEL-12991,9,19512,2
CAMEL-12994,13,6927,4
CAMEL-13014,1,0,1
CAMEL-13030,2,103,2
CAMEL-13038,5,1746,3
CAMEL-13047,6,814,3
CAMEL-13050,2,1947,2
CAMEL-13092,3,459,1
CAMEL-13093,2,32,2
CAMEL-13121,19,3750,5
CAMEL-13123,2,182,2
CAMEL-13162,7,927,3
CAMEL-13170,5,380,3
CAMEL-13171,1,0,1
CAMEL-13254,4,261,2
CAMEL-13267,5,1714,3
CAMEL-13270,4,350,4
CAMEL-13325,10,3473,3
CAMEL-13373,6,1171,3
CAMEL-13374,2,296,1
CAMEL-13376,6,1226,4
CAMEL-13388,5,1900,2
CAMEL-13400,5,1163,3
CAMEL-13407,9,786,3
CAMEL-13415,5,1553,3
CAMEL-13443,9,1426,2
CAMEL-13461,4,517,2
CAMEL-13468,2,70,1
CAMEL-13497,4,252,2
CAMEL-13504,1,106,1
CAMEL-13510,1,59,1
CAMEL-13536,2,332,2
CAMEL-13549,6,633,2
CAMEL-13553,4,482,2
CAMEL-1356,2,404,2
CAMEL-13560,20,8986,4
CAMEL-13577,1,82,1
CAMEL-13592,5,1171,3
CAMEL-13613,2,306,1
CAMEL-13621,10,2234,2
CAMEL-13630,12,3438,4
CAMEL-13640,1,419,1
CAMEL-13648,8,1537,2
CAMEL-13667,6,620,3
CAMEL-13722,4,1830,2
CAMEL-13737,18,3504,4
CAMEL-13750,10,1367,4
CAMEL-13781,23,10179,3
CAMEL-13873,5,414,2
CAMEL-13941,6,2210,2
CAMEL-14008,2,172,2
CAMEL-14010,18,2642,3
CAMEL-14026,4,173,3
CAMEL-14059,1,71,1
