Key,CommentCount,CommentLength,CommentPeopleCount
CAMEL-1000,4,900,3
CAMEL-10005,1,0,1
CAMEL-10008,3,1705,2
CAMEL-10009,1,62,1
CAMEL-1001,9,1161,3
CAMEL-10010,3,337,2
CAMEL-10011,1,0,1
CAMEL-10012,1,0,1
CAMEL-10014,5,1270,3
CAMEL-10015,2,825,1
CAMEL-10016,2,815,1
CAMEL-10017,2,816,1
CAMEL-10024,25,7758,6
CAMEL-10028,1,92,1
CAMEL-1003,2,37,1
CAMEL-10032,6,745,2
CAMEL-10033,1,120,1
CAMEL-10034,4,1198,3
CAMEL-10038,18,10499,4
CAMEL-10039,1,150,1
CAMEL-10043,3,391,2
CAMEL-10046,1,45,1
CAMEL-10048,3,995,1
CAMEL-10051,3,952,2
CAMEL-10053,6,2772,3
CAMEL-10060,6,2386,3
CAMEL-10063,3,828,1
CAMEL-10064,2,195,2
CAMEL-10069,1,0,1
CAMEL-10076,1,0,1
CAMEL-10082,1,246,1
CAMEL-10084,9,1070,2
CAMEL-10087,25,18224,4
CAMEL-10088,1,221,1
CAMEL-10090,10,2303,3
CAMEL-10091,1,0,1
CAMEL-10094,1,0,1
CAMEL-10097,1,53,1
CAMEL-10103,2,150,1
CAMEL-10110,5,1692,3
CAMEL-10111,1,0,1
CAMEL-10115,3,1155,2
CAMEL-10116,8,4739,4
CAMEL-10117,1,0,1
CAMEL-10120,1,0,1
CAMEL-10128,1,0,1
CAMEL-1013,6,390,2
CAMEL-10136,2,276,2
CAMEL-10139,14,8846,5
CAMEL-10142,1,0,1
CAMEL-10143,1,78,1
CAMEL-10144,7,2729,2
CAMEL-10145,1,0,1
CAMEL-10146,5,1169,2
CAMEL-10147,1,0,1
CAMEL-10149,1,0,1
CAMEL-10150,1,0,1
CAMEL-10151,1,0,1
CAMEL-10153,1,351,1
CAMEL-10154,2,90,2
CAMEL-10155,2,58,2
CAMEL-10157,1,43,1
CAMEL-1016,3,174,3
CAMEL-10161,3,867,2
CAMEL-10165,7,3371,3
CAMEL-10176,1,0,1
CAMEL-10177,1,0,1
CAMEL-10181,1,69,1
CAMEL-10184,6,1158,3
CAMEL-10185,4,309,2
CAMEL-1019,9,2181,3
CAMEL-10200,1,0,1
CAMEL-10205,1,0,1
CAMEL-10215,4,1130,3
CAMEL-10217,7,3477,4
CAMEL-10221,1,0,1
CAMEL-10225,5,1876,2
CAMEL-10229,3,1090,2
CAMEL-1023,2,39,1
CAMEL-10230,2,269,1
CAMEL-10231,1,0,1
CAMEL-10232,1,0,1
CAMEL-10236,3,873,3
CAMEL-10237,10,2713,4
CAMEL-10243,1,573,1
CAMEL-10244,3,920,2
CAMEL-10251,2,167,2
CAMEL-10254,3,1153,2
CAMEL-1026,3,731,3
CAMEL-10266,2,433,2
CAMEL-1027,1,24,1
CAMEL-10271,16,14471,3
CAMEL-10273,3,874,2
CAMEL-10278,3,1142,2
CAMEL-10279,6,2222,3
CAMEL-1028,8,1786,2
CAMEL-10281,2,1025,2
CAMEL-10282,4,341,3
CAMEL-10291,3,927,2
CAMEL-10293,4,988,2
CAMEL-10296,2,1015,1
CAMEL-103,2,136,1
CAMEL-10300,9,2517,3
CAMEL-10301,5,636,2
CAMEL-10303,2,961,1
CAMEL-10309,1,0,1
CAMEL-10310,1,0,1
CAMEL-10312,5,604,3
CAMEL-10313,1,116,1
CAMEL-10322,6,1611,4
CAMEL-10326,1,0,1
CAMEL-10329,4,470,3
CAMEL-10333,2,97,2
CAMEL-10338,2,893,1
CAMEL-1034,8,1201,5
CAMEL-10340,16,8677,4
CAMEL-10341,3,183,3
CAMEL-10342,2,951,1
CAMEL-10348,2,144,2
CAMEL-1035,13,6168,3
CAMEL-10359,1,93,1
CAMEL-10363,9,943,2
CAMEL-10366,4,504,2
CAMEL-10368,4,459,2
CAMEL-1037,14,8712,4
CAMEL-10370,1,0,1
CAMEL-10372,1,0,1
CAMEL-10376,3,991,2
CAMEL-10381,1,676,1
CAMEL-10383,1,0,1
CAMEL-10385,3,877,2
CAMEL-10386,1,17,1
CAMEL-10396,6,1921,3
CAMEL-10399,12,2056,4
CAMEL-10405,2,303,1
CAMEL-10407,1,0,1
CAMEL-10409,10,3858,4
CAMEL-10411,3,984,2
CAMEL-10413,1,52,1
CAMEL-10414,5,1027,3
CAMEL-10418,6,2772,5
CAMEL-10425,1,0,1
CAMEL-10427,4,1242,3
CAMEL-10430,1,0,1
CAMEL-10431,3,885,2
CAMEL-10433,9,2845,4
CAMEL-10441,1,42,1
CAMEL-10454,5,376,4
CAMEL-10455,5,544,3
CAMEL-10460,6,908,2
CAMEL-10464,1,47,1
CAMEL-10465,4,560,3
CAMEL-10466,7,3105,3
CAMEL-10467,1,0,1
CAMEL-1047,1,91,1
CAMEL-10476,6,7344,2
CAMEL-10480,1,72,1
CAMEL-10484,2,167,2
CAMEL-10485,2,221,2
CAMEL-10486,9,1807,4
CAMEL-10490,7,2080,3
CAMEL-10495,3,233,2
CAMEL-10499,5,1061,3
CAMEL-105,2,37,2
CAMEL-10504,9,6144,4
CAMEL-10505,9,1591,4
CAMEL-1051,1,21,1
CAMEL-10510,4,1331,3
CAMEL-10511,16,17558,3
CAMEL-10514,1,0,1
CAMEL-10520,5,1788,2
CAMEL-10522,1,351,1
CAMEL-10524,2,146,2
CAMEL-10525,2,254,2
CAMEL-10529,7,1768,2
CAMEL-1053,3,177,2
CAMEL-10534,5,1109,3
CAMEL-10537,5,731,2
CAMEL-10539,2,158,1
CAMEL-10541,1,0,1
CAMEL-10542,13,3963,3
CAMEL-10545,1,149,1
CAMEL-10547,2,349,2
CAMEL-10548,3,939,2
CAMEL-10549,3,1039,2
CAMEL-10555,3,208,1
CAMEL-10556,1,0,1
CAMEL-10557,2,114,2
CAMEL-10562,4,1591,3
CAMEL-10564,1,0,1
CAMEL-10568,4,1032,2
CAMEL-1057,4,387,2
CAMEL-10573,5,3493,4
CAMEL-10578,1,0,1
CAMEL-10579,4,996,2
CAMEL-1058,1,21,1
CAMEL-10580,3,280,2
CAMEL-10581,1,179,1
CAMEL-10587,6,1157,1
CAMEL-10590,6,664,3
CAMEL-10591,1,42,1
CAMEL-10594,1,117,1
CAMEL-10597,6,817,4
CAMEL-106,1,193,1
CAMEL-10602,18,50878,3
CAMEL-10603,1,20,1
CAMEL-1062,1,21,1
CAMEL-10621,3,523,2
CAMEL-10628,8,1926,3
CAMEL-1063,1,21,1
CAMEL-10635,1,213,1
CAMEL-10640,6,6484,4
CAMEL-10644,1,0,1
CAMEL-10645,1,0,1
CAMEL-10663,1,20,1
CAMEL-10672,2,1019,1
CAMEL-10675,2,936,1
CAMEL-10677,3,270,2
CAMEL-10681,5,975,2
CAMEL-10688,1,0,1
CAMEL-10689,1,0,1
CAMEL-10692,4,1735,1
CAMEL-10694,1,51,1
CAMEL-10695,1,0,1
CAMEL-107,2,456,2
CAMEL-1070,1,21,1
CAMEL-10701,2,922,1
CAMEL-10704,1,0,1
CAMEL-10707,1,0,1
CAMEL-10709,1,0,1
CAMEL-10712,1,0,1
CAMEL-10713,4,2442,3
CAMEL-10716,2,1223,1
CAMEL-10717,2,962,1
CAMEL-1073,2,90,2
CAMEL-10732,3,1591,2
CAMEL-10736,1,0,1
CAMEL-10738,2,85,1
CAMEL-1074,7,1134,3
CAMEL-10747,4,1546,3
CAMEL-10751,1,56,1
CAMEL-10752,1,0,1
CAMEL-10755,1,368,1
CAMEL-10756,7,3265,4
CAMEL-10767,2,2262,1
CAMEL-10771,3,968,2
CAMEL-10773,3,665,2
CAMEL-10777,3,204,3
CAMEL-10778,1,175,1
CAMEL-10782,7,3324,2
CAMEL-10783,6,2607,3
CAMEL-10787,2,840,1
CAMEL-10788,3,963,2
CAMEL-10789,1,0,1
CAMEL-1079,5,150,4
