Key,CommentCount,CommentLength,CommentPeopleCount
CB-10010,3,360,2
CB-10014,11,4992,5
CB-10032,2,442,2
CB-10041,2,375,1
CB-10060,1,78,1
CB-10064,15,5302,3
CB-10069,3,426,3
CB-1007,6,1001,2
CB-10086,3,1217,2
CB-1009,14,1925,4
CB-10092,1,44,1
CB-10093,24,17642,2
CB-10095,1,0,1
CB-10097,8,2137,4
CB-10104,4,1044,3
CB-10111,1,312,1
CB-10115,2,469,1
CB-10118,5,1754,2
CB-10120,16,5597,2
CB-10127,4,9186,2
CB-10152,6,668,2
CB-10154,3,1549,2
CB-10163,2,143,1
CB-10167,17,5950,6
CB-10171,14,2235,3
CB-10177,6,757,5
CB-10189,2,197,1
CB-10204,7,1860,4
CB-10205,2,236,2
CB-10212,4,701,2
CB-10223,2,336,2
CB-10229,7,919,3
CB-10230,1,128,1
CB-10232,6,1278,4
CB-10234,17,4499,5
CB-10247,1,287,1
CB-10250,6,3564,3
CB-10251,8,1051,3
CB-10252,2,676,1
CB-10254,18,5954,3
CB-10260,3,279,2
CB-10261,7,891,3
CB-10265,5,643,2
CB-10266,2,227,1
CB-10270,39,12935,9
CB-10274,19,9477,4
CB-10275,3,680,2
CB-10276,10,1087,8
CB-10284,17,6649,3
CB-1029,7,3773,2
CB-10290,5,2416,4
CB-10294,8,4602,1
CB-10309,3,1702,2
CB-10317,10,6905,3
CB-10338,15,6336,3
CB-10339,8,1450,4
CB-10340,4,483,3
CB-10344,5,1734,2
CB-10365,2,584,2
CB-10375,5,1063,2
CB-10384,4,880,4
CB-10410,2,161,2
CB-10414,9,2374,5
CB-10415,1,270,1
CB-10418,1,82,1
CB-10432,8,2848,3
CB-10437,1,61,1
CB-1047,13,4091,3
CB-10471,2,137,2
CB-10484,3,657,3
CB-10485,2,850,2
CB-10509,2,262,2
CB-10511,1,61,1
CB-1052,9,2399,4
CB-10522,12,4214,2
CB-10523,4,1004,2
CB-10527,5,646,4
CB-10535,17,6362,3
CB-10549,5,1432,1
CB-10554,15,9532,2
CB-10556,3,272,2
CB-10562,16,6294,7
CB-10563,2,461,1
CB-10574,21,11188,2
CB-10577,16,9374,4
CB-10584,7,2622,2
CB-10591,5,864,2
CB-10600,29,18547,6
CB-10601,9,1871,4
CB-10612,1,200,1
CB-10627,1,57,1
CB-10631,11,5991,5
CB-10648,5,821,2
CB-1065,7,13801,3
CB-10660,7,1940,3
CB-10661,4,931,3
CB-10670,15,8205,5
CB-10677,10,3547,4
CB-10689,13,2295,4
CB-10691,1,258,1
CB-10694,18,5584,3
CB-10696,15,14337,5
CB-10709,15,4734,10
CB-10717,9,9355,3
CB-10741,2,691,2
CB-10745,4,1696,2
CB-10765,2,408,1
CB-10775,29,9554,9
CB-10795,12,15744,4
CB-10799,7,6787,3
CB-10800,1,65,1
CB-10801,1,33,1
CB-1084,6,2169,3
CB-10843,1,204,1
CB-10852,4,1931,3
CB-10858,7,2012,4
CB-10862,34,7633,9
CB-10869,1,366,1
CB-10870,1,48,1
CB-109,5,1365,4
CB-10904,3,1113,2
CB-10923,2,980,2
CB-10930,3,1186,2
CB-10939,1,845,1
CB-10944,8,1702,5
CB-10946,4,445,3
CB-10953,4,538,2
CB-10962,25,5553,6
CB-10964,14,4594,2
CB-10965,6,2187,3
CB-10967,7,3588,3
CB-10971,2,482,2
CB-10976,6,4936,3
CB-10982,9,1461,2
CB-1101,6,1317,3
CB-11010,7,2935,5
CB-11012,9,6316,5
CB-11014,2,260,2
CB-1102,8,1236,3
CB-1104,2,294,1
CB-11049,1,215,1
CB-11068,5,1906,3
CB-11077,20,9841,5
CB-11078,22,18490,6
CB-11082,3,1592,3
CB-11093,2,96,2
CB-11099,7,1266,4
CB-11111,3,249,2
CB-11121,2,149,2
CB-11134,8,3086,2
CB-11150,4,1543,2
CB-11164,16,6257,6
CB-11170,1,119,1
CB-11173,2,403,2
CB-11178,6,5314,4
CB-11189,5,1624,4
CB-11190,5,282,4
CB-11199,6,3371,6
CB-11200,9,4518,3
CB-11222,2,630,2
CB-11236,1,0,1
CB-11248,26,16776,8
CB-11249,1,143,1
CB-11266,3,405,3
CB-11276,3,1025,3
CB-1128,10,1853,3
CB-11287,14,7665,4
CB-11288,4,319,2
CB-11291,3,679,3
CB-11299,2,356,1
CB-11318,2,314,2
CB-11327,15,2766,2
CB-11335,2,166,2
CB-11341,4,868,3
CB-11353,3,932,2
CB-11369,1,0,1
CB-11370,5,5019,2
CB-11373,16,6126,6
CB-11376,10,9188,5
CB-11378,3,624,3
CB-11394,3,419,2
CB-1140,6,1444,3
CB-11410,8,6195,4
CB-1142,16,2800,3
CB-11432,15,2979,3
CB-11440,12,3895,7
CB-11447,10,10269,2
CB-11448,3,1160,3
CB-11464,1,0,1
CB-1147,7,1777,3
CB-11478,10,6859,3
CB-11497,6,5836,3
CB-11505,3,1255,2
CB-1154,2,367,2
CB-1156,8,9406,4
CB-11564,1,118,1
CB-11566,4,550,3
CB-11592,6,2758,2
CB-11603,2,880,1
CB-11613,3,514,1
CB-11614,2,786,2
CB-11619,3,368,2
CB-11632,1,0,1
CB-11639,1,0,1
CB-11640,9,3583,3
CB-11663,2,485,2
CB-1169,6,1214,2
CB-11692,5,3203,3
CB-11698,7,4254,2
CB-11701,4,1204,3
CB-11710,3,1646,2
CB-11730,7,4163,3
CB-11736,1,165,1
CB-11738,2,598,2
CB-11758,5,1062,3
CB-11867,1,0,1
CB-11875,9,9198,2
CB-11888,3,513,3
